,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,54.42,1254430800,30.34,1254402000,0.29,washington,21.6,0.39,1254376800washington,39.96579,-103.209744,0.42,,0,0,,0,,1012.08,CO,1254401437,1254443792,54.42,1254430800,38.97,1254394800,1254376800,9.9,319,17.96
0,2009-10-02 00:00:00,58.97,1254517200,26.83,1254484800,0.04,washington,18.84,0.38,1254463200washington,39.96579,-103.209744,0.45,,0,0,,0,,1015.23,CO,1254487895,1254530094,58.97,1254517200,33.11,1254484800,1254463200,9.93,325,8.47
0,2009-10-03 00:00:00,62.73,1254607200,29.19,1254571200,0.16,washington,23.39,0.45,1254549600washington,39.96579,-103.209744,0.48,,0,0,,0,,1012.23,CO,1254574354,1254616397,62.73,1254607200,29.19,1254571200,1254549600,9.77,150,5.91
0,2009-10-04 00:00:00,41.21,1254718800,34.68,1254675600,0.83,washington,36.88,0.76,1254636000washington,39.96579,-103.209744,0.52,,0.0032,0.0178,1254711600,0.58,rain,1009.86,CO,1254660813,1254702700,47.6,1254718800,41.34,1254672000,1254636000,7.19,125,11.63
0,2009-10-05 00:00:00,60.47,1254769200,35.24,1254805200,0.78,washington,43.52,0.79,1254722400washington,39.96579,-103.209744,0.55,,0.0029,0.016,1254794400,0.57,rain,1005.43,CO,1254747272,1254789003,60.47,1254769200,40.9,1254805200,1254722400,8.16,46,1.68
0,2009-10-06 00:00:00,59.49,1254873600,25.17,1254830400,0.1,washington,28.35,0.6,1254808800washington,39.96579,-103.209744,0.58,,0,0,,0,,1015.3,CO,1254833732,1254875307,59.49,1254873600,31.29,1254834000,1254808800,9.94,297,4.28
0,2009-10-07 00:00:00,66.62,1254952800,29.53,1254960000,0.17,washington,29.43,0.51,1254895200washington,39.96579,-103.209744,0.62,,0.0001,0.001,1254960000,0.01,rain,1010.83,CO,1254920192,1254961612,66.62,1254952800,33.94,1254960000,1254895200,9.92,113,1.54
0,2009-10-08 00:00:00,36.98,1254981600,23.84,1255010400,0.89,washington,31.1,0.86,1254981600washington,39.96579,-103.209744,0.65,,0.0009,0.0039,1255039200,0.15,rain,1016.73,CO,1255006652,1255047917,43.55,1254981600,30.77,1255064400,1254981600,6.76,29,8.77
0,2009-10-09 00:00:00,48.5,1255122000,6.95,1255150800,0.64,washington,28.29,0.78,1255068000washington,39.96579,-103.209744,0.69,0.192,0.0007,0.0048,1255150800,0.2,snow,1019.35,CO,1255093113,1255134223,49.5,1255122000,20.59,1255150800,1255068000,8.82,31,2.01
