,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,53.66,1254348000,33.21,1254312000,0.73,bonner,32.72,0.66,1254376800bonner,48.324629,-116.62743,0.39,,0.0004,0.0052,1254333600,0.22,rain,1018.23,ID,1254318369,1254360540,53.66,1254348000,36.09,1254304800,1254294000,9.85,211,4.35
0,2009-10-02 00:00:00,54.73,1254438000,32.28,1254391200,0.57,bonner,32.58,0.63,1254463200bonner,48.324629,-116.62743,0.42,,0,0,,0,,1024.04,ID,1254404853,1254446815,54.73,1254438000,35.31,1254391200,1254380400,9.76,203,3.92
0,2009-10-03 00:00:00,52.34,1254528000,38.89,1254549600,0.93,bonner,38.99,0.83,1254549600bonner,48.324629,-116.62743,0.45,,0.0066,0.0328,1254499200,0.66,rain,1016.36,ID,1254491338,1254533090,52.34,1254528000,38.89,1254549600,1254466800,8.56,60,1.48
0,2009-10-04 00:00:00,53.11,1254614400,34.06,1254571200,0.6,bonner,35.87,0.74,1254636000bonner,48.324629,-116.62743,0.48,,0.0008,0.0066,1254589200,0.31,rain,1012.86,ID,1254577824,1254619366,53.11,1254614400,37.33,1254578400,1254553200,9.51,22,11.63
0,2009-10-05 00:00:00,59.11,1254690000,36.82,1254661200,0.21,bonner,26.41,0.41,1254722400bonner,48.324629,-116.62743,0.52,,0,0,,0,,1012.68,ID,1254664309,1254705643,59.11,1254690000,44.49,1254722400,1254639600,10,31,19.67
0,2009-10-06 00:00:00,58.94,1254772800,30.37,1254751200,0.02,bonner,25.74,0.49,1254808800bonner,48.324629,-116.62743,0.55,,0,0,,0,,1019.32,ID,1254750795,1254791919,58.94,1254772800,32.49,1254808800,1254726000,9.99,20,7.26
0,2009-10-07 00:00:00,59.61,1254870000,24.54,1254834000,0.43,bonner,28.84,0.61,1254895200bonner,48.324629,-116.62743,0.58,,0,0,,0,,1018.91,ID,1254837282,1254878197,59.61,1254870000,29.74,1254823200,1254812400,9.99,194,3.77
0,2009-10-08 00:00:00,50.65,1254938400,29.1,1254981600,0.43,bonner,32.1,0.7,1254981600bonner,48.324629,-116.62743,0.62,,0,0,,0,,1017.4,ID,1254923768,1254964475,50.65,1254938400,32.19,1254924000,1254898800,9.98,23,5.85
0,2009-10-09 00:00:00,51.32,1255035600,22.71,1255003200,0.33,bonner,28.04,0.69,1255068000bonner,48.324629,-116.62743,0.65,,0,0,,0,,1020.9,ID,1255010255,1255050753,51.32,1255035600,27.15,1255010400,1254985200,9.83,89,0.72
0,2009-10-10 00:00:00,33.11,1255122000,20.38,1255096800,0.28,bonner,16.86,0.51,1255154400bonner,48.324629,-116.62743,0.69,,0,0,,0,,1026.05,ID,1255096742,1255137033,39.68,1255122000,25.34,1255154400,1255071600,9.84,26,11.62
0,2009-10-11 00:00:00,40.83,1255212000,11.62,1255179600,0.03,bonner,10.86,0.47,1255240800bonner,48.324629,-116.62743,0.73,0.06,0.0003,0.0079,1255204800,0.4,snow,1026.07,ID,1255183230,1255223313,40.83,1255212000,21.16,1255179600,1255158000,10,51,5.59
0,2009-10-12 00:00:00,31.58,1255305600,12.21,1255266000,0.04,bonner,8.66,0.43,1255327200bonner,48.324629,-116.62743,0.77,,0,0,,0,,1018.26,ID,1255269718,1255309593,37.52,1255305600,22.64,1255323600,1255244400,9.99,30,8.01
0,2009-10-13 00:00:00,37.96,1255392000,9.44,1255352400,0.29,bonner,10.97,0.45,1255413600bonner,48.324629,-116.62743,0.8,,0,0,,0,,1012.77,ID,1255356206,1255395875,44.96,1255392000,18.36,1255338000,1255330800,9.97,38,9.63
0,2009-10-14 00:00:00,38.99,1255471200,22.9,1255431600,0.66,bonner,25.32,0.58,1255500000bonner,48.324629,-116.62743,0.84,,0.0016,0.0149,1255478400,0.56,rain,1004.27,ID,1255442695,1255482157,45.8,1255471200,33.33,1255435200,1255417200,9.96,39,14.94
0,2009-10-15 00:00:00,51.15,1255564800,28.97,1255510800,0.94,bonner,38.35,0.93,1255586400bonner,48.324629,-116.62743,0.88,,0.0164,0.0685,1255514400,0.75,rain,1006.73,ID,1255529184,1255568440,51.15,1255564800,37.19,1255521600,1255503600,8.1,45,5.07
0,2009-10-16 00:00:00,56.48,1255640400,36.68,1255672800,0.6,bonner,41.55,0.84,1255672800bonner,48.324629,-116.62743,0.92,,0.0003,0.0036,1255600800,0.13,rain,1022.78,ID,1255615673,1255654724,56.48,1255640400,38.9,1255672800,1255590000,9.37,188,1.54
0,2009-10-17 00:00:00,55.79,1255737600,34.24,1255683600,0.7,bonner,40.7,0.82,1255759200bonner,48.324629,-116.62743,0.95,,0,0,,0,,1024.36,ID,1255702163,1255741008,55.79,1255737600,36.55,1255680000,1255676400,9.41,41,4.33
0,2009-10-18 00:00:00,57.76,1255820400,35.49,1255784400,0.62,bonner,44.06,0.83,1255845600bonner,48.324629,-116.62743,0.98,,0.0071,0.0569,1255834800,0.73,rain,1013.65,ID,1255788653,1255827294,57.76,1255820400,39.4,1255788000,1255762800,8.64,112,1.04
0,2009-10-19 00:00:00,55.73,1255892400,42.36,1255932000,0.59,bonner,44.36,0.82,1255932000bonner,48.324629,-116.62743,0.03,,0.0002,0.004,1255849200,0.15,rain,1013.73,ID,1255875144,1255913581,55.73,1255892400,42.36,1255932000,1255849200,9.71,181,2.46
0,2009-10-20 00:00:00,58.34,1255996800,33.82,1255960800,0.29,bonner,39.99,0.87,1256018400bonner,48.324629,-116.62743,0.06,,0,0,,0,,1012.43,ID,1255961635,1255999868,58.34,1255996800,36.01,1255946400,1255935600,7.18,351,0.93
0,2009-10-21 00:00:00,63.17,1256072400,33.95,1256104800,0.72,bonner,42.23,0.89,1256104800bonner,48.324629,-116.62743,0.09,,0.0002,0.0035,1256083200,0.13,rain,1018.91,ID,1256048126,1256086157,63.17,1256072400,36.14,1256029200,1256022000,6.59,177,1.31
0,2009-10-22 00:00:00,51.33,1256169600,33.76,1256108400,0.88,bonner,41.81,0.9,1256191200bonner,48.324629,-116.62743,0.12,,0.0016,0.0218,1256176800,0.61,rain,1017.79,ID,1256134617,1256172447,51.33,1256169600,36.68,1256108400,1256108400,8.37,113,1.53
0,2009-10-23 00:00:00,59.61,1256238000,41.43,1256274000,0.83,bonner,45.55,0.89,1256277600bonner,48.324629,-116.62743,0.15,,0.001,0.015,1256256000,0.56,rain,1020.83,ID,1256221109,1256258738,59.61,1256238000,41.43,1256274000,1256194800,8,213,3.48
0,2009-10-24 00:00:00,42.28,1256342400,37.58,1256310000,0.93,bonner,41.08,0.93,1256364000bonner,48.324629,-116.62743,0.18,,0.0165,0.0798,1256328000,0.76,rain,1015.65,ID,1256307601,1256345030,45.77,1256342400,41.22,1256281200,1256281200,5.99,181,3.49
0,2009-10-25 00:00:00,55.43,1256421600,30.38,1256450400,0.63,bonner,34.55,0.73,1256450400bonner,48.324629,-116.62743,0.21,,0.0032,0.017,1256371200,0.58,rain,1018.3,ID,1256394094,1256431323,55.43,1256421600,30.38,1256450400,1256367600,9.57,243,5.07
0,2009-10-26 00:00:00,42.09,1256508000,24.28,1256461200,0.37,bonner,30.05,0.83,1256536800bonner,48.324629,-116.62743,0.24,,0.0007,0.013,1256515200,0.54,rain,1025.33,ID,1256480586,1256517617,44.58,1256508000,24.82,1256479200,1256454000,9.35,150,1.42
