,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,52.57,1254348000,36.9,1254315600,0.6,boundary,33.17,0.66,1254376800boundary,48.773133,-116.524673,0.39,,0.0005,0.0061,1254333600,0.28,rain,1017.69,ID,1254318354,1254360505,52.57,1254348000,36.9,1254315600,1254294000,9.67,196,2.96
0,2009-10-02 00:00:00,53.59,1254438000,33.75,1254394800,0.57,boundary,32.43,0.64,1254463200boundary,48.773133,-116.524673,0.42,,0,0,,0,,1023.77,ID,1254404841,1254446778,53.59,1254438000,36.35,1254405600,1254380400,9.85,190,3.58
0,2009-10-03 00:00:00,45.02,1254528000,39.51,1254549600,0.9,boundary,38.68,0.83,1254549600boundary,48.773133,-116.524673,0.45,,0.0065,0.0334,1254499200,0.66,rain,1016.73,ID,1254491327,1254533052,48.56,1254528000,39.51,1254549600,1254466800,8.77,118,1.4
0,2009-10-04 00:00:00,50.34,1254610800,34.35,1254571200,0.67,boundary,37.11,0.79,1254636000boundary,48.773133,-116.524673,0.48,,0.001,0.0076,1254589200,0.38,rain,1014.13,ID,1254577814,1254619326,50.34,1254610800,38.02,1254564000,1254553200,8.58,18,7.51
0,2009-10-05 00:00:00,55.15,1254690000,36.43,1254722400,0.32,boundary,28.26,0.47,1254722400boundary,48.773133,-116.524673,0.52,,0,0,,0,,1014.45,ID,1254664302,1254705601,55.15,1254690000,41.94,1254722400,1254639600,9.94,31,12.4
0,2009-10-06 00:00:00,54.88,1254783600,29.78,1254751200,0.08,boundary,26.16,0.53,1254808800boundary,48.773133,-116.524673,0.55,,0,0,,0,,1020.06,ID,1254750789,1254791876,54.88,1254783600,33.96,1254808800,1254726000,9.99,16,3.93
0,2009-10-07 00:00:00,56.9,1254870000,30.49,1254837600,0.37,boundary,28.89,0.61,1254895200boundary,48.773133,-116.524673,0.58,,0,0,,0,,1018.47,ID,1254837277,1254878152,56.9,1254870000,30.49,1254837600,1254812400,9.99,180,2.88
0,2009-10-08 00:00:00,44.06,1254952800,31.6,1254981600,0.44,boundary,32.42,0.72,1254981600boundary,48.773133,-116.524673,0.62,,0,0,,0,,1018.14,ID,1254923766,1254964428,48.03,1254952800,34.61,1254924000,1254898800,9.82,24,3.79
0,2009-10-09 00:00:00,48.14,1255042800,23.9,1255003200,0.39,boundary,27.92,0.7,1255068000boundary,48.773133,-116.524673,0.65,,0,0,,0,,1021.07,ID,1255010254,1255050705,49.11,1255042800,27.89,1255010400,1254985200,9.4,56,0.93
0,2009-10-10 00:00:00,33.46,1255125600,20.11,1255154400,0.33,boundary,17.86,0.54,1255154400boundary,48.773133,-116.524673,0.69,,0,0,,0,,1027.36,ID,1255096743,1255136983,38.85,1255125600,25.35,1255154400,1255071600,9.64,34,7.36
0,2009-10-11 00:00:00,39.16,1255212000,10.23,1255183200,0.12,boundary,12.45,0.53,1255240800boundary,48.773133,-116.524673,0.73,0.069,0.0004,0.0091,1255204800,0.49,snow,1027.04,ID,1255183232,1255223261,39.16,1255212000,19.47,1255179600,1255158000,10,54,4.34
0,2009-10-12 00:00:00,36.57,1255298400,11.48,1255266000,0.15,boundary,10.41,0.5,1255327200boundary,48.773133,-116.524673,0.77,,0,0,,0,,1019.13,ID,1255269722,1255309540,36.57,1255298400,20.17,1255269600,1255244400,9.97,45,4.75
0,2009-10-13 00:00:00,36.74,1255392000,8.71,1255352400,0.3,boundary,11.69,0.5,1255413600boundary,48.773133,-116.524673,0.8,,0,0,,0,,1014,ID,1255356212,1255395820,41.25,1255392000,16.89,1255356000,1255330800,9.95,46,5.78
0,2009-10-14 00:00:00,40.04,1255471200,23.9,1255438800,0.7,boundary,24.34,0.6,1255500000boundary,48.773133,-116.524673,0.84,,0.0015,0.0167,1255478400,0.57,rain,1005.95,ID,1255442702,1255482100,43.86,1255471200,31.58,1255442400,1255417200,9.88,39,8.39
0,2009-10-15 00:00:00,46.29,1255564800,31.13,1255518000,0.94,boundary,37.83,0.92,1255586400boundary,48.773133,-116.524673,0.88,,0.016,0.0714,1255514400,0.75,rain,1007.43,ID,1255529193,1255568381,46.29,1255564800,36.6,1255525200,1255503600,7.21,61,2.98
0,2009-10-16 00:00:00,53.32,1255651200,39.85,1255611600,0.63,boundary,40.91,0.86,1255672800boundary,48.773133,-116.524673,0.92,,0.0004,0.0056,1255600800,0.25,rain,1023.07,ID,1255615684,1255654664,53.32,1255651200,39.85,1255611600,1255590000,8.93,190,0.95
0,2009-10-17 00:00:00,53.74,1255737600,37.67,1255705200,0.7,boundary,40.97,0.84,1255759200boundary,48.773133,-116.524673,0.95,,0,0,,0,,1025.39,ID,1255702176,1255740947,53.74,1255737600,39.74,1255680000,1255676400,9.2,41,2.94
0,2009-10-18 00:00:00,58.53,1255816800,40.86,1255780800,0.59,boundary,44.96,0.84,1255845600boundary,48.773133,-116.524673,0.98,,0.0073,0.0588,1255834800,0.73,rain,1013.91,ID,1255788667,1255827231,58.53,1255816800,42.05,1255788000,1255762800,8.85,155,1.52
0,2009-10-19 00:00:00,57.16,1255899600,44.16,1255932000,0.49,boundary,44.4,0.82,1255932000boundary,48.773133,-116.524673,0.03,,0.0003,0.0057,1255849200,0.26,rain,1013.58,ID,1255875160,1255913516,57.16,1255899600,44.16,1255932000,1255849200,9.68,172,3.12
0,2009-10-20 00:00:00,54.64,1255993200,37.96,1255964400,0.34,boundary,40.52,0.85,1256018400boundary,48.773133,-116.524673,0.06,,0,0,,0,,1012.61,ID,1255961652,1255999802,54.64,1255993200,38.4,1255957200,1255935600,8.1,350,1.21
0,2009-10-21 00:00:00,53.17,1256076000,36.24,1256104800,0.69,boundary,40.62,0.89,1256104800boundary,48.773133,-116.524673,0.09,,0.0003,0.0043,1256083200,0.17,rain,1019.04,ID,1256048145,1256086089,53.17,1256076000,38.31,1256036400,1256022000,6.06,141,0.23
0,2009-10-22 00:00:00,45.52,1256158800,35.07,1256108400,0.83,boundary,41.05,0.92,1256191200boundary,48.773133,-116.524673,0.12,,0.0016,0.0225,1256176800,0.61,rain,1017.89,ID,1256134638,1256172377,47.51,1256158800,38.27,1256108400,1256108400,7.75,137,1.92
0,2009-10-23 00:00:00,52.6,1256252400,41.68,1256212800,0.79,boundary,42.68,0.87,1256277600boundary,48.773133,-116.524673,0.15,,0.0012,0.0157,1256256000,0.57,rain,1020.66,ID,1256221132,1256258666,52.6,1256252400,42.7,1256270400,1256194800,7.51,198,2.69
0,2009-10-24 00:00:00,41.53,1256324400,38.94,1256295600,0.9,boundary,40.48,0.91,1256364000boundary,48.773133,-116.524673,0.18,,0.017,0.0829,1256328000,0.76,rain,1015.26,ID,1256307625,1256344956,44.61,1256324400,41.39,1256299200,1256281200,6.83,171,3.74
0,2009-10-25 00:00:00,51.48,1256421600,33.37,1256450400,0.51,boundary,34.29,0.74,1256450400boundary,48.773133,-116.524673,0.21,,0.0035,0.0177,1256371200,0.58,rain,1017.57,ID,1256394119,1256431248,51.48,1256421600,33.37,1256450400,1256367600,9.06,272,3.78
0,2009-10-26 00:00:00,41.47,1256508000,26.3,1256479200,0.43,boundary,30.05,0.81,1256536800boundary,48.773133,-116.524673,0.24,,0.0007,0.0128,1256515200,0.54,rain,1025.56,ID,1256480614,1256517541,43.31,1256508000,26.3,1256479200,1256454000,9.24,142,1.48
0,2009-10-27 00:00:00,32.29,1256583600,30.81,1256623200,0.89,boundary,35.03,0.91,1256623200boundary,48.773133,-116.524673,0.27,,0.0261,0.0829,1256576400,0.76,rain,1008.23,ID,1256567109,1256603835,38.63,1256583600,35.43,1256623200,1256540400,6.72,205,4.11
0,2009-10-28 00:00:00,39.53,1256677200,28.99,1256648400,0.67,boundary,29.87,0.77,1256709600boundary,48.773133,-116.524673,0.3,,0.0004,0.0036,1256659200,0.13,rain,1013.1,ID,1256653604,1256690130,43.09,1256677200,32.45,1256709600,1256626800,9.16,272,2.67
0,2009-10-29 00:00:00,37.26,1256767200,27.12,1256731200,0.56,boundary,27.27,0.81,1256796000boundary,48.773133,-116.524673,0.33,,0.0003,0.0042,1256770800,0.16,rain,1021.24,ID,1256740099,1256776427,39.77,1256767200,27.12,1256731200,1256713200,9.31,187,1.78
0,2009-10-30 00:00:00,36.29,1256860800,26.63,1256835600,0.89,boundary,30.45,0.91,1256882400boundary,48.773133,-116.524673,0.36,,0.0026,0.0096,1256842800,0.5,rain,1018.53,ID,1256826594,1256862725,40.47,1256860800,30.15,1256817600,1256799600,6.58,171,3.93
0,2009-10-31 00:00:00,43.02,1256947200,31.16,1256886000,0.89,boundary,38.4,0.91,1256968800boundary,48.773133,-116.524673,0.4,,0.0006,0.0029,1256947200,0.09,rain,1015.3,ID,1256913090,1256949024,46.25,1256947200,35.29,1256886000,1256886000,6.96,186,4.11
0,2009-11-01 00:00:00,54.37,1257026400,37.67,1257055200,0.65,boundary,41.41,0.8,1257055200boundary,48.773133,-116.524673,0.43,,0.0025,0.0117,1256983200,0.53,rain,1012.99,ID,1256999585,1257035326,54.37,1257026400,39.52,1257055200,1256972400,9.47,208,6.41
0,2009-11-02 00:00:00,48.57,1257112800,29.62,1257145200,0.34,boundary,30.04,0.74,1257145200boundary,48.773133,-116.524673,0.46,,0.0003,0.0042,1257080400,0.16,rain,1026.58,ID,1257086081,1257121628,49.78,1257112800,29.62,1257145200,1257058800,9.62,227,1.57
0,2009-11-03 00:00:00,42.6,1257202800,24.42,1257177600,0.33,boundary,27.04,0.81,1257231600boundary,48.773133,-116.524673,0.49,,0,0,,0,,1028.72,ID,1257172577,1257207932,42.6,1257202800,25.17,1257170400,1257148800,9.61,111,1.21
0,2009-11-04 00:00:00,45.93,1257285600,25.73,1257318000,0.21,boundary,28.31,0.8,1257318000boundary,48.773133,-116.524673,0.53,,0,0,,0,,1028.16,ID,1257259073,1257294238,45.93,1257285600,27.01,1257256800,1257235200,8.6,61,1.37
0,2009-11-05 00:00:00,45.11,1257372000,25.08,1257328800,0.2,boundary,28.41,0.74,1257404400boundary,48.773133,-116.524673,0.57,,0,0,,0,,1020.71,ID,1257345569,1257380545,46.66,1257372000,29.91,1257343200,1257321600,9.92,33,3.94
0,2009-11-06 00:00:00,46.76,1257458400,26.07,1257433200,0.43,boundary,32.83,0.78,1257490800boundary,48.773133,-116.524673,0.6,,0.002,0.0163,1257490800,0.57,rain,1009.29,ID,1257432065,1257466854,47.95,1257458400,30.17,1257433200,1257408000,9.72,149,2.19
0,2009-11-07 00:00:00,40.74,1257537600,32.74,1257577200,0.76,boundary,36.04,0.75,1257577200boundary,48.773133,-116.524673,0.64,,0.0037,0.0396,1257505200,0.68,rain,1005.41,ID,1257518562,1257553165,46.93,1257537600,38.05,1257577200,1257494400,9.33,202,9.79
0,2009-11-08 00:00:00,39.58,1257627600,30.5,1257606000,0.86,boundary,33.66,0.77,1257663600boundary,48.773133,-116.524673,0.68,,0.0005,0.0072,1257638400,0.35,rain,1011.07,ID,1257605057,1257639478,44.89,1257627600,36.98,1257606000,1257580800,9.15,190,8.62
0,2009-11-09 00:00:00,39.71,1257724800,31.28,1257692400,0.84,boundary,32.94,0.82,1257750000boundary,48.773133,-116.524673,0.72,,0.0015,0.0105,1257717600,0.51,rain,1018.17,ID,1257691553,1257725792,42.24,1257724800,35.33,1257750000,1257667200,9.17,185,4.89
0,2009-11-10 00:00:00,47.31,1257800400,29.08,1257775200,0.61,boundary,35.01,0.82,1257836400boundary,48.773133,-116.524673,0.75,,0.0029,0.0304,1257789600,0.65,rain,1018.72,ID,1257778049,1257812108,48.28,1257800400,33.81,1257778800,1257753600,8.99,91,2.35
0,2009-11-11 00:00:00,42.26,1257886800,31.79,1257922800,0.54,boundary,34.22,0.76,1257922800boundary,48.773133,-116.524673,0.79,,0.0013,0.0145,1257854400,0.55,rain,1018.77,ID,1257864544,1257898427,46.83,1257886800,34.36,1257922800,1257840000,9.41,183,5.95
0,2009-11-12 00:00:00,40.1,1257973200,28.62,1258009200,0.6,boundary,31.45,0.85,1258009200boundary,48.773133,-116.524673,0.83,,0.0002,0.0022,1257948000,0.06,rain,1015.21,ID,1257951040,1257984747,43.75,1257973200,28.62,1258009200,1257926400,8.92,203,2.13
0,2009-11-13 00:00:00,35.5,1258059600,27.14,1258027200,0.69,boundary,26.63,0.86,1258095600boundary,48.773133,-116.524673,0.87,0.61,0.0033,0.041,1258056000,0.69,snow,1013.63,ID,1258037534,1258071069,37.93,1258059600,27.14,1258027200,1258012800,6.88,233,0.98
0,2009-11-14 00:00:00,30.53,1258142400,25.33,1258120800,0.93,boundary,27.95,0.87,1258182000boundary,48.773133,-116.524673,0.9,,0.0037,0.031,1258153200,0.65,rain,1010.25,ID,1258124029,1258157393,35.65,1258142400,28.65,1258099200,1258099200,7.9,182,4.1
0,2009-11-15 00:00:00,29.56,1258243200,21.67,1258268400,0.82,boundary,26.36,0.87,1258268400boundary,48.773133,-116.524673,0.94,0.037,0.0002,0.0015,1258192800,0.03,snow,1021.55,ID,1258210523,1258243719,34.09,1258243200,27.07,1258257600,1258185600,8.68,194,3.89
0,2009-11-16 00:00:00,33.9,1258329600,20.78,1258275600,0.92,boundary,27.64,0.84,1258354800boundary,48.773133,-116.524673,0.97,,0,0,,0,,1025.6,ID,1258297016,1258330047,38,1258329600,27.49,1258275600,1258272000,9.2,152,3.64
0,2009-11-17 00:00:00,39.54,1258430400,29.68,1258380000,0.8,boundary,31.97,0.79,1258441200boundary,48.773133,-116.524673,0.01,,0.0003,0.0045,1258416000,0.18,rain,1016.89,ID,1258383509,1258416378,41.94,1258430400,34.1,1258362000,1258358400,9.29,153,4.73
0,2009-11-18 00:00:00,42.18,1258484400,33.16,1258524000,0.81,boundary,34.37,0.74,1258527600boundary,48.773133,-116.524673,0.04,,0.0006,0.0038,1258498800,0.14,rain,1007.58,ID,1258470002,1258502710,46.65,1258484400,38.8,1258452000,1258444800,9.59,184,6.8
0,2009-11-19 00:00:00,39.07,1258588800,28.88,1258610400,0.57,boundary,29.74,0.76,1258614000boundary,48.773133,-116.524673,0.07,,0.0001,0.003,1258531200,0.1,rain,1017.5,ID,1258556494,1258589045,43.07,1258588800,32.05,1258610400,1258531200,9.77,181,5.85
0,2009-11-20 00:00:00,36.99,1258671600,30.36,1258639200,0.84,boundary,32.57,0.87,1258700400boundary,48.773133,-116.524673,0.1,,0.0059,0.0218,1258650000,0.61,rain,1016.53,ID,1258642984,1258675383,39.21,1258671600,32.37,1258617600,1258617600,8.01,134,2.91
0,2009-11-21 00:00:00,39.65,1258754400,29.12,1258729200,0.62,boundary,34.25,0.88,1258786800boundary,48.773133,-116.524673,0.13,,0.0013,0.0112,1258772400,0.52,rain,1003.9,ID,1258729475,1258761722,41.48,1258754400,34.22,1258732800,1258704000,9.15,125,1.73
0,2009-11-22 00:00:00,32.61,1258840800,28.75,1258819200,0.76,boundary,30.69,0.78,1258873200boundary,48.773133,-116.524673,0.16,,0.0003,0.0037,1258848000,0.14,rain,1011.13,ID,1258815964,1258848064,39.85,1258840800,35.03,1258848000,1258790400,9.39,189,8.43
0,2009-11-23 00:00:00,37.13,1258934400,27.44,1258912800,0.91,boundary,30.81,0.89,1258959600boundary,48.773133,-116.524673,0.19,,0.0097,0.0416,1258902000,0.69,rain,1010.45,ID,1258902452,1258934409,37.13,1258934400,31.71,1258905600,1258876800,6.81,148,2.45
0,2009-11-24 00:00:00,35.86,1259010000,26.51,1258970400,0.88,boundary,32.41,0.86,1259046000boundary,48.773133,-116.524673,0.22,,0.0001,0.0015,1258966800,0.03,rain,1026.63,ID,1258988940,1259020756,40.11,1259010000,33.02,1258974000,1258963200,9.56,181,5.33
0,2009-11-25 00:00:00,43.65,1259092800,33.64,1259049600,0.93,boundary,36.24,0.9,1259132400boundary,48.773133,-116.524673,0.25,,0.0014,0.0087,1259067600,0.46,rain,1028.37,ID,1259075426,1259107105,43.65,1259092800,34.52,1259078400,1259049600,8.17,113,1.19
0,2009-11-26 00:00:00,43.87,1259179200,35.15,1259215200,0.76,boundary,37.97,0.93,1259218800boundary,48.773133,-116.524673,0.28,,0.0001,0.0031,1259193600,0.1,rain,1025.95,ID,1259161911,1259193457,43.87,1259179200,37.11,1259218800,1259136000,7.58,79,1.95
0,2009-11-27 00:00:00,38.04,1259265600,33.85,1259240400,0.8,boundary,36.47,0.92,1259305200boundary,48.773133,-116.524673,0.31,,0.0025,0.0171,1259283600,0.58,rain,1016.64,ID,1259248395,1259279811,41.24,1259265600,36.26,1259236800,1259222400,7.27,138,2.18
0,2009-11-28 00:00:00,38.47,1259359200,30.45,1259384400,0.62,boundary,33.86,0.88,1259391600boundary,48.773133,-116.524673,0.34,,0.0116,0.0531,1259319600,0.72,rain,1016.22,ID,1259334877,1259366169,42.26,1259359200,30.45,1259384400,1259308800,7.78,319,2.57
0,2009-11-29 00:00:00,33.41,1259452800,25.96,1259406000,0.76,boundary,28.16,0.89,1259478000boundary,48.773133,-116.524673,0.38,,0.0001,0.0014,1259449200,0.03,rain,1026.3,ID,1259421359,1259452528,36.97,1259452800,25.96,1259406000,1259395200,8.33,175,3.02
0,2009-11-30 00:00:00,38.75,1259528400,29.89,1259488800,0.84,boundary,33.73,0.88,1259564400boundary,48.773133,-116.524673,0.41,,0,0,,0,,1027.02,ID,1259507838,1259538891,42.69,1259528400,33.05,1259499600,1259481600,9.28,173,4.39
0,2009-12-01 00:00:00,36.31,1259618400,29.92,1259582400,0.71,boundary,33.92,0.86,1259650800boundary,48.773133,-116.524673,0.44,,0.0002,0.0044,1259625600,0.18,rain,1018.96,ID,1259594317,1259625256,41.67,1259618400,34.93,1259647200,1259568000,8.87,183,4.56
0,2009-12-02 00:00:00,28.9,1259701200,20.82,1259737200,0.18,boundary,21.03,0.72,1259737200boundary,48.773133,-116.524673,0.48,,0,0,,0,,1025.43,ID,1259680793,1259711624,34.61,1259701200,20.82,1259737200,1259654400,9.65,358,4.11
0,2009-12-03 00:00:00,21.63,1259787600,10.18,1259766000,0.06,boundary,14.56,0.75,1259823600boundary,48.773133,-116.524673,0.52,,0,0,,0,,1029.87,ID,1259767268,1259797995,28.4,1259787600,16.94,1259823600,1259740800,9.96,19,4.3
0,2009-12-04 00:00:00,25.44,1259874000,3.72,1259852400,0.23,boundary,12.61,0.77,1259910000boundary,48.773133,-116.524673,0.55,0.019,0.0001,0.0014,1259884800,0.03,snow,1031.52,ID,1259853741,1259884369,25.44,1259874000,12.78,1259852400,1259827200,9.93,49,2.66
0,2009-12-05 00:00:00,17.78,1259971200,12.1,1259913600,0.76,boundary,16.6,0.85,1259996400boundary,48.773133,-116.524673,0.59,0.018,0.0001,0.0014,1259964000,0.03,snow,1021.53,ID,1259940213,1259970746,25.19,1259971200,16,1259931600,1259913600,8.47,229,1.12
0,2009-12-06 00:00:00,21.05,1260046800,7.63,1260057600,0.71,boundary,16.75,0.76,1260082800boundary,48.773133,-116.524673,0.63,,0,0,,0,,1026.52,ID,1260026682,1260057125,27.93,1260046800,19.89,1260018000,1260000000,9.31,32,5.15
0,2009-12-07 00:00:00,11.6,1260086400,-5.73,1260165600,0.52,boundary,-2.05,0.44,1260169200boundary,48.773133,-116.524673,0.66,,0,0,,0,,1027.71,ID,1260113149,1260143507,22.93,1260086400,9.22,1260169200,1260086400,9.67,52,11.47
0,2009-12-08 00:00:00,4.74,1260223200,-10.13,1260198000,0.06,boundary,-8.65,0.46,1260255600boundary,48.773133,-116.524673,0.7,,0,0,,0,,1022.61,ID,1260199615,1260229893,14.87,1260223200,2.68,1260255600,1260172800,10,36,7.77
0,2009-12-09 00:00:00,6.83,1260309600,-11.56,1260277200,0.2,boundary,-5.88,0.61,1260342000boundary,48.773133,-116.524673,0.74,,0,0,,0,,1024.57,ID,1260286078,1260316281,13.22,1260309600,-2,1260284400,1260259200,9.99,19,2.03
0,2009-12-10 00:00:00,15.15,1260403200,-2.52,1260378000,0.8,boundary,0.67,0.68,1260428400boundary,48.773133,-116.524673,0.78,0.027,0.0001,0.0014,1260367200,0.03,snow,1025.57,ID,1260372539,1260402672,15.15,1260403200,4.61,1260370800,1260345600,9.37,205,3.59
0,2009-12-11 00:00:00,19.26,1260489600,3.8,1260439200,0.71,boundary,4.3,0.66,1260514800boundary,48.773133,-116.524673,0.81,,0,0,,0,,1021.93,ID,1260458998,1260489067,19.26,1260489600,8.77,1260453600,1260432000,9.76,180,2.33
0,2009-12-12 00:00:00,24.6,1260568800,10.91,1260543600,0.26,boundary,7.66,0.69,1260601200boundary,48.773133,-116.524673,0.85,0.04,0.0001,0.0028,1260576000,0.09,snow,1013.68,ID,1260545455,1260575464,24.6,1260568800,10.91,1260543600,1260518400,9.65,150,0.72
0,2009-12-13 00:00:00,16.54,1260655200,11.98,1260640800,0.75,boundary,12.71,0.79,1260687600boundary,48.773133,-116.524673,0.88,0.414,0.0012,0.0056,1260655200,0.25,snow,1007.87,ID,1260631909,1260661864,21.97,1260655200,13.82,1260622800,1260604800,8.33,66,2.15
0,2009-12-14 00:00:00,14.51,1260748800,8.52,1260759600,0.97,boundary,13.33,0.8,1260774000boundary,48.773133,-116.524673,0.92,0.026,0.0001,0.0015,1260774000,0.03,snow,1009.09,ID,1260718361,1260748267,20.17,1260748800,16.63,1260720000,1260691200,8.19,157,1.84
0,2009-12-15 00:00:00,14.33,1260835200,4.2,1260810000,0.89,boundary,11.7,0.8,1260860400boundary,48.773133,-116.524673,0.95,0.634,0.0015,0.0106,1260835200,0.51,snow,1020.62,ID,1260804810,1260834674,19.67,1260835200,11.56,1260806400,1260777600,7.28,20,4.17
0,2009-12-16 00:00:00,27,1260921600,6.11,1260867600,0.99,boundary,18.47,0.92,1260946800boundary,48.773133,-116.524673,0.98,5.322,0.0141,0.0407,1260874800,0.69,snow,1018.21,ID,1260891257,1260921083,27,1260921600,16.69,1260889200,1260864000,3.26,54,3.44
