,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,51.05,1254441600,22.77,1254402000,0.31,butte,23.16,0.58,1254376800butte,43.685101,-113.177631,0.42,,0.0003,0.0018,1254420000,0.04,rain,1024.79,ID,1254403911,1254446102,51.05,1254441600,29.24,1254402000,1254376800,9.99,222,5.33
0,2009-10-02 00:00:00,52.43,1254517200,26.95,1254488400,0.17,butte,24.64,0.59,1254463200butte,43.685101,-113.177631,0.45,,0,0,,0,,1018.39,ID,1254490380,1254532393,52.43,1254517200,26.95,1254488400,1254463200,9.97,350,0.27
0,2009-10-03 00:00:00,53.96,1254607200,23.84,1254574800,0.39,butte,27.8,0.63,1254549600butte,43.685101,-113.177631,0.48,,0.0014,0.0226,1254614400,0.61,rain,1007.06,ID,1254576850,1254618684,53.96,1254607200,28.56,1254574800,1254549600,9.86,42,3.29
0,2009-10-04 00:00:00,39.02,1254639600,33.18,1254718800,0.91,butte,32.05,0.78,1254636000butte,43.685101,-113.177631,0.52,,0.0149,0.0377,1254672000,0.68,rain,1001.28,ID,1254663320,1254704977,41.68,1254639600,33.18,1254718800,1254636000,8.01,351,1.49
0,2009-10-05 00:00:00,43.81,1254787200,29.6,1254747600,0.81,butte,29.23,0.8,1254722400butte,43.685101,-113.177631,0.55,,0.0087,0.022,1254754800,0.61,rain,1013.16,ID,1254749790,1254791269,45.04,1254787200,31.96,1254805200,1254722400,7.68,316,1.61
0,2009-10-06 00:00:00,45.9,1254873600,23.57,1254830400,0.31,butte,26.92,0.74,1254808800butte,43.685101,-113.177631,0.58,,0.0002,0.0012,1254866400,0.02,rain,1022.22,ID,1254836261,1254877562,47.31,1254873600,27.09,1254834000,1254808800,9.73,221,2.42
0,2009-10-07 00:00:00,46.92,1254952800,27.2,1254924000,0.31,butte,27.82,0.7,1254895200butte,43.685101,-113.177631,0.62,,0.0002,0.0021,1254970800,0.05,rain,1016.29,ID,1254922732,1254963856,48.47,1254952800,27.2,1254924000,1254895200,9.56,277,1.84
0,2009-10-08 00:00:00,43.51,1255042800,25.1,1255006800,0.43,butte,25.2,0.62,1254981600butte,43.685101,-113.177631,0.65,,0,0,,0,,1016.78,ID,1255009203,1255050150,47.59,1255042800,28.89,1255010400,1254981600,9.81,292,2.26
0,2009-10-09 00:00:00,40.54,1255118400,28.42,1255150800,0.6,butte,24.85,0.58,1255068000butte,43.685101,-113.177631,0.69,,0.0007,0.0053,1255114800,0.23,rain,1016.67,ID,1255095674,1255136445,45.82,1255118400,31.31,1255150800,1255068000,9.72,266,4.87
0,2009-10-10 00:00:00,36.9,1255212000,17.82,1255179600,0.43,butte,16.62,0.57,1255154400butte,43.685101,-113.177631,0.73,,0,0,,0,,1017.84,ID,1255182146,1255222741,40.98,1255212000,22.14,1255183200,1255154400,10,288,2.71
0,2009-10-11 00:00:00,47.71,1255305600,19.59,1255269600,0.49,butte,16.88,0.56,1255240800butte,43.685101,-113.177631,0.76,,0,0,,0,,1010.14,ID,1255268618,1255309037,49.65,1255305600,23.89,1255269600,1255240800,9.93,259,3.22
0,2009-10-12 00:00:00,55.71,1255392000,20.43,1255334400,0.37,butte,20.18,0.53,1255327200butte,43.685101,-113.177631,0.8,,0,0,,0,,1008.21,ID,1255355091,1255395334,55.71,1255392000,24.6,1255341600,1255327200,10,61,1.22
0,2009-10-13 00:00:00,60.07,1255467600,36.9,1255442400,0.53,butte,30.8,0.52,1255413600butte,43.685101,-113.177631,0.84,,0.0029,0.0476,1255496400,0.71,rain,1003.33,ID,1255441564,1255481632,60.07,1255467600,39.78,1255442400,1255413600,9.79,175,7.12
0,2009-10-14 00:00:00,57.03,1255554000,38.91,1255525200,0.63,butte,38.68,0.67,1255500000butte,43.685101,-113.177631,0.88,,0.0104,0.0653,1255503600,0.74,rain,1009.13,ID,1255528037,1255567931,57.03,1255554000,44.31,1255525200,1255500000,9.63,206,9.02
0,2009-10-15 00:00:00,59.79,1255651200,36.92,1255615200,0.45,butte,38.39,0.7,1255586400butte,43.685101,-113.177631,0.91,,0.0007,0.011,1255586400,0.52,rain,1022.21,ID,1255614511,1255654230,59.79,1255651200,41.23,1255615200,1255586400,9.89,230,4.65
0,2009-10-16 00:00:00,64.5,1255737600,36.22,1255698000,0.08,butte,36.32,0.68,1255672800butte,43.685101,-113.177631,0.95,,0,0,,0,,1026.3,ID,1255700985,1255740531,64.5,1255737600,36.22,1255698000,1255672800,9.89,111,0.39
0,2009-10-17 00:00:00,67.78,1255816800,31.76,1255780800,0.02,butte,35.7,0.62,1255759200butte,43.685101,-113.177631,0.98,,0,0,,0,,1021.17,ID,1255787459,1255826832,67.78,1255816800,35.7,1255788000,1255759200,9.89,81,1.3
0,2009-10-18 00:00:00,66.98,1255899600,44.43,1255874400,0.17,butte,36.7,0.55,1255845600butte,43.685101,-113.177631,0.03,,0,0.0008,1255910400,0,,1011.96,ID,1255873934,1255913134,66.98,1255899600,44.43,1255874400,1255845600,9.86,234,2.42
0,2009-10-19 00:00:00,51.89,1255978800,38.32,1256014800,0.66,butte,40.66,0.76,1255932000butte,43.685101,-113.177631,0.06,,0.0081,0.0254,1255953600,0.63,rain,1007.95,ID,1255960409,1255999438,51.89,1255978800,42.17,1256014800,1255932000,9.58,228,5.93
0,2009-10-20 00:00:00,46.19,1256076000,34.23,1256101200,0.74,butte,35.22,0.75,1256018400butte,43.685101,-113.177631,0.09,,0.0004,0.0023,1256043600,0.06,rain,1015.32,ID,1256046885,1256085742,48.85,1256076000,37.49,1256101200,1256018400,9.82,262,3.78
0,2009-10-21 00:00:00,50.54,1256169600,28.26,1256122800,0.35,butte,32.25,0.75,1256104800butte,43.685101,-113.177631,0.12,,0,0,,0,,1020.41,ID,1256133361,1256172047,50.54,1256169600,30.89,1256133600,1256104800,8.98,233,1.43
0,2009-10-22 00:00:00,53.34,1256245200,36.17,1256274000,0.56,butte,34.69,0.7,1256191200butte,43.685101,-113.177631,0.15,,0,0,,0,,1018.97,ID,1256219837,1256258354,53.34,1256245200,38.63,1256216400,1256191200,9.87,234,4.24
0,2009-10-23 00:00:00,54.69,1256331600,32.34,1256306400,0.5,butte,33.94,0.7,1256277600butte,43.685101,-113.177631,0.18,,0.0017,0.021,1256353200,0.6,rain,1017.79,ID,1256306314,1256344661,54.69,1256331600,36.24,1256306400,1256277600,9.78,226,6.24
0,2009-10-24 00:00:00,44.48,1256421600,31.38,1256446800,0.45,butte,30.63,0.63,1256364000butte,43.685101,-113.177631,0.21,,0,0,,0,,1014.63,ID,1256392791,1256430970,49.34,1256421600,35.58,1256446800,1256364000,9.71,257,8.6
0,2009-10-25 00:00:00,43.92,1256515200,20.81,1256479200,0.07,butte,19.73,0.56,1256450400butte,43.685101,-113.177631,0.24,,0,0,,0,,1024.62,ID,1256479268,1256517280,49.13,1256515200,24.72,1256479200,1256450400,9.95,242,2.57
0,2009-10-26 00:00:00,50.89,1256594400,28.46,1256601600,0.65,butte,23.62,0.51,1256536800butte,43.685101,-113.177631,0.27,,0.0009,0.0103,1256616000,0.51,rain,1016.47,ID,1256565746,1256603591,50.89,1256594400,32.41,1256540400,1256536800,9.92,197,6.06
0,2009-10-27 00:00:00,29.86,1256623200,19.91,1256652000,0.61,butte,23.03,0.67,1256623200butte,43.685101,-113.177631,0.3,,0.0009,0.0046,1256644800,0.19,rain,1007.61,ID,1256652223,1256689904,39.01,1256623200,28.69,1256698800,1256623200,9.46,266,9.41
0,2009-10-28 00:00:00,32,1256763600,18.96,1256734800,0.49,butte,17.02,0.57,1256709600butte,43.685101,-113.177631,0.33,,0,0,,0,,1013.88,ID,1256738702,1256776217,38.86,1256763600,25.51,1256792400,1256709600,9.95,326,7.32
0,2009-10-29 00:00:00,40.49,1256860800,10.31,1256824800,0.33,butte,16.47,0.64,1256796000butte,43.685101,-113.177631,0.36,0.037,0.0002,0.0013,1256878800,0.02,snow,1019.29,ID,1256825180,1256862532,44.19,1256860800,17.5,1256824800,1256796000,9.86,234,6.48
0,2009-10-30 00:00:00,53.08,1256947200,19.89,1256886000,0.71,butte,30.65,0.77,1256882400butte,43.685101,-113.177631,0.39,,0.0004,0.0026,1256889600,0.08,rain,1019.88,ID,1256911659,1256948849,53.08,1256947200,29.15,1256882400,1256882400,9.07,233,8.16
0,2009-10-31 00:00:00,56.25,1257026400,30.59,1256990400,0.47,butte,32.99,0.67,1256968800butte,43.685101,-113.177631,0.43,,0.0001,0.0014,1257001200,0.03,rain,1021.2,ID,1256998138,1257035167,56.25,1257026400,35.5,1256986800,1256968800,9.74,203,6.02
0,2009-11-01 00:00:00,52.61,1257109200,30.56,1257141600,0.33,butte,31.87,0.65,1257055200butte,43.685101,-113.177631,0.46,,0,0,,0,,1021.87,ID,1257084617,1257121486,52.61,1257109200,35.83,1257141600,1257055200,9.99,226,6.46
0,2009-11-02 00:00:00,47.12,1257199200,24.76,1257159600,0.04,butte,25.92,0.67,1257145200butte,43.685101,-113.177631,0.49,,0.0001,0.0021,1257181200,0.06,rain,1027.35,ID,1257171096,1257207807,48.73,1257199200,26.22,1257170400,1257145200,9.84,233,1.92
0,2009-11-03 00:00:00,53.36,1257292800,22.92,1257256800,0.03,butte,25.4,0.65,1257231600butte,43.685101,-113.177631,0.53,,0,0,,0,,1026.15,ID,1257257575,1257294129,53.36,1257292800,26.43,1257256800,1257231600,9.86,270,1.14
0,2009-11-04 00:00:00,58.83,1257372000,17.84,1257339600,0.04,butte,23.8,0.57,1257318000butte,43.685101,-113.177631,0.57,,0,0,,0,,1023.05,ID,1257344055,1257380453,58.83,1257372000,26.24,1257343200,1257318000,9.91,39,5.22
0,2009-11-05 00:00:00,62.2,1257454800,26.69,1257415200,0.15,butte,25.24,0.51,1257404400butte,43.685101,-113.177631,0.6,,0,0,,0,,1015.93,ID,1257430535,1257466779,62.2,1257454800,31.06,1257426000,1257404400,9.9,193,1.12
0,2009-11-06 00:00:00,51.13,1257541200,30.35,1257573600,0.38,butte,28,0.53,1257490800butte,43.685101,-113.177631,0.64,,0.0015,0.0132,1257559200,0.54,rain,1011.02,ID,1257517014,1257553106,51.13,1257541200,36.78,1257573600,1257490800,9.87,225,9.45
0,2009-11-07 00:00:00,39.55,1257627600,28.83,1257660000,0.65,butte,27.32,0.67,1257577200butte,43.685101,-113.177631,0.68,,0,0,,0,,1014.88,ID,1257603494,1257639435,45.32,1257627600,34.15,1257602400,1257577200,9.92,218,6.53
0,2009-11-08 00:00:00,41.82,1257717600,22.66,1257688800,0.19,butte,20.53,0.58,1257663600butte,43.685101,-113.177631,0.72,,0,0,,0,,1020.5,ID,1257689974,1257725765,45.22,1257717600,25.56,1257746400,1257663600,10,211,3.55
0,2009-11-09 00:00:00,49.19,1257804000,12.08,1257771600,0.08,butte,17.15,0.55,1257750000butte,43.685101,-113.177631,0.75,,0,0,,0,,1023.53,ID,1257776453,1257812097,49.19,1257804000,20.43,1257775200,1257750000,10,53,2.51
0,2009-11-10 00:00:00,50.73,1257886800,31.76,1257850800,0.44,butte,22.58,0.51,1257836400butte,43.685101,-113.177631,0.79,,0.0001,0.0014,1257897600,0.03,rain,1021.1,ID,1257862933,1257898431,50.73,1257886800,31.76,1257850800,1257836400,9.97,201,3.2
0,2009-11-11 00:00:00,46.78,1257973200,23.89,1257984000,0.57,butte,28.06,0.67,1257922800butte,43.685101,-113.177631,0.83,,0.0014,0.0069,1257994800,0.33,rain,1015.14,ID,1257949412,1257984767,48.13,1257973200,30.15,1257937200,1257922800,9.87,224,1.1
0,2009-11-12 00:00:00,35.96,1258009200,17.02,1258081200,0.59,butte,26.02,0.76,1258009200butte,43.685101,-113.177631,0.86,,0.0022,0.0057,1258009200,0.26,rain,1007.59,ID,1258035892,1258071105,38.88,1258009200,23.57,1258092000,1258009200,9.31,221,7.41
0,2009-11-13 00:00:00,25.93,1258149600,9.34,1258120800,0.46,butte,16.05,0.73,1258095600butte,43.685101,-113.177631,0.9,,0,0,,0,,1013.07,ID,1258122371,1258157444,31.44,1258149600,18.25,1258106400,1258095600,9.93,217,3.83
0,2009-11-14 00:00:00,20.75,1258232400,7.04,1258264800,0.77,butte,17.27,0.76,1258182000butte,43.685101,-113.177631,0.93,0.459,0.0015,0.0137,1258207200,0.55,snow,1018.21,ID,1258208850,1258243785,27.65,1258232400,16.95,1258264800,1258182000,8.24,241,4.87
0,2009-11-15 00:00:00,28.53,1258329600,2.92,1258293600,0.27,butte,11.66,0.72,1258268400butte,43.685101,-113.177631,0.97,,0,0,,0,,1031.72,ID,1258295328,1258330129,32.96,1258329600,13.25,1258293600,1258268400,9.76,219,2.58
