,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,54.44,1254441600,22.96,1254402000,0.1,camas,21.62,0.52,1254376800camas,43.463396,-114.804427,0.42,,0,0,,0,,1025.35,ID,1254404297,1254446497,54.44,1254441600,27.88,1254402000,1254376800,9.97,263,3.02
0,2009-10-02 00:00:00,55.79,1254524400,29.53,1254488400,0.2,camas,24.37,0.54,1254463200camas,43.463396,-114.804427,0.45,,0.0003,0.0067,1254528000,0.32,rain,1017.67,ID,1254490765,1254532788,55.79,1254524400,29.53,1254488400,1254463200,9.97,93,0.43
0,2009-10-03 00:00:00,51.63,1254600000,28.35,1254574800,0.58,camas,28.75,0.63,1254549600camas,43.463396,-114.804427,0.48,,0.0024,0.0193,1254614400,0.59,rain,1006.36,ID,1254577234,1254619081,51.63,1254600000,32.87,1254571200,1254549600,9.75,352,3.13
0,2009-10-04 00:00:00,41.93,1254700800,30.42,1254672000,0.97,camas,33.77,0.86,1254636000camas,43.463396,-114.804427,0.52,,0.0185,0.036,1254657600,0.67,rain,1002.18,ID,1254663704,1254705374,41.93,1254700800,35.37,1254718800,1254636000,6.99,298,2.94
0,2009-10-05 00:00:00,47.65,1254787200,31.34,1254751200,0.72,camas,31.22,0.78,1254722400camas,43.463396,-114.804427,0.55,,0.0053,0.017,1254751200,0.58,rain,1013.59,ID,1254750173,1254791667,47.65,1254787200,33.98,1254805200,1254722400,8.49,48,1.16
0,2009-10-06 00:00:00,51.31,1254873600,27.38,1254837600,0.12,camas,28.72,0.74,1254808800camas,43.463396,-114.804427,0.58,,0,0,,0,,1022.2,ID,1254836643,1254877961,51.31,1254873600,27.38,1254837600,1254808800,9.85,178,0.56
0,2009-10-07 00:00:00,52.54,1254956400,28.83,1254924000,0.13,camas,29.9,0.7,1254895200camas,43.463396,-114.804427,0.62,,0,0,,0,,1016.14,ID,1254923113,1254964255,52.54,1254956400,28.83,1254924000,1254895200,9.56,275,1.38
0,2009-10-08 00:00:00,52.31,1255042800,28.63,1255006800,0.25,camas,26.97,0.6,1254981600camas,43.463396,-114.804427,0.65,,0,0,,0,,1017.18,ID,1255009584,1255050550,52.31,1255042800,31.11,1255010400,1254981600,9.81,287,3.91
0,2009-10-09 00:00:00,51.19,1255125600,32.02,1255150800,0.3,camas,25.7,0.54,1255068000camas,43.463396,-114.804427,0.69,,0,0,,0,,1017.52,ID,1255096054,1255136846,51.19,1255125600,35.32,1255082400,1255068000,9.99,287,6.74
