,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,47.96,1254441600,23.11,1254402000,0.54,clark,23.95,0.63,1254376800clark,44.290218,-112.354613,0.42,,0.0004,0.0028,1254420000,0.09,rain,1024.52,ID,1254403727,1254445890,47.96,1254441600,29.92,1254394800,1254376800,9.92,213,5.74
0,2009-10-02 00:00:00,50.03,1254528000,24.85,1254488400,0.22,clark,24.11,0.62,1254463200clark,44.290218,-112.354613,0.45,,0,0,,0,,1019.28,ID,1254490199,1254532180,50.03,1254528000,24.85,1254488400,1254463200,9.96,199,1.18
0,2009-10-03 00:00:00,52.35,1254607200,24.27,1254564000,0.37,clark,26.22,0.63,1254549600clark,44.290218,-112.354613,0.48,,0.001,0.0149,1254614400,0.56,rain,1009.09,ID,1254576670,1254618469,52.35,1254607200,26.19,1254574800,1254549600,9.92,38,3.59
0,2009-10-04 00:00:00,36.75,1254643200,29.48,1254711600,0.9,clark,29.68,0.69,1254636000clark,44.290218,-112.354613,0.52,,0.0067,0.0175,1254693600,0.58,rain,1003.44,ID,1254663142,1254704760,42.39,1254643200,32.99,1254718800,1254636000,9.09,30,7.84
0,2009-10-05 00:00:00,40.2,1254787200,25.84,1254747600,0.85,clark,27.95,0.78,1254722400clark,44.290218,-112.354613,0.55,,0.0073,0.0234,1254762000,0.62,rain,1013.61,ID,1254749614,1254791050,43.61,1254787200,30.75,1254805200,1254722400,7.2,2,4.03
0,2009-10-06 00:00:00,40.48,1254866400,18.7,1254826800,0.32,clark,24.79,0.72,1254808800clark,44.290218,-112.354613,0.58,,0.0004,0.0021,1254866400,0.05,rain,1021.96,ID,1254836086,1254877342,45.22,1254866400,23.86,1254826800,1254808800,9.59,220,3.71
0,2009-10-07 00:00:00,40.33,1254960000,22.09,1254913200,0.54,clark,26.73,0.72,1254895200clark,44.290218,-112.354613,0.62,,0.001,0.0091,1254970800,0.49,rain,1016.54,ID,1254922559,1254963633,44.02,1254960000,27.03,1254920400,1254895200,9.38,299,1.63
0,2009-10-08 00:00:00,40.58,1255042800,19.56,1255010400,0.52,clark,22.78,0.63,1254981600clark,44.290218,-112.354613,0.65,,0.0006,0.0046,1255064400,0.19,rain,1017.74,ID,1255009032,1255049926,45.24,1255042800,25.4,1255010400,1254981600,9.79,332,1.68
0,2009-10-09 00:00:00,32.69,1255118400,19.45,1255150800,0.81,clark,22.13,0.65,1255068000clark,44.290218,-112.354613,0.69,0.401,0.0021,0.0091,1255114800,0.48,snow,1018.76,ID,1255095506,1255136219,37.75,1255118400,25.78,1255150800,1255068000,8.74,358,2.46
0,2009-10-10 00:00:00,31.63,1255212000,9.87,1255179600,0.58,clark,13.21,0.6,1255154400clark,44.290218,-112.354613,0.73,0.023,0.0001,0.0009,1255204800,0.01,snow,1020.54,ID,1255181979,1255222513,36.01,1255212000,17.19,1255183200,1255154400,9.85,19,1.96
0,2009-10-11 00:00:00,43.28,1255305600,20.02,1255269600,0.57,clark,14.77,0.61,1255240800clark,44.290218,-112.354613,0.76,0.284,0.0009,0.0028,1255266000,0.09,snow,1012.35,ID,1255268454,1255308807,44.75,1255305600,20.02,1255269600,1255240800,9.69,255,0.41
0,2009-10-12 00:00:00,51.91,1255392000,15.07,1255341600,0.37,clark,18.46,0.57,1255327200clark,44.290218,-112.354613,0.8,0.043,0.0001,0.0015,1255327200,0.03,snow,1010.65,ID,1255354928,1255395102,51.91,1255392000,21.67,1255330800,1255327200,10,187,0.97
0,2009-10-13 00:00:00,55.45,1255467600,32.22,1255413600,0.55,clark,29.78,0.58,1255413600clark,44.290218,-112.354613,0.84,,0.0016,0.0131,1255496400,0.54,rain,1006,ID,1255441403,1255481398,55.45,1255467600,35.42,1255442400,1255413600,9.85,177,5.48
0,2009-10-14 00:00:00,55.24,1255557600,36.56,1255528800,0.69,clark,37.25,0.69,1255500000clark,44.290218,-112.354613,0.88,,0.0077,0.0398,1255503600,0.68,rain,1009.45,ID,1255527878,1255567695,55.24,1255557600,42.06,1255528800,1255500000,9.6,206,9.08
0,2009-10-15 00:00:00,57.38,1255651200,35.2,1255615200,0.54,clark,36.62,0.7,1255586400clark,44.290218,-112.354613,0.91,,0.0011,0.0086,1255597200,0.45,rain,1022.1,ID,1255614354,1255653993,57.38,1255651200,40.69,1255615200,1255586400,9.87,223,6.03
0,2009-10-16 00:00:00,62.81,1255737600,29.3,1255687200,0.12,clark,34.15,0.69,1255672800clark,44.290218,-112.354613,0.95,,0,0,,0,,1027.04,ID,1255700830,1255740291,62.81,1255737600,33.5,1255694400,1255672800,9.89,204,1.05
