,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,50.5,1254441600,22.76,1254405600,0.33,custer,22.48,0.57,1254376800custer,44.273351,-114.252267,0.42,,0,0,,0,,1024.81,ID,1254404183,1254446346,50.5,1254441600,28.14,1254405600,1254376800,9.99,230,2.69
0,2009-10-02 00:00:00,53.46,1254524400,27.06,1254484800,0.25,custer,24.75,0.6,1254463200custer,44.273351,-114.252267,0.45,,0,0,,0,,1017.96,ID,1254490654,1254532635,53.46,1254524400,27.06,1254484800,1254463200,9.96,304,0.26
0,2009-10-03 00:00:00,51.05,1254607200,22.8,1254574800,0.56,custer,27.92,0.65,1254549600custer,44.273351,-114.252267,0.48,,0.0016,0.0107,1254614400,0.51,rain,1007.34,ID,1254577125,1254618925,51.05,1254607200,28.41,1254574800,1254549600,9.89,14,3.18
0,2009-10-04 00:00:00,38.38,1254636000,29.87,1254711600,0.94,custer,31.55,0.76,1254636000custer,44.273351,-114.252267,0.52,,0.0124,0.0267,1254654000,0.64,rain,1002.35,ID,1254663597,1254705215,41.47,1254636000,34.71,1254718800,1254636000,8.75,1,6.42
0,2009-10-05 00:00:00,47.72,1254787200,28.15,1254751200,0.75,custer,27.28,0.68,1254722400custer,44.273351,-114.252267,0.55,,0.0034,0.0102,1254751200,0.51,rain,1013.14,ID,1254750069,1254791506,47.72,1254787200,32.61,1254805200,1254722400,9.24,359,3.95
0,2009-10-06 00:00:00,50.04,1254870000,24.63,1254837600,0.15,custer,25.42,0.68,1254808800custer,44.273351,-114.252267,0.58,,0,0,,0,,1021.49,ID,1254836542,1254877797,50.04,1254870000,24.63,1254837600,1254808800,9.92,190,1.55
0,2009-10-07 00:00:00,50.56,1254952800,28.01,1254924000,0.43,custer,27.15,0.65,1254895200custer,44.273351,-114.252267,0.62,,0.0002,0.0014,1254949200,0.03,rain,1015.3,ID,1254923014,1254964089,50.56,1254952800,28.01,1254924000,1254895200,9.67,335,1.83
0,2009-10-08 00:00:00,50.82,1255042800,24.3,1255006800,0.41,custer,23.54,0.57,1254981600custer,44.273351,-114.252267,0.65,,0,0,,0,,1016.62,ID,1255009487,1255050381,50.82,1255042800,27.67,1255010400,1254981600,9.94,312,3.24
0,2009-10-09 00:00:00,39.45,1255122000,25.97,1255150800,0.59,custer,22.25,0.52,1255068000custer,44.273351,-114.252267,0.69,,0.0005,0.0021,1255104000,0.05,rain,1016.73,ID,1255095961,1255136675,45.16,1255122000,31.23,1255150800,1255068000,9.83,316,5.19
