,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,55.99,1254441600,22.55,1254402000,0.12,elmore,22.17,0.51,1254376800elmore,43.394698,-115.471205,0.42,,0,0,,0,,1025.57,ID,1254404455,1254446658,55.99,1254441600,27.73,1254402000,1254376800,9.96,278,3.17
0,2009-10-02 00:00:00,57.34,1254524400,25.65,1254488400,0.21,elmore,24.44,0.52,1254463200elmore,43.394698,-115.471205,0.45,,0.0004,0.0102,1254528000,0.51,rain,1017.67,ID,1254490924,1254532950,57.34,1254524400,30.39,1254481200,1254463200,9.94,113,1.69
0,2009-10-03 00:00:00,51.19,1254603600,31.58,1254574800,0.6,elmore,29.28,0.63,1254549600elmore,43.394698,-115.471205,0.48,,0.0031,0.0251,1254614400,0.63,rain,1006.42,ID,1254577393,1254619243,51.19,1254603600,34.81,1254571200,1254549600,9.79,341,3.23
0,2009-10-04 00:00:00,43.94,1254700800,31.41,1254672000,0.97,elmore,34.82,0.86,1254636000elmore,43.394698,-115.471205,0.52,,0.0197,0.0339,1254639600,0.67,rain,1002.44,ID,1254663862,1254705536,43.94,1254700800,37.26,1254718800,1254636000,7.73,299,4.22
0,2009-10-05 00:00:00,49.14,1254787200,32.42,1254751200,0.7,elmore,32.62,0.78,1254722400elmore,43.394698,-115.471205,0.55,,0.0055,0.0189,1254751200,0.59,rain,1013.85,ID,1254750331,1254791829,49.14,1254787200,35.16,1254805200,1254722400,9.07,75,1.35
0,2009-10-06 00:00:00,53.14,1254873600,26.74,1254826800,0.12,elmore,30.22,0.74,1254808800elmore,43.394698,-115.471205,0.58,,0,0,,0,,1022.37,ID,1254836801,1254878123,53.14,1254873600,28.56,1254837600,1254808800,9.78,139,1.86
0,2009-10-07 00:00:00,54.15,1254956400,27.6,1254909600,0.12,elmore,30.84,0.69,1254895200elmore,43.394698,-115.471205,0.62,,0,0,,0,,1016.37,ID,1254923270,1254964418,54.15,1254956400,29.81,1254924000,1254895200,9.49,277,0.5
0,2009-10-08 00:00:00,54.55,1255042800,30.82,1255003200,0.18,elmore,27.36,0.58,1254981600elmore,43.394698,-115.471205,0.65,,0,0,,0,,1017.42,ID,1255009741,1255050713,54.55,1255042800,32.16,1255010400,1254981600,9.78,296,4.42
0,2009-10-09 00:00:00,52.38,1255125600,32.58,1255150800,0.28,elmore,26.58,0.54,1255068000elmore,43.394698,-115.471205,0.69,,0,0,,0,,1017.99,ID,1255096211,1255137009,52.38,1255125600,35.86,1255093200,1255068000,9.99,296,7.16
0,2009-10-10 00:00:00,40.53,1255219200,20.91,1255179600,0.5,elmore,17.85,0.5,1255154400elmore,43.394698,-115.471205,0.73,,0,0,,0,,1018.44,ID,1255182682,1255223305,43.98,1255219200,27.22,1255183200,1255154400,10,288,4.81
0,2009-10-11 00:00:00,53.12,1255305600,21.01,1255262400,0.43,elmore,16.97,0.49,1255240800elmore,43.394698,-115.471205,0.76,,0,0,,0,,1010.79,ID,1255269154,1255309603,53.12,1255305600,26.87,1255269600,1255240800,10,286,4.39
0,2009-10-12 00:00:00,54.53,1255388400,26.18,1255334400,0.3,elmore,22.1,0.52,1255327200elmore,43.394698,-115.471205,0.8,,0.0007,0.0163,1255392000,0.57,rain,1007.34,ID,1255355625,1255395901,54.53,1255388400,26.18,1255334400,1255327200,9.87,104,3.22
0,2009-10-13 00:00:00,59.05,1255464000,36.66,1255431600,0.54,elmore,33.48,0.6,1255413600elmore,43.394698,-115.471205,0.84,,0.0073,0.0317,1255496400,0.66,rain,1002.07,ID,1255442097,1255482199,59.05,1255464000,37.35,1255442400,1255413600,9.28,148,5.85
0,2009-10-14 00:00:00,61.05,1255557600,42.65,1255500000,0.68,elmore,41.75,0.68,1255500000elmore,43.394698,-115.471205,0.88,,0.0101,0.0299,1255503600,0.65,rain,1008.38,ID,1255528570,1255568499,61.05,1255557600,47.45,1255528800,1255500000,9.75,170,5.75
0,2009-10-15 00:00:00,64.04,1255651200,43.99,1255611600,0.45,elmore,42.65,0.75,1255586400elmore,43.394698,-115.471205,0.91,,0.003,0.0177,1255590000,0.58,rain,1022.58,ID,1255615043,1255654799,64.04,1255651200,43.99,1255611600,1255586400,9.6,293,0.93
0,2009-10-16 00:00:00,67.64,1255737600,37.28,1255698000,0.1,elmore,40.44,0.71,1255672800elmore,43.394698,-115.471205,0.95,,0,0,,0,,1025.46,ID,1255701516,1255741101,67.64,1255737600,39.51,1255701600,1255672800,9.54,103,2.38
0,2009-10-17 00:00:00,70.78,1255816800,35.92,1255788000,0.05,elmore,39.47,0.62,1255759200elmore,43.394698,-115.471205,0.98,,0,0,,0,,1018.73,ID,1255787989,1255827403,70.78,1255816800,40.86,1255784400,1255759200,9.57,135,6.12
0,2009-10-18 00:00:00,65.94,1255903200,44.24,1255874400,0.19,elmore,41.18,0.6,1255845600elmore,43.394698,-115.471205,0.03,,0.0003,0.0063,1255928400,0.29,rain,1011.61,ID,1255874463,1255913706,65.94,1255903200,46.39,1255874400,1255845600,9.85,276,2.95
0,2009-10-19 00:00:00,54.1,1255989600,39.98,1256014800,0.6,elmore,43.71,0.79,1255932000elmore,43.394698,-115.471205,0.06,,0.0099,0.0265,1255950000,0.63,rain,1009.13,ID,1255960938,1256000010,54.1,1255989600,43.88,1256014800,1255932000,9.59,292,3.55
0,2009-10-20 00:00:00,54.7,1256076000,33.96,1256047200,0.33,elmore,36.95,0.74,1256018400elmore,43.394698,-115.471205,0.09,,0.0001,0.0016,1256083200,0.03,rain,1016.46,ID,1256047412,1256086315,54.7,1256076000,39.21,1256047200,1256018400,9.85,296,6
0,2009-10-21 00:00:00,54.78,1256169600,30.34,1256133600,0.33,elmore,35.11,0.76,1256104800elmore,43.394698,-115.471205,0.12,,0.0001,0.0013,1256187600,0.02,rain,1020.11,ID,1256133887,1256172622,54.78,1256169600,33.67,1256130000,1256104800,9.82,142,1.95
0,2009-10-22 00:00:00,56.87,1256248800,36.4,1256220000,0.41,elmore,37.1,0.71,1256191200elmore,43.394698,-115.471205,0.15,,0.0008,0.0184,1256256000,0.59,rain,1019.71,ID,1256220363,1256258929,56.87,1256248800,40.07,1256220000,1256191200,9.53,284,4.79
0,2009-10-23 00:00:00,58.6,1256335200,37.17,1256306400,0.55,elmore,37.58,0.7,1256277600elmore,43.394698,-115.471205,0.18,,0.0025,0.0243,1256346000,0.62,rain,1018.41,ID,1256306838,1256345237,58.6,1256335200,40.77,1256306400,1256277600,9.81,249,3.26
0,2009-10-24 00:00:00,50.89,1256418000,31.5,1256446800,0.2,elmore,33.09,0.66,1256364000elmore,43.394698,-115.471205,0.21,,0.0003,0.0019,1256385600,0.05,rain,1017.21,ID,1256393315,1256431547,50.89,1256418000,36.96,1256446800,1256364000,9.36,289,8.19
0,2009-10-25 00:00:00,53.64,1256515200,21.73,1256475600,0.11,elmore,23.95,0.6,1256450400elmore,43.394698,-115.471205,0.24,,0,0,,0,,1024.88,ID,1256479791,1256517858,53.64,1256515200,26.18,1256479200,1256450400,9.81,264,2.21
0,2009-10-26 00:00:00,56.16,1256594400,28.51,1256601600,0.69,elmore,28.7,0.55,1256536800elmore,43.394698,-115.471205,0.27,,0.003,0.0201,1256612400,0.6,rain,1015.8,ID,1256566268,1256604170,56.16,1256594400,37.27,1256601600,1256536800,9.83,146,2.95
0,2009-10-27 00:00:00,31.12,1256677200,21.48,1256706000,0.42,elmore,24.83,0.67,1256623200elmore,43.394698,-115.471205,0.3,,0.0008,0.0087,1256644800,0.46,rain,1011.38,ID,1256652745,1256690483,39.7,1256677200,30.59,1256706000,1256623200,9.77,299,12.18
0,2009-10-28 00:00:00,32.41,1256763600,18.03,1256734800,0.26,elmore,19.52,0.59,1256709600elmore,43.394698,-115.471205,0.33,0.034,0.0002,0.0045,1256774400,0.18,snow,1016.78,ID,1256739222,1256776798,41.11,1256763600,28.7,1256738400,1256709600,9.82,310,12.91
0,2009-10-29 00:00:00,45.35,1256860800,15.64,1256814000,0.45,elmore,21.28,0.7,1256796000elmore,43.394698,-115.471205,0.36,0.196,0.0011,0.0071,1256857200,0.35,snow,1020.83,ID,1256825699,1256863114,48.58,1256860800,22.15,1256824800,1256796000,8.84,274,4.62
0,2009-10-30 00:00:00,54.47,1256947200,26.03,1256907600,0.59,elmore,34.12,0.8,1256882400elmore,43.394698,-115.471205,0.39,,0.0005,0.0035,1256882400,0.12,rain,1021.46,ID,1256912177,1256949431,54.47,1256947200,32.37,1256882400,1256882400,8.81,268,6.23
0,2009-10-31 00:00:00,57.52,1257026400,32.24,1256979600,0.42,elmore,36.43,0.73,1256968800elmore,43.394698,-115.471205,0.43,,0.0002,0.0023,1257001200,0.06,rain,1020.98,ID,1256998655,1257035750,57.52,1257026400,36.6,1256990400,1256968800,8.78,166,2.14
0,2009-11-01 00:00:00,53.41,1257109200,31.69,1257141600,0.32,elmore,33.61,0.69,1257055200elmore,43.394698,-115.471205,0.46,,0,0,,0,,1023.42,ID,1257085134,1257122070,53.41,1257109200,35.79,1257141600,1257055200,9.29,289,5.02
0,2009-11-02 00:00:00,51.36,1257202800,24.77,1257163200,0.04,elmore,27.71,0.68,1257145200elmore,43.394698,-115.471205,0.49,,0,0,,0,,1027.61,ID,1257171612,1257208392,51.36,1257202800,27.74,1257170400,1257145200,9.9,212,0.56
0,2009-11-03 00:00:00,55.34,1257292800,23.86,1257253200,0.07,elmore,27.81,0.69,1257231600elmore,43.394698,-115.471205,0.53,,0,0,,0,,1026.07,ID,1257258091,1257294715,55.34,1257292800,27.29,1257256800,1257231600,9.45,279,0.83
0,2009-11-04 00:00:00,59.91,1257372000,22.55,1257336000,0.05,elmore,27.31,0.6,1257318000elmore,43.394698,-115.471205,0.57,,0,0,,0,,1021.03,ID,1257344569,1257381040,59.91,1257372000,29.55,1257343200,1257318000,9.85,76,4.63
0,2009-11-05 00:00:00,60.11,1257458400,28.2,1257426000,0.2,elmore,29.03,0.56,1257404400elmore,43.394698,-115.471205,0.6,,0,0,,0,,1014.29,ID,1257431048,1257467366,60.11,1257458400,33.54,1257426000,1257404400,9.7,107,3.19
0,2009-11-06 00:00:00,47.7,1257537600,33.22,1257573600,0.6,elmore,32.36,0.6,1257490800elmore,43.394698,-115.471205,0.64,,0.0026,0.0085,1257559200,0.44,rain,1011.85,ID,1257517527,1257553694,49.65,1257537600,37.56,1257573600,1257490800,9.83,206,4.49
0,2009-11-07 00:00:00,44.89,1257627600,32.68,1257656400,0.61,elmore,29.83,0.69,1257577200elmore,43.394698,-115.471205,0.68,,0.0001,0.0011,1257609600,0.02,rain,1015.92,ID,1257604006,1257640024,48.03,1257627600,35.05,1257602400,1257577200,9.89,183,2.17
0,2009-11-08 00:00:00,46.39,1257724800,24.69,1257746400,0.1,elmore,23.96,0.61,1257663600elmore,43.394698,-115.471205,0.72,,0.0001,0.0012,1257674400,0.02,rain,1020.36,ID,1257690485,1257726355,49.12,1257724800,29.41,1257746400,1257663600,9.99,135,3.74
0,2009-11-09 00:00:00,52.78,1257804000,18.01,1257775200,0.22,elmore,21.37,0.54,1257750000elmore,43.394698,-115.471205,0.75,,0,0,,0,,1021.26,ID,1257776964,1257812688,52.78,1257804000,26.17,1257775200,1257750000,10,122,5.87
0,2009-11-10 00:00:00,53.04,1257890400,35.38,1257865200,0.51,elmore,27.87,0.55,1257836400elmore,43.394698,-115.471205,0.79,,0.0006,0.0119,1257897600,0.53,rain,1020.19,ID,1257863442,1257899023,53.04,1257890400,38.03,1257861600,1257836400,9.92,138,3.66
0,2009-11-11 00:00:00,46.17,1257969600,32.62,1257940800,0.6,elmore,32.36,0.73,1257922800elmore,43.394698,-115.471205,0.83,,0.0041,0.0168,1258005600,0.58,rain,1014.99,ID,1257949921,1257985359,47.13,1257969600,35.55,1257984000,1257922800,9.2,106,1.69
0,2009-11-12 00:00:00,36.49,1258009200,22.68,1258092000,0.63,elmore,28.43,0.79,1258009200elmore,43.394698,-115.471205,0.86,,0.0046,0.0187,1258023600,0.59,rain,1009.93,ID,1258036400,1258071698,38.72,1258009200,26.89,1258092000,1258009200,8.79,287,4.92
0,2009-11-13 00:00:00,32.8,1258146000,16.86,1258117200,0.58,elmore,21.53,0.75,1258095600elmore,43.394698,-115.471205,0.9,0.115,0.0005,0.0083,1258178400,0.43,snow,1013.43,ID,1258122878,1258158038,35.94,1258146000,23.85,1258113600,1258095600,9.48,237,1.71
0,2009-11-14 00:00:00,23.7,1258232400,10.86,1258264800,0.42,elmore,19.82,0.73,1258182000elmore,43.394698,-115.471205,0.93,0.368,0.0014,0.0054,1258207200,0.24,snow,1019.64,ID,1258209356,1258244380,32.7,1258232400,19.89,1258264800,1258182000,9.09,292,7.23
0,2009-11-15 00:00:00,32.1,1258329600,8.07,1258293600,0.09,elmore,14.13,0.67,1258268400elmore,43.394698,-115.471205,0.97,,0,0,,0,,1031.38,ID,1258295834,1258330724,38.44,1258329600,14.39,1258293600,1258268400,9.77,137,3.85
0,2009-11-16 00:00:00,45.58,1258416000,12.57,1258380000,0.08,elmore,18.19,0.61,1258354800elmore,43.394698,-115.471205,0.99,,0,0,,0,,1026.98,ID,1258382311,1258417070,49.64,1258416000,19.73,1258372800,1258354800,9.97,122,8.66
0,2009-11-17 00:00:00,54.75,1258495200,21.1,1258444800,0.09,elmore,20.78,0.49,1258441200elmore,43.394698,-115.471205,0.04,,0,0,,0,,1016.41,ID,1258468788,1258503418,54.75,1258495200,29.22,1258444800,1258441200,9.98,124,8.08
0,2009-11-18 00:00:00,39.7,1258581600,22.18,1258606800,0.36,elmore,24.74,0.64,1258527600elmore,43.394698,-115.471205,0.07,,0.0009,0.0059,1258545600,0.27,rain,1017.12,ID,1258555265,1258589768,43.95,1258581600,24.14,1258610400,1258527600,9.81,286,4.52
0,2009-11-19 00:00:00,40.69,1258675200,13.48,1258635600,0.09,elmore,19.14,0.63,1258614000elmore,43.394698,-115.471205,0.1,,0,0,,0,,1023.2,ID,1258641741,1258676120,45.58,1258675200,21.33,1258628400,1258614000,9.92,114,7.55
0,2009-11-20 00:00:00,40.96,1258754400,21.04,1258714800,0.22,elmore,20.81,0.52,1258700400elmore,43.394698,-115.471205,0.13,,0.0008,0.0068,1258783200,0.33,rain,1010.94,ID,1258728216,1258762475,46.7,1258754400,29.97,1258704000,1258700400,9.46,132,7.4
0,2009-11-21 00:00:00,32.53,1258786800,17.58,1258858800,0.46,elmore,20.13,0.61,1258786800elmore,43.394698,-115.471205,0.16,,0.0011,0.0088,1258790400,0.46,rain,1015.13,ID,1258814691,1258848831,38.56,1258786800,24.02,1258858800,1258786800,9.69,262,5.43
0,2009-11-22 00:00:00,28.08,1258930800,15.43,1258891200,0.62,elmore,21.2,0.72,1258873200elmore,43.394698,-115.471205,0.19,0.895,0.0043,0.0275,1258909200,0.64,snow,1016.37,ID,1258901166,1258935190,34.58,1258930800,25.14,1258873200,1258873200,9.05,158,2.76
0,2009-11-23 00:00:00,36.36,1259013600,15.43,1258988400,0.16,elmore,19.37,0.71,1258959600elmore,43.394698,-115.471205,0.22,,0,0,,0,,1030.3,ID,1258987639,1259021550,36.36,1259013600,21.65,1258988400,1258959600,9.95,247,2.55
0,2009-11-24 00:00:00,32.69,1259103600,12.46,1259064000,0.19,elmore,19.31,0.76,1259046000elmore,43.394698,-115.471205,0.25,,0,0,,0,,1033.59,ID,1259074112,1259107913,36.4,1259103600,19.36,1259064000,1259046000,9.93,87,3.84
0,2009-11-25 00:00:00,36.25,1259190000,13.17,1259161200,0.04,elmore,21.07,0.77,1259132400elmore,43.394698,-115.471205,0.28,,0,0,,0,,1032.87,ID,1259160584,1259194278,39.57,1259190000,19.99,1259150400,1259132400,9.58,86,4.52
0,2009-11-26 00:00:00,36.77,1259272800,11.51,1259244000,0.05,elmore,23.21,0.75,1259218800elmore,43.394698,-115.471205,0.31,0.017,0.0001,0.0022,1259280000,0.06,snow,1024.63,ID,1259247055,1259280645,42.69,1259272800,21.61,1259244000,1259218800,9.12,81,4.49
0,2009-11-27 00:00:00,34.97,1259359200,23.51,1259308800,0.46,elmore,27,0.77,1259305200elmore,43.394698,-115.471205,0.34,,0.0028,0.0087,1259377200,0.46,rain,1016.01,ID,1259333525,1259367015,38.1,1259359200,29.7,1259305200,1259305200,8.67,311,2
0,2009-11-28 00:00:00,32.36,1259445600,17.11,1259416800,0.19,elmore,22.97,0.73,1259391600elmore,43.394698,-115.471205,0.37,,0,0,,0,,1022.79,ID,1259419994,1259453387,38.97,1259445600,24.5,1259474400,1259391600,9.32,301,7.6
0,2009-11-29 00:00:00,38.54,1259532000,13.74,1259499600,0.04,elmore,20.02,0.75,1259478000elmore,43.394698,-115.471205,0.41,,0,0,,0,,1029.31,ID,1259506462,1259539761,38.54,1259532000,19.6,1259506800,1259478000,9.81,153,1.27
0,2009-11-30 00:00:00,35.63,1259618400,14.15,1259575200,0.08,elmore,20.93,0.77,1259564400elmore,43.394698,-115.471205,0.44,,0,0,,0,,1026.49,ID,1259592929,1259626138,39.52,1259618400,19.31,1259593200,1259564400,9.52,116,2.18
