,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,52.84,1254441600,25.03,1254402000,0.36,franklin,24.5,0.6,1254376800franklin,42.173609,-111.822965,0.42,,0.0003,0.0016,1254420000,0.03,rain,1024.7,ID,1254403552,1254445810,52.84,1254441600,30.32,1254402000,1254376800,9.95,244,4.97
0,2009-10-02 00:00:00,57.56,1254528000,24.32,1254481200,0.13,franklin,24.34,0.57,1254463200franklin,42.173609,-111.822965,0.45,,0,0,,0,,1018.75,ID,1254490017,1254532106,57.56,1254528000,27.23,1254488400,1254463200,9.99,138,1.16
0,2009-10-03 00:00:00,57.36,1254607200,30.09,1254578400,0.51,franklin,28.75,0.57,1254549600franklin,42.173609,-111.822965,0.48,,0.0015,0.0338,1254614400,0.67,rain,1006.22,ID,1254576482,1254618402,57.36,1254607200,33.14,1254574800,1254549600,9.89,90,2.99
0,2009-10-04 00:00:00,50.26,1254639600,33.77,1254718800,0.83,franklin,33.63,0.69,1254636000franklin,42.173609,-111.822965,0.52,,0.0121,0.0448,1254693600,0.7,rain,998.9,ID,1254662947,1254704699,50.26,1254639600,36.47,1254718800,1254636000,8.62,106,4.52
0,2009-10-05 00:00:00,43.55,1254787200,29.05,1254740400,0.76,franklin,30.79,0.82,1254722400franklin,42.173609,-111.822965,0.55,,0.0042,0.0142,1254751200,0.55,rain,1012.66,ID,1254749413,1254790996,46.54,1254787200,31.53,1254751200,1254722400,8.04,279,1.49
0,2009-10-06 00:00:00,50.97,1254873600,27.21,1254834000,0.27,franklin,27.69,0.73,1254808800franklin,42.173609,-111.822965,0.58,,0.0002,0.0011,1254862800,0.02,rain,1021.68,ID,1254835879,1254877294,50.97,1254873600,27.21,1254834000,1254808800,9.3,246,1.54
0,2009-10-07 00:00:00,51.71,1254956400,21.9,1254920400,0.15,franklin,27.34,0.67,1254895200franklin,42.173609,-111.822965,0.62,,0,0.001,1254970800,0,,1016.2,ID,1254922345,1254963592,51.71,1254956400,25.83,1254920400,1254895200,9.75,258,1.46
0,2009-10-08 00:00:00,43.82,1255039200,30.35,1255003200,0.55,franklin,27.79,0.64,1254981600franklin,42.173609,-111.822965,0.65,,0.0001,0.0018,1255042800,0.04,rain,1015.95,ID,1255008812,1255049891,47.51,1255039200,32.93,1255010400,1254981600,9.87,268,1.72
0,2009-10-09 00:00:00,45.23,1255118400,28.68,1255075200,0.66,franklin,28.2,0.61,1255068000franklin,42.173609,-111.822965,0.69,,0.0003,0.0044,1255114800,0.18,rain,1016.71,ID,1255095279,1255136191,49.62,1255118400,34.1,1255082400,1255068000,9.43,248,4.13
0,2009-10-10 00:00:00,39.07,1255212000,28.32,1255186800,0.63,franklin,23.74,0.6,1255154400franklin,42.173609,-111.822965,0.73,,0,0,,0,,1016.29,ID,1255181746,1255222491,44.15,1255212000,28.47,1255179600,1255154400,9.78,284,2.98
0,2009-10-11 00:00:00,56.15,1255305600,29.02,1255266000,0.75,franklin,29.4,0.68,1255240800franklin,42.173609,-111.822965,0.76,,0.001,0.0108,1255255200,0.51,rain,1008.4,ID,1255268213,1255308792,56.15,1255305600,33.89,1255269600,1255240800,9.48,249,2.43
0,2009-10-12 00:00:00,58.56,1255388400,29.27,1255338000,0.46,franklin,30.07,0.61,1255327200franklin,42.173609,-111.822965,0.8,,0,0,,0,,1007.43,ID,1255354682,1255395094,58.56,1255388400,31.72,1255356000,1255327200,9.86,177,3
0,2009-10-13 00:00:00,60.66,1255467600,39.66,1255442400,0.65,franklin,36.94,0.59,1255413600franklin,42.173609,-111.822965,0.84,,0.0015,0.0169,1255420800,0.58,rain,1005.12,ID,1255441150,1255481396,60.66,1255467600,44.63,1255435200,1255413600,9.94,178,10.11
0,2009-10-14 00:00:00,58.5,1255554000,41.22,1255507200,0.66,franklin,40.8,0.7,1255500000franklin,42.173609,-111.822965,0.88,,0.0091,0.0542,1255503600,0.72,rain,1011.1,ID,1255527619,1255567699,58.5,1255554000,45.83,1255525200,1255500000,9.56,199,8.66
0,2009-10-15 00:00:00,60.15,1255651200,37.28,1255611600,0.42,franklin,38.31,0.68,1255586400franklin,42.173609,-111.822965,0.91,,0.0001,0.0011,1255597200,0.02,rain,1022.02,ID,1255614088,1255654003,60.15,1255651200,41.46,1255611600,1255586400,9.92,232,3.84
0,2009-10-16 00:00:00,64.99,1255737600,32.32,1255698000,0.05,franklin,35.76,0.66,1255672800franklin,42.173609,-111.822965,0.95,,0,0,,0,,1025.91,ID,1255700557,1255740308,64.99,1255737600,34.92,1255698000,1255672800,9.94,184,0.25
0,2009-10-17 00:00:00,67.73,1255816800,31.8,1255788000,0.02,franklin,35.45,0.62,1255759200franklin,42.173609,-111.822965,0.98,,0,0,,0,,1022,ID,1255787027,1255826614,67.73,1255816800,35.33,1255788000,1255759200,9.9,131,2.24
0,2009-10-18 00:00:00,71.03,1255903200,41.25,1255874400,0.18,franklin,36.11,0.54,1255845600franklin,42.173609,-111.822965,0.03,,0,0,,0,,1013.13,ID,1255873497,1255912921,71.03,1255903200,41.77,1255867200,1255845600,9.85,175,3
0,2009-10-19 00:00:00,59.31,1255982400,42.2,1256014800,0.63,franklin,40.15,0.67,1255932000franklin,42.173609,-111.822965,0.06,,0.0066,0.0454,1256007600,0.7,rain,1007.29,ID,1255959968,1255999229,59.31,1255982400,44.38,1256014800,1255932000,9.62,235,4.19
0,2009-10-20 00:00:00,50.88,1256076000,38.73,1256043600,0.76,franklin,38.21,0.78,1256018400franklin,42.173609,-111.822965,0.09,,0.002,0.0119,1256022000,0.53,rain,1013.32,ID,1256046439,1256085538,50.88,1256076000,40.46,1256101200,1256018400,9.54,329,3.71
0,2009-10-21 00:00:00,52.39,1256162400,29.8,1256130000,0.3,franklin,33.12,0.73,1256104800franklin,42.173609,-111.822965,0.12,,0,0,,0,,1019.28,ID,1256132910,1256171848,52.39,1256162400,31.76,1256133600,1256104800,8.97,329,1.26
0,2009-10-22 00:00:00,54.89,1256248800,36.8,1256209200,0.59,franklin,34.21,0.67,1256191200franklin,42.173609,-111.822965,0.15,,0,0,,0,,1018.32,ID,1256219382,1256258159,54.89,1256248800,39.18,1256216400,1256191200,9.95,249,2.81
0,2009-10-23 00:00:00,54.45,1256331600,31.2,1256302800,0.59,franklin,33.88,0.69,1256277600franklin,42.173609,-111.822965,0.18,,0.0018,0.015,1256353200,0.56,rain,1018.21,ID,1256305854,1256344471,54.45,1256331600,35.05,1256302800,1256277600,9.88,221,4.72
0,2009-10-24 00:00:00,51.21,1256414400,31.21,1256446800,0.58,franklin,34.72,0.69,1256364000franklin,42.173609,-111.822965,0.21,,0.002,0.0195,1256364000,0.59,rain,1014.45,ID,1256392327,1256430784,51.21,1256414400,36.71,1256446800,1256364000,9.78,264,7.18
0,2009-10-25 00:00:00,42.53,1256515200,26.07,1256479200,0.06,franklin,20.1,0.57,1256450400franklin,42.173609,-111.822965,0.24,,0,0,,0,,1023.68,ID,1256478800,1256517098,47.58,1256515200,26.07,1256479200,1256450400,9.99,318,1.86
0,2009-10-26 00:00:00,44.97,1256590800,22.34,1256544000,0.49,franklin,19.71,0.5,1256536800franklin,42.173609,-111.822965,0.27,,0.0006,0.0149,1256601600,0.56,rain,1019.62,ID,1256565273,1256603414,49.82,1256590800,26.72,1256540400,1256536800,9.92,180,6.39
0,2009-10-27 00:00:00,37.58,1256623200,20.61,1256702400,0.74,franklin,24.6,0.7,1256623200franklin,42.173609,-111.822965,0.3,,0.0021,0.0076,1256673600,0.38,rain,1005.98,ID,1256651746,1256689731,44.13,1256623200,27.41,1256706000,1256623200,8.4,289,6.59
0,2009-10-28 00:00:00,31.35,1256763600,15.61,1256734800,0.54,franklin,18.16,0.6,1256709600franklin,42.173609,-111.822965,0.33,,0,0,,0,,1009.64,ID,1256738220,1256776049,39.5,1256763600,25.08,1256734800,1256709600,9.84,1,9.38
0,2009-10-29 00:00:00,34.58,1256860800,16.43,1256817600,0.44,franklin,16.42,0.61,1256796000franklin,42.173609,-111.822965,0.36,,0,0,,0,,1017.47,ID,1256824694,1256862368,39.26,1256860800,19.24,1256824800,1256796000,9.91,295,3.26
0,2009-10-30 00:00:00,51.8,1256947200,22.22,1256889600,0.86,franklin,28.73,0.75,1256882400franklin,42.173609,-111.822965,0.39,,0.0003,0.0016,1256889600,0.03,rain,1020.92,ID,1256911168,1256948689,51.8,1256947200,30.28,1256889600,1256882400,9.12,242,5.34
0,2009-10-31 00:00:00,54.74,1257026400,28.87,1256997600,0.4,franklin,32.54,0.68,1256968800franklin,42.173609,-111.822965,0.43,,0,0,,0,,1023.38,ID,1256997643,1257035011,54.74,1257026400,34.4,1256997600,1256968800,9.85,200,6.13
0,2009-11-01 00:00:00,56.18,1257112800,33.97,1257080400,0.37,franklin,31.9,0.62,1257055200franklin,42.173609,-111.822965,0.46,,0,0,,0,,1021.92,ID,1257084118,1257121335,56.18,1257112800,37.17,1257084000,1257055200,9.99,221,5.85
