,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,46.22,1254441600,23.01,1254402000,0.62,fremont,24.39,0.66,1254376800fremont,44.218091,-111.484429,0.42,,0.0007,0.0047,1254420000,0.19,rain,1024.11,ID,1254403517,1254445684,47.4,1254441600,29.9,1254394800,1254376800,9.88,223,7.15
0,2009-10-02 00:00:00,50.2,1254528000,24.03,1254488400,0.2,fremont,23.41,0.61,1254463200fremont,44.218091,-111.484429,0.45,,0,0,,0,,1019.48,ID,1254489988,1254531973,50.2,1254528000,24.03,1254488400,1254463200,9.99,193,1.57
0,2009-10-03 00:00:00,52.93,1254603600,24.12,1254564000,0.27,fremont,25.42,0.63,1254549600fremont,44.218091,-111.484429,0.48,,0.0008,0.0141,1254614400,0.55,rain,1009.64,ID,1254576459,1254618263,52.93,1254603600,25.01,1254574800,1254549600,9.91,50,4.13
0,2009-10-04 00:00:00,35.78,1254682800,28.61,1254715200,0.85,fremont,29.02,0.67,1254636000fremont,44.218091,-111.484429,0.52,,0.0054,0.0136,1254693600,0.55,rain,1003.98,ID,1254662930,1254704553,42.7,1254682800,32.57,1254718800,1254636000,8.86,45,9.21
0,2009-10-05 00:00:00,35.82,1254787200,25.48,1254747600,0.87,fremont,28.5,0.84,1254722400fremont,44.218091,-111.484429,0.55,1.679,0.0088,0.0295,1254762000,0.65,snow,1013.49,ID,1254749402,1254790844,41.58,1254787200,29.93,1254805200,1254722400,6.02,11,3.08
0,2009-10-06 00:00:00,36.62,1254866400,16.35,1254826800,0.35,fremont,24.41,0.75,1254808800fremont,44.218091,-111.484429,0.58,0.142,0.0008,0.0036,1254866400,0.13,snow,1021.83,ID,1254835875,1254877136,42.8,1254866400,22.92,1254826800,1254808800,9.47,228,5.21
0,2009-10-07 00:00:00,39.21,1254949200,20.18,1254913200,0.55,fremont,26.39,0.75,1254895200fremont,44.218091,-111.484429,0.62,,0.0017,0.0123,1254970800,0.53,rain,1017.02,ID,1254922347,1254963428,41.64,1254949200,25.3,1254920400,1254895200,8.99,293,1.84
0,2009-10-08 00:00:00,39.46,1255039200,18.1,1255010400,0.56,fremont,22.92,0.68,1254981600fremont,44.218091,-111.484429,0.65,,0.0006,0.0073,1255064400,0.36,rain,1018.19,ID,1255008820,1255049721,43.05,1255039200,24.02,1255010400,1254981600,9.61,322,0.97
0,2009-10-09 00:00:00,30.17,1255118400,15.55,1255150800,0.88,fremont,22.34,0.72,1255068000fremont,44.218091,-111.484429,0.69,0.556,0.0028,0.014,1255114800,0.55,snow,1019.55,ID,1255095293,1255136014,35.15,1255118400,23.32,1255150800,1255068000,8,17,1.52
0,2009-10-10 00:00:00,28.38,1255212000,9.35,1255179600,0.76,fremont,13.06,0.63,1255154400fremont,44.218091,-111.484429,0.73,0.04,0.0002,0.0016,1255204800,0.03,snow,1021.35,ID,1255181767,1255222308,33.91,1255212000,16.27,1255183200,1255154400,9.86,22,2.45
0,2009-10-11 00:00:00,40.82,1255305600,17.53,1255323600,0.75,fremont,16.59,0.66,1255240800fremont,44.218091,-111.484429,0.76,0.397,0.0013,0.0042,1255266000,0.16,snow,1012.72,ID,1255268241,1255308602,42.61,1255305600,22.14,1255269600,1255240800,9.27,63,0.24
