,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,48.36,1254355200,34.98,1254315600,0.71,idaho,32.65,0.71,1254376800idaho,45.849644,-115.467337,0.39,,0.0028,0.0174,1254294000,0.58,rain,1018.46,ID,1254318036,1254360316,49.9,1254355200,35.31,1254376800,1254294000,9.62,301,5.13
0,2009-10-02 00:00:00,51.86,1254434400,28.93,1254391200,0.46,idaho,29.42,0.66,1254463200idaho,45.849644,-115.467337,0.42,,0,0,,0,,1025.92,ID,1254404512,1254446600,51.86,1254434400,31.58,1254405600,1254380400,9.96,202,1.07
0,2009-10-03 00:00:00,52.98,1254524400,30.86,1254484800,0.59,idaho,32.08,0.68,1254549600idaho,45.849644,-115.467337,0.45,,0.0006,0.0057,1254517200,0.26,rain,1017.56,ID,1254490988,1254532884,52.98,1254524400,34.47,1254484800,1254466800,9.67,109,1.03
0,2009-10-04 00:00:00,52.52,1254607200,30.99,1254567600,0.69,idaho,35.28,0.75,1254636000idaho,45.849644,-115.467337,0.48,,0.0018,0.0082,1254607200,0.42,rain,1008.55,ID,1254577465,1254619168,52.52,1254607200,35.81,1254574800,1254553200,9.56,84,1.52
0,2009-10-05 00:00:00,51.73,1254690000,35.58,1254722400,0.58,idaho,31.32,0.59,1254722400idaho,45.849644,-115.467337,0.52,,0.0058,0.025,1254643200,0.63,rain,1006.38,ID,1254663942,1254705453,51.73,1254690000,39.82,1254722400,1254639600,9.4,43,6.56
0,2009-10-06 00:00:00,54.25,1254780000,30.4,1254733200,0.35,idaho,27.47,0.59,1254808800idaho,45.849644,-115.467337,0.55,,0.0003,0.0016,1254751200,0.03,rain,1016.25,ID,1254750419,1254791739,54.25,1254780000,34.06,1254751200,1254726000,9.81,8,2.89
0,2009-10-07 00:00:00,56.72,1254866400,25.62,1254826800,0.14,idaho,27.34,0.64,1254895200idaho,45.849644,-115.467337,0.58,,0,0,,0,,1021.28,ID,1254836897,1254878025,56.72,1254866400,26.43,1254837600,1254812400,9.88,288,0.79
0,2009-10-08 00:00:00,51.5,1254949200,28.17,1254920400,0.56,idaho,30.55,0.66,1254981600idaho,45.849644,-115.467337,0.62,,0,0,,0,,1016.71,ID,1254923374,1254964312,51.5,1254949200,33.58,1254924000,1254898800,9.53,355,1.99
0,2009-10-09 00:00:00,53.21,1255039200,25.83,1255006800,0.43,idaho,26.9,0.61,1255068000idaho,45.849644,-115.467337,0.65,,0.0001,0.0017,1255064400,0.04,rain,1019.58,ID,1255009853,1255050599,53.21,1255039200,28.37,1255010400,1254985200,9.78,315,2.29
0,2009-10-10 00:00:00,40.39,1255122000,28.48,1255143600,0.61,idaho,23.78,0.56,1255154400idaho,45.849644,-115.467337,0.69,,0.0001,0.0008,1255082400,0.01,rain,1021.32,ID,1255096331,1255136887,44.17,1255122000,29.12,1255154400,1255071600,9.16,1,3.38
0,2009-10-11 00:00:00,41.98,1255212000,11.51,1255168800,0.12,idaho,13.29,0.54,1255240800idaho,45.849644,-115.467337,0.73,0.034,0.0002,0.0045,1255204800,0.18,snow,1022.63,ID,1255182810,1255223176,41.98,1255212000,18.48,1255179600,1255158000,10,54,0.89
0,2009-10-12 00:00:00,42.67,1255305600,16.99,1255269600,0.22,idaho,11.27,0.53,1255327200idaho,45.849644,-115.467337,0.77,,0,0,,0,,1015.29,ID,1255269289,1255309465,42.67,1255305600,16.99,1255269600,1255244400,9.96,39,0.48
0,2009-10-13 00:00:00,45.37,1255392000,9.18,1255356000,0.36,idaho,16.34,0.54,1255413600idaho,45.849644,-115.467337,0.8,,0.0001,0.0034,1255392000,0.12,rain,1010.56,ID,1255355769,1255395755,48.52,1255392000,20.27,1255352400,1255330800,9.92,119,3.07
0,2009-10-14 00:00:00,54.43,1255467600,19.95,1255435200,0.46,idaho,28.77,0.63,1255500000idaho,45.849644,-115.467337,0.84,,0.0036,0.0192,1255482000,0.59,rain,1003.19,ID,1255442249,1255482046,54.43,1255467600,29.32,1255442400,1255417200,9.56,142,4.97
0,2009-10-15 00:00:00,54,1255564800,37.25,1255528800,0.77,idaho,41.39,0.84,1255586400idaho,45.849644,-115.467337,0.88,,0.0168,0.0831,1255575600,0.77,rain,1007.98,ID,1255528729,1255568338,54,1255564800,42.61,1255525200,1255503600,8.62,172,4.74
0,2009-10-16 00:00:00,60.49,1255651200,38.44,1255615200,0.58,idaho,42.77,0.85,1255672800idaho,45.849644,-115.467337,0.92,,0.002,0.0311,1255590000,0.65,rain,1023.27,ID,1255615210,1255654630,60.49,1255651200,41.32,1255615200,1255590000,8.94,247,0.15
0,2009-10-17 00:00:00,63.4,1255730400,36.77,1255705200,0.28,idaho,42.16,0.77,1255759200idaho,45.849644,-115.467337,0.95,,0,0,,0,,1025,ID,1255701691,1255740924,63.4,1255730400,40.89,1255701600,1255676400,9.46,113,3.35
