,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,56.49,1254441600,23.67,1254402000,0.03,jerome,22.01,0.5,1254376800jerome,42.691395,-114.262086,0.42,,0,0,,0,,1025.19,ID,1254404149,1254446384,56.49,1254441600,29.4,1254402000,1254376800,9.97,239,6.12
0,2009-10-02 00:00:00,57.79,1254524400,25.99,1254488400,0.09,jerome,24.43,0.51,1254463200jerome,42.691395,-114.262086,0.45,,0,0,,0,,1017.49,ID,1254490616,1254532678,57.79,1254524400,29.72,1254492000,1254463200,9.98,100,1.22
0,2009-10-03 00:00:00,59.61,1254607200,26.64,1254571200,0.39,jerome,29.04,0.59,1254549600jerome,42.691395,-114.262086,0.48,,0.001,0.0116,1254614400,0.52,rain,1005.33,ID,1254577082,1254618973,59.61,1254607200,33.52,1254571200,1254549600,9.66,53,4.6
0,2009-10-04 00:00:00,39.99,1254700800,27.18,1254697200,0.97,jerome,33.54,0.92,1254636000jerome,42.691395,-114.262086,0.52,,0.0177,0.0581,1254661200,0.73,rain,1002.13,ID,1254663549,1254705268,39.99,1254700800,33.72,1254668400,1254636000,5.15,232,5.65
0,2009-10-05 00:00:00,45.43,1254787200,29.03,1254751200,0.69,jerome,32.28,0.86,1254722400jerome,42.691395,-114.262086,0.55,,0.0027,0.0069,1254751200,0.33,rain,1014.36,ID,1254750016,1254791564,47.51,1254787200,32.77,1254805200,1254722400,9.16,130,1.29
0,2009-10-06 00:00:00,52.56,1254873600,25.38,1254837600,0.2,jerome,30.39,0.78,1254808800jerome,42.691395,-114.262086,0.58,,0,0,,0,,1022.77,ID,1254836484,1254877860,52.56,1254873600,29.48,1254834000,1254808800,9.94,182,2.4
0,2009-10-07 00:00:00,54.02,1254956400,25.79,1254909600,0.04,jerome,30.45,0.7,1254895200jerome,42.691395,-114.262086,0.62,,0,0,,0,,1016.45,ID,1254922952,1254964157,54.02,1254956400,29.88,1254924000,1254895200,9.59,224,3.34
0,2009-10-08 00:00:00,51.76,1255042800,33.98,1255010400,0.28,jerome,30.1,0.66,1254981600jerome,42.691395,-114.262086,0.65,,0,0,,0,,1017.2,ID,1255009420,1255050454,51.76,1255042800,33.98,1255010400,1254981600,9.63,254,4.42
0,2009-10-09 00:00:00,53.05,1255122000,30.99,1255096800,0.21,jerome,28.11,0.55,1255068000jerome,42.691395,-114.262086,0.69,,0,0,,0,,1017.52,ID,1255095888,1255136752,53.05,1255122000,36.83,1255082400,1255068000,9.96,250,10.99
0,2009-10-10 00:00:00,39.57,1255208400,20.89,1255183200,0.45,jerome,21.9,0.56,1255154400jerome,42.691395,-114.262086,0.73,,0,0,,0,,1017.64,ID,1255182357,1255223051,45.28,1255208400,28.55,1255183200,1255154400,10,252,6.86
0,2009-10-11 00:00:00,55.04,1255305600,26.48,1255266000,0.51,jerome,21.28,0.52,1255240800jerome,42.691395,-114.262086,0.76,,0,0,,0,,1009.98,ID,1255268826,1255309350,55.04,1255305600,31.28,1255269600,1255240800,9.98,247,5.79
0,2009-10-12 00:00:00,58.27,1255392000,21.74,1255356000,0.26,jerome,25.14,0.54,1255327200jerome,42.691395,-114.262086,0.8,,0.0001,0.0024,1255392000,0.07,rain,1006.97,ID,1255355296,1255395650,58.27,1255392000,28.69,1255334400,1255327200,9.98,62,5.91
0,2009-10-13 00:00:00,64.42,1255464000,40.32,1255428000,0.39,jerome,33.59,0.5,1255413600jerome,42.691395,-114.262086,0.84,,0.0043,0.0472,1255496400,0.7,rain,1001.96,ID,1255441766,1255481951,64.42,1255464000,44.05,1255431600,1255413600,9.72,156,7.39
0,2009-10-14 00:00:00,62.8,1255561200,43.48,1255521600,0.45,jerome,40.08,0.6,1255500000jerome,42.691395,-114.262086,0.88,,0.0043,0.0369,1255500000,0.68,rain,1009.2,ID,1255528236,1255568253,62.8,1255561200,48.09,1255525200,1255500000,9.92,202,7.46
0,2009-10-15 00:00:00,64.78,1255651200,41.59,1255611600,0.26,jerome,40.79,0.68,1255586400jerome,42.691395,-114.262086,0.91,,0.0004,0.0028,1255586400,0.09,rain,1022.44,ID,1255614707,1255654555,64.78,1255651200,44.71,1255615200,1255586400,9.95,239,3.68
0,2009-10-16 00:00:00,67.97,1255737600,36.54,1255698000,0.02,jerome,39,0.65,1255672800jerome,42.691395,-114.262086,0.95,,0,0,,0,,1025.16,ID,1255701178,1255740859,67.97,1255737600,40.07,1255701600,1255672800,9.99,89,3.5
0,2009-10-17 00:00:00,72.73,1255816800,36.24,1255784400,0.01,jerome,38.3,0.57,1255759200jerome,42.691395,-114.262086,0.98,,0,0,,0,,1019,ID,1255787649,1255827163,72.73,1255816800,41.16,1255784400,1255759200,9.86,73,6.49
