,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,55.81,1254355200,32.33,1254315600,0.48,latah,31.22,0.61,1254376800latah,46.81892,-116.730974,0.39,,0.0004,0.0037,1254333600,0.14,rain,1019.8,ID,1254318360,1254360598,55.81,1254355200,37.51,1254319200,1254294000,9.71,233,6.31
0,2009-10-02 00:00:00,56.17,1254434400,32.46,1254391200,0.41,latah,31.75,0.59,1254463200latah,46.81892,-116.730974,0.42,,0,0,,0,,1025,ID,1254404839,1254446878,56.17,1254434400,36.55,1254391200,1254380400,9.93,194,3.93
0,2009-10-03 00:00:00,52.22,1254520800,40.98,1254549600,0.71,latah,37.44,0.71,1254549600latah,46.81892,-116.730974,0.45,,0.0037,0.0169,1254517200,0.58,rain,1016.56,ID,1254491319,1254533159,52.22,1254520800,40.98,1254549600,1254466800,9.42,138,2.16
0,2009-10-04 00:00:00,55.93,1254614400,34.54,1254567600,0.69,latah,37.05,0.78,1254636000latah,46.81892,-116.730974,0.48,,0.0032,0.0168,1254625200,0.57,rain,1010.68,ID,1254577799,1254619441,55.93,1254614400,38.2,1254567600,1254553200,8.98,23,5.92
0,2009-10-05 00:00:00,57.85,1254690000,39.01,1254722400,0.26,latah,28.4,0.44,1254722400latah,46.81892,-116.730974,0.52,,0,0,,0,,1008.98,ID,1254664279,1254705722,57.85,1254690000,45.06,1254722400,1254639600,9.82,40,13.86
0,2009-10-06 00:00:00,58.6,1254787200,31.06,1254751200,0.01,latah,24.79,0.46,1254808800latah,46.81892,-116.730974,0.55,,0,0,,0,,1017.98,ID,1254750760,1254792005,58.6,1254787200,35.28,1254808800,1254726000,9.79,21,4.4
0,2009-10-07 00:00:00,60.37,1254866400,24.47,1254837600,0.11,latah,25.96,0.53,1254895200latah,46.81892,-116.730974,0.58,,0,0,,0,,1020.13,ID,1254837241,1254878288,60.37,1254866400,29.81,1254834000,1254812400,9.93,190,3.79
0,2009-10-08 00:00:00,57.21,1254949200,32.1,1254924000,0.28,latah,29.84,0.58,1254981600latah,46.81892,-116.730974,0.62,,0,0,,0,,1016.69,ID,1254923722,1254964571,57.21,1254949200,32.1,1254924000,1254898800,9.92,357,2.63
0,2009-10-09 00:00:00,55.62,1255042800,25.71,1254999600,0.29,latah,26.57,0.58,1255068000latah,46.81892,-116.730974,0.65,,0,0,,0,,1020.62,ID,1255010203,1255050855,55.62,1255042800,27.73,1255010400,1254985200,9.85,324,0.76
