,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,45.98,1254355200,31.66,1254315600,0.61,shoshone,31.27,0.71,1254376800shoshone,47.347694,-115.885092,0.39,,0.0012,0.0167,1254333600,0.57,rain,1017.76,ID,1254318168,1254360384,48.01,1254355200,34.82,1254319200,1254294000,8.59,230,4.11
0,2009-10-02 00:00:00,45.51,1254438000,29.06,1254394800,0.58,shoshone,30.25,0.66,1254463200shoshone,47.347694,-115.885092,0.42,,0,0,,0,,1024.02,ID,1254404650,1254446662,48.73,1254438000,33.31,1254405600,1254380400,9.77,207,4.49
0,2009-10-03 00:00:00,45.53,1254520800,36.61,1254492000,0.79,shoshone,35.2,0.76,1254549600shoshone,47.347694,-115.885092,0.45,,0.0043,0.0167,1254520800,0.57,rain,1015.38,ID,1254491131,1254532941,47.43,1254520800,37.26,1254549600,1254466800,8.68,147,2.74
0,2009-10-04 00:00:00,44.1,1254610800,31.14,1254571200,0.62,shoshone,34.29,0.78,1254636000shoshone,47.347694,-115.885092,0.48,,0.0019,0.0207,1254589200,0.6,rain,1009.99,ID,1254577613,1254619221,49.2,1254610800,35.07,1254564000,1254553200,8.14,33,8.33
0,2009-10-05 00:00:00,51.6,1254686400,31.56,1254722400,0.24,shoshone,25.14,0.47,1254722400shoshone,47.347694,-115.885092,0.52,,0,0,,0,,1009.6,ID,1254664095,1254705501,51.6,1254686400,38.65,1254722400,1254639600,9.98,42,14.72
0,2009-10-06 00:00:00,52.85,1254787200,25.11,1254751200,0.05,shoshone,22.99,0.5,1254808800shoshone,47.347694,-115.885092,0.55,,0,0,,0,,1017.28,ID,1254750577,1254791781,52.85,1254787200,31.58,1254751200,1254726000,9.91,21,5.02
0,2009-10-07 00:00:00,54.58,1254866400,23.94,1254837600,0.21,shoshone,24.52,0.55,1254895200shoshone,47.347694,-115.885092,0.58,,0,0,,0,,1018.12,ID,1254837060,1254878062,54.58,1254866400,29.35,1254837600,1254812400,9.97,204,3.62
0,2009-10-08 00:00:00,45.08,1254945600,27.99,1254981600,0.44,shoshone,28.22,0.64,1254981600shoshone,47.347694,-115.885092,0.62,,0,0,,0,,1015.52,ID,1254923543,1254964344,47.96,1254945600,32.52,1254981600,1254898800,9.98,16,3.89
0,2009-10-09 00:00:00,43.95,1255039200,20.44,1255003200,0.36,shoshone,24.89,0.66,1255068000shoshone,47.347694,-115.885092,0.65,,0.0001,0.0012,1255064400,0.02,rain,1020.54,ID,1255010027,1255050626,47.81,1255039200,25.22,1255010400,1254985200,9.35,32,0.53
0,2009-10-10 00:00:00,33.97,1255071600,14.19,1255154400,0.48,shoshone,18.55,0.61,1255154400shoshone,47.347694,-115.885092,0.69,,0,0,,0,,1024.81,ID,1255096510,1255136909,37.77,1255071600,21.59,1255154400,1255071600,8.26,37,7.81
0,2009-10-11 00:00:00,28.7,1255212000,7.61,1255179600,0.1,shoshone,10.7,0.57,1255240800shoshone,47.347694,-115.885092,0.73,0.183,0.001,0.0241,1255204800,0.62,snow,1025.66,ID,1255182994,1255223192,35.12,1255212000,15.13,1255179600,1255158000,10,65,5.34
0,2009-10-12 00:00:00,28.68,1255305600,4.77,1255266000,0.16,shoshone,8.77,0.55,1255327200shoshone,47.347694,-115.885092,0.77,,0,0,,0,,1017.92,ID,1255269479,1255309476,33.35,1255305600,14.63,1255269600,1255244400,9.87,56,5.29
0,2009-10-13 00:00:00,37.85,1255392000,4.75,1255352400,0.31,shoshone,11.93,0.57,1255413600shoshone,47.347694,-115.885092,0.8,,0,0,,0,,1012.52,ID,1255355964,1255395761,41.99,1255392000,14.82,1255352400,1255330800,9.85,74,6.21
0,2009-10-14 00:00:00,42.66,1255478400,19.46,1255435200,0.53,shoshone,24.7,0.64,1255500000shoshone,47.347694,-115.885092,0.84,,0.001,0.0093,1255478400,0.49,rain,1004.49,ID,1255442449,1255482047,44.95,1255478400,28.48,1255435200,1255417200,9.89,69,7.96
0,2009-10-15 00:00:00,50.36,1255564800,31.18,1255503600,0.88,shoshone,38.75,0.9,1255586400shoshone,47.347694,-115.885092,0.88,,0.0155,0.0438,1255514400,0.7,rain,1005.86,ID,1255528934,1255568333,50.36,1255564800,37.2,1255507200,1255503600,6.81,89,2.53
0,2009-10-16 00:00:00,57.13,1255651200,36.63,1255611600,0.58,shoshone,39.8,0.84,1255672800shoshone,47.347694,-115.885092,0.92,,0.0003,0.0022,1255600800,0.06,rain,1021.54,ID,1255615420,1255654621,57.13,1255651200,39.4,1255611600,1255590000,9.39,182,2.08
0,2009-10-17 00:00:00,59.58,1255737600,40,1255676400,0.44,shoshone,41.03,0.75,1255759200shoshone,47.347694,-115.885092,0.95,,0,0,,0,,1022.87,ID,1255701906,1255740909,59.58,1255737600,41.62,1255680000,1255676400,9.82,83,3.41
0,2009-10-18 00:00:00,60.95,1255820400,40.43,1255784400,0.33,shoshone,42.15,0.73,1255845600shoshone,47.347694,-115.885092,0.98,,0.005,0.0288,1255842000,0.65,rain,1013.07,ID,1255788393,1255827198,60.95,1255820400,43.82,1255788000,1255762800,9.07,120,2.08
0,2009-10-19 00:00:00,52.63,1255903200,41.05,1255932000,0.43,shoshone,41.02,0.8,1255932000shoshone,47.347694,-115.885092,0.03,,0.0004,0.0056,1255849200,0.25,rain,1012.53,ID,1255874880,1255913488,52.63,1255903200,41.99,1255874400,1255849200,9.86,177,1.88
0,2009-10-20 00:00:00,51.04,1255993200,34.41,1255946400,0.27,shoshone,38.47,0.85,1256018400shoshone,47.347694,-115.885092,0.06,,0.0003,0.0045,1255957200,0.18,rain,1010.67,ID,1255961367,1255999779,51.04,1255993200,37.53,1255957200,1255935600,8.32,19,0.6
0,2009-10-21 00:00:00,49.33,1256072400,33.77,1256104800,0.64,shoshone,39.24,0.9,1256104800shoshone,47.347694,-115.885092,0.09,,0.0003,0.003,1256079600,0.1,rain,1017.31,ID,1256047855,1256086072,49.33,1256072400,37.31,1256104800,1256022000,5.98,197,0.34
0,2009-10-22 00:00:00,44.04,1256162400,33.21,1256126400,0.69,shoshone,38.44,0.89,1256191200shoshone,47.347694,-115.885092,0.12,,0.0011,0.0101,1256191200,0.5,rain,1017.1,ID,1256134343,1256172365,46.04,1256162400,37.03,1256108400,1256108400,7.61,155,3.42
0,2009-10-23 00:00:00,47.55,1256245200,37.12,1256277600,0.79,shoshone,39.8,0.89,1256277600shoshone,47.347694,-115.885092,0.15,,0.0027,0.0431,1256256000,0.69,rain,1019.57,ID,1256220831,1256258659,47.55,1256245200,39.1,1256270400,1256194800,6.42,216,3.45
0,2009-10-24 00:00:00,38.9,1256360400,32.97,1256295600,0.85,shoshone,37.88,0.91,1256364000shoshone,47.347694,-115.885092,0.18,,0.0161,0.0671,1256349600,0.74,rain,1015.02,ID,1256307320,1256344955,43.8,1256360400,37.69,1256295600,1256281200,6.07,197,3.98
