,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,66.26,1349125200,44.5,1349154000,0.4,adams,38.73,0.53,1349071200adams,39.874325,-104.331872,0.55,,0.0005,0.0057,1349092800,0.25,rain,1020.63,CO,1349096117,1349138441,66.26,1349125200,47.2,1349154000,1349071200,9.88,358,4.84
0,2012-10-02 00:00:00,78.46,1349215200,41.74,1349175600,0.09,adams,31.68,0.39,1349157600adams,39.874325,-104.331872,0.58,,0,0,,0,,1011.57,CO,1349182576,1349224744,80.52,1349215200,46.59,1349175600,1349157600,9.96,205,5.79
0,2012-10-03 00:00:00,78.39,1349294400,30.1,1349326800,0.21,adams,28.49,0.34,1349244000adams,39.874325,-104.331872,0.61,,0,0,,0,,1009.9,CO,1349269034,1349311047,80.59,1349294400,37.78,1349326800,1349244000,9.84,326,4.81
0,2012-10-04 00:00:00,44.73,1349388000,28.92,1349348400,0.61,adams,25.16,0.58,1349330400adams,39.874325,-104.331872,0.64,,0,0,,0,,1024.63,CO,1349355493,1349397350,46.85,1349388000,34.21,1349352000,1349330400,9.82,59,4.68
0,2012-10-05 00:00:00,35.03,1349456400,26.09,1349438400,0.85,adams,29.3,0.8,1349416800adams,39.874325,-104.331872,0.67,,0.001,0.0052,1349442000,0.22,rain,1023.75,CO,1349441952,1349483654,39,1349456400,30.93,1349442000,1349416800,8.1,40,3.55
0,2012-10-06 00:00:00,27.07,1349546400,23.95,1349578800,0.97,adams,28.85,0.86,1349503200adams,39.874325,-104.331872,0.7,,0.0007,0.0033,1349542800,0.12,rain,1025.72,CO,1349528411,1349569959,35.13,1349546400,30.53,1349582400,1349503200,7.42,60,4.97
0,2012-10-07 00:00:00,51.96,1349647200,20.55,1349614800,0.25,adams,21.06,0.57,1349589600adams,39.874325,-104.331872,0.73,,0,0,,0,,1021.18,CO,1349614871,1349656264,51.96,1349647200,26.23,1349614800,1349589600,9.95,191,1.96
0,2012-10-08 00:00:00,70.39,1349730000,25.96,1349701200,0.11,adams,17.04,0.34,1349676000adams,39.874325,-104.331872,0.77,,0,0,,0,,1011.88,CO,1349701331,1349742569,70.39,1349730000,31.76,1349701200,1349676000,9.97,238,3.4
0,2012-10-09 00:00:00,47.51,1349769600,32.84,1349787600,0.6,adams,29.95,0.64,1349762400adams,39.874325,-104.331872,0.8,,0,0,,0,,1015.87,CO,1349787792,1349828875,49.47,1349769600,35.18,1349787600,1349762400,9.87,70,1.76
