,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,65.6,1349121600,43.53,1349154000,0.4,arapahoe,38.78,0.54,1349071200arapahoe,39.644554,-104.331706,0.55,,0.0006,0.0069,1349092800,0.33,rain,1020.54,CO,1349096113,1349138446,65.6,1349121600,46.12,1349154000,1349071200,9.89,354,5.28
0,2012-10-02 00:00:00,79.96,1349211600,40.43,1349175600,0.09,arapahoe,31.1,0.39,1349157600arapahoe,39.644554,-104.331706,0.58,,0,0,,0,,1011.81,CO,1349182570,1349224749,79.96,1349211600,45.18,1349175600,1349157600,9.97,206,5.15
0,2012-10-03 00:00:00,78.09,1349294400,29.49,1349326800,0.2,arapahoe,28.18,0.35,1349244000arapahoe,39.644554,-104.331706,0.61,,0,0,,0,,1009.94,CO,1349269028,1349311053,80.12,1349294400,37.73,1349326800,1349244000,9.86,331,4.72
0,2012-10-04 00:00:00,45.97,1349388000,28.14,1349348400,0.56,arapahoe,25.51,0.58,1349330400arapahoe,39.644554,-104.331706,0.64,,0,0,,0,,1024.2,CO,1349355486,1349397357,47.48,1349388000,33.55,1349352000,1349330400,9.84,64,4.11
0,2012-10-05 00:00:00,36.28,1349456400,26.72,1349442000,0.85,arapahoe,29.84,0.81,1349416800arapahoe,39.644554,-104.331706,0.67,,0.001,0.0059,1349442000,0.27,rain,1023.31,CO,1349441945,1349483661,39.23,1349456400,30.76,1349442000,1349416800,8.18,35,2.55
0,2012-10-06 00:00:00,28,1349546400,24.13,1349575200,0.98,arapahoe,29.15,0.87,1349503200arapahoe,39.644554,-104.331706,0.7,,0.0004,0.0026,1349542800,0.08,rain,1025.46,CO,1349528403,1349569967,35.77,1349546400,30.52,1349582400,1349503200,7.47,54,4.19
0,2012-10-07 00:00:00,52.04,1349647200,21.12,1349611200,0.27,arapahoe,20.75,0.57,1349589600arapahoe,39.644554,-104.331706,0.73,,0,0,,0,,1021.12,CO,1349614863,1349656272,52.04,1349647200,26.49,1349614800,1349589600,9.97,182,1.86
0,2012-10-08 00:00:00,70.01,1349730000,26.17,1349701200,0.11,arapahoe,16.23,0.33,1349676000arapahoe,39.644554,-104.331706,0.77,,0,0,,0,,1012.16,CO,1349701322,1349742578,70.01,1349730000,31.62,1349697600,1349676000,9.98,232,3.34
0,2012-10-09 00:00:00,46.87,1349769600,32.4,1349784000,0.56,arapahoe,29.26,0.61,1349762400arapahoe,39.644554,-104.331706,0.8,,0,0,,0,,1015.31,CO,1349787782,1349828885,48.96,1349769600,35.01,1349787600,1349762400,9.88,67,1.57
0,2012-10-10 00:00:00,62.25,1349906400,29.18,1349856000,0.36,arapahoe,34.55,0.67,1349848800arapahoe,39.644554,-104.331706,0.83,,0,0,,0,,1017.37,CO,1349874242,1349915193,62.25,1349906400,34.11,1349866800,1349848800,9.43,193,3.24
0,2012-10-11 00:00:00,63.84,1349985600,37.77,1350018000,0.23,arapahoe,32.41,0.48,1349935200arapahoe,39.644554,-104.331706,0.86,,0,0,,0,,1016.13,CO,1349960703,1350001501,63.84,1349985600,41.54,1350018000,1349935200,9.77,61,2.33
0,2012-10-12 00:00:00,63.57,1350075600,29.32,1350046800,0.39,arapahoe,36.57,0.69,1350021600arapahoe,39.644554,-104.331706,0.9,,0.001,0.0125,1350082800,0.53,rain,1015.29,CO,1350047163,1350087810,63.57,1350075600,33.99,1350046800,1350021600,9.9,207,4.06
0,2012-10-13 00:00:00,53.23,1350169200,38.2,1350122400,0.71,arapahoe,37.79,0.69,1350108000arapahoe,39.644554,-104.331706,0.93,,0.0032,0.02,1350162000,0.6,rain,1011.45,CO,1350133625,1350174120,53.23,1350169200,42.15,1350133200,1350108000,9.7,307,6.88
0,2012-10-14 00:00:00,66.56,1350252000,39.77,1350219600,0.33,arapahoe,36.23,0.59,1350194400arapahoe,39.644554,-104.331706,0.97,,0.0002,0.0028,1350201600,0.09,rain,1020.62,CO,1350220086,1350260430,66.56,1350252000,42.33,1350219600,1350194400,10,255,2.69
0,2012-10-15 00:00:00,75.87,1350334800,36.8,1350306000,0.14,arapahoe,28.97,0.41,1350280800arapahoe,39.644554,-104.331706,0.01,,0,0,,0,,1013.06,CO,1350306548,1350346742,75.87,1350334800,41.3,1350295200,1350280800,9.97,227,2.89
0,2012-10-16 00:00:00,75.88,1350421200,42.85,1350392400,0.25,arapahoe,28.43,0.33,1350367200arapahoe,39.644554,-104.331706,0.04,,0,0.001,1350450000,0,,1003.01,CO,1350393011,1350433054,75.88,1350421200,44.77,1350392400,1350367200,9.97,259,5.23
0,2012-10-17 00:00:00,55.9,1350511200,35.44,1350478800,0.14,arapahoe,13.24,0.26,1350453600arapahoe,39.644554,-104.331706,0.08,,0,0.0008,1350460800,0,,1006.76,CO,1350479474,1350519367,55.9,1350511200,38.94,1350536400,1350453600,9.97,309,14.43
0,2012-10-18 00:00:00,61.06,1350597600,24.68,1350561600,0.04,arapahoe,15.06,0.36,1350540000arapahoe,39.644554,-104.331706,0.12,,0,0,,0,,1017.14,CO,1350565937,1350605681,61.06,1350597600,28.57,1350565200,1350540000,9.95,43,1.81
0,2012-10-19 00:00:00,70.2,1350680400,29.2,1350651600,0.17,arapahoe,19.52,0.33,1350626400arapahoe,39.644554,-104.331706,0.16,,0,0,,0,,1012.64,CO,1350652401,1350691996,70.2,1350680400,32.98,1350651600,1350626400,9.99,230,3.43
0,2012-10-20 00:00:00,73.02,1350766800,43.86,1350730800,0.32,arapahoe,20.27,0.24,1350712800arapahoe,39.644554,-104.331706,0.2,,0,0,,0,,1004.6,CO,1350738865,1350778312,73.02,1350766800,46.76,1350730800,1350712800,10,214,4.66
0,2012-10-21 00:00:00,69.77,1350853200,41.63,1350882000,0.15,arapahoe,23.75,0.3,1350799200arapahoe,39.644554,-104.331706,0.23,,0,0,,0,,1005.44,CO,1350825329,1350864630,69.77,1350853200,43.3,1350882000,1350799200,10,102,1.21
