,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,70.35,1349121600,43.83,1349154000,0.33,bent,40.18,0.51,1349071200bent,37.931891,-103.077584,0.55,,0.0001,0.0016,1349107200,0.03,rain,1018.02,CO,1349095776,1349138181,70.35,1349121600,45.65,1349154000,1349071200,10,358,11.47
0,2012-10-02 00:00:00,79.42,1349215200,35.09,1349175600,0,bent,35.06,0.49,1349157600bent,37.931891,-103.077584,0.58,,0,0,,0,,1012.97,CO,1349182229,1349224488,79.42,1349215200,39.9,1349175600,1349157600,10,204,4.77
0,2012-10-03 00:00:00,82.06,1349298000,41.97,1349265600,0.04,bent,33.24,0.38,1349244000bent,37.931891,-103.077584,0.61,,0,0,,0,,1007.93,CO,1349268683,1349310796,85.66,1349298000,46.52,1349265600,1349244000,9.85,317,5.83
0,2012-10-04 00:00:00,55.9,1349388000,26.41,1349355600,0.03,bent,26.71,0.49,1349330400bent,37.931891,-103.077584,0.64,,0,0,,0,,1023.26,CO,1349355136,1349397105,55.9,1349388000,35.13,1349355600,1349330400,10,27,6.1
0,2012-10-05 00:00:00,42.49,1349463600,29.67,1349434800,0.58,bent,30.4,0.66,1349416800bent,37.931891,-103.077584,0.67,,0.0001,0.0011,1349424000,0.02,rain,1022.62,CO,1349441590,1349483414,48.49,1349463600,35.96,1349499600,1349416800,9.74,99,9.85
0,2012-10-06 00:00:00,36.61,1349557200,27.27,1349514000,0.98,bent,33.08,0.87,1349503200bent,37.931891,-103.077584,0.7,,0.0018,0.0064,1349514000,0.3,rain,1024.77,CO,1349528044,1349569724,40.55,1349557200,34.63,1349517600,1349503200,7.44,105,6.39
0,2012-10-07 00:00:00,53.02,1349647200,28.42,1349672400,0.54,bent,29.52,0.67,1349589600bent,37.931891,-103.077584,0.73,,0,0,,0,,1021.12,CO,1349614499,1349656034,53.02,1349647200,33.87,1349672400,1349589600,9.84,197,3.86
0,2012-10-08 00:00:00,69.68,1349730000,21.86,1349697600,0,bent,25.16,0.48,1349676000bent,37.931891,-103.077584,0.77,,0,0,,0,,1013.31,CO,1349700954,1349742345,69.68,1349730000,29.42,1349697600,1349676000,9.98,226,4.38
0,2012-10-09 00:00:00,60.31,1349809200,35.77,1349776800,0.17,bent,30.04,0.48,1349762400bent,37.931891,-103.077584,0.8,,0,0,,0,,1013.98,CO,1349787409,1349828656,60.31,1349809200,40.72,1349845200,1349762400,9.97,18,5.37
