,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,63.93,1349125200,43.98,1349154000,0.35,boulder,34.13,0.49,1349071200boulder,40.09497,-105.397691,0.55,,0.0001,0.0016,1349092800,0.03,rain,1020.87,CO,1349096378,1349138692,63.93,1349125200,45.21,1349154000,1349071200,9.88,358,2.49
0,2012-10-02 00:00:00,76.51,1349211600,39.83,1349182800,0.05,boulder,29.95,0.41,1349157600boulder,40.09497,-105.397691,0.58,,0,0,,0,,1011.57,CO,1349182837,1349224994,76.51,1349211600,44.4,1349179200,1349157600,9.89,210,3.56
0,2012-10-03 00:00:00,75.13,1349294400,31.49,1349326800,0.2,boulder,24.58,0.32,1349244000boulder,40.09497,-105.397691,0.61,,0,0,,0,,1010.27,CO,1349269296,1349311296,75.13,1349294400,36.99,1349326800,1349244000,9.55,314,3.6
0,2012-10-04 00:00:00,43.41,1349388000,28.7,1349355600,0.69,boulder,22.23,0.55,1349330400boulder,40.09497,-105.397691,0.64,,0.0001,0.0017,1349380800,0.04,rain,1024.63,CO,1349355755,1349397599,43.41,1349388000,33.25,1349352000,1349330400,9.41,70,2.55
0,2012-10-05 00:00:00,34.66,1349456400,25.84,1349427600,0.8,boulder,26.87,0.74,1349416800boulder,40.09497,-105.397691,0.67,,0.0021,0.0152,1349434800,0.56,rain,1023.57,CO,1349442215,1349483903,39.87,1349456400,31.11,1349499600,1349416800,8.68,4,4.35
0,2012-10-06 00:00:00,27.13,1349542800,22.04,1349521200,0.91,boulder,25.06,0.79,1349503200boulder,40.09497,-105.397691,0.7,0.05,0.0003,0.0024,1349503200,0.07,snow,1025.58,CO,1349528675,1349570206,33.68,1349542800,28.42,1349582400,1349503200,8.11,47,3.52
0,2012-10-07 00:00:00,50.33,1349643600,19.06,1349614800,0.2,boulder,17.17,0.52,1349589600boulder,40.09497,-105.397691,0.73,,0,0,,0,,1021.07,CO,1349615135,1349656511,50.33,1349643600,24.06,1349614800,1349589600,9.91,198,1.82
0,2012-10-08 00:00:00,66.46,1349730000,26.52,1349701200,0.06,boulder,13.63,0.33,1349676000boulder,40.09497,-105.397691,0.77,,0,0,,0,,1011.65,CO,1349701596,1349742816,66.46,1349730000,30.78,1349697600,1349676000,9.91,260,4.04
0,2012-10-09 00:00:00,45.71,1349769600,30.36,1349787600,0.55,boulder,27.61,0.57,1349762400boulder,40.09497,-105.397691,0.8,,0,0,,0,,1015.64,CO,1349788057,1349829121,49.26,1349769600,35.13,1349787600,1349762400,9.93,301,0.48
0,2012-10-10 00:00:00,57.44,1349902800,31.32,1349863200,0.18,boulder,32.63,0.68,1349848800boulder,40.09497,-105.397691,0.83,,0,0,,0,,1017.45,CO,1349874519,1349915428,57.44,1349902800,33.5,1349870400,1349848800,8.92,244,2.14
0,2012-10-11 00:00:00,60.51,1349989200,38.34,1350014400,0.17,boulder,31.1,0.52,1349935200boulder,40.09497,-105.397691,0.86,,0,0,,0,,1016.42,CO,1349960980,1350001735,60.51,1349989200,39.47,1349960400,1349935200,9.62,84,1.36
0,2012-10-12 00:00:00,55.66,1350075600,34.09,1350046800,0.33,boulder,34.43,0.68,1350021600boulder,40.09497,-105.397691,0.9,,0.0026,0.0316,1350082800,0.66,rain,1015,CO,1350047443,1350088042,55.66,1350075600,34.09,1350046800,1350021600,9.79,226,0.76
0,2012-10-13 00:00:00,52.85,1350165600,33.44,1350118800,0.81,boulder,35.09,0.67,1350108000boulder,40.09497,-105.397691,0.93,,0.0027,0.0113,1350158400,0.52,rain,1011.88,CO,1350133905,1350174351,52.85,1350165600,39.42,1350118800,1350108000,9.61,301,4.18
0,2012-10-14 00:00:00,58.7,1350248400,37.3,1350219600,0.37,boulder,31.1,0.57,1350194400boulder,40.09497,-105.397691,0.97,,0.0001,0.0012,1350201600,0.02,rain,1020.74,CO,1350220368,1350260660,58.7,1350248400,39.95,1350219600,1350194400,10,224,3.02
0,2012-10-15 00:00:00,70.18,1350338400,35.96,1350298800,0.11,boulder,26.17,0.39,1350280800boulder,40.09497,-105.397691,0.01,,0,0,,0,,1012.88,CO,1350306831,1350346970,70.18,1350338400,41.28,1350302400,1350280800,9.81,226,4.23
0,2012-10-16 00:00:00,69.17,1350424800,41.06,1350450000,0.25,boulder,27.12,0.34,1350367200boulder,40.09497,-105.397691,0.04,,0.0027,0.0377,1350450000,0.68,rain,1002.94,CO,1350393295,1350433282,69.17,1350424800,45.68,1350392400,1350367200,9.74,259,6.32
0,2012-10-17 00:00:00,50.81,1350511200,29.55,1350482400,0.08,boulder,6.66,0.22,1350453600boulder,40.09497,-105.397691,0.08,,0.0002,0.0058,1350453600,0.26,rain,1007.05,CO,1350479759,1350519593,50.81,1350511200,39.8,1350482400,1350453600,9.82,291,14.96
0,2012-10-18 00:00:00,57.7,1350597600,27.07,1350550800,0.02,boulder,13.4,0.34,1350540000boulder,40.09497,-105.397691,0.12,,0.0001,0.0008,1350597600,0.01,rain,1016.96,CO,1350566224,1350605906,57.7,1350597600,28.74,1350565200,1350540000,9.52,136,0.5
0,2012-10-19 00:00:00,64.99,1350680400,32.76,1350633600,0.12,boulder,18.52,0.34,1350626400boulder,40.09497,-105.397691,0.16,,0.0002,0.0021,1350673200,0.06,rain,1012.37,CO,1350652688,1350692220,64.99,1350680400,32.95,1350651600,1350626400,9.89,249,3.45
0,2012-10-20 00:00:00,68.23,1350766800,43.69,1350734400,0.21,boulder,18.69,0.25,1350712800boulder,40.09497,-105.397691,0.2,,0,0,,0,,1004.47,CO,1350739154,1350778535,68.23,1350766800,45.84,1350738000,1350712800,10,225,3.93
0,2012-10-21 00:00:00,63.56,1350853200,41.2,1350820800,0.09,boulder,21.57,0.31,1350799200boulder,40.09497,-105.397691,0.23,,0,0,,0,,1005.86,CO,1350825619,1350864851,63.56,1350853200,41.5,1350882000,1350799200,9.99,167,0.62
0,2012-10-22 00:00:00,62.18,1350943200,36.28,1350910800,0.1,boulder,31.27,0.56,1350885600boulder,40.09497,-105.397691,0.27,,0,0,,0,,1008.15,CO,1350912085,1350951168,62.18,1350943200,36.28,1350910800,1350885600,9.94,199,1.25
0,2012-10-23 00:00:00,68.7,1351022400,38.73,1350993600,0.15,boulder,21.23,0.35,1350972000boulder,40.09497,-105.397691,0.3,,0,0,,0,,1002.5,CO,1350998552,1351037486,68.7,1351022400,42.6,1351054800,1350972000,9.92,232,3.85
0,2012-10-24 00:00:00,44.01,1351098000,19.03,1351137600,0.88,boulder,28.05,0.67,1351058400boulder,40.09497,-105.397691,0.34,,0.0089,0.0563,1351130400,0.72,rain,1009.41,CO,1351085018,1351123805,45.57,1351098000,27.87,1351141200,1351058400,8.09,10,4.52
0,2012-10-25 00:00:00,31.36,1351195200,20.26,1351152000,0.88,boulder,23.82,0.86,1351144800boulder,40.09497,-105.397691,0.37,2.341,0.009,0.0319,1351220400,0.66,snow,1022.94,CO,1351171485,1351210126,31.36,1351195200,24.46,1351170000,1351144800,6.65,85,1.76
0,2012-10-26 00:00:00,28.84,1351285200,14.61,1351245600,0.64,boulder,21.68,0.83,1351231200boulder,40.09497,-105.397691,0.4,0.764,0.003,0.0203,1351274400,0.6,snow,1028.36,CO,1351257953,1351296447,32.66,1351285200,22.27,1351256400,1351231200,7.98,81,0.83
0,2012-10-27 00:00:00,42.42,1351375200,17.7,1351342800,0.3,boulder,22.58,0.7,1351317600boulder,40.09497,-105.397691,0.44,0.267,0.001,0.0058,1351328400,0.26,snow,1020.59,CO,1351344421,1351382770,42.42,1351375200,24.56,1351335600,1351317600,7.96,228,1.29
0,2012-10-28 00:00:00,53.36,1351461600,24.44,1351425600,0.22,boulder,27.93,0.65,1351404000boulder,40.09497,-105.397691,0.47,,0,0,,0,,1017.64,CO,1351430889,1351469094,53.36,1351461600,29.78,1351429200,1351404000,9.63,240,2.68
0,2012-10-29 00:00:00,59.71,1351537200,35.13,1351504800,0.16,boulder,29.99,0.53,1351490400boulder,40.09497,-105.397691,0.49,,0,0,,0,,1017.09,CO,1351517357,1351555420,59.71,1351537200,38.13,1351508400,1351490400,9.91,235,3.33
0,2012-10-30 00:00:00,63.89,1351630800,35.03,1351602000,0.11,boulder,27.28,0.47,1351576800boulder,40.09497,-105.397691,0.53,,0,0,,0,,1017.73,CO,1351603826,1351641747,63.89,1351630800,38.24,1351602000,1351576800,9.94,227,3.08
