,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,62.19,1349125200,41.66,1349154000,0.35,clear creek,31.98,0.5,1349071200clear creek,39.689403,-105.670783,0.55,,0.0001,0.0025,1349092800,0.07,rain,1020.43,CO,1349096435,1349138766,62.19,1349125200,43.77,1349154000,1349071200,9.9,319,3.3
0,2012-10-02 00:00:00,72.94,1349215200,36.21,1349182800,0.07,clear creek,26.53,0.38,1349157600clear creek,39.689403,-105.670783,0.58,,0,0,,0,,1012.37,CO,1349182893,1349225069,72.94,1349215200,41.64,1349179200,1349157600,9.94,236,4.91
0,2012-10-03 00:00:00,72.07,1349294400,33.65,1349326800,0.23,clear creek,22.71,0.32,1349244000clear creek,39.689403,-105.670783,0.61,,0,0,,0,,1010.28,CO,1349269351,1349311373,72.07,1349294400,38.24,1349326800,1349244000,9.74,288,5.69
0,2012-10-04 00:00:00,43.55,1349384400,29.45,1349355600,0.71,clear creek,22.27,0.51,1349330400clear creek,39.689403,-105.670783,0.64,,0.0002,0.0051,1349380800,0.22,rain,1021.51,CO,1349355809,1349397677,46.42,1349384400,34.2,1349355600,1349330400,9.65,127,0.36
0,2012-10-05 00:00:00,36.23,1349456400,23.63,1349442000,0.73,clear creek,26.83,0.68,1349416800clear creek,39.689403,-105.670783,0.67,,0.0017,0.0099,1349434800,0.5,rain,1020.11,CO,1349442268,1349483981,41.66,1349456400,31.74,1349442000,1349416800,8.57,316,4.77
0,2012-10-06 00:00:00,26.96,1349546400,21.7,1349528400,0.76,clear creek,22.51,0.7,1349503200clear creek,39.689403,-105.670783,0.7,0.015,0.0001,0.0011,1349503200,0.02,snow,1022.28,CO,1349528727,1349570286,34.41,1349546400,27.72,1349528400,1349503200,8.07,343,2.91
0,2012-10-07 00:00:00,47.65,1349647200,16.33,1349614800,0.24,clear creek,13.47,0.47,1349589600clear creek,39.689403,-105.670783,0.73,,0,0,,0,,1019.78,CO,1349615186,1349656591,48.91,1349647200,22.57,1349614800,1349589600,9.87,250,2.85
0,2012-10-08 00:00:00,63.34,1349730000,24.7,1349690400,0.09,clear creek,7.71,0.28,1349676000clear creek,39.689403,-105.670783,0.77,,0,0,,0,,1012.18,CO,1349701645,1349742898,63.34,1349730000,29.6,1349697600,1349676000,9.95,263,6.27
0,2012-10-09 00:00:00,47.45,1349812800,26.73,1349787600,0.46,clear creek,24.66,0.51,1349762400clear creek,39.689403,-105.670783,0.8,,0,0,,0,,1014.38,CO,1349788105,1349829204,49.66,1349812800,33.86,1349787600,1349762400,9.86,282,4.45
0,2012-10-10 00:00:00,59.12,1349902800,28.23,1349866800,0.27,clear creek,30.15,0.6,1349848800clear creek,39.689403,-105.670783,0.83,,0,0,,0,,1016.66,CO,1349874566,1349915512,59.12,1349902800,33.1,1349870400,1349848800,9.33,264,4.3
0,2012-10-11 00:00:00,61.84,1349989200,35.7,1349960400,0.26,clear creek,28.39,0.46,1349935200clear creek,39.689403,-105.670783,0.86,,0,0,,0,,1015.59,CO,1349961026,1350001820,61.84,1349989200,38.66,1349960400,1349935200,9.77,164,1.14
0,2012-10-12 00:00:00,54.05,1350075600,29.31,1350046800,0.44,clear creek,34.4,0.68,1350021600clear creek,39.689403,-105.670783,0.9,,0.0045,0.0292,1350082800,0.65,rain,1014.3,CO,1350047487,1350088129,54.05,1350075600,35.14,1350046800,1350021600,9.65,183,4.35
0,2012-10-13 00:00:00,44.17,1350165600,29.8,1350118800,0.81,clear creek,32.74,0.7,1350108000clear creek,39.689403,-105.670783,0.93,,0.0018,0.0091,1350158400,0.48,rain,1012.61,CO,1350133949,1350174438,48.33,1350165600,34.61,1350118800,1350108000,9.13,287,6.09
0,2012-10-14 00:00:00,57.9,1350252000,33.87,1350223200,0.42,clear creek,30.33,0.6,1350194400clear creek,39.689403,-105.670783,0.97,,0,0.0012,1350201600,0,,1021.25,CO,1350220411,1350260749,57.9,1350252000,36.43,1350208800,1350194400,10,248,2.57
0,2012-10-15 00:00:00,67.15,1350334800,30.46,1350295200,0.14,clear creek,23.36,0.38,1350280800clear creek,39.689403,-105.670783,0.01,,0,0,,0,,1014.14,CO,1350306873,1350347060,67.15,1350334800,37.19,1350295200,1350280800,9.74,234,4.42
0,2012-10-16 00:00:00,66.6,1350421200,38.64,1350388800,0.31,clear creek,26.59,0.38,1350367200clear creek,39.689403,-105.670783,0.04,,0.0019,0.0262,1350450000,0.63,rain,1004.08,CO,1350393335,1350433372,66.6,1350421200,41.97,1350392400,1350367200,9.48,263,8.31
0,2012-10-17 00:00:00,41.84,1350511200,25.84,1350486000,0.15,clear creek,7.95,0.26,1350453600clear creek,39.689403,-105.670783,0.08,,0.0006,0.0119,1350453600,0.53,rain,1007.25,CO,1350479798,1350519685,48.49,1350511200,36.94,1350486000,1350453600,9.57,291,17.09
0,2012-10-18 00:00:00,54.94,1350597600,22.09,1350565200,0.03,clear creek,12.53,0.34,1350540000clear creek,39.689403,-105.670783,0.12,,0.0002,0.0025,1350597600,0.07,rain,1017.05,CO,1350566262,1350605999,54.94,1350597600,27.57,1350565200,1350540000,8.79,289,2.46
0,2012-10-19 00:00:00,63.35,1350680400,27.86,1350651600,0.16,clear creek,16.69,0.34,1350626400clear creek,39.689403,-105.670783,0.16,,0.0005,0.0063,1350673200,0.29,rain,1013.38,CO,1350652725,1350692314,63.35,1350680400,31.67,1350651600,1350626400,9.67,261,5.35
0,2012-10-20 00:00:00,66.79,1350766800,38.62,1350734400,0.26,clear creek,15.43,0.24,1350712800clear creek,39.689403,-105.670783,0.2,,0,0,,0,,1005.25,CO,1350739189,1350778630,66.79,1350766800,42.79,1350734400,1350712800,10,237,5.32
0,2012-10-21 00:00:00,63.01,1350853200,35.62,1350824400,0.12,clear creek,18.98,0.3,1350799200clear creek,39.689403,-105.670783,0.23,,0,0,,0,,1006.29,CO,1350825654,1350864947,63.01,1350853200,39.84,1350882000,1350799200,10,194,1.77
0,2012-10-22 00:00:00,61.48,1350943200,32.79,1350903600,0.12,clear creek,27.83,0.51,1350885600clear creek,39.689403,-105.670783,0.27,,0,0,,0,,1007.9,CO,1350912119,1350951265,61.48,1350943200,34.16,1350910800,1350885600,9.98,198,4.3
0,2012-10-23 00:00:00,65.03,1351018800,39.61,1350975600,0.2,clear creek,18.32,0.3,1350972000clear creek,39.689403,-105.670783,0.3,,0,0.0009,1351004400,0,,1002.68,CO,1350998584,1351037585,65.03,1351018800,43.96,1351054800,1350972000,9.96,218,7.09
0,2012-10-24 00:00:00,45.09,1351105200,18.9,1351137600,0.77,clear creek,27.14,0.64,1351058400clear creek,39.689403,-105.670783,0.34,,0.0071,0.0515,1351130400,0.71,rain,1007.78,CO,1351085050,1351123905,47.03,1351105200,26.67,1351141200,1351058400,7.91,16,0.73
0,2012-10-25 00:00:00,29.43,1351191600,13.97,1351170000,0.85,clear creek,21.64,0.84,1351144800clear creek,39.689403,-105.670783,0.37,1.585,0.0056,0.019,1351220400,0.59,snow,1020.91,CO,1351171516,1351210226,29.43,1351191600,22.94,1351170000,1351144800,6.57,332,1.26
0,2012-10-26 00:00:00,29.23,1351285200,10.19,1351249200,0.57,clear creek,18.46,0.78,1351231200clear creek,39.689403,-105.670783,0.4,0.394,0.0014,0.0102,1351274400,0.51,snow,1027.52,CO,1351257982,1351296549,32.07,1351285200,19.21,1351256400,1351231200,8.18,343,0.27
0,2012-10-27 00:00:00,38.39,1351375200,15.12,1351342800,0.39,clear creek,19.81,0.65,1351317600clear creek,39.689403,-105.670783,0.44,0.152,0.0005,0.003,1351328400,0.1,snow,1020.28,CO,1351344449,1351382873,41.37,1351375200,23.06,1351332000,1351317600,8.29,267,3.42
0,2012-10-28 00:00:00,52.16,1351461600,23.41,1351422000,0.35,clear creek,25.56,0.6,1351404000clear creek,39.689403,-105.670783,0.47,,0.0002,0.0013,1351458000,0.02,rain,1017.67,CO,1351430916,1351469198,52.16,1351461600,29.23,1351429200,1351404000,9.6,262,5
0,2012-10-29 00:00:00,57.23,1351537200,31.45,1351504800,0.25,clear creek,27.34,0.52,1351490400clear creek,39.689403,-105.670783,0.49,,0,0,,0,,1017.9,CO,1351517383,1351555525,57.23,1351537200,36.82,1351508400,1351490400,9.98,248,5.19
0,2012-10-30 00:00:00,60.66,1351630800,32.1,1351602000,0.16,clear creek,24.47,0.47,1351576800clear creek,39.689403,-105.670783,0.53,,0,0,,0,,1018.48,CO,1351603851,1351641853,60.66,1351630800,35.22,1351602000,1351576800,9.97,246,3.87
0,2012-10-31 00:00:00,61.59,1351713600,30.27,1351688400,0.14,clear creek,23.88,0.45,1351663200clear creek,39.689403,-105.670783,0.56,,0,0,,0,,1018.36,CO,1351690319,1351728182,61.59,1351713600,35.54,1351684800,1351663200,9.92,239,2.6
0,2012-11-01 00:00:00,60.08,1351803600,27.32,1351764000,0.24,clear creek,23.36,0.45,1351749600clear creek,39.689403,-105.670783,0.59,,0,0,,0,,1014.19,CO,1351776787,1351814512,60.08,1351803600,35.04,1351764000,1351749600,9.63,212,4.14
0,2012-11-02 00:00:00,51.02,1351886400,31.07,1351918800,0.39,clear creek,21.93,0.44,1351836000clear creek,39.689403,-105.670783,0.62,,0,0,,0,,1014.56,CO,1351863255,1351900844,51.02,1351886400,34.81,1351918800,1351836000,9.71,226,1.42
