,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,67.15,1349125200,33.82,1349096400,0.15,conejos,28.68,0.44,1349071200conejos,37.213406,-106.176447,0.55,,0,0,,0,,1020.43,CO,1349096506,1349138938,67.15,1349125200,37.44,1349096400,1349071200,10,327,1.86
0,2012-10-02 00:00:00,69.62,1349215200,31.31,1349182800,0,conejos,27.3,0.43,1349157600conejos,37.213406,-106.176447,0.58,,0,0,,0,,1017.03,CO,1349182957,1349225247,69.62,1349215200,34.66,1349182800,1349157600,10,263,3.95
0,2012-10-03 00:00:00,71.5,1349298000,33.25,1349262000,0.03,conejos,21.78,0.33,1349244000conejos,37.213406,-106.176447,0.61,,0,0,,0,,1015.02,CO,1349269409,1349311557,71.5,1349298000,36.9,1349269200,1349244000,10,274,7.02
0,2012-10-04 00:00:00,67.53,1349384400,32.25,1349348400,0.14,conejos,23.64,0.35,1349330400conejos,37.213406,-106.176447,0.64,,0,0,,0,,1016.72,CO,1349355861,1349397868,67.53,1349384400,37.19,1349355600,1349330400,9.97,235,8.66
0,2012-10-05 00:00:00,65.27,1349470800,34.75,1349438400,0.07,conejos,22.82,0.34,1349416800conejos,37.213406,-106.176447,0.67,,0,0,,0,,1012.81,CO,1349442313,1349484179,65.27,1349470800,39.79,1349438400,1349416800,10,240,11.07
0,2012-10-06 00:00:00,59.81,1349557200,29.74,1349586000,0.13,conejos,19.79,0.37,1349503200conejos,37.213406,-106.176447,0.7,,0,0,,0,,1013.06,CO,1349528765,1349570490,59.81,1349557200,35.11,1349586000,1349503200,9.99,232,4.92
0,2012-10-07 00:00:00,55.75,1349647200,20.94,1349600400,0.12,conejos,14.02,0.4,1349589600conejos,37.213406,-106.176447,0.73,,0,0,,0,,1017.53,CO,1349615218,1349656802,55.75,1349647200,25.79,1349614800,1349589600,10,234,5.62
0,2012-10-08 00:00:00,60.07,1349733600,18.91,1349701200,0,conejos,7.01,0.26,1349676000conejos,37.213406,-106.176447,0.77,,0,0,,0,,1018.6,CO,1349701671,1349743115,60.07,1349733600,24,1349697600,1349676000,9.98,255,7.04
0,2012-10-09 00:00:00,64.97,1349816400,26.99,1349776800,0,conejos,16.4,0.31,1349762400conejos,37.213406,-106.176447,0.8,,0,0,,0,,1016.55,CO,1349788124,1349829428,64.97,1349816400,32.92,1349784000,1349762400,10,255,6.49
0,2012-10-10 00:00:00,66.09,1349902800,24.27,1349874000,0.01,conejos,22.57,0.4,1349848800conejos,37.213406,-106.176447,0.83,,0,0,,0,,1018.3,CO,1349874578,1349915742,66.09,1349902800,30.76,1349874000,1349848800,9.99,243,7.88
0,2012-10-11 00:00:00,66.86,1349985600,26.95,1349960400,0.24,conejos,26.41,0.41,1349935200conejos,37.213406,-106.176447,0.86,,0.0001,0.0012,1350018000,0.02,rain,1017.25,CO,1349961032,1350002057,66.86,1349985600,33.25,1349960400,1349935200,9.91,227,5.39
0,2012-10-12 00:00:00,51.94,1350068400,30.93,1350100800,0.69,conejos,38.34,0.77,1350021600conejos,37.213406,-106.176447,0.9,,0.0148,0.0654,1350075600,0.74,rain,1015.98,CO,1350047486,1350088372,51.94,1350068400,36.09,1350104400,1350021600,9.02,199,5.25
