,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,65.53,1349125200,45.02,1349154000,0.43,denver,38.58,0.53,1349071200denver,39.76185,-104.881105,0.55,,0.0005,0.008,1349092800,0.41,rain,1020.77,CO,1349096247,1349138575,65.53,1349125200,47.77,1349154000,1349071200,9.82,1,3.83
0,2012-10-02 00:00:00,79.38,1349215200,42.64,1349175600,0.12,denver,30.92,0.38,1349157600denver,39.76185,-104.881105,0.58,,0,0,,0,,1011.61,CO,1349182705,1349224878,79.38,1349215200,46.98,1349172000,1349157600,9.96,198,5.51
0,2012-10-03 00:00:00,79.1,1349301600,30.54,1349326800,0.25,denver,27.53,0.33,1349244000denver,39.76185,-104.881105,0.61,,0,0,,0,,1010.18,CO,1349269163,1349311181,79.1,1349301600,37.82,1349326800,1349244000,9.86,330,3.69
0,2012-10-04 00:00:00,43.83,1349388000,29.39,1349348400,0.68,denver,25.09,0.58,1349330400denver,39.76185,-104.881105,0.64,,0,0,,0,,1024.42,CO,1349355622,1349397485,45.76,1349388000,34.31,1349352000,1349330400,9.82,68,4.43
0,2012-10-05 00:00:00,33.56,1349456400,25.22,1349442000,0.84,denver,29.51,0.8,1349416800denver,39.76185,-104.881105,0.67,,0.0012,0.0063,1349442000,0.29,rain,1023.44,CO,1349442080,1349483789,39,1349456400,30.13,1349442000,1349416800,8.12,7,3.92
0,2012-10-06 00:00:00,26.88,1349546400,23.84,1349582400,0.98,denver,28.76,0.87,1349503200denver,39.76185,-104.881105,0.7,,0.0002,0.0024,1349514000,0.07,rain,1025.5,CO,1349528539,1349570094,35.3,1349546400,30.6,1349582400,1349503200,7.44,50,4.66
0,2012-10-07 00:00:00,51.79,1349647200,20.98,1349614800,0.3,denver,20.31,0.55,1349589600denver,39.76185,-104.881105,0.73,,0,0,,0,,1021.05,CO,1349614999,1349656399,51.79,1349647200,26.33,1349614800,1349589600,9.98,168,2.33
0,2012-10-08 00:00:00,69.96,1349733600,27.48,1349701200,0.15,denver,15.44,0.31,1349676000denver,39.76185,-104.881105,0.77,,0,0,,0,,1011.71,CO,1349701459,1349742705,69.96,1349733600,33.22,1349701200,1349676000,9.97,237,3.5
0,2012-10-09 00:00:00,51.73,1349769600,32.63,1349784000,0.61,denver,29.14,0.6,1349762400denver,39.76185,-104.881105,0.8,,0,0,,0,,1015.35,CO,1349787919,1349829012,51.73,1349769600,34.96,1349787600,1349762400,9.91,91,1.78
