,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,65.06,1349125200,35.9,1349092800,0.15,eagle,26.31,0.45,1349071200eagle,39.626992,-106.695169,0.55,,0,0,,0,,1020.3,CO,1349096680,1349139013,65.06,1349125200,35.9,1349092800,1349071200,9.97,278,2.48
0,2012-10-02 00:00:00,69.37,1349215200,30.76,1349182800,0,eagle,22.78,0.39,1349157600eagle,39.626992,-106.695169,0.58,,0,0,,0,,1015.34,CO,1349183137,1349225316,69.37,1349215200,34.75,1349179200,1349157600,10,269,4.6
0,2012-10-03 00:00:00,67.24,1349298000,32.14,1349269200,0.18,eagle,19.59,0.32,1349244000eagle,39.626992,-106.695169,0.61,,0,0,,0,,1011.94,CO,1349269595,1349311620,67.24,1349298000,37.26,1349269200,1349244000,9.92,263,8.8
0,2012-10-04 00:00:00,60.59,1349380800,30.66,1349355600,0.39,eagle,18.97,0.34,1349330400eagle,39.626992,-106.695169,0.64,,0.0003,0.0043,1349380800,0.17,rain,1014.41,CO,1349356053,1349397924,60.59,1349380800,36.18,1349355600,1349330400,9.95,246,7.49
0,2012-10-05 00:00:00,53.84,1349474400,30.51,1349499600,0.33,eagle,15.87,0.32,1349416800eagle,39.626992,-106.695169,0.67,,0.0009,0.0056,1349416800,0.25,rain,1012.02,CO,1349442512,1349484229,53.84,1349474400,36.1,1349499600,1349416800,9.79,268,8.08
0,2012-10-06 00:00:00,42.09,1349557200,20.19,1349528400,0.16,eagle,8.02,0.34,1349503200eagle,39.626992,-106.695169,0.7,,0,0,,0,,1016.48,CO,1349528970,1349570534,46.5,1349557200,26.22,1349528400,1349503200,9.58,286,6.12
0,2012-10-07 00:00:00,46.48,1349647200,15.58,1349618400,0.15,eagle,3.04,0.32,1349589600eagle,39.626992,-106.695169,0.73,,0,0,,0,,1018.53,CO,1349615430,1349656839,49.96,1349647200,19.25,1349614800,1349589600,9.75,273,4.28
0,2012-10-08 00:00:00,58.17,1349730000,18.99,1349704800,0.03,eagle,-0.43,0.23,1349676000eagle,39.626992,-106.695169,0.77,,0,0,,0,,1016.06,CO,1349701889,1349743146,58.17,1349730000,23.19,1349701200,1349676000,9.96,262,6.57
0,2012-10-09 00:00:00,61.09,1349816400,24.06,1349784000,0.08,eagle,11.07,0.27,1349762400eagle,39.626992,-106.695169,0.8,,0,0,,0,,1013.59,CO,1349788349,1349829453,61.09,1349816400,31.63,1349787600,1349762400,9.9,266,7.88
