,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,64.2,1349125200,40.84,1349154000,0.39,elbert,37.82,0.56,1349071200elbert,39.310582,-104.117729,0.55,,0.0005,0.006,1349092800,0.27,rain,1020.29,CO,1349096054,1349138402,64.2,1349125200,43.86,1349154000,1349071200,9.94,352,7.6
0,2012-10-02 00:00:00,77.88,1349211600,37.46,1349168400,0.06,elbert,29.98,0.42,1349157600elbert,39.310582,-104.117729,0.58,,0,0,,0,,1012.43,CO,1349182511,1349224706,77.88,1349211600,41.62,1349175600,1349157600,10,212,3.76
0,2012-10-03 00:00:00,78.9,1349301600,27.46,1349326800,0.16,elbert,26.79,0.34,1349244000elbert,39.310582,-104.117729,0.61,,0,0,,0,,1009.62,CO,1349268968,1349311010,78.9,1349301600,37.74,1349326800,1349244000,9.99,344,6.25
0,2012-10-04 00:00:00,45.36,1349384400,25.59,1349334000,0.38,elbert,24.98,0.58,1349330400elbert,39.310582,-104.117729,0.64,,0,0,,0,,1023.82,CO,1349355425,1349397315,47.93,1349384400,31.26,1349355600,1349330400,10,84,2.48
0,2012-10-05 00:00:00,37.03,1349463600,25.9,1349499600,0.84,elbert,29.6,0.79,1349416800elbert,39.310582,-104.117729,0.67,,0.0011,0.0066,1349420400,0.31,rain,1023.26,CO,1349441883,1349483621,40.34,1349463600,31.09,1349442000,1349416800,8.46,122,2.74
0,2012-10-06 00:00:00,30.13,1349546400,22.47,1349575200,0.99,elbert,28.51,0.87,1349503200elbert,39.310582,-104.117729,0.7,0.115,0.0006,0.0032,1349514000,0.11,snow,1025.61,CO,1349528341,1349569927,36.32,1349546400,29.36,1349586000,1349503200,7.55,62,3.22
0,2012-10-07 00:00:00,51.25,1349647200,20.49,1349611200,0.31,elbert,19.81,0.57,1349589600elbert,39.310582,-104.117729,0.73,,0,0,,0,,1021.47,CO,1349614799,1349656233,51.25,1349647200,26.13,1349614800,1349589600,9.94,179,1.81
0,2012-10-08 00:00:00,67.87,1349730000,25.88,1349676000,0.08,elbert,14.85,0.34,1349676000elbert,39.310582,-104.117729,0.77,,0,0,,0,,1013.01,CO,1349701257,1349742540,67.87,1349730000,29.25,1349697600,1349676000,10,219,2.66
0,2012-10-09 00:00:00,50.46,1349812800,29.42,1349845200,0.46,elbert,27.5,0.56,1349762400elbert,39.310582,-104.117729,0.8,,0,0,,0,,1014.73,CO,1349787716,1349828848,50.46,1349812800,35.88,1349787600,1349762400,9.9,48,1.64
0,2012-10-10 00:00:00,63.36,1349906400,28.5,1349856000,0.4,elbert,33.76,0.64,1349848800elbert,39.310582,-104.117729,0.83,,0,0,,0,,1017.63,CO,1349874175,1349915157,63.36,1349906400,34.72,1349874000,1349848800,9.73,188,5.47
0,2012-10-11 00:00:00,67.08,1349982000,37.12,1350018000,0.18,elbert,30.46,0.45,1349935200elbert,39.310582,-104.117729,0.86,,0,0,,0,,1015.8,CO,1349960635,1350001466,67.08,1349982000,41.15,1350018000,1349935200,9.94,44,3.03
0,2012-10-12 00:00:00,62.16,1350075600,28.09,1350046800,0.33,elbert,36.41,0.71,1350021600elbert,39.310582,-104.117729,0.9,,0.0018,0.0164,1350082800,0.57,rain,1016.34,CO,1350047095,1350087776,62.16,1350075600,33.13,1350046800,1350021600,9.95,191,6.12
0,2012-10-13 00:00:00,52.35,1350147600,33.7,1350133200,0.54,elbert,34.78,0.66,1350108000elbert,39.310582,-104.117729,0.93,,0.0023,0.0128,1350162000,0.54,rain,1011.47,CO,1350133555,1350174086,52.35,1350147600,37.63,1350133200,1350108000,9.73,317,8.23
0,2012-10-14 00:00:00,64.55,1350252000,36.36,1350216000,0.25,elbert,34.61,0.59,1350194400elbert,39.310582,-104.117729,0.97,,0.0002,0.0041,1350205200,0.16,rain,1020.86,CO,1350220016,1350260398,64.55,1350252000,40.42,1350277200,1350194400,10,278,1.85
0,2012-10-15 00:00:00,74.61,1350334800,37.96,1350306000,0.1,elbert,27.73,0.43,1350280800elbert,39.310582,-104.117729,0.01,,0,0,,0,,1013.79,CO,1350306477,1350346710,74.61,1350334800,37.96,1350306000,1350280800,10,274,0.84
0,2012-10-16 00:00:00,73.9,1350424800,42.33,1350392400,0.18,elbert,26.09,0.32,1350367200elbert,39.310582,-104.117729,0.04,,0,0.0009,1350450000,0,,1003.68,CO,1350392939,1350433023,73.9,1350424800,43.81,1350385200,1350367200,10,247,4.99
