,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,72.57,1349128800,38.36,1349096400,0.04,garfield,30.89,0.42,1349071200garfield,39.599352,-107.90978,0.55,,0,0,,0,,1020.54,CO,1349096971,1349139305,72.57,1349128800,41.26,1349096400,1349071200,9.92,207,0.88
0,2012-10-02 00:00:00,76.1,1349215200,39.08,1349182800,0.01,garfield,27.94,0.37,1349157600garfield,39.599352,-107.90978,0.58,,0,0,,0,,1015.47,CO,1349183428,1349225608,76.1,1349215200,41.67,1349182800,1349157600,9.99,208,1.36
0,2012-10-03 00:00:00,75.01,1349298000,40.26,1349269200,0.08,garfield,24.71,0.32,1349244000garfield,39.599352,-107.90978,0.61,,0,0,,0,,1012.53,CO,1349269886,1349311912,75.01,1349298000,43.3,1349269200,1349244000,9.84,250,3.67
0,2012-10-04 00:00:00,68.93,1349388000,35.25,1349355600,0.11,garfield,21.15,0.33,1349330400garfield,39.599352,-107.90978,0.64,,0,0.001,1349388000,0,,1014.99,CO,1349356344,1349398216,68.93,1349388000,35.25,1349355600,1349330400,9.98,258,4.65
0,2012-10-05 00:00:00,63.14,1349474400,40.78,1349442000,0.14,garfield,16.1,0.25,1349416800garfield,39.599352,-107.90978,0.67,,0,0,,0,,1012.91,CO,1349442803,1349484521,63.14,1349474400,42.99,1349442000,1349416800,9.98,291,5.25
0,2012-10-06 00:00:00,52.86,1349560800,28.59,1349521200,0.03,garfield,9.79,0.28,1349503200garfield,39.599352,-107.90978,0.7,,0,0,,0,,1017.97,CO,1349529261,1349570826,52.86,1349560800,31.82,1349528400,1349503200,10,308,3.49
0,2012-10-07 00:00:00,55.6,1349647200,20.3,1349614800,0.04,garfield,6.71,0.29,1349589600garfield,39.599352,-107.90978,0.73,,0,0,,0,,1019.73,CO,1349615720,1349657132,55.6,1349647200,24.99,1349614800,1349589600,10,193,1.25
0,2012-10-08 00:00:00,64.26,1349733600,21.88,1349701200,0.01,garfield,7.86,0.25,1349676000garfield,39.599352,-107.90978,0.77,,0,0,,0,,1017.34,CO,1349702180,1349743438,64.26,1349733600,27.86,1349701200,1349676000,9.9,231,2.57
0,2012-10-09 00:00:00,69.24,1349820000,29.83,1349787600,0.03,garfield,16.1,0.28,1349762400garfield,39.599352,-107.90978,0.8,,0,0,,0,,1014.93,CO,1349788639,1349829745,69.24,1349820000,34.21,1349787600,1349762400,9.91,240,1.9
0,2012-10-10 00:00:00,70.11,1349902800,35.02,1349866800,0.05,garfield,23.03,0.32,1349848800garfield,39.599352,-107.90978,0.83,,0,0,,0,,1015.68,CO,1349875099,1349916053,70.11,1349902800,38.05,1349874000,1349848800,9.94,186,1.49
0,2012-10-11 00:00:00,71.9,1349989200,40.05,1349956800,0.11,garfield,26.79,0.34,1349935200garfield,39.599352,-107.90978,0.86,,0,0,,0,,1013.68,CO,1349961560,1350002361,71.9,1349989200,42.85,1349960400,1349935200,9.96,159,1.34
0,2012-10-12 00:00:00,52.86,1350021600,40.72,1350097200,0.6,garfield,37.22,0.67,1350021600garfield,39.599352,-107.90978,0.9,,0.0133,0.0461,1350090000,0.7,rain,1013.71,CO,1350048020,1350088670,52.86,1350021600,40.84,1350104400,1350021600,9.25,110,1.93
0,2012-10-13 00:00:00,45.9,1350165600,36.29,1350133200,0.93,garfield,38.31,0.84,1350108000garfield,39.599352,-107.90978,0.93,,0.0034,0.0157,1350144000,0.57,rain,1019.2,CO,1350134482,1350174980,47.51,1350165600,39.42,1350118800,1350108000,9.65,204,0.3
0,2012-10-14 00:00:00,59.73,1350252000,35.49,1350219600,0.34,garfield,38.1,0.72,1350194400garfield,39.599352,-107.90978,0.97,,0,0,,0,,1025.21,CO,1350220943,1350261291,59.73,1350252000,39.05,1350219600,1350194400,9.66,137,0.73
0,2012-10-15 00:00:00,64.86,1350338400,33.77,1350306000,0.02,garfield,33.66,0.6,1350280800garfield,39.599352,-107.90978,0.01,,0,0,,0,,1019.88,CO,1350307405,1350347602,64.86,1350338400,36.06,1350306000,1350280800,9.97,208,1.89
0,2012-10-16 00:00:00,66.26,1350424800,34.57,1350385200,0.25,garfield,33.94,0.56,1350367200garfield,39.599352,-107.90978,0.04,,0.0022,0.024,1350446400,0.62,rain,1011.26,CO,1350393867,1350433915,66.26,1350424800,37.57,1350392400,1350367200,9.87,258,4.15
