,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,69.82,1349121600,39.99,1349154000,0.28,kiowa,40.7,0.53,1349071200kiowa,38.387663,-102.756849,0.55,,0.0001,0.0013,1349107200,0.02,rain,1018.1,CO,1349095709,1349138094,69.82,1349121600,42.66,1349154000,1349071200,9.99,358,11.99
0,2012-10-02 00:00:00,79.93,1349215200,32.82,1349175600,0,kiowa,34.55,0.5,1349157600kiowa,38.387663,-102.756849,0.58,,0,0,,0,,1013.08,CO,1349182163,1349224401,79.93,1349215200,37.56,1349175600,1349157600,10,205,6.12
0,2012-10-03 00:00:00,82.03,1349298000,39.6,1349265600,0.03,kiowa,32.35,0.39,1349244000kiowa,38.387663,-102.756849,0.61,,0,0,,0,,1008.04,CO,1349268617,1349310708,85.7,1349298000,43.92,1349265600,1349244000,9.86,327,6.1
0,2012-10-04 00:00:00,55.12,1349388000,27.01,1349355600,0.03,kiowa,26.69,0.5,1349330400kiowa,38.387663,-102.756849,0.64,,0,0,,0,,1023.65,CO,1349355072,1349397015,55.12,1349388000,35.26,1349355600,1349330400,10,24,6.23
0,2012-10-05 00:00:00,37.57,1349463600,28.92,1349499600,0.67,kiowa,30.5,0.7,1349416800kiowa,38.387663,-102.756849,0.67,,0.0002,0.0015,1349445600,0.03,rain,1023.55,CO,1349441527,1349483323,44.58,1349463600,35.51,1349499600,1349416800,9.56,105,10.12
0,2012-10-06 00:00:00,34.48,1349557200,27.42,1349524800,0.99,kiowa,33.14,0.89,1349503200kiowa,38.387663,-102.756849,0.7,,0.0024,0.0084,1349521200,0.44,rain,1025.55,CO,1349527982,1349569632,39.02,1349557200,34.17,1349586000,1349503200,7.05,111,6.75
0,2012-10-07 00:00:00,53.04,1349647200,26.27,1349672400,0.55,kiowa,29.76,0.7,1349589600kiowa,38.387663,-102.756849,0.73,,0,0,,0,,1021.55,CO,1349614438,1349655941,53.04,1349647200,31.72,1349672400,1349589600,9.75,199,3.9
0,2012-10-08 00:00:00,70.19,1349733600,20.68,1349694000,0,kiowa,25,0.49,1349676000kiowa,38.387663,-102.756849,0.77,,0,0,,0,,1013.36,CO,1349700894,1349742250,70.19,1349733600,28.17,1349697600,1349676000,9.98,224,4.51
0,2012-10-09 00:00:00,56.07,1349816400,32.67,1349776800,0.18,kiowa,30.2,0.54,1349762400kiowa,38.387663,-102.756849,0.8,,0,0,,0,,1014.55,CO,1349787351,1349828561,56.07,1349816400,37.5,1349845200,1349762400,9.97,17,5.93
0,2012-10-10 00:00:00,68.2,1349906400,27.27,1349870400,0.08,kiowa,33.21,0.59,1349848800kiowa,38.387663,-102.756849,0.83,,0,0,,0,,1018.5,CO,1349873807,1349914872,68.2,1349906400,31.18,1349870400,1349848800,9.88,186,9.41
0,2012-10-11 00:00:00,75.87,1349982000,35.54,1349949600,0,kiowa,34.95,0.5,1349935200kiowa,38.387663,-102.756849,0.86,,0,0,,0,,1014.93,CO,1349960265,1350001183,75.87,1349982000,40.48,1349949600,1349935200,9.99,35,5.01
0,2012-10-12 00:00:00,64.84,1350079200,32.52,1350043200,0.38,kiowa,36.46,0.63,1350021600kiowa,38.387663,-102.756849,0.9,,0.0068,0.0788,1350100800,0.76,rain,1017.59,CO,1350046722,1350087495,64.84,1350079200,37.9,1350046800,1350021600,9.81,152,5.51
0,2012-10-13 00:00:00,63.53,1350151200,38.2,1350133200,0.33,kiowa,41.52,0.67,1350108000kiowa,38.387663,-102.756849,0.93,,0.0013,0.0083,1350108000,0.43,rain,1009.55,CO,1350133180,1350173809,63.53,1350151200,43.57,1350133200,1350108000,9.76,302,10
0,2012-10-14 00:00:00,69.85,1350248400,40.07,1350219600,0.1,kiowa,37.73,0.55,1350194400kiowa,38.387663,-102.756849,0.97,,0,0.0009,1350205200,0,,1019.39,CO,1350219638,1350260123,69.85,1350248400,44.12,1350277200,1350194400,10,309,5.92
0,2012-10-15 00:00:00,78.56,1350338400,33.98,1350298800,0,kiowa,34.65,0.51,1350280800kiowa,38.387663,-102.756849,0.01,,0,0,,0,,1012.99,CO,1350306097,1350346437,78.56,1350338400,39.15,1350302400,1350280800,10,245,3.2
0,2012-10-16 00:00:00,76.98,1350421200,38.61,1350392400,0,kiowa,32.37,0.41,1350367200kiowa,38.387663,-102.756849,0.04,,0,0,,0,,1003.54,CO,1350392556,1350432753,76.98,1350421200,41.91,1350388800,1350367200,9.98,221,5.6
0,2012-10-17 00:00:00,61.11,1350507600,33.08,1350536400,0.12,kiowa,22.2,0.34,1350453600kiowa,38.387663,-102.756849,0.08,,0,0,,0,,1006,CO,1350479016,1350519069,61.11,1350507600,33.08,1350536400,1350453600,9.94,350,12.03
0,2012-10-18 00:00:00,60.05,1350597600,20.95,1350565200,0.06,kiowa,16.2,0.38,1350540000kiowa,38.387663,-102.756849,0.12,,0,0,,0,,1017.32,CO,1350565476,1350605387,60.05,1350597600,28.2,1350565200,1350540000,9.85,316,7.3
0,2012-10-19 00:00:00,72.61,1350684000,23.68,1350648000,0.01,kiowa,20.08,0.36,1350626400kiowa,38.387663,-102.756849,0.16,,0,0,,0,,1013.87,CO,1350651936,1350691705,72.61,1350684000,29.92,1350648000,1350626400,9.99,238,3.16
0,2012-10-20 00:00:00,78.99,1350766800,34.79,1350738000,0,kiowa,20.92,0.29,1350712800kiowa,38.387663,-102.756849,0.2,,0,0,,0,,1005.58,CO,1350738397,1350778025,81.95,1350766800,39.31,1350727200,1350712800,9.99,209,6.32
0,2012-10-21 00:00:00,78.61,1350849600,37.34,1350820800,0,kiowa,23.91,0.3,1350799200kiowa,38.387663,-102.756849,0.23,,0,0,,0,,1004.35,CO,1350824858,1350864345,78.61,1350849600,41.3,1350820800,1350799200,10,350,2.91
0,2012-10-22 00:00:00,69.22,1350943200,34.7,1350903600,0.03,kiowa,37.55,0.6,1350885600kiowa,38.387663,-102.756849,0.27,,0,0,,0,,1008.61,CO,1350911319,1350950667,69.22,1350943200,36.75,1350910800,1350885600,9.58,120,2.02
