,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,66.9,1349125200,39.11,1349154000,0.21,kit,41.19,0.58,1349071200kit,39.30534,-102.603023,0.55,,0.0002,0.0022,1349107200,0.06,rain,1019.23,CO,1349095690,1349138039,66.9,1349125200,40.84,1349154000,1349071200,9.98,351,11.02
0,2012-10-02 00:00:00,79.7,1349215200,33.49,1349172000,0,kit,35.53,0.5,1349157600kit,39.30534,-102.603023,0.58,,0,0,,0,,1013.12,CO,1349182147,1349224343,81.94,1349215200,38.12,1349175600,1349157600,9.99,209,7.54
0,2012-10-03 00:00:00,82.28,1349298000,35.88,1349326800,0.04,kit,33.45,0.4,1349244000kit,39.30534,-102.603023,0.61,,0,0,,0,,1008.58,CO,1349268604,1349310647,86.07,1349298000,44.75,1349326800,1349244000,9.91,320,6
0,2012-10-04 00:00:00,53.45,1349388000,26.11,1349352000,0.07,kit,26.26,0.54,1349330400kit,39.30534,-102.603023,0.64,,0,0,,0,,1024.6,CO,1349355061,1349396952,53.45,1349388000,34.13,1349355600,1349330400,10,6,8.46
0,2012-10-05 00:00:00,30.22,1349460000,27.18,1349445600,0.82,kit,30.67,0.82,1349416800kit,39.30534,-102.603023,0.67,,0.0004,0.0038,1349445600,0.14,rain,1025.58,CO,1349441519,1349483258,37.57,1349460000,34.3,1349445600,1349416800,8.56,103,8.25
0,2012-10-06 00:00:00,28.45,1349553600,25.31,1349535600,0.96,kit,31.51,0.92,1349503200kit,39.30534,-102.603023,0.7,,0.0038,0.0118,1349528400,0.53,rain,1027.08,CO,1349527977,1349569564,35.1,1349553600,30.38,1349586000,1349503200,6.28,102,6.23
0,2012-10-07 00:00:00,52.86,1349647200,22.61,1349607600,0.41,kit,28.04,0.71,1349589600kit,39.30534,-102.603023,0.73,,0,0,,0,,1022.44,CO,1349614435,1349655870,52.86,1349647200,29.14,1349600400,1349589600,9.41,232,4.32
0,2012-10-08 00:00:00,71,1349733600,24.89,1349686800,0,kit,24.49,0.46,1349676000kit,39.30534,-102.603023,0.77,,0,0,,0,,1013.09,CO,1349700893,1349742177,71,1349733600,32.88,1349697600,1349676000,10,229,6.59
0,2012-10-09 00:00:00,51.96,1349820000,28.22,1349845200,0.27,kit,32.79,0.7,1349762400kit,39.30534,-102.603023,0.8,,0,0,,0,,1015.96,CO,1349787352,1349828485,51.96,1349820000,32.78,1349845200,1349762400,9.99,0,7.54
