,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,67.46,1349128800,39.85,1349154000,0.25,logan,38.6,0.53,1349071200logan,40.728091,-103.090464,0.55,,0.0001,0.0012,1349078400,0.02,rain,1020.77,CO,1349095837,1349138126,67.46,1349128800,42.4,1349154000,1349071200,9.97,357,8.94
0,2012-10-02 00:00:00,81.91,1349215200,35.32,1349168400,0,logan,33.31,0.45,1349157600logan,40.728091,-103.090464,0.58,,0,0,,0,,1011.42,CO,1349182298,1349224426,85.25,1349215200,39.77,1349168400,1349157600,9.98,224,4.31
0,2012-10-03 00:00:00,82.42,1349290800,29.38,1349326800,0.07,logan,32.18,0.42,1349244000logan,40.728091,-103.090464,0.61,,0,0,,0,,1009.49,CO,1349268759,1349310726,86.18,1349290800,39.12,1349326800,1349244000,9.91,323,10.78
0,2012-10-04 00:00:00,48.81,1349384400,24.03,1349348400,0.2,logan,24.87,0.56,1349330400logan,40.728091,-103.090464,0.64,,0,0,,0,,1026.72,CO,1349355220,1349397027,49.91,1349384400,31.78,1349355600,1349330400,10,9,6.18
0,2012-10-05 00:00:00,27.98,1349460000,24.43,1349442000,0.89,logan,29.52,0.83,1349416800logan,40.728091,-103.090464,0.67,,0.0008,0.005,1349449200,0.21,rain,1027.64,CO,1349441682,1349483329,35.41,1349460000,32.57,1349442000,1349416800,7.67,110,7.24
0,2012-10-06 00:00:00,27.79,1349557200,21.2,1349586000,0.83,logan,29.63,0.91,1349503200logan,40.728091,-103.090464,0.7,,0.0052,0.02,1349528400,0.6,rain,1029,CO,1349528143,1349569631,34.05,1349557200,26.59,1349586000,1349503200,6.06,92,4.52
0,2012-10-07 00:00:00,53.5,1349647200,14.39,1349614800,0.03,logan,24.49,0.69,1349589600logan,40.728091,-103.090464,0.73,,0,0,,0,,1023.04,CO,1349614606,1349655934,53.5,1349647200,21.69,1349604000,1349589600,9.71,267,4.89
0,2012-10-08 00:00:00,70.72,1349733600,24.28,1349701200,0,logan,25.25,0.49,1349676000logan,40.728091,-103.090464,0.77,,0,0,,0,,1012.57,CO,1349701068,1349742237,70.72,1349733600,31.33,1349697600,1349676000,10,261,3.9
0,2012-10-09 00:00:00,45.16,1349820000,29.02,1349845200,0.41,logan,33.22,0.74,1349762400logan,40.728091,-103.090464,0.8,,0,0,,0,,1017.67,CO,1349787531,1349828541,47.85,1349820000,32.06,1349845200,1349762400,9.87,8,5.79
