,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,61.73,1349125200,37.46,1349082000,0.25,park,29.75,0.49,1349071200park,39.118914,-105.717648,0.55,,0.0002,0.0027,1349092800,0.08,rain,1019.86,CO,1349096435,1349138789,61.73,1349125200,41.68,1349096400,1349071200,10,320,3.88
0,2012-10-02 00:00:00,69.37,1349211600,30.44,1349182800,0.02,park,24.47,0.39,1349157600park,39.118914,-105.717648,0.58,,0,0,,0,,1013.33,CO,1349182891,1349225094,69.37,1349211600,36.15,1349179200,1349157600,10,270,6.14
0,2012-10-03 00:00:00,68.82,1349298000,36.59,1349265600,0.12,park,20.2,0.29,1349244000park,39.118914,-105.717648,0.61,,0,0,,0,,1009.83,CO,1349269347,1349311399,68.82,1349298000,41.49,1349265600,1349244000,9.98,286,10.08
0,2012-10-04 00:00:00,54.95,1349380800,30.71,1349352000,0.5,park,23.29,0.47,1349330400park,39.118914,-105.717648,0.64,,0.0003,0.0045,1349380800,0.18,rain,1019.55,CO,1349355804,1349397704,54.95,1349380800,33.63,1349355600,1349330400,9.92,223,4.83
0,2012-10-05 00:00:00,44.38,1349467200,26.36,1349442000,0.56,park,25.95,0.6,1349416800park,39.118914,-105.717648,0.67,,0.0025,0.0172,1349420400,0.58,rain,1018.51,CO,1349442261,1349484010,48.88,1349467200,32.85,1349499600,1349416800,9.01,254,6.9
0,2012-10-06 00:00:00,34.5,1349550000,23.55,1349586000,0.64,park,20.87,0.63,1349503200park,39.118914,-105.717648,0.7,0.032,0.0002,0.0014,1349510400,0.03,snow,1021.16,CO,1349528718,1349570317,39.55,1349550000,27.97,1349586000,1349503200,8.05,269,2.81
0,2012-10-07 00:00:00,45.25,1349647200,17.91,1349614800,0.28,park,12.24,0.46,1349589600park,39.118914,-105.717648,0.73,,0,0,,0,,1019.74,CO,1349615176,1349656624,49.17,1349647200,21.94,1349614800,1349589600,9.47,259,3.98
0,2012-10-08 00:00:00,59.26,1349730000,23.18,1349686800,0.02,park,2.78,0.23,1349676000park,39.118914,-105.717648,0.77,,0,0,,0,,1013.47,CO,1349701634,1349742932,59.26,1349730000,27.91,1349697600,1349676000,10,266,8.28
0,2012-10-09 00:00:00,57.28,1349812800,30.22,1349784000,0.17,park,18.03,0.34,1349762400park,39.118914,-105.717648,0.8,,0,0,,0,,1012.43,CO,1349788092,1349829240,57.28,1349812800,36.98,1349845200,1349762400,9.88,272,8.87
0,2012-10-10 00:00:00,61.5,1349902800,25.63,1349859600,0.2,park,25.62,0.48,1349848800park,39.118914,-105.717648,0.83,,0,0,,0,,1016.55,CO,1349874551,1349915549,61.5,1349902800,32.35,1349859600,1349848800,9.93,258,7.22
