,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,68.76,1349125200,37.05,1349154000,0.28,phillips,39.65,0.54,1349071200phillips,40.594712,-102.345105,0.55,,0,0,,0,,1020.16,CO,1349095656,1349137950,68.76,1349125200,41.21,1349154000,1349071200,9.98,351,9.9
0,2012-10-02 00:00:00,81.95,1349215200,32.45,1349179200,0,phillips,34.37,0.47,1349157600phillips,40.594712,-102.345105,0.58,,0,0,,0,,1012.42,CO,1349182116,1349224250,85.16,1349215200,38.13,1349179200,1349157600,9.93,207,5.62
0,2012-10-03 00:00:00,84.44,1349294400,35,1349326800,0.04,phillips,32.72,0.4,1349244000phillips,40.594712,-102.345105,0.61,,0,0,,0,,1008.96,CO,1349268576,1349310551,89.11,1349294400,43.4,1349326800,1349244000,9.89,321,11.17
0,2012-10-04 00:00:00,53.34,1349384400,25.34,1349352000,0.13,phillips,26.43,0.55,1349330400phillips,40.594712,-102.345105,0.64,,0,0,,0,,1026.12,CO,1349355037,1349396853,53.34,1349384400,34.36,1349355600,1349330400,10,359,8.52
0,2012-10-05 00:00:00,29.47,1349434800,26.8,1349445600,0.88,phillips,31.06,0.85,1349416800phillips,40.594712,-102.345105,0.67,,0.0011,0.0069,1349456400,0.33,rain,1027.57,CO,1349441498,1349483155,36.36,1349434800,33.66,1349445600,1349416800,7.5,108,5.96
0,2012-10-06 00:00:00,32.21,1349510400,21.27,1349586000,0.88,phillips,31.11,0.91,1349503200phillips,40.594712,-102.345105,0.7,,0.0049,0.0263,1349542800,0.63,rain,1028.91,CO,1349527960,1349569457,35.63,1349510400,27.09,1349586000,1349503200,5.57,92,4.57
0,2012-10-07 00:00:00,53.58,1349647200,16,1349607600,0.11,phillips,26.31,0.72,1349589600phillips,40.594712,-102.345105,0.73,,0,0,,0,,1023.37,CO,1349614421,1349655760,53.58,1349647200,21.98,1349614800,1349589600,9.41,258,5.47
0,2012-10-08 00:00:00,71.94,1349730000,26.09,1349697600,0,phillips,26.47,0.49,1349676000phillips,40.594712,-102.345105,0.77,,0,0,,0,,1012.79,CO,1349700883,1349742064,71.94,1349730000,33.46,1349697600,1349676000,10,252,5.27
0,2012-10-09 00:00:00,52.06,1349820000,28.62,1349845200,0.26,phillips,33.55,0.7,1349762400phillips,40.594712,-102.345105,0.8,,0,0,,0,,1017.09,CO,1349787346,1349828368,52.06,1349820000,33.28,1349845200,1349762400,9.95,1,8.19
0,2012-10-10 00:00:00,63.91,1349906400,25.84,1349870400,0,phillips,34.21,0.65,1349848800phillips,40.594712,-102.345105,0.83,,0,0,,0,,1019.69,CO,1349873809,1349914673,63.91,1349906400,31.85,1349870400,1349848800,9.93,203,8.71
0,2012-10-11 00:00:00,58.61,1349989200,33.56,1350018000,0.07,phillips,34.6,0.61,1349935200phillips,40.594712,-102.345105,0.86,,0,0,,0,,1018.62,CO,1349960272,1350000978,58.61,1349989200,37.17,1350018000,1349935200,9.89,36,7.62
