,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,66.52,1349128800,32.98,1349092800,0.12,pitkin,27.95,0.46,1349071200pitkin,39.217332,-106.915783,0.55,,0,0,,0,,1019.73,CO,1349096724,1349139075,66.52,1349128800,35.94,1349096400,1349071200,10,251,2.28
0,2012-10-02 00:00:00,70.36,1349215200,33.06,1349182800,0,pitkin,24.29,0.4,1349157600pitkin,39.217332,-106.915783,0.58,,0,0,,0,,1015.09,CO,1349183181,1349225379,70.36,1349215200,35.18,1349179200,1349157600,10,262,3.97
0,2012-10-03 00:00:00,69.36,1349301600,33.59,1349265600,0.2,pitkin,20.47,0.32,1349244000pitkin,39.217332,-106.915783,0.61,,0,0,,0,,1011.71,CO,1349269637,1349311684,69.36,1349301600,37.16,1349269200,1349244000,10,265,6.82
0,2012-10-04 00:00:00,65.25,1349377200,36.53,1349355600,0.5,pitkin,23.55,0.35,1349330400pitkin,39.217332,-106.915783,0.64,,0.0006,0.013,1349388000,0.54,rain,1012.38,CO,1349356094,1349397989,65.25,1349377200,40.23,1349355600,1349330400,9.98,243,5.3
0,2012-10-05 00:00:00,59.44,1349474400,37.43,1349499600,0.32,pitkin,18.07,0.31,1349416800pitkin,39.217332,-106.915783,0.67,,0.0004,0.0035,1349416800,0.12,rain,1009.62,CO,1349442552,1349484294,59.44,1349474400,41.6,1349499600,1349416800,9.91,286,5.67
0,2012-10-06 00:00:00,46.06,1349560800,24.73,1349528400,0.12,pitkin,7.71,0.28,1349503200pitkin,39.217332,-106.915783,0.7,,0,0,,0,,1014.39,CO,1349529009,1349570601,49.81,1349560800,29.09,1349532000,1349503200,9.79,294,4.18
0,2012-10-07 00:00:00,51.9,1349647200,17.88,1349614800,0.21,pitkin,4.57,0.3,1349589600pitkin,39.217332,-106.915783,0.73,,0,0,,0,,1016.8,CO,1349615467,1349656908,51.9,1349647200,22.86,1349618400,1349589600,9.86,281,3.22
0,2012-10-08 00:00:00,59.07,1349733600,21.37,1349679600,0.01,pitkin,2.91,0.25,1349676000pitkin,39.217332,-106.915783,0.77,,0,0,,0,,1015.78,CO,1349701926,1349743215,59.07,1349733600,23.72,1349697600,1349676000,10,275,4.63
0,2012-10-09 00:00:00,63.1,1349816400,25.2,1349787600,0.08,pitkin,13.7,0.29,1349762400pitkin,39.217332,-106.915783,0.8,,0,0,,0,,1013.64,CO,1349788384,1349829523,63.1,1349816400,31.99,1349787600,1349762400,9.96,268,4.45
0,2012-10-10 00:00:00,64.33,1349899200,25.4,1349866800,0.18,pitkin,20.8,0.37,1349848800pitkin,39.217332,-106.915783,0.83,,0,0,,0,,1015.09,CO,1349874843,1349915832,64.33,1349899200,32.28,1349866800,1349848800,10,268,4.77
0,2012-10-11 00:00:00,68.7,1349992800,31.2,1349960400,0.18,pitkin,22.89,0.36,1349935200pitkin,39.217332,-106.915783,0.86,,0,0,,0,,1013.43,CO,1349961303,1350002141,68.7,1349992800,36.37,1349960400,1349935200,9.99,215,3.35
0,2012-10-12 00:00:00,55.4,1350068400,32.38,1350104400,0.54,pitkin,34.93,0.66,1350021600pitkin,39.217332,-106.915783,0.9,,0.0129,0.1135,1350093600,0.79,rain,1011.33,CO,1350047762,1350088451,55.4,1350068400,36.2,1350104400,1350021600,9.29,166,5.24
0,2012-10-13 00:00:00,37.39,1350169200,27.96,1350133200,0.9,pitkin,33.56,0.86,1350108000pitkin,39.217332,-106.915783,0.93,,0.0025,0.0138,1350140400,0.55,rain,1017.22,CO,1350134222,1350174762,41.94,1350169200,33.86,1350118800,1350108000,8.71,283,4.36
0,2012-10-14 00:00:00,56.33,1350252000,32.98,1350277200,0.45,pitkin,34.25,0.72,1350194400pitkin,39.217332,-106.915783,0.97,,0.0003,0.007,1350194400,0.34,rain,1023.79,CO,1350220683,1350261074,56.33,1350252000,36.85,1350277200,1350194400,9.94,283,1.78
0,2012-10-15 00:00:00,61.21,1350334800,24.4,1350302400,0.01,pitkin,26.84,0.56,1350280800pitkin,39.217332,-106.915783,0.01,,0,0,,0,,1019,CO,1350307144,1350347386,61.21,1350334800,28.45,1350306000,1350280800,9.94,262,3.83
0,2012-10-16 00:00:00,62.93,1350421200,28.49,1350392400,0.21,pitkin,27.76,0.5,1350367200pitkin,39.217332,-106.915783,0.04,,0.0006,0.0126,1350450000,0.54,rain,1009.53,CO,1350393605,1350433700,62.93,1350421200,32.26,1350392400,1350367200,9.86,271,6.92
0,2012-10-17 00:00:00,43.2,1350511200,27.32,1350532800,0.1,pitkin,13.01,0.36,1350453600pitkin,39.217332,-106.915783,0.08,,0.0015,0.0196,1350457200,0.6,rain,1010.42,CO,1350480067,1350520014,48.9,1350511200,32.49,1350536400,1350453600,9.88,309,8.39
0,2012-10-18 00:00:00,54.14,1350597600,21.05,1350558000,0,pitkin,12.6,0.37,1350540000pitkin,39.217332,-106.915783,0.12,,0.0001,0.0008,1350597600,0.01,rain,1021.2,CO,1350566529,1350606329,54.14,1350597600,27.1,1350565200,1350540000,9.68,285,3.74
0,2012-10-19 00:00:00,62.26,1350680400,22.34,1350651600,0.01,pitkin,17.84,0.41,1350626400pitkin,39.217332,-106.915783,0.16,,0.0001,0.0019,1350673200,0.05,rain,1017.66,CO,1350652991,1350692646,62.26,1350680400,26.78,1350648000,1350626400,9.91,258,5.69
0,2012-10-20 00:00:00,66.68,1350766800,27.25,1350730800,0.01,pitkin,15.26,0.33,1350712800pitkin,39.217332,-106.915783,0.2,,0,0,,0,,1009.6,CO,1350739454,1350778963,66.68,1350766800,31.98,1350727200,1350712800,9.99,242,5.59
0,2012-10-21 00:00:00,63.94,1350853200,28.26,1350824400,0.06,pitkin,18.79,0.35,1350799200pitkin,39.217332,-106.915783,0.23,,0,0,,0,,1007.42,CO,1350825918,1350865281,63.94,1350853200,33.82,1350824400,1350799200,10,212,5.55
0,2012-10-22 00:00:00,62.33,1350939600,30.73,1350910800,0.19,pitkin,21.66,0.39,1350885600pitkin,39.217332,-106.915783,0.27,,0,0,,0,,1006.81,CO,1350912381,1350951601,62.33,1350939600,35.3,1350914400,1350885600,10,198,6.61
0,2012-10-23 00:00:00,59.84,1351022400,40.99,1350982800,0.23,pitkin,18.69,0.28,1350972000pitkin,39.217332,-106.915783,0.3,,0,0,,0,,1003.58,CO,1350998845,1351037921,59.84,1351022400,44.69,1350975600,1350972000,9.99,225,10.5
0,2012-10-24 00:00:00,54.36,1351105200,20.38,1351141200,0.62,pitkin,22.25,0.48,1351058400pitkin,39.217332,-106.915783,0.34,,0.0042,0.0579,1351126800,0.73,rain,1003.76,CO,1351085310,1351124243,54.36,1351105200,28.4,1351141200,1351058400,8.53,206,6.65
0,2012-10-25 00:00:00,27.92,1351188000,14.82,1351170000,0.75,pitkin,21,0.78,1351144800pitkin,39.217332,-106.915783,0.37,1.205,0.0047,0.0285,1351213200,0.64,snow,1018.08,CO,1351171775,1351210565,31.74,1351188000,22.07,1351173600,1351144800,7.28,308,3.47
0,2012-10-26 00:00:00,33.99,1351288800,3.31,1351260000,0.26,pitkin,11.91,0.65,1351231200pitkin,39.217332,-106.915783,0.4,0.029,0.0001,0.0008,1351260000,0.01,snow,1027.39,CO,1351258240,1351296889,33.99,1351288800,12.21,1351260000,1351231200,9.85,234,2.79
0,2012-10-27 00:00:00,33.95,1351375200,13.44,1351346400,0.49,pitkin,16.24,0.56,1351317600pitkin,39.217332,-106.915783,0.44,,0,0,,0,,1021.95,CO,1351344705,1351383214,42.02,1351375200,22.09,1351317600,1351317600,9.91,263,8.21
0,2012-10-28 00:00:00,52.15,1351461600,23.18,1351404000,0.31,pitkin,22.47,0.55,1351404000pitkin,39.217332,-106.915783,0.47,,0,0,,0,,1020.74,CO,1351431171,1351469541,52.15,1351461600,28.25,1351404000,1351404000,9.93,255,5.56
0,2012-10-29 00:00:00,56.59,1351548000,20.51,1351519200,0.03,pitkin,24.38,0.56,1351490400pitkin,39.217332,-106.915783,0.49,,0,0,,0,,1021.7,CO,1351517637,1351555869,56.59,1351548000,27.73,1351512000,1351490400,10,249,5.52
0,2012-10-30 00:00:00,57.91,1351630800,23.71,1351598400,0.01,pitkin,22.44,0.51,1351576800pitkin,39.217332,-106.915783,0.53,,0,0,,0,,1021.33,CO,1351604104,1351642198,57.91,1351630800,29,1351605600,1351576800,10,247,3.28
0,2012-10-31 00:00:00,60.5,1351720800,22.12,1351688400,0,pitkin,20.73,0.47,1351663200pitkin,39.217332,-106.915783,0.56,,0,0,,0,,1020.55,CO,1351690570,1351728528,60.5,1351720800,28.38,1351688400,1351663200,9.97,236,2.75
0,2012-11-01 00:00:00,59.3,1351803600,22.92,1351778400,0.02,pitkin,16.96,0.43,1351749600pitkin,39.217332,-106.915783,0.59,,0,0,,0,,1016.84,CO,1351777037,1351814860,59.3,1351803600,28.62,1351774800,1351749600,10,228,4.31
