,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,71.81,1349128800,35.88,1349092800,0.06,rio blanco,31.02,0.44,1349071200rio blanco,39.972622,-108.200716,0.55,,0,0,,0,,1021.12,CO,1349097049,1349139367,71.81,1349128800,39.76,1349096400,1349071200,9.82,303,0.44
0,2012-10-02 00:00:00,75.67,1349215200,40.01,1349175600,0.01,rio blanco,27.96,0.38,1349157600rio blanco,39.972622,-108.200716,0.58,,0,0,,0,,1015.62,CO,1349183507,1349225669,75.67,1349215200,40.42,1349179200,1349157600,9.98,247,2.15
0,2012-10-03 00:00:00,74.25,1349298000,39.55,1349269200,0.08,rio blanco,24.19,0.33,1349244000rio blanco,39.972622,-108.200716,0.61,,0,0,,0,,1012.81,CO,1349269966,1349311972,74.25,1349298000,42.64,1349269200,1349244000,9.64,263,5.12
0,2012-10-04 00:00:00,65.74,1349388000,25.83,1349355600,0.08,rio blanco,19.71,0.38,1349330400rio blanco,39.972622,-108.200716,0.64,,0,0,,0,,1016.9,CO,1349356425,1349398275,65.74,1349388000,30.19,1349355600,1349330400,9.95,268,4.2
0,2012-10-05 00:00:00,59.92,1349474400,32.86,1349438400,0.16,rio blanco,15.35,0.3,1349416800rio blanco,39.972622,-108.200716,0.67,,0,0,,0,,1014.96,CO,1349442884,1349484578,59.92,1349474400,35.21,1349442000,1349416800,9.94,282,4.91
0,2012-10-06 00:00:00,47.12,1349560800,22.1,1349521200,0.04,rio blanco,11.49,0.35,1349503200rio blanco,39.972622,-108.200716,0.7,,0,0,,0,,1020.07,CO,1349529344,1349570883,49.97,1349560800,25.71,1349528400,1349503200,10,298,2.99
0,2012-10-07 00:00:00,54.01,1349650800,20.7,1349614800,0.03,rio blanco,6.89,0.32,1349589600rio blanco,39.972622,-108.200716,0.73,,0,0,,0,,1021.05,CO,1349615804,1349657187,54.01,1349650800,20.7,1349614800,1349589600,10,251,1.42
0,2012-10-08 00:00:00,64.12,1349733600,20.76,1349701200,0.02,rio blanco,8.11,0.26,1349676000rio blanco,39.972622,-108.200716,0.77,,0,0,,0,,1017.44,CO,1349702264,1349743493,64.12,1349733600,26.43,1349701200,1349676000,9.78,245,3.77
0,2012-10-09 00:00:00,68.57,1349820000,33.37,1349787600,0.02,rio blanco,15.68,0.28,1349762400rio blanco,39.972622,-108.200716,0.8,,0,0,,0,,1014.95,CO,1349788725,1349829799,68.57,1349820000,33.37,1349787600,1349762400,9.81,272,4.38
0,2012-10-10 00:00:00,69.79,1349902800,33.39,1349870400,0.06,rio blanco,22.05,0.33,1349848800rio blanco,39.972622,-108.200716,0.83,,0,0,,0,,1015.95,CO,1349875186,1349916105,69.79,1349902800,36.38,1349874000,1349848800,9.87,236,1.93
