,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,66.14,1349125200,33.34,1349096400,0.12,rio grande,27.83,0.43,1349071200rio grande,37.485853,-106.453128,0.55,,0,0,,0,,1020.19,CO,1349096578,1349138999,66.14,1349125200,37.85,1349096400,1349071200,10,336,2.16
0,2012-10-02 00:00:00,68.48,1349211600,32.46,1349175600,0,rio grande,26.04,0.4,1349157600rio grande,37.485853,-106.453128,0.58,,0,0,,0,,1016.84,CO,1349183030,1349225308,68.48,1349211600,35.87,1349182800,1349157600,10,263,4.27
0,2012-10-03 00:00:00,69.45,1349298000,34.38,1349262000,0.05,rio grande,21.41,0.32,1349244000rio grande,37.485853,-106.453128,0.61,,0,0,,0,,1014.91,CO,1349269482,1349311617,69.45,1349298000,37.85,1349265600,1349244000,10,274,7.61
0,2012-10-04 00:00:00,64.89,1349380800,31,1349348400,0.24,rio grande,24.03,0.37,1349330400rio grande,37.485853,-106.453128,0.64,,0,0,,0,,1016.77,CO,1349355934,1349397927,64.89,1349380800,36.69,1349355600,1349330400,9.97,235,8.94
0,2012-10-05 00:00:00,62.72,1349470800,31.95,1349438400,0.13,rio grande,23.54,0.38,1349416800rio grande,37.485853,-106.453128,0.67,,0,0,,0,,1013.04,CO,1349442387,1349484237,62.72,1349470800,37.5,1349438400,1349416800,9.93,242,11.08
0,2012-10-06 00:00:00,57.12,1349557200,29.96,1349586000,0.13,rio grande,16.06,0.34,1349503200rio grande,37.485853,-106.453128,0.7,,0,0,,0,,1012.93,CO,1349528840,1349570548,57.12,1349557200,34.55,1349586000,1349503200,9.78,243,6.05
0,2012-10-07 00:00:00,54.48,1349647200,17.67,1349614800,0.07,rio grande,9.35,0.33,1349589600rio grande,37.485853,-106.453128,0.73,,0,0,,0,,1017.25,CO,1349615294,1349656859,54.48,1349647200,24.28,1349614800,1349589600,9.85,239,6.39
0,2012-10-08 00:00:00,57.6,1349733600,19.25,1349701200,0.01,rio grande,6.14,0.25,1349676000rio grande,37.485853,-106.453128,0.77,,0,0,,0,,1018.58,CO,1349701747,1349743171,57.6,1349733600,24.9,1349697600,1349676000,10,249,7.44
0,2012-10-09 00:00:00,62.85,1349816400,24.83,1349784000,0,rio grande,16.3,0.32,1349762400rio grande,37.485853,-106.453128,0.8,,0,0,,0,,1016.5,CO,1349788201,1349829484,62.85,1349816400,31.29,1349784000,1349762400,9.99,251,7.41
0,2012-10-10 00:00:00,64.01,1349902800,25.77,1349870400,0.02,rio grande,22.51,0.4,1349848800rio grande,37.485853,-106.453128,0.83,,0,0,,0,,1018.23,CO,1349874656,1349915797,64.01,1349902800,31.82,1349874000,1349848800,9.99,243,8.27
0,2012-10-11 00:00:00,64.67,1349992800,27.77,1349960400,0.26,rio grande,26.88,0.43,1349935200rio grande,37.485853,-106.453128,0.86,,0.0001,0.0023,1350018000,0.06,rain,1017.19,CO,1349961111,1350002111,64.67,1349992800,33.73,1349960400,1349935200,9.85,217,5.46
0,2012-10-12 00:00:00,43.62,1350068400,28.36,1350100800,0.7,rio grande,37.66,0.8,1350021600rio grande,37.485853,-106.453128,0.9,,0.0138,0.0661,1350072000,0.74,rain,1015.8,CO,1350047566,1350088426,49.26,1350068400,34.49,1350104400,1350021600,8.61,207,5.43
0,2012-10-13 00:00:00,45.95,1350169200,21.35,1350126000,0.49,rio grande,30.06,0.73,1350108000rio grande,37.485853,-106.453128,0.93,,0,0,,0,,1017.83,CO,1350134021,1350174741,49.27,1350169200,29.37,1350126000,1350108000,8.89,269,5.33
0,2012-10-14 00:00:00,60.65,1350252000,26.64,1350216000,0.07,rio grande,29.25,0.61,1350194400rio grande,37.485853,-106.453128,0.97,,0,0,,0,,1025.3,CO,1350220477,1350261057,60.65,1350252000,29.37,1350219600,1350194400,10,272,1.52
0,2012-10-15 00:00:00,60.09,1350338400,25.9,1350302400,0,rio grande,26.61,0.53,1350280800rio grande,37.485853,-106.453128,0.01,,0,0,,0,,1021.05,CO,1350306934,1350347374,60.09,1350338400,30.09,1350306000,1350280800,10,256,4.59
0,2012-10-16 00:00:00,62.64,1350424800,29.03,1350385200,0.05,rio grande,23.23,0.4,1350367200rio grande,37.485853,-106.453128,0.04,,0.0002,0.0036,1350414000,0.13,rain,1012.32,CO,1350393391,1350433692,62.64,1350424800,32.29,1350388800,1350367200,10,251,10.54
0,2012-10-17 00:00:00,56.4,1350507600,33.48,1350536400,0.07,rio grande,10.42,0.26,1350453600rio grande,37.485853,-106.453128,0.08,,0.0001,0.0015,1350464400,0.03,rain,1008.77,CO,1350479848,1350520011,56.4,1350507600,38.89,1350536400,1350453600,9.96,278,11.77
0,2012-10-18 00:00:00,59.05,1350594000,22.25,1350558000,0,rio grande,10.29,0.27,1350540000rio grande,37.485853,-106.453128,0.12,,0,0,,0,,1018.02,CO,1350566305,1350606331,59.05,1350594000,28.81,1350565200,1350540000,10,295,6.89
0,2012-10-19 00:00:00,62.34,1350684000,25.01,1350648000,0,rio grande,14.45,0.31,1350626400rio grande,37.485853,-106.453128,0.16,,0,0,,0,,1017.71,CO,1350652763,1350692652,62.34,1350684000,29.97,1350648000,1350626400,10,264,6.23
0,2012-10-20 00:00:00,62.99,1350770400,23.06,1350738000,0,rio grande,12.94,0.29,1350712800rio grande,37.485853,-106.453128,0.2,,0,0,,0,,1013.88,CO,1350739222,1350778973,62.99,1350770400,30.04,1350734400,1350712800,9.99,241,8.33
0,2012-10-21 00:00:00,59.53,1350853200,23.68,1350820800,0.01,rio grande,20.1,0.38,1350799200rio grande,37.485853,-106.453128,0.23,,0,0,,0,,1012.37,CO,1350825681,1350865296,59.53,1350853200,31,1350824400,1350799200,10,235,7.87
0,2012-10-22 00:00:00,58.15,1350939600,22.72,1350910800,0.02,rio grande,24.31,0.49,1350885600rio grande,37.485853,-106.453128,0.27,,0,0,,0,,1013.17,CO,1350912140,1350951620,58.15,1350939600,30.49,1350907200,1350885600,10,226,9.1
0,2012-10-23 00:00:00,59.03,1351022400,27.78,1350982800,0.24,rio grande,24.21,0.44,1350972000rio grande,37.485853,-106.453128,0.3,,0,0,,0,,1011.42,CO,1350998599,1351037945,59.03,1351022400,35.62,1350993600,1350972000,9.9,225,11.9
0,2012-10-24 00:00:00,57.32,1351108800,26.9,1351141200,0.29,rio grande,21.21,0.4,1351058400rio grande,37.485853,-106.453128,0.34,,0,0,,0,,1007.36,CO,1351085059,1351124271,57.32,1351108800,34.33,1351083600,1351058400,9.7,226,13.02
0,2012-10-25 00:00:00,35.3,1351198800,13.88,1351170000,0.23,rio grande,11.2,0.44,1351144800rio grande,37.485853,-106.453128,0.37,,0,0,,0,,1016.28,CO,1351171520,1351210598,42.66,1351198800,20.98,1351170000,1351144800,9.88,248,8.52
0,2012-10-26 00:00:00,34.24,1351288800,7.99,1351252800,0.07,rio grande,0.97,0.37,1351231200rio grande,37.485853,-106.453128,0.4,,0,0,,0,,1025.13,CO,1351257981,1351296926,39.4,1351288800,15.7,1351256400,1351231200,9.95,281,2.83
0,2012-10-27 00:00:00,39.76,1351375200,1.35,1351342800,0.05,rio grande,3.83,0.33,1351317600rio grande,37.485853,-106.453128,0.44,,0,0,,0,,1023.93,CO,1351344442,1351383256,46.49,1351375200,15,1351342800,1351317600,10,247,10.02
0,2012-10-28 00:00:00,54.19,1351461600,14.28,1351429200,0.02,rio grande,14.46,0.39,1351404000rio grande,37.485853,-106.453128,0.47,,0,0,,0,,1022.33,CO,1351430903,1351469587,54.19,1351461600,23.2,1351429200,1351404000,9.98,264,6.79
0,2012-10-29 00:00:00,57.79,1351544400,21.03,1351515600,0,rio grande,18.88,0.43,1351490400rio grande,37.485853,-106.453128,0.49,,0,0,,0,,1023.42,CO,1351517365,1351555919,57.79,1351544400,27.67,1351515600,1351490400,10,269,5.64
0,2012-10-30 00:00:00,58.56,1351630800,24.71,1351594800,0,rio grande,16.16,0.37,1351576800rio grande,37.485853,-106.453128,0.53,,0,0,,0,,1022.18,CO,1351603827,1351642252,58.56,1351630800,28.57,1351602000,1351576800,9.97,274,2.79
0,2012-10-31 00:00:00,59.1,1351720800,28.46,1351677600,0,rio grande,13.33,0.34,1351663200rio grande,37.485853,-106.453128,0.56,,0,0,,0,,1022.98,CO,1351690290,1351728587,59.1,1351720800,28.92,1351688400,1351663200,10,248,1.67
0,2012-11-01 00:00:00,56.9,1351803600,19.64,1351774800,0,rio grande,10.51,0.31,1351749600rio grande,37.485853,-106.453128,0.59,,0,0,,0,,1021.07,CO,1351776752,1351814923,56.9,1351803600,26.79,1351774800,1351749600,10,238,7.59
0,2012-11-02 00:00:00,56.1,1351890000,23.45,1351850400,0.01,rio grande,8.23,0.27,1351836000rio grande,37.485853,-106.453128,0.62,,0,0,,0,,1018.99,CO,1351863215,1351901260,56.1,1351890000,30.69,1351861200,1351836000,10,242,6.32
0,2012-11-03 00:00:00,53.41,1351980000,18.27,1351951200,0.01,rio grande,9.61,0.33,1351922400rio grande,37.485853,-106.453128,0.65,,0,0,,0,,1022.97,CO,1351949679,1351987599,53.41,1351980000,25.09,1351947600,1351922400,10,243,5.82
0,2012-11-04 00:00:00,53.39,1352066400,18.31,1352030400,0,rio grande,12.09,0.36,1352008800rio grande,37.485853,-106.453128,0.68,,0,0,,0,,1026.32,CO,1352036142,1352073939,53.39,1352066400,24.61,1352034000,1352008800,9.99,288,3.72
0,2012-11-05 00:00:00,56.65,1352149200,20.48,1352116800,0,rio grande,17.99,0.42,1352098800rio grande,37.485853,-106.453128,0.71,,0,0,,0,,1026.48,CO,1352122606,1352160281,56.65,1352149200,27.05,1352120400,1352098800,10,306,4.24
0,2012-11-06 00:00:00,58.96,1352239200,24.72,1352206800,0,rio grande,15.34,0.36,1352185200rio grande,37.485853,-106.453128,0.75,,0,0,,0,,1026.17,CO,1352209070,1352246624,58.96,1352239200,29.12,1352206800,1352185200,10,257,2.37
0,2012-11-07 00:00:00,57.86,1352325600,20.29,1352293200,0,rio grande,13.36,0.34,1352271600rio grande,37.485853,-106.453128,0.78,,0,0,,0,,1022.84,CO,1352295534,1352332969,57.86,1352325600,27.39,1352293200,1352271600,9.99,244,7.11
0,2012-11-08 00:00:00,53.28,1352412000,17.11,1352376000,0.07,rio grande,14.91,0.39,1352358000rio grande,37.485853,-106.453128,0.81,,0,0,,0,,1017.18,CO,1352381998,1352419315,53.28,1352412000,25.62,1352376000,1352358000,9.98,223,8.69
0,2012-11-09 00:00:00,40.12,1352491200,25.64,1352451600,0.73,rio grande,30.75,0.72,1352444400rio grande,37.485853,-106.453128,0.85,,0.0087,0.0235,1352509200,0.62,rain,1009.48,CO,1352468462,1352505663,46.21,1352491200,33.54,1352451600,1352444400,7.61,208,9.2
0,2012-11-10 00:00:00,31.95,1352530800,2.72,1352613600,0.65,rio grande,19.32,0.71,1352530800rio grande,37.485853,-106.453128,0.88,1.246,0.0064,0.0317,1352556000,0.66,snow,1004.93,CO,1352554927,1352592013,38.41,1352530800,14.15,1352613600,1352530800,8.77,233,11.13
0,2012-11-11 00:00:00,7.18,1352664000,-1.79,1352700000,0.47,rio grande,3.37,0.61,1352617200rio grande,37.485853,-106.453128,0.92,,0,0,,0,,1020.89,CO,1352641391,1352678364,21.51,1352664000,9.27,1352700000,1352617200,8.77,282,8.29
0,2012-11-12 00:00:00,24.8,1352754000,-4.03,1352718000,0.04,rio grande,3.73,0.53,1352703600rio grande,37.485853,-106.453128,0.96,0.158,0.0008,0.0091,1352750400,0.48,snow,1035.36,CO,1352727855,1352764717,31.5,1352754000,4.83,1352718000,1352703600,10,241,3.46
0,2012-11-13 00:00:00,33.02,1352844000,6.42,1352797200,0.03,rio grande,10.57,0.52,1352790000rio grande,37.485853,-106.453128,0.99,0.017,0.0001,0.0023,1352844000,0.06,snow,1030.32,CO,1352814320,1352851071,40.01,1352844000,15.35,1352811600,1352790000,10,255,6.35
0,2012-11-14 00:00:00,37.25,1352930400,6.47,1352898000,0,rio grande,7.94,0.44,1352876400rio grande,37.485853,-106.453128,0.03,,0,0,,0,,1029.25,CO,1352900784,1352937428,43.37,1352930400,17.16,1352898000,1352876400,9.97,246,8.66
0,2012-11-15 00:00:00,40.52,1353016800,10.69,1352988000,0,rio grande,7.91,0.4,1352962800rio grande,37.485853,-106.453128,0.07,,0,0,,0,,1029.15,CO,1352987248,1353023786,45.54,1353016800,18.8,1352984400,1352962800,9.99,239,3.87
