,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,65.72,1349125200,33.72,1349096400,0.08,routt,28.32,0.46,1349071200routt,40.483664,-106.987702,0.55,,0,0,,0,,1021.79,CO,1349096768,1349139065,65.72,1349125200,37.46,1349092800,1349071200,9.98,275,2.19
0,2012-10-02 00:00:00,70.61,1349215200,32.05,1349182800,0,routt,23.46,0.38,1349157600routt,40.483664,-106.987702,0.58,,0,0,,0,,1016.32,CO,1349183228,1349225366,70.61,1349215200,36.83,1349182800,1349157600,10,243,5.21
0,2012-10-03 00:00:00,68.49,1349298000,30.57,1349269200,0.18,routt,19.91,0.33,1349244000routt,40.483664,-106.987702,0.61,,0,0,,0,,1013.53,CO,1349269688,1349311667,68.49,1349298000,39.01,1349269200,1349244000,9.91,260,9.2
0,2012-10-04 00:00:00,59.03,1349388000,21.57,1349355600,0.11,routt,15.92,0.38,1349330400routt,40.483664,-106.987702,0.64,,0.0002,0.0026,1349380800,0.08,rain,1017.78,CO,1349356149,1349397969,59.03,1349388000,29.13,1349355600,1349330400,9.97,259,6.52
0,2012-10-05 00:00:00,45.31,1349474400,28.19,1349499600,0.24,routt,13.46,0.33,1349416800routt,40.483664,-106.987702,0.67,,0.0003,0.0032,1349434800,0.11,rain,1015.7,CO,1349442610,1349484271,49.13,1349474400,32.63,1349499600,1349416800,9.9,280,5.57
0,2012-10-06 00:00:00,39.8,1349557200,15.46,1349528400,0.09,routt,10.69,0.42,1349503200routt,40.483664,-106.987702,0.7,,0,0,,0,,1020.83,CO,1349529071,1349570574,43.51,1349557200,22.99,1349528400,1349503200,9.97,287,4.89
0,2012-10-07 00:00:00,44.38,1349647200,16.19,1349618400,0.04,routt,3.28,0.33,1349589600routt,40.483664,-106.987702,0.73,,0,0,,0,,1021.81,CO,1349615532,1349656877,48.36,1349647200,17.52,1349614800,1349589600,9.98,256,3.02
0,2012-10-08 00:00:00,59.77,1349733600,14.56,1349697600,0.01,routt,0,0.23,1349676000routt,40.483664,-106.987702,0.77,,0,0,,0,,1017.88,CO,1349701994,1349743181,59.77,1349733600,23.76,1349701200,1349676000,9.96,242,6.39
0,2012-10-09 00:00:00,62.26,1349820000,22.6,1349784000,0.01,routt,8.34,0.24,1349762400routt,40.483664,-106.987702,0.8,,0,0,,0,,1015.29,CO,1349788456,1349829486,62.26,1349820000,29.95,1349787600,1349762400,9.96,269,8.42
0,2012-10-10 00:00:00,65.51,1349902800,25.36,1349870400,0.1,routt,15.46,0.31,1349848800routt,40.483664,-106.987702,0.83,,0,0,,0,,1016.89,CO,1349874919,1349915791,65.51,1349902800,30.69,1349870400,1349848800,9.97,246,5.55
0,2012-10-11 00:00:00,65.15,1349989200,35.63,1349960400,0.23,routt,23.61,0.34,1349935200routt,40.483664,-106.987702,0.86,,0,0,,0,,1014.57,CO,1349961381,1350002097,65.15,1349989200,39.32,1349960400,1349935200,9.98,217,3.03
0,2012-10-12 00:00:00,53.74,1350064800,35.46,1350097200,0.54,routt,32.8,0.63,1350021600routt,40.483664,-106.987702,0.9,,0.0091,0.0666,1350090000,0.74,rain,1014.47,CO,1350047845,1350088403,53.74,1350064800,37.92,1350104400,1350021600,9.03,162,3.43
0,2012-10-13 00:00:00,41.92,1350165600,30.69,1350144000,0.96,routt,35.42,0.87,1350108000routt,40.483664,-106.987702,0.93,,0.0036,0.0151,1350140400,0.56,rain,1018.93,CO,1350134308,1350174711,41.92,1350165600,35.52,1350140400,1350108000,7.79,276,3.76
0,2012-10-14 00:00:00,57.61,1350252000,35.41,1350219600,0.44,routt,35.57,0.69,1350194400routt,40.483664,-106.987702,0.97,,0,0.0008,1350194400,0,,1025.33,CO,1350220772,1350261019,57.61,1350252000,39.1,1350219600,1350194400,9.92,312,0.99
0,2012-10-15 00:00:00,59.94,1350338400,27.18,1350306000,0.06,routt,28.86,0.57,1350280800routt,40.483664,-106.987702,0.01,,0,0,,0,,1020.01,CO,1350307237,1350347328,59.94,1350338400,33.94,1350306000,1350280800,9.95,219,4.62
0,2012-10-16 00:00:00,60.4,1350421200,28.19,1350392400,0.48,routt,31.11,0.6,1350367200routt,40.483664,-106.987702,0.04,,0.0031,0.0203,1350446400,0.6,rain,1011.15,CO,1350393701,1350433638,60.4,1350421200,34.61,1350392400,1350367200,9.34,255,9.96
0,2012-10-17 00:00:00,37.58,1350511200,20.45,1350482400,0.11,routt,12.18,0.38,1350453600routt,40.483664,-106.987702,0.08,,0.0005,0.0095,1350453600,0.5,rain,1014.47,CO,1350480167,1350519949,45.66,1350511200,30.01,1350482400,1350453600,9.92,269,15.54
