,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,68.82,1349128800,36.44,1349096400,0.2,saguache,28.31,0.39,1349071200saguache,38.031651,-106.234666,0.55,,0,0,,0,,1021.39,CO,1349096537,1349138935,68.82,1349128800,41.33,1349096400,1349071200,10,314,5.17
0,2012-10-02 00:00:00,72.49,1349211600,33.44,1349182800,0,saguache,25.71,0.36,1349157600saguache,38.031651,-106.234666,0.58,,0,0,,0,,1017.66,CO,1349182990,1349225243,72.49,1349211600,37.67,1349182800,1349157600,10,293,5.78
0,2012-10-03 00:00:00,72.63,1349298000,35.84,1349265600,0.03,saguache,19.8,0.27,1349244000saguache,38.031651,-106.234666,0.61,,0,0,,0,,1015.29,CO,1349269443,1349311551,72.63,1349298000,41.54,1349265600,1349244000,10,300,9.63
0,2012-10-04 00:00:00,65.75,1349388000,33.02,1349355600,0.31,saguache,23.96,0.37,1349330400saguache,38.031651,-106.234666,0.64,,0,0,,0,,1016.6,CO,1349355897,1349397859,65.75,1349388000,36.76,1349355600,1349330400,9.98,270,4.54
0,2012-10-05 00:00:00,65.43,1349470800,30.98,1349438400,0.16,saguache,22.69,0.38,1349416800saguache,38.031651,-106.234666,0.67,,0.0007,0.0054,1349420400,0.24,rain,1012.29,CO,1349442351,1349484168,65.43,1349470800,36.6,1349438400,1349416800,9.9,289,8.96
0,2012-10-06 00:00:00,56.27,1349557200,26.74,1349586000,0.16,saguache,14.4,0.31,1349503200saguache,38.031651,-106.234666,0.7,,0,0,,0,,1013.37,CO,1349528806,1349570477,56.27,1349557200,33.19,1349586000,1349503200,9.64,314,7.49
0,2012-10-07 00:00:00,56.69,1349647200,13.57,1349614800,0.07,saguache,8.33,0.35,1349589600saguache,38.031651,-106.234666,0.73,,0,0,,0,,1018.18,CO,1349615261,1349656787,56.69,1349647200,20.62,1349611200,1349589600,9.83,287,4.9
0,2012-10-08 00:00:00,59.97,1349737200,18.22,1349701200,0,saguache,3.91,0.22,1349676000saguache,38.031651,-106.234666,0.77,,0,0,,0,,1018.63,CO,1349701716,1349743098,59.97,1349737200,27.17,1349701200,1349676000,10,280,7.5
0,2012-10-09 00:00:00,65.44,1349816400,24.64,1349784000,0.01,saguache,12.93,0.26,1349762400saguache,38.031651,-106.234666,0.8,,0,0,,0,,1016.67,CO,1349788171,1349829409,65.44,1349816400,32.56,1349780400,1349762400,9.99,294,7.49
0,2012-10-10 00:00:00,66.53,1349902800,26.25,1349874000,0.05,saguache,21.47,0.35,1349848800saguache,38.031651,-106.234666,0.83,,0,0,,0,,1018.45,CO,1349874627,1349915721,66.53,1349902800,34.25,1349874000,1349848800,9.99,276,5.79
0,2012-10-11 00:00:00,68.38,1349992800,29.02,1349960400,0.22,saguache,25,0.36,1349935200saguache,38.031651,-106.234666,0.86,,0,0,,0,,1017.38,CO,1349961083,1350002034,68.38,1349992800,36.05,1349960400,1349935200,9.96,234,2.51
0,2012-10-12 00:00:00,50.85,1350021600,32.14,1350104400,0.6,saguache,37.92,0.78,1350021600saguache,38.031651,-106.234666,0.9,,0.0116,0.0754,1350075600,0.76,rain,1016.41,CO,1350047540,1350088347,50.85,1350021600,36.34,1350104400,1350021600,9.35,196,2.08
0,2012-10-13 00:00:00,43.76,1350165600,25.5,1350126000,0.48,saguache,29.82,0.67,1350108000saguache,38.031651,-106.234666,0.93,,0,0,,0,,1017.45,CO,1350133997,1350174661,49.44,1350165600,32.9,1350133200,1350108000,9.71,307,8.76
0,2012-10-14 00:00:00,59.2,1350252000,26.1,1350216000,0.11,saguache,28.67,0.58,1350194400saguache,38.031651,-106.234666,0.97,,0,0,,0,,1025.37,CO,1350220454,1350260976,59.2,1350252000,30.91,1350219600,1350194400,10,258,3.07
0,2012-10-15 00:00:00,63.27,1350338400,21.83,1350302400,0,saguache,25.76,0.49,1350280800saguache,38.031651,-106.234666,0.01,,0,0,,0,,1021.33,CO,1350306912,1350347291,63.27,1350338400,30.87,1350302400,1350280800,10,290,7.06
0,2012-10-16 00:00:00,67.5,1350424800,29.75,1350392400,0.09,saguache,23.74,0.36,1350367200saguache,38.031651,-106.234666,0.04,,0,0,,0,,1011.97,CO,1350393370,1350433608,67.5,1350424800,36.63,1350392400,1350367200,10,280,10.9
0,2012-10-17 00:00:00,56.46,1350504000,34.5,1350475200,0.11,saguache,8.99,0.24,1350453600saguache,38.031651,-106.234666,0.08,,0.0004,0.0059,1350464400,0.27,rain,1008.22,CO,1350479829,1350519925,56.46,1350504000,41.41,1350478800,1350453600,9.98,304,18.39
0,2012-10-18 00:00:00,61.11,1350594000,28.62,1350565200,0,saguache,9.91,0.23,1350540000saguache,38.031651,-106.234666,0.12,,0,0,,0,,1018.07,CO,1350566288,1350606244,61.11,1350594000,34.88,1350554400,1350540000,10,307,11.38
0,2012-10-19 00:00:00,66.75,1350680400,25.18,1350648000,0,saguache,14.09,0.28,1350626400saguache,38.031651,-106.234666,0.16,,0,0,,0,,1017.65,CO,1350652747,1350692563,66.75,1350680400,33.48,1350651600,1350626400,10,296,8.15
