,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.18,1349128800,43.34,1349096400,0,san miguel,30.88,0.37,1349071200san miguel,38.009374,-108.427326,0.55,,0,0,,0,,1018.81,CO,1349097063,1349139462,74.18,1349128800,45.71,1349092800,1349071200,10,205,0.99
0,2012-10-02 00:00:00,75.7,1349211600,41.45,1349182800,0,san miguel,29.21,0.36,1349157600san miguel,38.009374,-108.427326,0.58,,0,0,,0,,1014.92,CO,1349183516,1349225769,75.7,1349211600,44.01,1349179200,1349157600,10,211,1.59
0,2012-10-03 00:00:00,77.56,1349301600,44.39,1349269200,0.05,san miguel,25.66,0.29,1349244000san miguel,38.009374,-108.427326,0.61,,0,0,,0,,1012.8,CO,1349269969,1349312077,77.56,1349301600,46.97,1349269200,1349244000,10,259,1.29
0,2012-10-04 00:00:00,74.04,1349384400,43.47,1349355600,0.17,san miguel,25.49,0.28,1349330400san miguel,38.009374,-108.427326,0.64,,0,0,,0,,1014.48,CO,1349356423,1349398385,74.04,1349384400,45.76,1349355600,1349330400,9.99,227,3.73
0,2012-10-05 00:00:00,69.38,1349474400,48.74,1349442000,0.16,san miguel,22.45,0.26,1349416800san miguel,38.009374,-108.427326,0.67,,0,0,,0,,1012.68,CO,1349442877,1349484694,69.38,1349474400,48.74,1349442000,1349416800,10,269,5.71
0,2012-10-06 00:00:00,61.76,1349557200,41.53,1349586000,0.05,san miguel,11.32,0.21,1349503200san miguel,38.009374,-108.427326,0.7,,0,0,,0,,1013.86,CO,1349529332,1349571004,61.76,1349557200,43.52,1349586000,1349503200,10,279,3.12
0,2012-10-07 00:00:00,59.98,1349647200,28.58,1349611200,0.01,san miguel,8.04,0.24,1349589600san miguel,38.009374,-108.427326,0.73,,0,0,,0,,1016.77,CO,1349615786,1349657314,59.98,1349647200,32.23,1349614800,1349589600,10,234,1.59
0,2012-10-08 00:00:00,64.41,1349733600,29.12,1349697600,0,san miguel,10.13,0.24,1349676000san miguel,38.009374,-108.427326,0.77,,0,0,,0,,1017.15,CO,1349702241,1349743624,64.41,1349733600,33.65,1349697600,1349676000,10,130,0.68
0,2012-10-09 00:00:00,68.99,1349816400,35.38,1349780400,0,san miguel,20.06,0.3,1349762400san miguel,38.009374,-108.427326,0.8,,0,0,,0,,1015.09,CO,1349788697,1349829936,68.99,1349816400,38.78,1349784000,1349762400,9.99,228,0.81
0,2012-10-10 00:00:00,71.41,1349906400,39.02,1349874000,0.03,san miguel,25.38,0.33,1349848800san miguel,38.009374,-108.427326,0.83,,0,0,,0,,1015.48,CO,1349875153,1349916248,71.41,1349906400,41.22,1349874000,1349848800,10,140,1.53
0,2012-10-11 00:00:00,71.77,1349989200,40.51,1349960400,0.21,san miguel,28.27,0.35,1349935200san miguel,38.009374,-108.427326,0.86,,0,0,,0,,1014.19,CO,1349961609,1350002560,71.77,1349989200,43.69,1349960400,1349935200,10,129,3.64
0,2012-10-12 00:00:00,56.25,1350021600,40.46,1350100800,0.62,san miguel,39.44,0.65,1350021600san miguel,38.009374,-108.427326,0.9,,0.0101,0.0384,1350061200,0.68,rain,1013.2,CO,1350048065,1350088874,56.25,1350021600,41.68,1350104400,1350021600,9.5,166,2.35
0,2012-10-13 00:00:00,51.53,1350169200,36.72,1350133200,0.64,san miguel,36.5,0.75,1350108000san miguel,38.009374,-108.427326,0.93,,0.0008,0.0036,1350118800,0.13,rain,1019.13,CO,1350134522,1350175188,51.53,1350169200,38.54,1350126000,1350108000,9.82,252,2.88
0,2012-10-14 00:00:00,62.22,1350252000,33.87,1350219600,0.17,san miguel,36.26,0.65,1350194400san miguel,38.009374,-108.427326,0.97,,0,0,,0,,1024.29,CO,1350220980,1350261503,62.22,1350252000,38.21,1350219600,1350194400,10,116,0.56
0,2012-10-15 00:00:00,66.25,1350338400,34.01,1350298800,0,san miguel,31.59,0.53,1350280800san miguel,38.009374,-108.427326,0.01,,0,0,,0,,1019.76,CO,1350307437,1350347818,66.25,1350338400,37,1350306000,1350280800,9.99,152,1.11
0,2012-10-16 00:00:00,68.87,1350428400,35.71,1350392400,0.03,san miguel,29.89,0.44,1350367200san miguel,38.009374,-108.427326,0.04,,0,0,,0,,1011.96,CO,1350393896,1350434135,68.87,1350428400,38.61,1350392400,1350367200,10,244,2.01
0,2012-10-17 00:00:00,59.2,1350507600,40.02,1350536400,0.09,san miguel,14.57,0.27,1350453600san miguel,38.009374,-108.427326,0.08,,0,0,,0,,1012.51,CO,1350480354,1350520452,59.2,1350507600,41.89,1350536400,1350453600,10,280,8.07
0,2012-10-18 00:00:00,62.33,1350597600,29.88,1350565200,0,san miguel,13.85,0.28,1350540000san miguel,38.009374,-108.427326,0.12,,0,0,,0,,1019.88,CO,1350566813,1350606771,62.33,1350597600,32.73,1350565200,1350540000,10,268,2.51
0,2012-10-19 00:00:00,67.13,1350684000,30.71,1350648000,0,san miguel,19.26,0.34,1350626400san miguel,38.009374,-108.427326,0.16,,0,0,,0,,1017.82,CO,1350653272,1350693090,67.13,1350684000,34.66,1350648000,1350626400,10,173,1.24
0,2012-10-20 00:00:00,70.51,1350770400,34.06,1350738000,0,san miguel,19.4,0.31,1350712800san miguel,38.009374,-108.427326,0.2,,0,0,,0,,1011.36,CO,1350739732,1350779411,70.51,1350770400,37.23,1350738000,1350712800,9.98,142,1.84
0,2012-10-21 00:00:00,66.9,1350853200,37.8,1350824400,0.05,san miguel,25.54,0.35,1350799200san miguel,38.009374,-108.427326,0.23,,0,0,,0,,1009.48,CO,1350826192,1350865732,66.9,1350853200,40.2,1350824400,1350799200,10,160,2.35
0,2012-10-22 00:00:00,64.92,1350943200,39.78,1350907200,0.08,san miguel,29.1,0.41,1350885600san miguel,38.009374,-108.427326,0.27,,0,0,,0,,1009.72,CO,1350912653,1350952055,64.92,1350943200,43.16,1350910800,1350885600,9.99,157,4.77
0,2012-10-23 00:00:00,66.35,1351029600,46.17,1350997200,0.16,san miguel,26.1,0.32,1350972000san miguel,38.009374,-108.427326,0.3,,0,0,,0,,1007.91,CO,1350999114,1351038378,66.35,1351029600,49.39,1350997200,1350972000,9.99,197,6.66
0,2012-10-24 00:00:00,60.81,1351105200,30.52,1351141200,0.27,san miguel,24.54,0.4,1351058400san miguel,38.009374,-108.427326,0.34,,0.0008,0.0102,1351119600,0.51,rain,1007.78,CO,1351085575,1351124703,60.81,1351105200,35.89,1351141200,1351058400,9.7,252,5.76
0,2012-10-25 00:00:00,39.47,1351198800,23.1,1351173600,0.31,san miguel,19.2,0.53,1351144800san miguel,38.009374,-108.427326,0.37,,0.0001,0.0016,1351184400,0.03,rain,1019.15,CO,1351172037,1351211029,45.92,1351198800,27.24,1351170000,1351144800,9.82,291,5.31
0,2012-10-26 00:00:00,43.46,1351288800,18.79,1351252800,0.02,san miguel,9.84,0.43,1351231200san miguel,38.009374,-108.427326,0.4,,0,0,,0,,1026.5,CO,1351258499,1351297356,44.88,1351288800,21.29,1351256400,1351231200,9.98,236,0.6
0,2012-10-27 00:00:00,51.52,1351375200,20,1351335600,0.11,san miguel,8.54,0.32,1351317600san miguel,38.009374,-108.427326,0.44,,0,0,,0,,1023.2,CO,1351344961,1351383684,51.52,1351375200,24.63,1351342800,1351317600,9.99,228,1.44
0,2012-10-28 00:00:00,59.14,1351461600,27,1351429200,0.01,san miguel,18.06,0.37,1351404000san miguel,38.009374,-108.427326,0.47,,0,0,,0,,1021.6,CO,1351431424,1351470013,59.14,1351461600,30.93,1351429200,1351404000,9.99,207,1.44
0,2012-10-29 00:00:00,62.48,1351548000,29.8,1351519200,0,san miguel,22.08,0.41,1351490400san miguel,38.009374,-108.427326,0.49,,0,0,,0,,1022.24,CO,1351517887,1351556344,62.48,1351548000,34.15,1351515600,1351490400,10,188,0.96
0,2012-10-30 00:00:00,63.46,1351634400,28.6,1351602000,0,san miguel,21.33,0.39,1351576800san miguel,38.009374,-108.427326,0.53,,0,0,,0,,1021.37,CO,1351604350,1351642676,63.46,1351634400,33.34,1351602000,1351576800,10,191,0.99
0,2012-10-31 00:00:00,64.52,1351720800,28.63,1351681200,0,san miguel,20.22,0.37,1351663200san miguel,38.009374,-108.427326,0.56,,0,0,,0,,1020.74,CO,1351690814,1351729010,64.52,1351720800,33.56,1351688400,1351663200,10,135,2.49
0,2012-11-01 00:00:00,64.48,1351807200,29.1,1351774800,0,san miguel,17.76,0.33,1351749600san miguel,38.009374,-108.427326,0.59,,0,0,,0,,1017.93,CO,1351777278,1351815344,64.48,1351807200,34.39,1351774800,1351749600,9.97,128,2.12
0,2012-11-02 00:00:00,59.29,1351890000,33.42,1351864800,0,san miguel,15.5,0.3,1351836000san miguel,38.009374,-108.427326,0.62,,0,0,,0,,1016.8,CO,1351863742,1351901681,59.29,1351890000,37.65,1351861200,1351836000,10,107,1.33
0,2012-11-03 00:00:00,60.2,1351980000,26.56,1351951200,0,san miguel,14.53,0.33,1351922400san miguel,38.009374,-108.427326,0.65,,0,0,,0,,1021.21,CO,1351950207,1351988018,60.2,1351980000,31.27,1351951200,1351922400,9.99,160,1.58
0,2012-11-04 00:00:00,59.23,1352062800,25.68,1352034000,0,san miguel,16.43,0.35,1352008800san miguel,38.009374,-108.427326,0.68,,0,0,,0,,1025.01,CO,1352036672,1352074357,59.23,1352062800,30.61,1352034000,1352008800,10,135,0.82
0,2012-11-05 00:00:00,61.66,1352152800,28.62,1352120400,0,san miguel,22.45,0.41,1352098800san miguel,38.009374,-108.427326,0.71,,0,0,,0,,1025.28,CO,1352123137,1352160698,61.66,1352152800,33.55,1352120400,1352098800,9.98,131,0.6
0,2012-11-06 00:00:00,64.1,1352239200,30.48,1352206800,0,san miguel,21.62,0.4,1352185200san miguel,38.009374,-108.427326,0.75,,0,0,,0,,1024.14,CO,1352209602,1352247040,64.1,1352239200,34.21,1352206800,1352185200,10,138,1.58
0,2012-11-07 00:00:00,63.72,1352325600,28.74,1352293200,0,san miguel,19.1,0.36,1352271600san miguel,38.009374,-108.427326,0.78,,0,0,,0,,1020.2,CO,1352296067,1352333383,63.72,1352325600,33.22,1352293200,1352271600,9.98,123,1.72
0,2012-11-08 00:00:00,62.94,1352408400,31.38,1352379600,0.11,san miguel,18.42,0.32,1352358000san miguel,38.009374,-108.427326,0.81,,0,0.0011,1352440800,0,,1012.26,CO,1352382532,1352419729,62.94,1352408400,36.86,1352379600,1352358000,9.99,152,4.66
0,2012-11-09 00:00:00,53.88,1352491200,38.52,1352527200,0.76,san miguel,35.89,0.61,1352444400san miguel,38.009374,-108.427326,0.85,,0.005,0.0172,1352448000,0.58,rain,1004.63,CO,1352468998,1352506075,53.88,1352491200,44.44,1352527200,1352444400,9.37,170,8.32
0,2012-11-10 00:00:00,36.84,1352530800,18.34,1352613600,0.65,san miguel,21.31,0.64,1352530800san miguel,38.009374,-108.427326,0.88,,0.0067,0.0325,1352545200,0.66,rain,1005.51,CO,1352555463,1352592424,42.26,1352530800,23.19,1352613600,1352530800,8.44,233,8.1
0,2012-11-11 00:00:00,17.5,1352671200,7.99,1352635200,0.41,san miguel,12.66,0.66,1352617200san miguel,38.009374,-108.427326,0.92,0.485,0.0014,0.0069,1352620800,0.33,snow,1022.22,CO,1352641929,1352678774,28.17,1352671200,17.06,1352700000,1352617200,9,275,5.29
0,2012-11-12 00:00:00,34.56,1352757600,3.59,1352718000,0.03,san miguel,10.37,0.57,1352703600san miguel,38.009374,-108.427326,0.96,,0,0,,0,,1033.61,CO,1352728394,1352765126,37.19,1352757600,13.34,1352728800,1352703600,10,114,2.87
0,2012-11-13 00:00:00,40.26,1352844000,14.94,1352811600,0.08,san miguel,16.96,0.6,1352790000san miguel,38.009374,-108.427326,0.99,,0,0,,0,,1029.58,CO,1352814860,1352851479,43.7,1352844000,20.23,1352811600,1352790000,10,127,1.3
0,2012-11-14 00:00:00,46.4,1352930400,16.71,1352894400,0,san miguel,17.01,0.54,1352876400san miguel,38.009374,-108.427326,0.03,,0,0,,0,,1027.52,CO,1352901325,1352937834,48.92,1352930400,22.23,1352898000,1352876400,9.97,123,1.7
0,2012-11-15 00:00:00,50.05,1353016800,19.32,1352984400,0.01,san miguel,17.7,0.51,1352962800san miguel,38.009374,-108.427326,0.07,,0,0,,0,,1026.86,CO,1352987790,1353024191,50.05,1353016800,24.4,1352988000,1352962800,9.99,132,2.02
0,2012-11-16 00:00:00,51.84,1353103200,26.38,1353049200,0.52,san miguel,20.5,0.47,1353049200san miguel,38.009374,-108.427326,0.11,,0,0,,0,,1023.17,CO,1353074256,1353110550,51.84,1353103200,31.02,1353052800,1353049200,10,106,2.27
0,2012-11-17 00:00:00,55.11,1353186000,29.77,1353160800,0.39,san miguel,25.93,0.53,1353135600san miguel,38.009374,-108.427326,0.15,,0,0,,0,,1020.14,CO,1353160720,1353196910,55.11,1353186000,34.05,1353157200,1353135600,10,119,2.68
0,2012-11-18 00:00:00,53.18,1353272400,30.31,1353243600,0.42,san miguel,29.24,0.61,1353222000san miguel,38.009374,-108.427326,0.18,,0,0,,0,,1019.04,CO,1353247185,1353283273,53.18,1353272400,36.07,1353243600,1353222000,9.95,138,0.73
0,2012-11-19 00:00:00,53.64,1353358800,25.35,1353330000,0.08,san miguel,25.33,0.57,1353308400san miguel,38.009374,-108.427326,0.22,,0,0,,0,,1025.06,CO,1353333649,1353369637,53.64,1353358800,31.34,1353330000,1353308400,10,131,1.83
0,2012-11-20 00:00:00,54.67,1353445200,23.53,1353409200,0,san miguel,21.98,0.52,1353394800san miguel,38.009374,-108.427326,0.25,,0,0,,0,,1025.81,CO,1353420113,1353456003,54.67,1353445200,28.92,1353416400,1353394800,9.99,127,2.38
0,2012-11-21 00:00:00,56.75,1353535200,23,1353502800,0,san miguel,18.18,0.43,1353481200san miguel,38.009374,-108.427326,0.29,,0,0,,0,,1021.24,CO,1353506577,1353542371,56.75,1353535200,28.76,1353506400,1353481200,10,137,2
0,2012-11-22 00:00:00,55.2,1353618000,24.5,1353592800,0,san miguel,19.26,0.46,1353567600san miguel,38.009374,-108.427326,0.32,,0,0,,0,,1023.66,CO,1353593040,1353628741,55.2,1353618000,29.29,1353592800,1353567600,10,172,1.02
0,2012-11-23 00:00:00,53.03,1353708000,20.99,1353675600,0,san miguel,18.68,0.48,1353654000san miguel,38.009374,-108.427326,0.35,,0,0,,0,,1030.45,CO,1353679503,1353715112,53.03,1353708000,27.13,1353675600,1353654000,9.99,139,2.07
0,2012-11-24 00:00:00,53.11,1353794400,19.69,1353762000,0,san miguel,17.16,0.47,1353740400san miguel,38.009374,-108.427326,0.38,,0,0,,0,,1025.92,CO,1353765965,1353801486,53.11,1353794400,26.15,1353765600,1353740400,10,136,1.93
0,2012-11-25 00:00:00,52.5,1353880800,18.54,1353844800,0.01,san miguel,15.13,0.44,1353826800san miguel,38.009374,-108.427326,0.42,,0,0,,0,,1018.17,CO,1353852427,1353887862,52.5,1353880800,24.83,1353852000,1353826800,10,146,1.67
0,2012-11-26 00:00:00,50.62,1353967200,19.66,1353938400,0.02,san miguel,13.02,0.41,1353913200san miguel,38.009374,-108.427326,0.45,,0,0,,0,,1022.29,CO,1353938888,1353974239,50.62,1353967200,25.36,1353938400,1353913200,9.97,131,1.95
0,2012-11-27 00:00:00,51.27,1354053600,15.6,1354017600,0,san miguel,9.46,0.38,1353999600san miguel,38.009374,-108.427326,0.48,,0,0,,0,,1028.6,CO,1354025348,1354060619,51.27,1354053600,22.68,1354024800,1353999600,9.99,120,2.58
0,2012-11-28 00:00:00,51.31,1354140000,18.88,1354100400,0.01,san miguel,14.01,0.43,1354086000san miguel,38.009374,-108.427326,0.51,,0,0,,0,,1026.42,CO,1354111808,1354147001,51.31,1354140000,24.54,1354111200,1354086000,10,119,2.09
0,2012-11-29 00:00:00,53.05,1354222800,26.48,1354190400,0.08,san miguel,20.85,0.49,1354172400san miguel,38.009374,-108.427326,0.54,,0,0,,0,,1022.37,CO,1354198267,1354233384,53.05,1354222800,30.54,1354197600,1354172400,10,80,0.61
0,2012-11-30 00:00:00,53.36,1354309200,24.92,1354280400,0.1,san miguel,23.12,0.5,1354258800san miguel,38.009374,-108.427326,0.57,,0,0,,0,,1019.94,CO,1354284725,1354319770,53.36,1354309200,30.76,1354280400,1354258800,9.97,140,2.17
0,2012-12-01 00:00:00,55.1,1354395600,32.73,1354366800,0.16,san miguel,23.96,0.48,1354345200san miguel,38.009374,-108.427326,0.6,,0,0,,0,,1018.81,CO,1354371182,1354406158,55.1,1354395600,35.26,1354370400,1354345200,9.99,76,0.66
