,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,79.14,1349132400,44.73,1349100000,0.01,ada,32.78,0.35,1349071200ada,43.451477,-116.244376,0.55,,0,0,,0,,1021.27,ID,1349099058,1349141218,79.14,1349132400,45.94,1349100000,1349071200,9.89,235,1.38
0,2012-10-02 00:00:00,79.69,1349215200,45.32,1349182800,0.01,ada,32.64,0.36,1349157600ada,43.451477,-116.244376,0.58,,0,0,,0,,1014.21,ID,1349185526,1349227510,79.69,1349215200,46.45,1349186400,1349157600,9.74,311,2.3
0,2012-10-03 00:00:00,61.9,1349305200,36.59,1349272800,0.09,ada,16.03,0.25,1349244000ada,43.451477,-116.244376,0.61,,0,0,,0,,1019.55,ID,1349271995,1349313803,61.9,1349305200,42.45,1349326800,1349244000,9.14,301,10.17
0,2012-10-04 00:00:00,60.71,1349391600,25.93,1349359200,0.01,ada,17.58,0.33,1349330400ada,43.451477,-116.244376,0.64,,0,0,,0,,1021.87,ID,1349358464,1349400095,60.71,1349391600,31.64,1349359200,1349330400,9.99,135,0.32
0,2012-10-05 00:00:00,59.38,1349478000,26.53,1349445600,0.01,ada,18.17,0.37,1349416800ada,43.451477,-116.244376,0.67,,0,0,,0,,1023.47,ID,1349444934,1349486389,59.38,1349478000,30.58,1349445600,1349416800,9.85,288,2.13
0,2012-10-06 00:00:00,59.67,1349564400,23.56,1349532000,0,ada,16.2,0.34,1349503200ada,43.451477,-116.244376,0.7,,0.0003,0.004,1349557200,0.15,rain,1023.87,ID,1349531404,1349572683,59.67,1349564400,31.86,1349532000,1349503200,9.84,126,2.58
0,2012-10-07 00:00:00,63.78,1349647200,24.94,1349618400,0,ada,16.14,0.34,1349589600ada,43.451477,-116.244376,0.73,,0,0,,0,,1021.14,ID,1349617874,1349658978,63.78,1349647200,29.44,1349618400,1349589600,9.78,100,1.54
0,2012-10-08 00:00:00,66.23,1349737200,26.61,1349701200,0.01,ada,17.38,0.33,1349676000ada,43.451477,-116.244376,0.77,,0,0,,0,,1015.6,ID,1349704345,1349745273,66.23,1349737200,30.55,1349701200,1349676000,9.93,136,0.44
0,2012-10-09 00:00:00,69.63,1349823600,31.4,1349791200,0.01,ada,21.36,0.33,1349762400ada,43.451477,-116.244376,0.8,,0,0,,0,,1015.65,ID,1349790816,1349831569,69.63,1349823600,34.91,1349791200,1349762400,9.75,199,1.21
0,2012-10-10 00:00:00,71.14,1349906400,34.33,1349877600,0.01,ada,26.37,0.37,1349848800ada,43.451477,-116.244376,0.83,,0,0,,0,,1014.22,ID,1349877287,1349917865,71.14,1349906400,39.16,1349877600,1349848800,9.48,132,2.55
0,2012-10-11 00:00:00,73.78,1349996400,35.5,1349964000,0,ada,28.02,0.39,1349935200ada,43.451477,-116.244376,0.86,,0,0,,0,,1012.12,ID,1349963758,1350004162,73.78,1349996400,38.51,1349964000,1349935200,9.43,100,1.26
0,2012-10-12 00:00:00,75.01,1350082800,41.87,1350039600,0.05,ada,29.25,0.37,1350021600ada,43.451477,-116.244376,0.9,,0,0.0008,1350093600,0,,1010.06,ID,1350050230,1350090460,75.01,1350082800,41.91,1350046800,1350021600,9.91,308,1.67
0,2012-10-13 00:00:00,66.04,1350165600,47.84,1350190800,0.45,ada,41.42,0.57,1350108000ada,43.451477,-116.244376,0.93,,0.0009,0.0103,1350133200,0.51,rain,1019.68,ID,1350136703,1350176759,66.04,1350165600,49.83,1350190800,1350108000,9.93,302,6.4
0,2012-10-14 00:00:00,73.52,1350252000,40.84,1350223200,0.03,ada,38.06,0.52,1350194400ada,43.451477,-116.244376,0.97,,0,0,,0,,1021.78,ID,1350223175,1350263059,73.52,1350252000,43.83,1350219600,1350194400,9.95,126,6.18
0,2012-10-15 00:00:00,70.07,1350342000,54.23,1350313200,0.51,ada,42.59,0.51,1350280800ada,43.451477,-116.244376,0.01,,0.0021,0.0228,1350309600,0.62,rain,1014.59,ID,1350309648,1350349359,70.07,1350342000,54.23,1350313200,1350280800,9.64,140,2.06
0,2012-10-16 00:00:00,61.92,1350417600,38.69,1350450000,0.53,ada,41.36,0.61,1350367200ada,43.451477,-116.244376,0.04,,0.018,0.1175,1350406800,0.8,rain,1011.13,ID,1350396122,1350435660,61.92,1350417600,43.11,1350450000,1350367200,9.59,313,6.02
