,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.89,1349132400,43.31,1349100000,0,bannock,32.98,0.41,1349071200bannock,42.692921,-112.228982,0.55,,0,0,,0,,1021.39,ID,1349098076,1349140273,74.89,1349132400,43.31,1349100000,1349071200,9.98,217,3.72
0,2012-10-02 00:00:00,76.8,1349215200,40.32,1349182800,0,bannock,29.93,0.36,1349157600bannock,42.692921,-112.228982,0.58,,0,0,,0,,1013.54,ID,1349184542,1349226567,76.8,1349215200,42.92,1349182800,1349157600,9.97,218,8.54
0,2012-10-03 00:00:00,58.59,1349298000,36.62,1349323200,0.03,bannock,20.7,0.31,1349244000bannock,42.692921,-112.228982,0.61,,0,0,,0,,1016.14,ID,1349271009,1349312862,58.59,1349298000,38.62,1349326800,1349244000,9.78,265,4.75
0,2012-10-04 00:00:00,58.35,1349388000,23.36,1349348400,0.03,bannock,18.35,0.42,1349330400bannock,42.692921,-112.228982,0.64,,0,0,,0,,1020.74,ID,1349357476,1349399157,58.35,1349388000,27.8,1349355600,1349330400,10,22,1.77
0,2012-10-05 00:00:00,54.09,1349474400,27.8,1349442000,0.03,bannock,16.9,0.4,1349416800bannock,42.692921,-112.228982,0.67,,0,0,,0,,1021.92,ID,1349443943,1349485453,54.09,1349474400,27.8,1349442000,1349416800,9.99,336,2
0,2012-10-06 00:00:00,53.4,1349564400,18.87,1349528400,0.02,bannock,11.05,0.37,1349503200bannock,42.692921,-112.228982,0.7,,0,0,,0,,1023.77,ID,1349530410,1349571749,53.4,1349564400,25.99,1349532000,1349503200,9.93,47,4.22
0,2012-10-07 00:00:00,58.17,1349647200,19.98,1349611200,0,bannock,11.93,0.35,1349589600bannock,42.692921,-112.228982,0.73,,0,0,,0,,1021.89,ID,1349616878,1349658046,58.17,1349647200,23.37,1349614800,1349589600,9.98,107,1.29
0,2012-10-08 00:00:00,64.84,1349733600,23.84,1349704800,0.01,bannock,14.35,0.34,1349676000bannock,42.692921,-112.228982,0.77,,0,0,,0,,1015.73,ID,1349703347,1349744344,64.84,1349733600,26.85,1349701200,1349676000,9.97,214,3.22
0,2012-10-09 00:00:00,64.41,1349820000,31.74,1349787600,0,bannock,17.69,0.33,1349762400bannock,42.692921,-112.228982,0.8,,0,0,,0,,1015.51,ID,1349789815,1349830642,64.41,1349820000,31.74,1349787600,1349762400,9.97,246,1.78
0,2012-10-10 00:00:00,69.68,1349910000,28.75,1349870400,0.03,bannock,21.58,0.38,1349848800bannock,42.692921,-112.228982,0.83,,0,0,,0,,1015.14,ID,1349876284,1349916941,69.68,1349910000,31.76,1349874000,1349848800,9.95,190,1.77
0,2012-10-11 00:00:00,72.5,1349996400,35.91,1349960400,0.19,bannock,29.18,0.39,1349935200bannock,42.692921,-112.228982,0.86,,0,0,,0,,1012.18,ID,1349962753,1350003240,72.5,1349996400,40.69,1349964000,1349935200,9.88,129,1.23
0,2012-10-12 00:00:00,67.68,1350075600,37.51,1350046800,0.32,bannock,34.76,0.49,1350021600bannock,42.692921,-112.228982,0.9,,0.0014,0.0075,1350082800,0.37,rain,1010.01,ID,1350049223,1350089541,67.68,1350075600,41.1,1350046800,1350021600,9.9,209,2.57
