,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.76,1349132400,42.22,1349096400,0,bear lake,32.49,0.43,1349071200bear lake,42.285892,-111.327517,0.55,,0,0,,0,,1018.95,ID,1349097850,1349140066,74.76,1349132400,42.22,1349096400,1349071200,9.99,217,1.14
0,2012-10-02 00:00:00,76.16,1349215200,38.12,1349182800,0.01,bear lake,28.69,0.36,1349157600bear lake,42.285892,-111.327517,0.58,,0,0,,0,,1011.52,ID,1349184315,1349226362,76.16,1349215200,40.88,1349182800,1349157600,9.96,213,6.09
0,2012-10-03 00:00:00,61.8,1349290800,38.07,1349323200,0.03,bear lake,21.24,0.31,1349244000bear lake,42.285892,-111.327517,0.61,,0,0,,0,,1012.68,ID,1349270781,1349312658,61.8,1349290800,40.19,1349326800,1349244000,9.95,289,4.21
0,2012-10-04 00:00:00,58.98,1349388000,24.9,1349348400,0.07,bear lake,19.3,0.42,1349330400bear lake,42.285892,-111.327517,0.64,,0,0,,0,,1017.58,ID,1349357246,1349398954,58.98,1349388000,27.73,1349355600,1349330400,10,1,1.62
0,2012-10-05 00:00:00,54.8,1349474400,29.15,1349442000,0.08,bear lake,15.96,0.37,1349416800bear lake,42.285892,-111.327517,0.67,,0,0,,0,,1018.37,ID,1349443712,1349485251,54.8,1349474400,29.15,1349442000,1349416800,9.99,317,2.73
0,2012-10-06 00:00:00,53.13,1349564400,19.95,1349532000,0.03,bear lake,12.08,0.37,1349503200bear lake,42.285892,-111.327517,0.7,,0,0,,0,,1020.6,ID,1349530179,1349571549,53.13,1349564400,25.64,1349532000,1349503200,9.96,29,2.46
0,2012-10-07 00:00:00,56.68,1349647200,21.02,1349607600,0,bear lake,11.62,0.35,1349589600bear lake,42.285892,-111.327517,0.73,,0,0,,0,,1021.51,ID,1349616645,1349657847,56.68,1349647200,22.76,1349614800,1349589600,10,171,0.85
0,2012-10-08 00:00:00,64.28,1349733600,23.51,1349704800,0.02,bear lake,13.4,0.33,1349676000bear lake,42.285892,-111.327517,0.77,,0,0,,0,,1015.8,ID,1349703112,1349744145,64.28,1349733600,26.38,1349697600,1349676000,9.99,223,3.09
0,2012-10-09 00:00:00,65.22,1349820000,31.94,1349787600,0.01,bear lake,17.79,0.33,1349762400bear lake,42.285892,-111.327517,0.8,,0,0,,0,,1012.81,ID,1349789580,1349830445,65.22,1349820000,31.94,1349787600,1349762400,9.98,279,2.22
0,2012-10-10 00:00:00,69.85,1349910000,29.68,1349870400,0.08,bear lake,22.16,0.37,1349848800bear lake,42.285892,-111.327517,0.83,,0,0,,0,,1012.62,ID,1349876047,1349916745,69.85,1349910000,32.38,1349874000,1349848800,9.97,198,1.83
0,2012-10-11 00:00:00,71.71,1349996400,39.12,1349960400,0.27,bear lake,29.92,0.39,1349935200bear lake,42.285892,-111.327517,0.86,,0,0,,0,,1010.93,ID,1349962515,1350003046,71.71,1349996400,42.3,1349960400,1349935200,9.96,143,1.44
0,2012-10-12 00:00:00,63.58,1350072000,39.13,1350046800,0.46,bear lake,34.88,0.54,1350021600bear lake,42.285892,-111.327517,0.9,,0.0035,0.0191,1350100800,0.59,rain,1010.35,ID,1350048984,1350089347,63.58,1350072000,41.08,1350046800,1350021600,9.9,191,3.4
0,2012-10-13 00:00:00,54.57,1350165600,38.02,1350136800,0.64,bear lake,38.75,0.7,1350108000bear lake,42.285892,-111.327517,0.93,,0.0013,0.0096,1350111600,0.5,rain,1018.4,ID,1350135453,1350175649,54.57,1350165600,41.61,1350129600,1350108000,9.74,214,5.64
0,2012-10-14 00:00:00,62.82,1350252000,32.29,1350223200,0.08,bear lake,34.89,0.62,1350194400bear lake,42.285892,-111.327517,0.97,,0,0.0008,1350219600,0,,1024.21,ID,1350221922,1350261952,62.82,1350252000,35.19,1350223200,1350194400,9.7,212,3.85
0,2012-10-15 00:00:00,63.91,1350338400,35.67,1350306000,0.19,bear lake,34.29,0.55,1350280800bear lake,42.285892,-111.327517,0.01,,0,0,,0,,1016.67,ID,1350308391,1350348256,63.91,1350338400,40.33,1350306000,1350280800,10,210,6.43
0,2012-10-16 00:00:00,59.78,1350414000,35.39,1350450000,0.52,bear lake,36.54,0.6,1350367200bear lake,42.285892,-111.327517,0.04,,0.0052,0.023,1350421200,0.62,rain,1009.07,ID,1350394861,1350434561,59.78,1350414000,41.7,1350450000,1350367200,9.7,236,6.94
0,2012-10-17 00:00:00,43.94,1350511200,27.42,1350471600,0.05,bear lake,18.02,0.42,1350453600bear lake,42.285892,-111.327517,0.08,,0,0,,0,,1019.83,ID,1350481331,1350520867,49.05,1350511200,31.18,1350482400,1350453600,9.99,266,6.65
0,2012-10-18 00:00:00,57.11,1350597600,25.35,1350561600,0.02,bear lake,19.67,0.45,1350540000bear lake,42.285892,-111.327517,0.12,,0,0,,0,,1024.85,ID,1350567802,1350607174,57.11,1350597600,27.58,1350568800,1350540000,9.99,266,2.82
0,2012-10-19 00:00:00,61.73,1350684000,27.27,1350651600,0.25,bear lake,24.34,0.48,1350626400bear lake,42.285892,-111.327517,0.16,,0,0,,0,,1017.44,ID,1350654273,1350693481,61.73,1350684000,30.31,1350655200,1350626400,10,210,3.34
0,2012-10-20 00:00:00,63.53,1350766800,46.11,1350720000,0.66,bear lake,30.32,0.4,1350712800bear lake,42.285892,-111.327517,0.2,,0,0,,0,,1005.11,ID,1350740745,1350779790,63.53,1350766800,48.85,1350727200,1350712800,9.99,224,7.33
0,2012-10-21 00:00:00,55.36,1350856800,41.72,1350828000,0.66,bear lake,33.26,0.56,1350799200bear lake,42.285892,-111.327517,0.23,,0.0001,0.0008,1350878400,0.01,rain,1006.26,ID,1350827216,1350866100,55.36,1350856800,44.08,1350828000,1350799200,9.99,212,3.49
0,2012-10-22 00:00:00,52.89,1350943200,40.92,1350964800,0.87,bear lake,38.23,0.73,1350885600bear lake,42.285892,-111.327517,0.27,,0.0092,0.0253,1350964800,0.63,rain,1003.49,ID,1350913689,1350952411,52.89,1350943200,41.83,1350968400,1350885600,9.42,197,5.67
0,2012-10-23 00:00:00,40.26,1350972000,29.84,1350990000,0.86,bear lake,31.93,0.84,1350972000bear lake,42.285892,-111.327517,0.3,,0.0114,0.0329,1350979200,0.66,rain,1010.31,ID,1351000161,1351038723,40.26,1350972000,32.87,1351054800,1350972000,8.45,220,2.3
0,2012-10-24 00:00:00,35.42,1351112400,23.47,1351087200,0.5,bear lake,25.51,0.76,1351058400bear lake,42.285892,-111.327517,0.34,0.39,0.002,0.0083,1351101600,0.43,snow,1016.54,ID,1351086634,1351125036,39.23,1351112400,27.79,1351087200,1351058400,9.2,311,1.64
0,2012-10-25 00:00:00,34.3,1351202400,22.11,1351227600,0.74,bear lake,26.03,0.85,1351144800bear lake,42.285892,-111.327517,0.37,1.256,0.0059,0.0153,1351173600,0.56,snow,1023.35,ID,1351173107,1351211350,34.3,1351202400,26.4,1351227600,1351144800,7.83,231,2.71
0,2012-10-26 00:00:00,31.12,1351288800,15.73,1351256400,0.52,bear lake,21.82,0.75,1351231200bear lake,42.285892,-111.327517,0.4,0.091,0.0005,0.0028,1351299600,0.09,snow,1029.16,ID,1351259581,1351297666,37.2,1351288800,20.73,1351260000,1351231200,9.23,186,3.74
0,2012-10-27 00:00:00,40.22,1351375200,23.37,1351332000,0.71,bear lake,27.06,0.69,1351317600bear lake,42.285892,-111.327517,0.44,,0.0005,0.0017,1351400400,0.04,rain,1021.61,ID,1351346055,1351383983,44.49,1351375200,28.96,1351346400,1351317600,9.19,208,4.09
0,2012-10-28 00:00:00,54.35,1351461600,35.38,1351425600,0.74,bear lake,34.78,0.67,1351404000bear lake,42.285892,-111.327517,0.47,,0.0019,0.0074,1351429200,0.37,rain,1019.25,ID,1351432529,1351470301,54.35,1351461600,39.07,1351418400,1351404000,9.89,204,4.6
0,2012-10-29 00:00:00,62.27,1351548000,36.66,1351519200,0.25,bear lake,34.79,0.61,1351490400bear lake,42.285892,-111.327517,0.49,,0,0.0011,1351490400,0,,1019.16,ID,1351519003,1351556620,62.27,1351548000,39.57,1351519200,1351490400,9.98,200,4.43
0,2012-10-30 00:00:00,62.31,1351634400,35.58,1351605600,0.09,bear lake,32.01,0.58,1351576800bear lake,42.285892,-111.327517,0.53,,0,0,,0,,1019.98,ID,1351605478,1351642941,62.31,1351634400,35.58,1351605600,1351576800,10,193,2.99
