,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,77.4,1349132400,41.88,1349100000,0.01,boise,32.73,0.4,1349071200boise,43.987275,-115.71511,0.55,,0,0,,0,,1021.97,ID,1349098943,1349141079,77.4,1349132400,41.88,1349100000,1349071200,9.85,239,1.6
0,2012-10-02 00:00:00,76.64,1349215200,41.84,1349186400,0.03,boise,30.71,0.4,1349157600boise,43.987275,-115.71511,0.58,,0,0,,0,,1014.31,ID,1349185413,1349227369,76.64,1349215200,41.84,1349186400,1349157600,9.81,281,3.01
0,2012-10-03 00:00:00,58.33,1349301600,33.58,1349269200,0.08,boise,14.86,0.27,1349244000boise,43.987275,-115.71511,0.61,,0,0,,0,,1019.38,ID,1349271884,1349313660,58.33,1349301600,38.62,1349326800,1349244000,9.59,306,7.37
0,2012-10-04 00:00:00,57.54,1349391600,22.78,1349359200,0.03,boise,16.82,0.39,1349330400boise,43.987275,-115.71511,0.64,,0,0,,0,,1022.29,ID,1349358355,1349399951,57.54,1349391600,26.92,1349359200,1349330400,9.98,2,0.69
0,2012-10-05 00:00:00,56.71,1349478000,25.82,1349445600,0.01,boise,16.35,0.4,1349416800boise,43.987275,-115.71511,0.67,,0,0,,0,,1023.68,ID,1349444826,1349486243,56.71,1349478000,25.82,1349445600,1349416800,9.85,300,1.85
0,2012-10-06 00:00:00,57.49,1349564400,17.68,1349532000,0,boise,14.01,0.38,1349503200boise,43.987275,-115.71511,0.7,,0.0002,0.0028,1349557200,0.09,rain,1024.36,ID,1349531298,1349572535,57.49,1349564400,25.65,1349532000,1349503200,9.65,105,1.54
0,2012-10-07 00:00:00,62.47,1349650800,22.55,1349611200,0,boise,14.55,0.36,1349589600boise,43.987275,-115.71511,0.73,,0,0,,0,,1021.55,ID,1349617770,1349658828,62.47,1349650800,24.83,1349618400,1349589600,9.69,101,0.94
0,2012-10-08 00:00:00,65.01,1349737200,26.91,1349701200,0.01,boise,16.17,0.36,1349676000boise,43.987275,-115.71511,0.77,,0,0,,0,,1015.8,ID,1349704242,1349745122,65.01,1349737200,26.91,1349701200,1349676000,9.89,306,0.37
0,2012-10-09 00:00:00,67.65,1349823600,29.92,1349776800,0.01,boise,20.65,0.36,1349762400boise,43.987275,-115.71511,0.8,,0,0,,0,,1016.21,ID,1349790714,1349831416,67.65,1349823600,30.95,1349791200,1349762400,9.74,255,1.5
0,2012-10-10 00:00:00,69.05,1349906400,32.44,1349877600,0.02,boise,25.27,0.4,1349848800boise,43.987275,-115.71511,0.83,,0,0,,0,,1014.74,ID,1349877187,1349917711,69.05,1349906400,34.84,1349874000,1349848800,9.68,133,1.35
0,2012-10-11 00:00:00,71.35,1349996400,34.08,1349964000,0.01,boise,26.06,0.42,1349935200boise,43.987275,-115.71511,0.86,,0,0,,0,,1013.05,ID,1349963660,1350004006,71.35,1349996400,34.08,1349964000,1349935200,9.5,84,0.59
0,2012-10-12 00:00:00,72.47,1350082800,36.8,1350046800,0.08,boise,27.52,0.41,1350021600boise,43.987275,-115.71511,0.9,,0,0.0012,1350093600,0,,1010.85,ID,1350050134,1350090302,72.47,1350082800,36.8,1350046800,1350021600,9.63,301,2.11
0,2012-10-13 00:00:00,62.92,1350162000,44.8,1350136800,0.49,boise,37.63,0.55,1350108000boise,43.987275,-115.71511,0.93,,0.0009,0.011,1350129600,0.52,rain,1018.88,ID,1350136608,1350176600,62.92,1350162000,46.91,1350190800,1350108000,9.82,290,6.22
0,2012-10-14 00:00:00,68.91,1350252000,39.41,1350223200,0.08,boise,36.17,0.56,1350194400boise,43.987275,-115.71511,0.97,,0,0,,0,,1022.39,ID,1350223082,1350262897,68.91,1350252000,39.41,1350223200,1350194400,9.93,131,3.43
0,2012-10-15 00:00:00,64.82,1350338400,50.25,1350306000,0.53,boise,41.17,0.57,1350280800boise,43.987275,-115.71511,0.01,,0.0358,0.3954,1350327600,0.88,rain,1014.46,ID,1350309557,1350349196,64.82,1350338400,50.25,1350306000,1350280800,9.7,171,2.04
0,2012-10-16 00:00:00,58.46,1350417600,35.78,1350450000,0.52,boise,37.41,0.58,1350367200boise,43.987275,-115.71511,0.04,,0.0158,0.0634,1350396000,0.74,rain,1009.64,ID,1350396032,1350435496,58.46,1350417600,40.15,1350450000,1350367200,9.68,290,5.94
0,2012-10-17 00:00:00,53.25,1350514800,23.67,1350478800,0.04,boise,23.04,0.52,1350453600boise,43.987275,-115.71511,0.08,,0,0,,0,,1022.99,ID,1350482508,1350521797,53.25,1350514800,29.21,1350482400,1350453600,9.94,279,4.24
0,2012-10-18 00:00:00,59.9,1350601200,27.83,1350568800,0.01,boise,25.15,0.55,1350540000boise,43.987275,-115.71511,0.12,,0,0,,0,,1024.84,ID,1350568984,1350608098,59.9,1350601200,27.83,1350568800,1350540000,9.86,137,1.66
0,2012-10-19 00:00:00,58.36,1350687600,33.77,1350651600,0.5,boise,33.12,0.6,1350626400boise,43.987275,-115.71511,0.16,,0.0004,0.0033,1350680400,0.11,rain,1015.1,ID,1350655460,1350694401,58.36,1350687600,36.12,1350648000,1350626400,9.9,101,1.3
0,2012-10-20 00:00:00,55.3,1350766800,36.87,1350795600,0.55,boise,34.53,0.59,1350712800boise,43.987275,-115.71511,0.2,,0.0023,0.0123,1350734400,0.53,rain,1007.13,ID,1350741936,1350780704,55.3,1350766800,40.8,1350795600,1350712800,9.4,287,5.14
0,2012-10-21 00:00:00,50.91,1350856800,26.12,1350831600,0.2,boise,24.06,0.56,1350799200boise,43.987275,-115.71511,0.23,,0,0.0011,1350882000,0,,1009.96,ID,1350828413,1350867009,50.91,1350856800,30.06,1350828000,1350799200,9.49,259,2.56
0,2012-10-22 00:00:00,42.47,1350943200,28.9,1350910800,0.59,boise,29.94,0.76,1350885600boise,43.987275,-115.71511,0.27,,0.008,0.0353,1350928800,0.67,rain,1005.06,ID,1350914891,1350953315,42.47,1350943200,32.79,1350907200,1350885600,8.98,161,1.97
0,2012-10-23 00:00:00,36.86,1351029600,22.78,1350993600,0.57,boise,26.23,0.75,1350972000boise,43.987275,-115.71511,0.3,0.932,0.0049,0.0298,1351011600,0.65,snow,1010.99,ID,1351001368,1351039622,41.09,1351029600,28.1,1351054800,1350972000,8.8,195,2.07
