,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,72.7,1349128800,37.06,1349096400,0,bonneville,32.27,0.48,1349071200bonneville,43.395171,-111.621878,0.55,,0,0,,0,,1022.48,ID,1349097946,1349140111,72.7,1349128800,37.06,1349096400,1349071200,10,228,2.18
0,2012-10-02 00:00:00,74.25,1349215200,39.74,1349182800,0.02,bonneville,28.5,0.39,1349157600bonneville,43.395171,-111.621878,0.58,,0,0,,0,,1013.26,ID,1349184414,1349226404,74.25,1349215200,39.74,1349182800,1349157600,10,217,9.06
0,2012-10-03 00:00:00,54.9,1349244000,30.82,1349323200,0.03,bonneville,19.53,0.34,1349244000bonneville,43.395171,-111.621878,0.61,,0,0,,0,,1016.53,ID,1349270883,1349312696,54.9,1349244000,33.42,1349326800,1349244000,9.88,286,3.52
0,2012-10-04 00:00:00,53.21,1349388000,17.43,1349359200,0.07,bonneville,17.14,0.47,1349330400bonneville,43.395171,-111.621878,0.64,,0,0,,0,,1022.05,ID,1349357352,1349398989,53.21,1349388000,22.84,1349355600,1349330400,10,9,3
0,2012-10-05 00:00:00,46.37,1349474400,22.54,1349442000,0.05,bonneville,15.2,0.45,1349416800bonneville,43.395171,-111.621878,0.67,,0,0,,0,,1023.14,ID,1349443822,1349485283,49.94,1349474400,22.54,1349442000,1349416800,9.99,358,3.59
0,2012-10-06 00:00:00,48.75,1349564400,13.24,1349532000,0.03,bonneville,8.26,0.4,1349503200bonneville,43.395171,-111.621878,0.7,,0,0,,0,,1025.15,ID,1349530291,1349571577,49.58,1349564400,19.69,1349528400,1349503200,9.87,26,3.73
0,2012-10-07 00:00:00,55.58,1349650800,14.54,1349611200,0.01,bonneville,12.56,0.4,1349589600bonneville,43.395171,-111.621878,0.73,,0,0,,0,,1022.64,ID,1349616761,1349657872,55.58,1349650800,19.59,1349614800,1349589600,9.99,318,0.39
0,2012-10-08 00:00:00,61.65,1349733600,16.25,1349701200,0.03,bonneville,13.94,0.39,1349676000bonneville,43.395171,-111.621878,0.77,,0,0,,0,,1016.28,ID,1349703232,1349744167,61.65,1349733600,21.96,1349701200,1349676000,9.99,239,2.93
0,2012-10-09 00:00:00,60.55,1349823600,22.69,1349787600,0.03,bonneville,18.37,0.4,1349762400bonneville,43.395171,-111.621878,0.8,,0,0,,0,,1016.64,ID,1349789703,1349830463,60.55,1349823600,26.86,1349787600,1349762400,9.98,315,1.65
0,2012-10-10 00:00:00,67.03,1349910000,21.56,1349874000,0.04,bonneville,20.35,0.44,1349848800bonneville,43.395171,-111.621878,0.83,,0,0,,0,,1016.15,ID,1349876174,1349916760,67.03,1349910000,26.06,1349874000,1349848800,9.93,281,1.54
0,2012-10-11 00:00:00,69.46,1349996400,33.72,1349960400,0.21,bonneville,25.57,0.39,1349935200bonneville,43.395171,-111.621878,0.86,,0,0,,0,,1013.27,ID,1349962645,1350003057,69.46,1349996400,36.95,1349960400,1349935200,9.96,182,0.25
