,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,78.59,1349132400,42.51,1349100000,0.01,canyon,33.89,0.37,1349071200canyon,43.623051,-116.708527,0.55,,0,0,,0,,1021.86,ID,1349099173,1349141325,80.03,1349132400,44.49,1349100000,1349071200,9.89,318,0.73
0,2012-10-02 00:00:00,78.77,1349218800,41.93,1349179200,0.01,canyon,34.1,0.42,1349157600canyon,43.623051,-116.708527,0.58,,0,0,,0,,1014.89,ID,1349185642,1349227617,80.43,1349218800,42.39,1349186400,1349157600,9.87,328,2.9
0,2012-10-03 00:00:00,62.76,1349305200,35.53,1349272800,0.13,canyon,16.32,0.25,1349244000canyon,43.623051,-116.708527,0.61,,0,0,,0,,1020.4,ID,1349272112,1349313909,62.76,1349305200,42.86,1349326800,1349244000,9.6,305,10.69
0,2012-10-04 00:00:00,61.59,1349391600,26.98,1349359200,0.01,canyon,18.77,0.37,1349330400canyon,43.623051,-116.708527,0.64,,0,0,,0,,1022.42,ID,1349358582,1349400201,61.59,1349391600,31.4,1349359200,1349330400,9.98,248,0.61
0,2012-10-05 00:00:00,60.02,1349478000,30.13,1349445600,0.01,canyon,18.92,0.37,1349416800canyon,43.623051,-116.708527,0.67,,0,0,,0,,1023.92,ID,1349445052,1349486494,60.02,1349478000,30.13,1349445600,1349416800,9.89,300,3.23
0,2012-10-06 00:00:00,61.14,1349564400,23.49,1349524800,0,canyon,17.48,0.36,1349503200canyon,43.623051,-116.708527,0.7,,0.0014,0.0168,1349557200,0.57,rain,1024.32,ID,1349531522,1349572788,61.14,1349564400,28.62,1349524800,1349503200,9.85,129,2.12
0,2012-10-07 00:00:00,63.7,1349647200,22.93,1349614800,0,canyon,17.34,0.37,1349589600canyon,43.623051,-116.708527,0.73,,0,0,,0,,1021.63,ID,1349617993,1349659082,63.7,1349647200,27.96,1349614800,1349589600,9.65,109,0.89
0,2012-10-08 00:00:00,65.78,1349740800,23.37,1349701200,0,canyon,19.35,0.39,1349676000canyon,43.623051,-116.708527,0.77,,0,0,,0,,1016.16,ID,1349704464,1349745376,65.78,1349740800,27.85,1349701200,1349676000,9.91,73,0.27
0,2012-10-09 00:00:00,71.02,1349823600,29.86,1349787600,0,canyon,23.69,0.4,1349762400canyon,43.623051,-116.708527,0.8,,0,0,,0,,1016.25,ID,1349790935,1349831672,71.02,1349823600,29.86,1349787600,1349762400,9.27,295,0.58
0,2012-10-10 00:00:00,71.25,1349906400,32.38,1349874000,0.01,canyon,27.82,0.42,1349848800canyon,43.623051,-116.708527,0.83,,0,0,,0,,1014.75,ID,1349877407,1349917968,71.25,1349906400,36.15,1349877600,1349848800,8.67,133,1.36
0,2012-10-11 00:00:00,72.54,1349996400,34.73,1349964000,0,canyon,29.36,0.45,1349935200canyon,43.623051,-116.708527,0.86,,0,0,,0,,1012.75,ID,1349963879,1350004264,72.54,1349996400,34.73,1349964000,1349935200,9.37,121,0.43
0,2012-10-12 00:00:00,74.65,1350082800,35.98,1350039600,0.04,canyon,30.32,0.43,1350021600canyon,43.623051,-116.708527,0.9,,0,0,,0,,1010.88,ID,1350050352,1350090562,74.65,1350082800,37.08,1350046800,1350021600,9.85,317,2.51
0,2012-10-13 00:00:00,66.61,1350165600,47.2,1350190800,0.51,canyon,41.78,0.56,1350108000canyon,43.623051,-116.708527,0.93,,0.0013,0.0122,1350126000,0.53,rain,1020.17,ID,1350136824,1350176860,66.61,1350165600,49.08,1350190800,1350108000,9.98,307,6.27
0,2012-10-14 00:00:00,73.53,1350252000,37.98,1350219600,0.02,canyon,38.27,0.55,1350194400canyon,43.623051,-116.708527,0.97,,0,0,,0,,1022.2,ID,1350223298,1350263159,73.53,1350252000,40.72,1350223200,1350194400,9.95,123,4.95
