,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.03,1349042400,44.85,1349006400,0.04,clearwater,38.63,0.53,1349071200clearwater,46.67257,-115.6535,0.53,,0,0,,0,,1023.29,ID,1349012515,1349054717,74.03,1349042400,45.29,1349013600,1348988400,9.95,236,2.19
0,2012-10-02 00:00:00,73.53,1349128800,42.98,1349100000,0.04,clearwater,34.73,0.46,1349157600clearwater,46.67257,-115.6535,0.56,,0,0,,0,,1021.56,ID,1349098994,1349140998,73.53,1349128800,42.98,1349100000,1349074800,9.61,198,2.57
0,2012-10-03 00:00:00,70.52,1349215200,41.12,1349244000,0.11,clearwater,33.58,0.46,1349244000clearwater,46.67257,-115.6535,0.59,,0,0,,0,,1013.46,ID,1349185474,1349227279,70.52,1349215200,45.51,1349244000,1349161200,9.7,284,6.47
0,2012-10-04 00:00:00,55.89,1349301600,31.29,1349265600,0.13,clearwater,26.37,0.52,1349330400clearwater,46.67257,-115.6535,0.61,,0.0017,0.0158,1349262000,0.57,rain,1027.09,ID,1349271953,1349313561,55.89,1349301600,31.77,1349272800,1349247600,9.66,35,4.18
0,2012-10-05 00:00:00,55,1349388000,26.57,1349359200,0.09,clearwater,24.84,0.54,1349416800clearwater,46.67257,-115.6535,0.64,,0,0,,0,,1026.63,ID,1349358433,1349399843,55,1349388000,31.64,1349359200,1349334000,9.76,38,4.74
0,2012-10-06 00:00:00,56.09,1349474400,21.6,1349445600,0.01,clearwater,21.82,0.51,1349503200clearwater,46.67257,-115.6535,0.67,,0,0,,0,,1028.18,ID,1349444913,1349486126,56.09,1349474400,27.17,1349445600,1349420400,9.63,51,3.74
0,2012-10-07 00:00:00,58.13,1349560800,24.31,1349528400,0,clearwater,21.33,0.48,1349589600clearwater,46.67257,-115.6535,0.7,,0,0,,0,,1026.9,ID,1349531393,1349572410,58.13,1349560800,28.08,1349532000,1349506800,9.18,64,1.65
0,2012-10-08 00:00:00,63.24,1349647200,28.2,1349618400,0.02,clearwater,26.03,0.49,1349676000clearwater,46.67257,-115.6535,0.74,,0,0,,0,,1020.69,ID,1349617874,1349658694,63.24,1349647200,32.19,1349614800,1349593200,8.89,29,0.27
0,2012-10-09 00:00:00,64.15,1349733600,35.57,1349704800,0.1,clearwater,28.73,0.51,1349762400clearwater,46.67257,-115.6535,0.77,,0,0,,0,,1014.89,ID,1349704355,1349744978,64.15,1349733600,35.57,1349704800,1349679600,8.69,215,1.47
0,2012-10-10 00:00:00,63.82,1349820000,34.2,1349784000,0.07,clearwater,30.53,0.53,1349848800clearwater,46.67257,-115.6535,0.8,,0,0,,0,,1017.52,ID,1349790837,1349831264,63.82,1349820000,35.17,1349791200,1349766000,9.5,52,0.83
0,2012-10-11 00:00:00,66.32,1349906400,36.59,1349877600,0,clearwater,32.8,0.56,1349935200clearwater,46.67257,-115.6535,0.83,,0,0,,0,,1014.66,ID,1349877318,1349917550,66.32,1349906400,36.59,1349877600,1349852400,9.38,96,1.02
0,2012-10-12 00:00:00,66.38,1349992800,33.75,1349964000,0.01,clearwater,34.24,0.58,1350021600clearwater,46.67257,-115.6535,0.86,,0,0,,0,,1013.55,ID,1349963801,1350003836,66.38,1349992800,37.03,1349964000,1349938800,9.27,93,2.5
0,2012-10-13 00:00:00,63.28,1350079200,36.61,1350050400,0.27,clearwater,34.64,0.58,1350108000clearwater,46.67257,-115.6535,0.9,,0.0001,0.0009,1350093600,0.01,rain,1010.6,ID,1350050283,1350090124,63.28,1350079200,36.61,1350050400,1350025200,8.57,210,2.36
0,2012-10-14 00:00:00,57.22,1350162000,45.13,1350140400,0.84,clearwater,46.8,0.82,1350194400clearwater,46.67257,-115.6535,0.93,,0.0048,0.0223,1350122400,0.61,rain,1019.04,ID,1350136766,1350176412,57.22,1350162000,48.84,1350129600,1350111600,8.35,225,6.72
0,2012-10-15 00:00:00,64.62,1350252000,50.18,1350219600,0.66,clearwater,47.63,0.75,1350280800clearwater,46.67257,-115.6535,0.97,,0.001,0.0127,1350280800,0.54,rain,1018.23,ID,1350223249,1350262701,64.62,1350252000,50.18,1350219600,1350198000,9.39,195,6.4
0,2012-10-16 00:00:00,62.21,1350338400,52.12,1350306000,0.88,clearwater,50.44,0.84,1350367200clearwater,46.67257,-115.6535,0.01,,0.0169,0.0629,1350360000,0.74,rain,1011.16,ID,1350309733,1350348991,62.21,1350338400,52.12,1350306000,1350284400,8.56,207,7.24
