,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,78.68,1349132400,42.32,1349100000,0.01,gem,33.21,0.39,1349071200gem,44.061473,-116.398784,0.55,,0,0,,0,,1022.01,ID,1349099109,1349141241,78.68,1349132400,42.32,1349100000,1349071200,9.84,268,1.33
0,2012-10-02 00:00:00,77.77,1349215200,41.22,1349186400,0.03,gem,31.65,0.41,1349157600gem,44.061473,-116.398784,0.58,,0,0,,0,,1014.59,ID,1349185580,1349227531,77.77,1349215200,41.22,1349186400,1349157600,9.77,311,3.27
0,2012-10-03 00:00:00,60.18,1349305200,33.58,1349269200,0.1,gem,15.15,0.26,1349244000gem,44.061473,-116.398784,0.61,,0,0,,0,,1020.19,ID,1349272050,1349313821,60.18,1349305200,40.84,1349272800,1349244000,9.59,311,9.4
0,2012-10-04 00:00:00,58.8,1349388000,24.3,1349359200,0.02,gem,17.68,0.38,1349330400gem,44.061473,-116.398784,0.64,,0,0,,0,,1022.7,ID,1349358522,1349400112,58.8,1349388000,27.89,1349359200,1349330400,9.98,311,1.11
0,2012-10-05 00:00:00,58.34,1349478000,27.16,1349445600,0.01,gem,17.57,0.39,1349416800gem,44.061473,-116.398784,0.67,,0,0,,0,,1024.08,ID,1349444993,1349486404,58.34,1349478000,27.16,1349445600,1349416800,9.83,302,2.95
0,2012-10-06 00:00:00,58.92,1349564400,18.69,1349532000,0,gem,15.66,0.38,1349503200gem,44.061473,-116.398784,0.7,,0.0004,0.0047,1349557200,0.19,rain,1024.61,ID,1349531465,1349572696,58.92,1349564400,26.97,1349532000,1349503200,9.6,149,1.18
0,2012-10-07 00:00:00,63.21,1349650800,23.44,1349611200,0,gem,15.91,0.38,1349589600gem,44.061473,-116.398784,0.73,,0,0,,0,,1021.82,ID,1349617937,1349658989,63.21,1349650800,25.87,1349618400,1349589600,9.6,133,0.78
0,2012-10-08 00:00:00,65.4,1349737200,23.3,1349704800,0.01,gem,17.4,0.38,1349676000gem,44.061473,-116.398784,0.77,,0,0,,0,,1016.17,ID,1349704409,1349745282,65.4,1349737200,26.68,1349704800,1349676000,9.86,326,0.56
0,2012-10-09 00:00:00,69.61,1349823600,30.29,1349776800,0.01,gem,21.88,0.38,1349762400gem,44.061473,-116.398784,0.8,,0,0,,0,,1016.45,ID,1349790882,1349831576,69.61,1349823600,30.44,1349787600,1349762400,9.69,276,1.21
0,2012-10-10 00:00:00,70.02,1349906400,31.38,1349874000,0.01,gem,26.93,0.43,1349848800gem,44.061473,-116.398784,0.83,,0,0,,0,,1014.9,ID,1349877355,1349917871,70.02,1349906400,34.67,1349874000,1349848800,9.55,130,1.38
0,2012-10-11 00:00:00,72.06,1349996400,33.55,1349964000,0,gem,27.35,0.44,1349935200gem,44.061473,-116.398784,0.86,,0,0,,0,,1013.18,ID,1349963829,1350004166,72.06,1349996400,33.55,1349964000,1349935200,9.54,118,0.51
0,2012-10-12 00:00:00,72.97,1350082800,35.67,1350039600,0.08,gem,28.31,0.42,1350021600gem,44.061473,-116.398784,0.9,,0.0001,0.0016,1350093600,0.03,rain,1011.09,ID,1350050303,1350090462,72.97,1350082800,35.98,1350046800,1350021600,9.69,316,2.67
0,2012-10-13 00:00:00,64.18,1350169200,46.25,1350136800,0.55,gem,40.15,0.57,1350108000gem,44.061473,-116.398784,0.93,,0.0011,0.0137,1350129600,0.55,rain,1019.48,ID,1350136777,1350176759,64.18,1350169200,47.92,1350190800,1350108000,9.93,307,5.57
0,2012-10-14 00:00:00,70.3,1350255600,38.28,1350223200,0.07,gem,37.76,0.58,1350194400gem,44.061473,-116.398784,0.97,,0,0,,0,,1022.39,ID,1350223251,1350263057,70.3,1350255600,40.04,1350223200,1350194400,9.94,132,4.15
0,2012-10-15 00:00:00,66.62,1350338400,51.2,1350306000,0.6,gem,43.29,0.59,1350280800gem,44.061473,-116.398784,0.01,,0.0034,0.0267,1350309600,0.64,rain,1014.65,ID,1350309726,1350349355,66.62,1350338400,51.2,1350306000,1350280800,9.5,150,2.59
0,2012-10-16 00:00:00,60.02,1350417600,37.02,1350450000,0.49,gem,38.49,0.58,1350367200gem,44.061473,-116.398784,0.04,,0.0171,0.068,1350396000,0.74,rain,1010.33,ID,1350396202,1350435655,60.02,1350417600,41.19,1350450000,1350367200,9.66,301,5.9
0,2012-10-17 00:00:00,54.21,1350514800,24.49,1350478800,0.04,gem,25.3,0.55,1350453600gem,44.061473,-116.398784,0.08,,0,0,,0,,1023.72,ID,1350482677,1350521955,54.21,1350514800,30.55,1350482400,1350453600,9.92,298,3.59
0,2012-10-18 00:00:00,60.88,1350601200,27.75,1350558000,0.01,gem,26.83,0.57,1350540000gem,44.061473,-116.398784,0.12,,0,0,,0,,1025.03,ID,1350569153,1350608256,60.88,1350601200,28.09,1350568800,1350540000,9.86,135,2.36
0,2012-10-19 00:00:00,57.87,1350687600,35.44,1350648000,0.54,gem,34.31,0.61,1350626400gem,44.061473,-116.398784,0.16,,0.0004,0.0031,1350680400,0.1,rain,1015.17,ID,1350655630,1350694559,57.87,1350687600,37.83,1350648000,1350626400,9.84,141,1.43
0,2012-10-20 00:00:00,55.82,1350766800,35.75,1350795600,0.5,gem,35.17,0.61,1350712800gem,44.061473,-116.398784,0.2,,0.0019,0.0089,1350734400,0.47,rain,1008.03,ID,1350742107,1350780862,55.82,1350766800,40.24,1350795600,1350712800,9.43,305,5.03
0,2012-10-21 00:00:00,51.72,1350860400,24.32,1350831600,0.16,gem,24.64,0.57,1350799200gem,44.061473,-116.398784,0.23,,0,0,,0,,1010.68,ID,1350828584,1350867166,51.72,1350860400,29.33,1350828000,1350799200,9.53,272,2.41
0,2012-10-22 00:00:00,40.51,1350943200,29.44,1350910800,0.54,gem,30.01,0.75,1350885600gem,44.061473,-116.398784,0.27,,0.0078,0.0382,1350946800,0.68,rain,1005.38,ID,1350915061,1350953472,43.51,1350943200,32.37,1350907200,1350885600,8.95,167,2.28
0,2012-10-23 00:00:00,39.99,1351029600,25.51,1351054800,0.57,gem,27.7,0.74,1350972000gem,44.061473,-116.398784,0.3,,0.0055,0.0264,1351011600,0.63,rain,1011.17,ID,1351001539,1351039779,43.81,1351029600,30.14,1351054800,1350972000,8.76,192,2.34
0,2012-10-24 00:00:00,34.96,1351116000,15.9,1351076400,0.55,gem,24.64,0.76,1351058400gem,44.061473,-116.398784,0.34,,0.0007,0.008,1351116000,0.41,rain,1018.11,ID,1351088017,1351126086,37.21,1351116000,23.78,1351076400,1351058400,8.72,119,3.68
0,2012-10-25 00:00:00,38.25,1351202400,26.68,1351177200,0.59,gem,28.65,0.8,1351144800gem,44.061473,-116.398784,0.37,,0.0009,0.0032,1351170000,0.11,rain,1026.28,ID,1351174496,1351212396,42.2,1351202400,29.24,1351227600,1351144800,7.91,303,2.81
0,2012-10-26 00:00:00,36.54,1351288800,18.4,1351263600,0.55,gem,24.87,0.74,1351231200gem,44.061473,-116.398784,0.4,,0.0012,0.0114,1351299600,0.52,rain,1028.02,ID,1351260975,1351298706,40.82,1351288800,25.34,1351242000,1351231200,8.69,130,4.84
0,2012-10-27 00:00:00,39.09,1351378800,27.32,1351328400,0.75,gem,31.11,0.8,1351317600gem,44.061473,-116.398784,0.44,,0.0018,0.0098,1351368000,0.5,rain,1021.79,ID,1351347454,1351385017,42.06,1351378800,30.5,1351328400,1351317600,8.36,167,0.56
0,2012-10-28 00:00:00,51.16,1351461600,39.16,1351404000,0.9,gem,40.22,0.86,1351404000gem,44.061473,-116.398784,0.47,,0.0063,0.0168,1351454400,0.57,rain,1018.72,ID,1351433933,1351471330,51.16,1351461600,39.27,1351432800,1351404000,7.92,250,1.82
0,2012-10-29 00:00:00,60.56,1351548000,41.93,1351508400,0.59,gem,42.61,0.8,1351490400gem,44.061473,-116.398784,0.49,,0.0017,0.0071,1351490400,0.35,rain,1018.52,ID,1351520413,1351557645,60.56,1351548000,42.43,1351519200,1351490400,6.27,227,0.91
0,2012-10-30 00:00:00,64.64,1351638000,39.11,1351598400,0.3,gem,39.42,0.7,1351576800gem,44.061473,-116.398784,0.53,,0,0,,0,,1018.35,ID,1351606893,1351643960,64.64,1351638000,41.41,1351594800,1351576800,7.69,123,2.56
0,2012-10-31 00:00:00,63.56,1351720800,36.3,1351695600,0.09,gem,36.94,0.61,1351663200gem,44.061473,-116.398784,0.56,,0,0,,0,,1013.61,ID,1351693373,1351730277,63.56,1351720800,41.15,1351692000,1351663200,9.73,139,3.84
0,2012-11-01 00:00:00,57.2,1351803600,40.95,1351832400,0.54,gem,37,0.62,1351749600gem,44.061473,-116.398784,0.59,,0.0014,0.006,1351818000,0.27,rain,1013.22,ID,1351779853,1351816596,57.2,1351803600,40.95,1351832400,1351749600,9.89,188,1.59
0,2012-11-02 00:00:00,55.89,1351893600,31.43,1351864800,0.08,gem,33.28,0.72,1351836000gem,44.061473,-116.398784,0.62,,0,0,,0,,1020.31,ID,1351866333,1351902916,55.89,1351893600,31.43,1351864800,1351836000,9.1,142,1.08
0,2012-11-03 00:00:00,56.63,1351983600,33.17,1351940400,0.48,gem,33.56,0.67,1351922400gem,44.061473,-116.398784,0.65,,0,0,,0,,1022.61,ID,1351952814,1351989238,56.63,1351983600,35.41,1351944000,1351922400,9.9,159,1.98
0,2012-11-04 00:00:00,60.88,1352066400,37.24,1352037600,0.28,gem,36.22,0.69,1352008800gem,44.061473,-116.398784,0.68,,0,0,,0,,1027.96,ID,1352039295,1352075561,60.88,1352066400,37.24,1352037600,1352008800,9.71,302,1.61
0,2012-11-05 00:00:00,62.26,1352156400,32.49,1352127600,0.04,gem,36.9,0.73,1352098800gem,44.061473,-116.398784,0.71,,0,0,,0,,1028.92,ID,1352125775,1352161885,62.26,1352156400,34.94,1352124000,1352098800,8.91,175,0.34
