,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,76.28,1349132400,45.68,1349100000,0,gooding,32.54,0.37,1349071200gooding,42.973185,-114.82142,0.55,,0,0,,0,,1021.29,ID,1349098705,1349140888,76.28,1349132400,45.68,1349100000,1349071200,9.93,216,3.12
0,2012-10-02 00:00:00,77.67,1349215200,45.78,1349182800,0.03,gooding,30.98,0.35,1349157600gooding,42.973185,-114.82142,0.58,,0,0,,0,,1013.67,ID,1349185172,1349227181,77.67,1349215200,47.16,1349186400,1349157600,9.9,249,5.31
0,2012-10-03 00:00:00,58.15,1349298000,35.26,1349326800,0.06,gooding,17.09,0.28,1349244000gooding,42.973185,-114.82142,0.61,,0,0,,0,,1018.03,ID,1349271639,1349313475,58.15,1349298000,38.33,1349326800,1349244000,9.54,270,7.01
0,2012-10-04 00:00:00,58.73,1349391600,23.95,1349359200,0.03,gooding,17.25,0.37,1349330400gooding,42.973185,-114.82142,0.64,,0,0,,0,,1021.31,ID,1349358107,1349399770,58.73,1349391600,29.38,1349359200,1349330400,9.99,77,1.34
0,2012-10-05 00:00:00,56.47,1349478000,28.86,1349445600,0.01,gooding,17.28,0.39,1349416800gooding,42.973185,-114.82142,0.67,,0,0,,0,,1022.87,ID,1349444575,1349486065,56.47,1349478000,28.86,1349445600,1349416800,9.96,214,0.58
0,2012-10-06 00:00:00,56.63,1349564400,21.96,1349532000,0,gooding,14.25,0.36,1349503200gooding,42.973185,-114.82142,0.7,,0.0001,0.0016,1349557200,0.03,rain,1023.87,ID,1349531044,1349572360,56.63,1349564400,29.33,1349532000,1349503200,9.94,76,4.65
0,2012-10-07 00:00:00,62.8,1349650800,24.64,1349611200,0.01,gooding,13.9,0.34,1349589600gooding,42.973185,-114.82142,0.73,,0,0,,0,,1021.16,ID,1349617512,1349658656,62.8,1349650800,25.74,1349618400,1349589600,9.85,66,1.93
0,2012-10-08 00:00:00,65.88,1349737200,29.87,1349701200,0.02,gooding,15.38,0.31,1349676000gooding,42.973185,-114.82142,0.77,,0,0,,0,,1015.1,ID,1349703982,1349744953,65.88,1349737200,29.87,1349701200,1349676000,9.88,232,1.3
0,2012-10-09 00:00:00,66.19,1349823600,31.57,1349787600,0.02,gooding,18.3,0.31,1349762400gooding,42.973185,-114.82142,0.8,,0,0,,0,,1015.44,ID,1349790451,1349831250,66.19,1349823600,34.25,1349791200,1349762400,9.84,239,2.42
