,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,73.03,1349042400,45.22,1349006400,0.05,kootenai,37.95,0.52,1349071200kootenai,47.677113,-116.694918,0.53,,0,0,,0,,1023.23,ID,1349012788,1349054943,73.03,1349042400,46.23,1349013600,1348988400,9.97,202,3.57
0,2012-10-02 00:00:00,73.81,1349132400,40.73,1349096400,0.06,kootenai,34.75,0.46,1349157600kootenai,47.677113,-116.694918,0.56,,0,0,,0,,1021,ID,1349099271,1349141221,73.81,1349132400,41.62,1349100000,1349074800,9.92,192,4.02
0,2012-10-03 00:00:00,68.65,1349211600,38.36,1349240400,0.16,kootenai,32.03,0.44,1349244000kootenai,47.677113,-116.694918,0.59,,0.0002,0.002,1349240400,0.05,rain,1013.68,ID,1349185754,1349227499,68.65,1349211600,44.01,1349244000,1349161200,9.84,285,5.7
0,2012-10-04 00:00:00,56.16,1349301600,27.32,1349272800,0.1,kootenai,28.33,0.56,1349330400kootenai,47.677113,-116.694918,0.61,,0.001,0.0095,1349254800,0.5,rain,1027.71,ID,1349272237,1349313777,56.16,1349301600,32.68,1349272800,1349247600,9.86,35,6.62
0,2012-10-05 00:00:00,55.46,1349388000,25.85,1349359200,0.03,kootenai,23.51,0.5,1349416800kootenai,47.677113,-116.694918,0.64,,0,0,,0,,1026.82,ID,1349358720,1349400056,55.46,1349388000,33.54,1349359200,1349334000,9.94,30,8.13
0,2012-10-06 00:00:00,57.38,1349474400,21.82,1349442000,0.01,kootenai,20.71,0.49,1349503200kootenai,47.677113,-116.694918,0.67,,0,0,,0,,1028.2,ID,1349445204,1349486335,57.38,1349474400,27.83,1349445600,1349420400,9.73,45,5.31
0,2012-10-07 00:00:00,60.48,1349564400,22.48,1349532000,0.01,kootenai,21.9,0.48,1349589600kootenai,47.677113,-116.694918,0.7,,0,0,,0,,1026.62,ID,1349531688,1349572615,60.48,1349564400,28.04,1349532000,1349506800,9.46,66,3.09
0,2012-10-08 00:00:00,65.23,1349650800,25.8,1349618400,0.03,kootenai,26.59,0.51,1349676000kootenai,47.677113,-116.694918,0.74,,0,0,,0,,1020.07,ID,1349618172,1349658896,65.23,1349650800,30.37,1349614800,1349593200,9.67,187,0.17
0,2012-10-09 00:00:00,66.29,1349733600,32.35,1349694000,0.11,kootenai,29.64,0.51,1349762400kootenai,47.677113,-116.694918,0.77,,0,0,,0,,1014.34,ID,1349704657,1349745177,66.29,1349733600,35.21,1349694000,1349679600,9.66,207,2.12
0,2012-10-10 00:00:00,64.99,1349823600,33.18,1349784000,0.04,kootenai,31.81,0.54,1349848800kootenai,47.677113,-116.694918,0.8,,0,0,,0,,1017.2,ID,1349791142,1349831459,64.99,1349823600,36.5,1349787600,1349766000,9.79,67,1.48
0,2012-10-11 00:00:00,67.69,1349910000,33.15,1349877600,0.01,kootenai,32.85,0.56,1349935200kootenai,47.677113,-116.694918,0.83,,0,0,,0,,1014.06,ID,1349877627,1349917741,67.69,1349910000,36.1,1349877600,1349852400,9.81,95,2.21
0,2012-10-12 00:00:00,68.31,1349996400,32.43,1349964000,0.02,kootenai,34.47,0.59,1350021600kootenai,47.677113,-116.694918,0.86,,0,0.0008,1349978400,0,,1013.17,ID,1349964113,1350004024,68.31,1349996400,37.08,1349964000,1349938800,9.66,65,3.3
0,2012-10-13 00:00:00,63.3,1350079200,30.31,1350050400,0.28,kootenai,34.19,0.58,1350108000kootenai,47.677113,-116.694918,0.9,,0,0,,0,,1010.08,ID,1350050599,1350090308,63.3,1350079200,34.67,1350050400,1350025200,9.38,182,2.98
0,2012-10-14 00:00:00,57.14,1350169200,46.33,1350129600,0.88,kootenai,47.08,0.81,1350194400kootenai,47.677113,-116.694918,0.93,,0.0022,0.0177,1350122400,0.58,rain,1018.53,ID,1350137085,1350176593,57.14,1350169200,49.66,1350129600,1350111600,9.22,207,6.78
0,2012-10-15 00:00:00,63.63,1350252000,52.49,1350219600,0.83,kootenai,47.86,0.74,1350280800kootenai,47.677113,-116.694918,0.97,,0.0017,0.0131,1350280800,0.54,rain,1017.41,ID,1350223572,1350262878,63.63,1350252000,52.49,1350219600,1350198000,9.73,196,7.52
0,2012-10-16 00:00:00,62.56,1350338400,53.06,1350313200,0.9,kootenai,50.47,0.82,1350367200kootenai,47.677113,-116.694918,0.01,,0.0147,0.0913,1350360000,0.77,rain,1010.28,ID,1350310059,1350349165,62.56,1350338400,53.06,1350313200,1350284400,9.14,206,8.34
0,2012-10-17 00:00:00,58.56,1350378000,35.73,1350450000,0.51,kootenai,39.1,0.63,1350453600kootenai,47.677113,-116.694918,0.05,,0.0043,0.0289,1350370800,0.65,rain,1006.11,ID,1350396546,1350435452,58.56,1350378000,40.73,1350453600,1350370800,9.76,244,16.91
0,2012-10-18 00:00:00,51.81,1350511200,30.03,1350482400,0.19,kootenai,30.6,0.67,1350540000kootenai,47.677113,-116.694918,0.08,,0,0,,0,,1023.54,ID,1350483034,1350521740,51.81,1350511200,33.78,1350482400,1350457200,9.97,215,4.45
0,2012-10-19 00:00:00,59.07,1350601200,31.01,1350568800,0.21,kootenai,31.61,0.64,1350626400kootenai,47.677113,-116.694918,0.12,,0,0,,0,,1021.44,ID,1350569522,1350608029,59.07,1350601200,32.94,1350554400,1350543600,9.82,92,3.22
0,2012-10-20 00:00:00,58.2,1350680400,44.02,1350630000,0.81,kootenai,43.36,0.72,1350712800kootenai,47.677113,-116.694918,0.16,,0.0042,0.019,1350709200,0.59,rain,1007.64,ID,1350656011,1350694320,58.2,1350680400,45.99,1350630000,1350630000,9.63,213,9.23
0,2012-10-21 00:00:00,50.53,1350716400,31.63,1350788400,0.45,kootenai,31.88,0.64,1350799200kootenai,47.677113,-116.694918,0.2,,0.0013,0.0063,1350716400,0.29,rain,1007.27,ID,1350742500,1350780611,50.53,1350716400,35.56,1350795600,1350716400,9.84,235,11.04
0,2012-10-22 00:00:00,44.66,1350853200,26.82,1350885600,0.63,kootenai,30.67,0.77,1350885600kootenai,47.677113,-116.694918,0.23,,0.0022,0.0371,1350864000,0.68,rain,1012.67,ID,1350828989,1350866903,44.66,1350853200,32.56,1350882000,1350802800,9.62,174,2.89
0,2012-10-23 00:00:00,36.22,1350943200,23.89,1350914400,0.73,kootenai,31.92,0.85,1350972000kootenai,47.677113,-116.694918,0.27,,0.004,0.034,1350950400,0.67,rain,1006.05,ID,1350915479,1350953197,42.12,1350943200,31.91,1350889200,1350889200,9.05,36,6.44
0,2012-10-24 00:00:00,36.13,1351026000,27.65,1351004400,0.76,kootenai,33.44,0.91,1351058400kootenai,47.677113,-116.694918,0.31,,0.0018,0.0083,1351044000,0.43,rain,1010.91,ID,1351001968,1351039491,40.52,1351026000,31.22,1351000800,1350975600,9.21,177,3.1
0,2012-10-25 00:00:00,41.11,1351112400,24.97,1351087200,0.71,kootenai,32.82,0.88,1351144800kootenai,47.677113,-116.694918,0.34,,0.0014,0.0132,1351144800,0.54,rain,1017.6,ID,1351088459,1351125787,43.5,1351112400,29.9,1351083600,1351062000,7.98,60,3.42
0,2012-10-26 00:00:00,39.79,1351202400,30.86,1351231200,0.94,kootenai,33.99,0.9,1351231200kootenai,47.677113,-116.694918,0.37,,0.0062,0.0242,1351195200,0.62,rain,1027.35,ID,1351174949,1351212084,39.79,1351202400,34.72,1351231200,1351148400,8.36,304,0.34
0,2012-10-27 00:00:00,34.15,1351278000,28.99,1351256400,0.84,kootenai,32.64,0.89,1351317600kootenai,47.677113,-116.694918,0.41,,0.0018,0.0114,1351285200,0.52,rain,1025.53,ID,1351261440,1351298383,38.29,1351278000,32.4,1351252800,1351234800,8.77,151,2.73
0,2012-10-28 00:00:00,38,1351375200,31.76,1351332000,0.99,kootenai,36.95,0.92,1351404000kootenai,47.677113,-116.694918,0.44,,0.0058,0.0235,1351404000,0.62,rain,1017.36,ID,1351347931,1351384682,41.73,1351375200,36.13,1351328400,1351321200,7.25,182,4.02
0,2012-10-29 00:00:00,51.02,1351461600,36.89,1351407600,0.85,kootenai,43.68,0.92,1351490400kootenai,47.677113,-116.694918,0.47,,0.0067,0.0242,1351411200,0.62,rain,1012.59,ID,1351434422,1351470984,51.02,1351461600,40.11,1351407600,1351407600,7.49,207,3.66
0,2012-10-30 00:00:00,59.57,1351544400,43.88,1351497600,0.77,kootenai,46.68,0.85,1351576800kootenai,47.677113,-116.694918,0.49,,0.0127,0.0478,1351515600,0.71,rain,1012.73,ID,1351520914,1351557286,59.57,1351544400,45.33,1351497600,1351494000,8.49,218,7.64
0,2012-10-31 00:00:00,53.38,1351627200,44.74,1351580400,0.81,kootenai,46.61,0.9,1351663200kootenai,47.677113,-116.694918,0.53,,0.0071,0.0257,1351645200,0.63,rain,1014.45,ID,1351607405,1351643590,53.38,1351627200,45.92,1351605600,1351580400,9,160,3.31
0,2012-11-01 00:00:00,55.99,1351717200,45.73,1351695600,0.55,kootenai,47.94,0.88,1351749600kootenai,47.677113,-116.694918,0.56,,0.0011,0.0093,1351674000,0.49,rain,1009.51,ID,1351693897,1351729895,55.99,1351717200,48.58,1351692000,1351666800,8.86,47,5.2
0,2012-11-02 00:00:00,53.22,1351803600,42.12,1351774800,0.84,kootenai,44.17,0.88,1351836000kootenai,47.677113,-116.694918,0.59,,0.0043,0.0235,1351789200,0.62,rain,1011.67,ID,1351780389,1351816202,53.22,1351803600,42.12,1351774800,1351753200,8.88,200,3.71
0,2012-11-03 00:00:00,52.82,1351893600,39.58,1351918800,0.73,kootenai,43.8,0.9,1351922400kootenai,47.677113,-116.694918,0.62,,0.0002,0.0018,1351854000,0.04,rain,1018.82,ID,1351866881,1351902510,52.82,1351893600,42.76,1351918800,1351839600,9.02,113,1.96
0,2012-11-04 00:00:00,46.23,1351983600,38.03,1351947600,0.93,kootenai,43.71,0.93,1352008800kootenai,47.677113,-116.694918,0.65,,0.0059,0.0414,1351969200,0.69,rain,1019.1,ID,1351953373,1351988820,48.93,1351983600,41.84,1351944000,1351926000,7.87,139,3.04
0,2012-11-05 00:00:00,55.92,1352062800,45.59,1352030400,0.94,kootenai,48.2,0.89,1352098800kootenai,47.677113,-116.694918,0.68,,0.0007,0.0037,1352016000,0.14,rain,1025.16,ID,1352039865,1352075132,55.92,1352062800,47.09,1352037600,1352012400,9.33,176,5.12
0,2012-11-06 00:00:00,59.09,1352149200,39.67,1352185200,0.58,kootenai,46.87,0.83,1352185200kootenai,47.677113,-116.694918,0.71,,0,0,,0,,1023.61,ID,1352126358,1352161445,59.09,1352149200,39.67,1352185200,1352102400,8.85,210,4.94
0,2012-11-07 00:00:00,56.7,1352239200,36.28,1352214000,0.59,kootenai,43.77,0.88,1352271600kootenai,47.677113,-116.694918,0.75,,0.0007,0.0094,1352271600,0.5,rain,1017.36,ID,1352212850,1352247760,56.7,1352239200,39.11,1352192400,1352188800,6.91,74,2.92
0,2012-11-08 00:00:00,50.86,1352278800,27.44,1352354400,0.46,kootenai,34.46,0.71,1352358000kootenai,47.677113,-116.694918,0.78,,0.0024,0.0116,1352289600,0.52,rain,1014.54,ID,1352299342,1352334077,50.86,1352278800,31.56,1352354400,1352275200,9.6,222,6.7
0,2012-11-09 00:00:00,34.93,1352408400,20.84,1352383200,0.57,kootenai,28.66,0.82,1352444400kootenai,47.677113,-116.694918,0.81,,0.0043,0.0233,1352430000,0.62,rain,1009.51,ID,1352385834,1352420396,41.05,1352408400,29.53,1352365200,1352361600,7.71,31,9.62
0,2012-11-10 00:00:00,22.5,1352448000,15.61,1352530800,0.97,kootenai,25.42,0.85,1352530800kootenai,47.677113,-116.694918,0.85,0.401,0.0019,0.0079,1352469600,0.4,snow,1010.63,ID,1352472326,1352506716,31.18,1352448000,25.77,1352530800,1352448000,7.29,23,10.01
0,2012-11-11 00:00:00,23.29,1352581200,12.06,1352559600,0.59,kootenai,18.4,0.76,1352617200kootenai,47.677113,-116.694918,0.88,0.031,0.0001,0.0014,1352570400,0.03,snow,1018.15,ID,1352558817,1352593039,29.6,1352581200,20.89,1352610000,1352534400,9.44,16,4.78
0,2012-11-12 00:00:00,28.94,1352674800,17.72,1352624400,0.92,kootenai,23.3,0.82,1352703600kootenai,47.677113,-116.694918,0.92,,0,0,,0,,1026.83,ID,1352645309,1352679363,31.82,1352674800,23.25,1352631600,1352620800,9.15,160,1.88
0,2012-11-13 00:00:00,31.82,1352790000,25.1,1352736000,0.99,kootenai,29.97,0.9,1352790000kootenai,47.677113,-116.694918,0.96,,0.0103,0.0213,1352764800,0.61,rain,1025.24,ID,1352731800,1352765689,34.52,1352790000,29.72,1352718000,1352707200,3.87,144,4.31
0,2012-11-14 00:00:00,33.69,1352847600,30.5,1352815200,0.98,kootenai,33.99,0.93,1352876400kootenai,47.677113,-116.694918,1,,0.001,0.0071,1352833200,0.35,rain,1024.3,ID,1352818291,1352852017,37.83,1352847600,34.66,1352818800,1352793600,7.18,157,3.42
0,2012-11-15 00:00:00,34.37,1352930400,30.07,1352908800,0.97,kootenai,34.31,0.93,1352962800kootenai,47.677113,-116.694918,0.03,,0.0013,0.0052,1352898000,0.22,rain,1024.57,ID,1352904781,1352938347,37.59,1352930400,34.58,1352962800,1352880000,6.41,223,3.02
0,2012-11-16 00:00:00,38.71,1353016800,27.09,1352991600,0.75,kootenai,32.71,0.86,1353049200kootenai,47.677113,-116.694918,0.07,,0,0,,0,,1022.57,ID,1352991271,1353024680,42.75,1353016800,33.06,1352991600,1352966400,8.49,51,6.4
0,2012-11-17 00:00:00,44.44,1353103200,28.18,1353052800,0.69,kootenai,33.67,0.87,1353135600kootenai,47.677113,-116.694918,0.11,,0,0,,0,,1015.36,ID,1353077760,1353111014,44.44,1353103200,33.87,1353078000,1353052800,9.5,65,4.06
