,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,75.54,1349132400,45.37,1349100000,0,lincoln,32.98,0.39,1349071200lincoln,42.986181,-114.153899,0.55,,0,0,,0,,1021.41,ID,1349098545,1349140728,75.54,1349132400,45.37,1349100000,1349071200,9.94,215,3.53
0,2012-10-02 00:00:00,77.06,1349215200,45.7,1349186400,0.03,lincoln,30.9,0.35,1349157600lincoln,42.986181,-114.153899,0.58,,0,0,,0,,1013.64,ID,1349185012,1349227021,77.06,1349215200,47.02,1349186400,1349157600,9.92,242,6.52
0,2012-10-03 00:00:00,57.42,1349298000,34.64,1349326800,0.06,lincoln,18,0.3,1349244000lincoln,42.986181,-114.153899,0.61,,0,0,,0,,1017.91,ID,1349271479,1349313315,57.42,1349298000,38.17,1349326800,1349244000,9.56,260,6.24
0,2012-10-04 00:00:00,58.21,1349388000,24.27,1349359200,0.03,lincoln,17.61,0.38,1349330400lincoln,42.986181,-114.153899,0.64,,0,0,,0,,1021.3,ID,1349357947,1349399609,58.21,1349388000,29.31,1349359200,1349330400,9.99,62,1.52
0,2012-10-05 00:00:00,55.48,1349478000,28.66,1349445600,0.01,lincoln,17.44,0.4,1349416800lincoln,42.986181,-114.153899,0.67,,0,0,,0,,1022.9,ID,1349444415,1349485904,55.48,1349478000,28.66,1349445600,1349416800,9.97,147,0.59
0,2012-10-06 00:00:00,55.54,1349564400,21.54,1349532000,0,lincoln,13.95,0.37,1349503200lincoln,42.986181,-114.153899,0.7,,0,0,,0,,1023.99,ID,1349530884,1349572200,55.54,1349564400,28.8,1349528400,1349503200,9.92,67,4.97
0,2012-10-07 00:00:00,62.22,1349650800,21.96,1349618400,0.01,lincoln,14.09,0.35,1349589600lincoln,42.986181,-114.153899,0.73,,0,0,,0,,1021.3,ID,1349617353,1349658496,62.22,1349650800,25.54,1349618400,1349589600,9.89,56,1.91
0,2012-10-08 00:00:00,65.72,1349737200,30.12,1349701200,0.03,lincoln,15.65,0.32,1349676000lincoln,42.986181,-114.153899,0.77,,0,0,,0,,1015.16,ID,1349703822,1349744792,65.72,1349737200,30.12,1349701200,1349676000,9.88,237,1.84
0,2012-10-09 00:00:00,65.28,1349823600,31.03,1349787600,0.02,lincoln,18.35,0.31,1349762400lincoln,42.986181,-114.153899,0.8,,0,0,,0,,1015.57,ID,1349790291,1349831090,65.28,1349823600,34.56,1349791200,1349762400,9.9,242,2.71
0,2012-10-10 00:00:00,69.51,1349906400,34.46,1349870400,0.02,lincoln,22.71,0.36,1349848800lincoln,42.986181,-114.153899,0.83,,0,0,,0,,1014.64,ID,1349876761,1349917388,69.51,1349906400,35.61,1349874000,1349848800,9.91,139,0.55
