,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,76.94,1349128800,48.06,1349096400,0,twin falls,31.89,0.33,1349071200twin falls,42.352309,-114.665639,0.55,,0,0,,0,,1019.04,ID,1349098653,1349140865,76.94,1349128800,49.54,1349096400,1349071200,9.9,214,4.83
0,2012-10-02 00:00:00,79.46,1349215200,51.31,1349186400,0.01,twin falls,30.38,0.3,1349157600twin falls,42.352309,-114.665639,0.58,,0,0,,0,,1011.92,ID,1349185119,1349227160,79.46,1349215200,51.31,1349186400,1349157600,9.97,232,6.85
0,2012-10-03 00:00:00,61.1,1349298000,36.59,1349319600,0.05,twin falls,17.75,0.27,1349244000twin falls,42.352309,-114.665639,0.61,,0,0,,0,,1015.93,ID,1349271584,1349313456,61.1,1349298000,39.72,1349326800,1349244000,9.38,249,7.58
0,2012-10-04 00:00:00,61.15,1349391600,24.74,1349359200,0.01,twin falls,17.68,0.34,1349330400twin falls,42.352309,-114.665639,0.64,,0,0,,0,,1018.75,ID,1349358050,1349399752,61.15,1349391600,30.97,1349359200,1349330400,9.97,94,1.74
0,2012-10-05 00:00:00,58.01,1349478000,31.49,1349445600,0.01,twin falls,17.4,0.35,1349416800twin falls,42.352309,-114.665639,0.67,,0,0,,0,,1020.35,ID,1349444516,1349486049,58.01,1349478000,31.49,1349445600,1349416800,9.99,201,2.19
0,2012-10-06 00:00:00,57.33,1349564400,25.98,1349532000,0,twin falls,15.47,0.35,1349503200twin falls,42.352309,-114.665639,0.7,,0,0,,0,,1021.48,ID,1349530983,1349572346,57.33,1349564400,32.14,1349528400,1349503200,9.9,76,5.39
0,2012-10-07 00:00:00,63.62,1349650800,25.01,1349611200,0.01,twin falls,13.87,0.32,1349589600twin falls,42.352309,-114.665639,0.73,,0,0,,0,,1020.6,ID,1349617450,1349658644,63.62,1349650800,26.55,1349618400,1349589600,9.87,81,1.81
0,2012-10-08 00:00:00,66.71,1349733600,27.88,1349697600,0.01,twin falls,15.03,0.28,1349676000twin falls,42.352309,-114.665639,0.77,,0,0,,0,,1014.6,ID,1349703917,1349744943,66.71,1349733600,32.78,1349697600,1349676000,9.82,198,3.11
0,2012-10-09 00:00:00,67.01,1349820000,34.43,1349791200,0.01,twin falls,17.41,0.27,1349762400twin falls,42.352309,-114.665639,0.8,,0,0,,0,,1013.12,ID,1349790384,1349831242,67.01,1349820000,37.9,1349791200,1349762400,9.86,220,3.65
0,2012-10-10 00:00:00,70.5,1349906400,36.97,1349877600,0.02,twin falls,22.45,0.33,1349848800twin falls,42.352309,-114.665639,0.83,,0,0,,0,,1012.41,ID,1349876852,1349917542,70.5,1349906400,36.97,1349877600,1349848800,9.87,173,1.84
0,2012-10-11 00:00:00,74.44,1349996400,39.25,1349960400,0.04,twin falls,29.04,0.37,1349935200twin falls,42.352309,-114.665639,0.86,,0.0001,0.0008,1350003600,0.01,rain,1010.75,ID,1349963321,1350003842,74.44,1349996400,41.91,1349964000,1349935200,9.34,89,1.02
0,2012-10-12 00:00:00,71.82,1350082800,44.74,1350050400,0.2,twin falls,34.03,0.41,1350021600twin falls,42.352309,-114.665639,0.9,,0.0002,0.0016,1350057600,0.03,rain,1008.93,ID,1350049789,1350090144,71.82,1350082800,46.81,1350050400,1350021600,9.7,224,3.66
0,2012-10-13 00:00:00,65.35,1350165600,45.95,1350190800,0.29,twin falls,37.61,0.5,1350108000twin falls,42.352309,-114.665639,0.93,,0.0001,0.0012,1350133200,0.02,rain,1017.9,ID,1350136258,1350176446,65.35,1350165600,49.99,1350190800,1350108000,9.43,247,14.05
0,2012-10-14 00:00:00,71.18,1350252000,39.78,1350223200,0.02,twin falls,35.72,0.5,1350194400twin falls,42.352309,-114.665639,0.97,,0,0,,0,,1022.11,ID,1350222728,1350262749,71.18,1350252000,42.91,1350223200,1350194400,9.67,171,4.11
0,2012-10-15 00:00:00,69.12,1350342000,54.4,1350309600,0.23,twin falls,36.91,0.43,1350280800twin falls,42.352309,-114.665639,0.01,,0.0001,0.002,1350309600,0.05,rain,1014.76,ID,1350309197,1350349052,69.12,1350342000,54.4,1350309600,1350280800,9.96,225,5.97
0,2012-10-16 00:00:00,61.23,1350403200,37.38,1350450000,0.51,twin falls,40.29,0.57,1350367200twin falls,42.352309,-114.665639,0.04,,0.0067,0.0503,1350410400,0.71,rain,1010.09,ID,1350395667,1350435357,61.23,1350403200,44.5,1350450000,1350367200,9.73,262,11.62
0,2012-10-17 00:00:00,54.41,1350511200,25.62,1350482400,0.01,twin falls,22.68,0.46,1350453600twin falls,42.352309,-114.665639,0.08,,0,0,,0,,1022.08,ID,1350482138,1350521663,54.41,1350511200,33.02,1350482400,1350453600,10,239,11.17
0,2012-10-18 00:00:00,60.68,1350601200,29.59,1350568800,0.01,twin falls,23.12,0.43,1350540000twin falls,42.352309,-114.665639,0.12,,0,0,,0,,1024.03,ID,1350568609,1350607969,60.68,1350601200,32.48,1350568800,1350540000,9.98,179,2.08
0,2012-10-19 00:00:00,67.02,1350684000,33.47,1350648000,0.26,twin falls,26.17,0.38,1350626400twin falls,42.352309,-114.665639,0.16,,0,0,,0,,1014.79,ID,1350655080,1350694277,67.02,1350684000,39.09,1350637200,1350626400,9.94,121,0.71
0,2012-10-20 00:00:00,60.99,1350766800,43.89,1350795600,0.62,twin falls,34,0.45,1350712800twin falls,42.352309,-114.665639,0.2,,0.0002,0.002,1350738000,0.05,rain,1006.34,ID,1350741552,1350780585,60.99,1350766800,48.2,1350795600,1350712800,9.64,252,8.2
0,2012-10-21 00:00:00,52.78,1350853200,35.63,1350813600,0.31,twin falls,26.5,0.49,1350799200twin falls,42.352309,-114.665639,0.23,,0,0,,0,,1008.83,ID,1350828024,1350866895,52.78,1350853200,39.41,1350820800,1350799200,9.5,236,3.78
0,2012-10-22 00:00:00,44.32,1350939600,32.73,1350968400,0.82,twin falls,33.79,0.71,1350885600twin falls,42.352309,-114.665639,0.27,,0.0116,0.0938,1350928800,0.78,rain,1004.62,ID,1350914496,1350953205,46.96,1350939600,38.83,1350968400,1350885600,9.08,212,2.49
0,2012-10-23 00:00:00,37.46,1351022400,27.84,1351054800,0.65,twin falls,29.14,0.7,1350972000twin falls,42.352309,-114.665639,0.3,,0.0008,0.0064,1350990000,0.3,rain,1010.98,ID,1351000969,1351039517,42.9,1351022400,32.23,1351054800,1350972000,9.75,219,4.33
0,2012-10-24 00:00:00,43.12,1351116000,19.59,1351087200,0.35,twin falls,26.06,0.73,1351058400twin falls,42.352309,-114.665639,0.34,,0.0006,0.0051,1351134000,0.22,rain,1016.89,ID,1351087442,1351125830,43.12,1351116000,24.95,1351087200,1351058400,9.74,137,2.24
0,2012-10-25 00:00:00,36.58,1351198800,23.62,1351227600,0.46,twin falls,27.25,0.73,1351144800twin falls,42.352309,-114.665639,0.37,,0.0005,0.0046,1351144800,0.19,rain,1024.71,ID,1351173915,1351212144,43.51,1351198800,30.79,1351227600,1351144800,9.44,248,8.98
0,2012-10-26 00:00:00,45.21,1351288800,17.94,1351260000,0.38,twin falls,21.88,0.6,1351231200twin falls,42.352309,-114.665639,0.4,,0.0001,0.001,1351303200,0.01,rain,1027.26,ID,1351260389,1351298460,47.52,1351288800,24.77,1351260000,1351231200,9.82,163,3.77
0,2012-10-27 00:00:00,52.33,1351375200,26.66,1351339200,0.62,twin falls,27.57,0.58,1351317600twin falls,42.352309,-114.665639,0.44,,0,0,,0,,1020.34,ID,1351346863,1351384776,52.33,1351375200,32.4,1351339200,1351317600,9.92,221,3.9
0,2012-10-28 00:00:00,63.34,1351461600,42.76,1351432800,0.7,twin falls,38.93,0.6,1351404000twin falls,42.352309,-114.665639,0.47,,0.0001,0.0008,1351450800,0.01,rain,1017.1,ID,1351433337,1351471094,63.34,1351461600,46.21,1351432800,1351404000,9.71,217,3.97
0,2012-10-29 00:00:00,68.34,1351544400,45.38,1351519200,0.14,twin falls,36.55,0.52,1351490400twin falls,42.352309,-114.665639,0.49,,0,0,,0,,1017.29,ID,1351519812,1351557414,68.34,1351544400,46.55,1351515600,1351490400,9.75,222,4.24
0,2012-10-30 00:00:00,68.87,1351634400,35.09,1351605600,0.07,twin falls,32.85,0.51,1351576800twin falls,42.352309,-114.665639,0.53,,0,0,,0,,1017.96,ID,1351606287,1351643734,68.87,1351634400,39.44,1351605600,1351576800,9.98,118,2.32
0,2012-10-31 00:00:00,73.25,1351717200,38.49,1351695600,0.06,twin falls,29.1,0.39,1351663200twin falls,42.352309,-114.665639,0.56,,0,0,,0,,1013.16,ID,1351692762,1351730056,73.25,1351717200,41.44,1351684800,1351663200,10,114,4.41
0,2012-11-01 00:00:00,58.75,1351803600,41.55,1351832400,0.51,twin falls,31.75,0.45,1351749600twin falls,42.352309,-114.665639,0.59,,0.0002,0.0017,1351796400,0.04,rain,1012.36,ID,1351779237,1351816380,58.75,1351803600,43.99,1351832400,1351749600,9.96,230,5.65
0,2012-11-02 00:00:00,58.99,1351893600,29.39,1351864800,0.08,twin falls,30.16,0.58,1351836000twin falls,42.352309,-114.665639,0.62,,0,0,,0,,1019.11,ID,1351865713,1351902705,58.99,1351893600,34.4,1351864800,1351836000,9.99,162,1.92
0,2012-11-03 00:00:00,60.66,1351980000,28.63,1351944000,0.08,twin falls,28.79,0.54,1351922400twin falls,42.352309,-114.665639,0.65,,0,0,,0,,1021.61,ID,1351952188,1351989031,60.66,1351980000,33.42,1351944000,1351922400,9.95,146,1.93
0,2012-11-04 00:00:00,62.8,1352066400,34.74,1352034000,0.1,twin falls,31.28,0.51,1352008800twin falls,42.352309,-114.665639,0.68,,0,0,,0,,1026.44,ID,1352038664,1352075359,62.8,1352066400,39.92,1352034000,1352008800,9.92,221,5.31
0,2012-11-05 00:00:00,63.7,1352156400,35.53,1352124000,0.02,twin falls,36.14,0.6,1352098800twin falls,42.352309,-114.665639,0.71,,0,0,,0,,1027.31,ID,1352125140,1352161689,63.7,1352156400,40.29,1352124000,1352098800,9.93,212,5.68
0,2012-11-06 00:00:00,67.94,1352239200,37.12,1352210400,0.01,twin falls,35.22,0.56,1352185200twin falls,42.352309,-114.665639,0.75,,0,0,,0,,1021.87,ID,1352211616,1352248020,67.94,1352239200,38.97,1352206800,1352185200,9.99,115,3.41
0,2012-11-07 00:00:00,66.14,1352322000,38.58,1352354400,0.07,twin falls,31.02,0.46,1352271600twin falls,42.352309,-114.665639,0.78,,0,0,,0,,1013.23,ID,1352298092,1352334353,66.14,1352322000,41.47,1352289600,1352271600,9.96,221,4.12
0,2012-11-08 00:00:00,57.24,1352412000,31.2,1352440800,0.62,twin falls,33.55,0.68,1352358000twin falls,42.352309,-114.665639,0.81,,0.0022,0.0209,1352437200,0.6,rain,1003.74,ID,1352384568,1352420687,57.24,1352412000,36.39,1352440800,1352358000,9.54,230,2.2
0,2012-11-09 00:00:00,31.96,1352498400,20.11,1352527200,0.73,twin falls,27.7,0.78,1352444400twin falls,42.352309,-114.665639,0.85,,0.0014,0.006,1352448000,0.27,rain,1005.48,ID,1352471044,1352507024,37.17,1352498400,27.48,1352527200,1352444400,9.29,242,5.53
