,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.53,1349128800,30.73,1349096400,0,beaverhead,30.6,0.44,1349071200beaverhead,45.133863,-112.892869,0.55,,0,0,,0,,1021.88,MT,1349098293,1349140375,74.53,1349128800,35.38,1349096400,1349071200,9.78,218,4.43
0,2012-10-02 00:00:00,72.35,1349211600,36.96,1349186400,0.03,beaverhead,25.8,0.35,1349157600beaverhead,45.133863,-112.892869,0.58,,0,0,,0,,1011.06,MT,1349184767,1349226661,72.35,1349211600,39.99,1349186400,1349157600,9.85,234,7.66
0,2012-10-03 00:00:00,48.46,1349244000,24.9,1349326800,0.32,beaverhead,20.26,0.45,1349244000beaverhead,45.133863,-112.892869,0.61,,0.0001,0.0013,1349262000,0.02,rain,1021.01,MT,1349271241,1349312948,48.98,1349244000,29.36,1349326800,1349244000,9.96,11,6.29
0,2012-10-04 00:00:00,42.8,1349384400,18.56,1349355600,0.34,beaverhead,16.37,0.57,1349330400beaverhead,45.133863,-112.892869,0.64,,0,0,,0,,1026.48,MT,1349357716,1349399236,42.8,1349384400,18.56,1349355600,1349330400,9.99,35,2.2
0,2012-10-05 00:00:00,41.2,1349478000,21.81,1349442000,0.41,beaverhead,15.3,0.52,1349416800beaverhead,45.133863,-112.892869,0.67,,0,0,,0,,1026.91,MT,1349444191,1349485524,43.88,1349478000,21.81,1349442000,1349416800,9.97,23,4.21
0,2012-10-06 00:00:00,45.97,1349560800,6.42,1349532000,0.09,beaverhead,8.14,0.44,1349503200beaverhead,45.133863,-112.892869,0.7,,0,0,,0,,1027.94,MT,1349530666,1349571813,47.66,1349560800,13.02,1349528400,1349503200,9.97,29,0.57
0,2012-10-07 00:00:00,60.13,1349650800,7.42,1349614800,0.02,beaverhead,13.19,0.4,1349589600beaverhead,45.133863,-112.892869,0.73,,0,0,,0,,1021.66,MT,1349617141,1349658102,60.13,1349650800,16.9,1349614800,1349589600,10,211,3.77
0,2012-10-08 00:00:00,59.47,1349737200,14.46,1349701200,0.15,beaverhead,16.94,0.4,1349676000beaverhead,45.133863,-112.892869,0.77,,0,0,,0,,1014.6,MT,1349703617,1349744392,59.47,1349737200,23.15,1349701200,1349676000,9.71,225,3.58
0,2012-10-09 00:00:00,57.51,1349820000,20.64,1349791200,0.27,beaverhead,23.89,0.5,1349762400beaverhead,45.133863,-112.892869,0.8,,0,0,,0,,1017.7,MT,1349790093,1349830682,57.51,1349820000,26.91,1349791200,1349762400,9.87,71,2
0,2012-10-10 00:00:00,66.78,1349906400,19.74,1349866800,0.01,beaverhead,22.72,0.47,1349848800beaverhead,45.133863,-112.892869,0.83,,0,0,,0,,1015.37,MT,1349876570,1349916973,66.78,1349906400,25.58,1349877600,1349848800,9.84,206,1.96
0,2012-10-11 00:00:00,59.75,1349992800,27.44,1349953200,0.14,beaverhead,27.02,0.57,1349935200beaverhead,45.133863,-112.892869,0.86,,0,0,,0,,1016.08,MT,1349963047,1350003265,59.75,1349992800,28.55,1349960400,1349935200,9.61,92,0.65
0,2012-10-12 00:00:00,69.58,1350079200,20.85,1350050400,0.05,beaverhead,22.09,0.44,1350021600beaverhead,45.133863,-112.892869,0.9,,0,0,,0,,1011.27,MT,1350049524,1350089558,69.58,1350079200,26.17,1350050400,1350021600,9.42,228,3.39
0,2012-10-13 00:00:00,56.75,1350162000,39.46,1350122400,0.6,beaverhead,29.12,0.46,1350108000beaverhead,45.133863,-112.892869,0.93,,0,0,,0,,1016.08,MT,1350136002,1350175851,56.75,1350162000,43.71,1350122400,1350108000,9.41,240,5.28
0,2012-10-14 00:00:00,64.47,1350252000,34.37,1350216000,0.15,beaverhead,31.01,0.5,1350194400beaverhead,45.133863,-112.892869,0.97,,0,0,,0,,1021.26,MT,1350222480,1350262146,64.47,1350252000,38.17,1350216000,1350194400,10,216,6.31
0,2012-10-15 00:00:00,58.12,1350331200,38.73,1350298800,0.49,beaverhead,32.51,0.52,1350280800beaverhead,45.133863,-112.892869,0.01,,0.0486,0.5824,1350327600,0.9,rain,1012.46,MT,1350308958,1350348441,58.12,1350331200,41.79,1350298800,1350280800,9.94,230,7.08
0,2012-10-16 00:00:00,52.47,1350410400,27.11,1350450000,0.54,beaverhead,29.65,0.54,1350367200beaverhead,45.133863,-112.892869,0.04,,0.0092,0.0777,1350403200,0.76,rain,1005.07,MT,1350395437,1350434737,52.47,1350410400,34.28,1350450000,1350367200,9.78,254,9.14
0,2012-10-17 00:00:00,41.98,1350511200,23.97,1350478800,0.18,beaverhead,15.66,0.42,1350453600beaverhead,45.133863,-112.892869,0.08,,0,0,,0,,1019.34,MT,1350481916,1350521034,47.4,1350511200,31.29,1350482400,1350453600,9.96,260,8.46
0,2012-10-18 00:00:00,57.67,1350601200,16.71,1350568800,0.04,beaverhead,19.06,0.5,1350540000beaverhead,45.133863,-112.892869,0.12,,0,0,,0,,1024.7,MT,1350568396,1350607331,57.67,1350601200,20.95,1350565200,1350540000,9.64,209,3.66
0,2012-10-19 00:00:00,56.22,1350676800,22.72,1350651600,0.46,beaverhead,27.58,0.57,1350626400beaverhead,45.133863,-112.892869,0.16,,0.0001,0.0009,1350709200,0.01,rain,1013.67,MT,1350654876,1350693630,56.22,1350676800,28.25,1350651600,1350626400,9.94,212,6.6
0,2012-10-20 00:00:00,54.56,1350759600,34.64,1350788400,0.55,beaverhead,29.2,0.54,1350712800beaverhead,45.133863,-112.892869,0.2,,0.0007,0.004,1350766800,0.15,rain,1003.88,MT,1350741356,1350779930,54.56,1350759600,34.83,1350795600,1350712800,9.65,236,7
0,2012-10-21 00:00:00,46.4,1350856800,21.68,1350828000,0.32,beaverhead,20.49,0.55,1350799200beaverhead,45.133863,-112.892869,0.23,,0,0,,0,,1009.77,MT,1350827836,1350866231,47.94,1350856800,27.15,1350828000,1350799200,9.61,213,2.73
0,2012-10-22 00:00:00,36.61,1350932400,22.08,1350903600,0.63,beaverhead,25.73,0.75,1350885600beaverhead,45.133863,-112.892869,0.27,,0.0028,0.0177,1350961200,0.58,rain,1006.48,MT,1350914317,1350952533,36.61,1350932400,27.23,1350914400,1350885600,9,178,0.52
