,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,77.42,1349128800,33.58,1349096400,0.02,blaine,33.46,0.48,1349071200blaine,48.428282,-108.967648,0.55,,0,0,,0,,1018.58,MT,1349097435,1349139349,77.42,1349128800,37.75,1349096400,1349071200,10,232,8.09
0,2012-10-02 00:00:00,66.67,1349215200,40.01,1349240400,0.26,blaine,36.33,0.45,1349157600blaine,48.428282,-108.967648,0.58,,0.0028,0.0472,1349240400,0.7,rain,1007.87,MT,1349183920,1349225624,66.67,1349215200,45.1,1349240400,1349157600,9.82,324,5.25
0,2012-10-03 00:00:00,35.59,1349244000,28.9,1349276400,0.95,blaine,34.47,0.86,1349244000blaine,48.428282,-108.967648,0.61,,0.013,0.0705,1349254800,0.75,rain,1027.48,MT,1349270406,1349311900,42.23,1349244000,35.48,1349326800,1349244000,8.61,351,9.39
0,2012-10-04 00:00:00,40.92,1349395200,30.69,1349362800,0.89,blaine,30.79,0.82,1349330400blaine,48.428282,-108.967648,0.64,,0.0016,0.0079,1349388000,0.4,rain,1033.09,MT,1349356892,1349398176,40.92,1349395200,32.45,1349344800,1349330400,9.68,4,2.41
0,2012-10-05 00:00:00,34.2,1349470800,20.93,1349499600,0.55,blaine,26.98,0.8,1349416800blaine,48.428282,-108.967648,0.67,,0.0015,0.0128,1349456400,0.54,rain,1033.31,MT,1349443379,1349484452,40.25,1349470800,25.96,1349499600,1349416800,9.7,3,2.06
0,2012-10-06 00:00:00,44.36,1349557200,15.92,1349528400,0.3,blaine,24.23,0.67,1349503200blaine,48.428282,-108.967648,0.7,,0.0001,0.0011,1349582400,0.02,rain,1028.99,MT,1349529865,1349570729,49.55,1349557200,22.09,1349528400,1349503200,10,249,7.41
0,2012-10-07 00:00:00,62.5,1349643600,26.68,1349611200,0.15,blaine,31.71,0.6,1349589600blaine,48.428282,-108.967648,0.73,,0,0.0011,1349593200,0,,1016.62,MT,1349616352,1349657007,62.5,1349643600,33.96,1349611200,1349589600,10,262,10.23
0,2012-10-08 00:00:00,43.94,1349686800,30.64,1349758800,0.89,blaine,35.53,0.74,1349676000blaine,48.428282,-108.967648,0.77,,0.0058,0.0148,1349740800,0.56,rain,1015.5,MT,1349702840,1349743285,48.1,1349686800,37.82,1349755200,1349676000,9.33,303,8.78
0,2012-10-09 00:00:00,52.47,1349823600,28.34,1349787600,0.59,blaine,30.95,0.69,1349762400blaine,48.428282,-108.967648,0.8,,0.0002,0.003,1349798400,0.1,rain,1020.87,MT,1349789327,1349829564,52.47,1349823600,33.87,1349791200,1349762400,10,264,6.93
0,2012-10-10 00:00:00,60.64,1349895600,29.69,1349931600,0.35,blaine,33.01,0.64,1349848800blaine,48.428282,-108.967648,0.83,,0.0001,0.0018,1349931600,0.04,rain,1016.18,MT,1349875816,1349915844,60.64,1349895600,36.85,1349863200,1349848800,9.84,314,4.71
0,2012-10-11 00:00:00,38.79,1349996400,22.16,1349956800,0.69,blaine,30.19,0.85,1349935200blaine,48.428282,-108.967648,0.86,,0.0007,0.0054,1349946000,0.24,rain,1024.74,MT,1349962304,1350002124,42.99,1349996400,29.37,1349960400,1349935200,8.31,80,6.11
0,2012-10-12 00:00:00,71.87,1350079200,26.74,1350025200,0.06,blaine,30.37,0.56,1350021600blaine,48.428282,-108.967648,0.9,,0,0,,0,,1009.55,MT,1350048793,1350088406,71.87,1350079200,30.83,1350025200,1350021600,8.76,241,7
0,2012-10-13 00:00:00,64.37,1350165600,40.49,1350129600,0.36,blaine,34.99,0.5,1350108000blaine,48.428282,-108.967648,0.93,,0.0002,0.0027,1350147600,0.08,rain,1011.67,MT,1350135282,1350174688,64.37,1350165600,44.36,1350129600,1350108000,9.97,263,10.42
0,2012-10-14 00:00:00,65.73,1350252000,38.08,1350216000,0.28,blaine,36.56,0.51,1350194400blaine,48.428282,-108.967648,0.97,,0,0,,0,,1015.21,MT,1350221771,1350260970,65.73,1350252000,43.99,1350216000,1350194400,9.95,246,14.04
0,2012-10-15 00:00:00,61.63,1350338400,43.96,1350363600,0.41,blaine,38.89,0.51,1350280800blaine,48.428282,-108.967648,0.01,,0.0003,0.0043,1350331200,0.17,rain,1006.77,MT,1350308261,1350347254,61.63,1350338400,48.28,1350363600,1350280800,10,248,12.82
0,2012-10-16 00:00:00,57.95,1350396000,33.34,1350450000,0.49,blaine,37.74,0.6,1350367200blaine,48.428282,-108.967648,0.04,,0.0061,0.0546,1350406800,0.72,rain,998.09,MT,1350394751,1350433538,57.95,1350396000,42.95,1350450000,1350367200,9.7,256,16.44
0,2012-10-17 00:00:00,38.48,1350504000,27.83,1350482400,0.41,blaine,22.58,0.48,1350453600blaine,48.428282,-108.967648,0.08,,0.0005,0.0064,1350453600,0.3,rain,1013.55,MT,1350481242,1350519824,47.05,1350504000,36.23,1350536400,1350453600,10,293,18.99
0,2012-10-18 00:00:00,55.44,1350597600,16.18,1350561600,0.03,blaine,21.51,0.52,1350540000blaine,48.428282,-108.967648,0.12,,0,0,,0,,1022.36,MT,1350567733,1350606110,55.44,1350597600,26.05,1350561600,1350540000,10,263,7.63
0,2012-10-19 00:00:00,64.63,1350684000,32.27,1350633600,0.17,blaine,31.78,0.49,1350626400blaine,48.428282,-108.967648,0.16,,0,0,,0,,1006.74,MT,1350654224,1350692398,64.63,1350684000,37.05,1350633600,1350626400,10,230,10.3
0,2012-10-20 00:00:00,58.42,1350759600,31.32,1350795600,0.32,blaine,29.95,0.46,1350712800blaine,48.428282,-108.967648,0.2,,0,0,,0,,1001.65,MT,1350740716,1350778686,58.42,1350759600,36.93,1350795600,1350712800,10,262,13.49
0,2012-10-21 00:00:00,45.6,1350856800,22.55,1350820800,0.34,blaine,21.8,0.57,1350799200blaine,48.428282,-108.967648,0.23,,0,0,,0,,1014.51,MT,1350827208,1350864976,47.91,1350856800,27.76,1350820800,1350799200,9.31,117,1.91
0,2012-10-22 00:00:00,35.8,1350932400,26.77,1350914400,0.69,blaine,29.82,0.81,1350885600blaine,48.428282,-108.967648,0.27,,0.0072,0.0423,1350957600,0.69,rain,1012.28,MT,1350913700,1350951267,42.14,1350932400,29.71,1350907200,1350885600,8.87,87,6.04
0,2012-10-23 00:00:00,31.48,1350975600,12.86,1351047600,0.79,blaine,23.74,0.83,1350972000blaine,48.428282,-108.967648,0.3,0.641,0.0023,0.0215,1351047600,0.61,snow,1013.34,MT,1351000193,1351037559,31.48,1350975600,24.11,1351054800,1350972000,9.05,273,12.24
0,2012-10-24 00:00:00,19.61,1351116000,9.92,1351065600,0.86,blaine,18.57,0.8,1351058400blaine,48.428282,-108.967648,0.34,0.026,0.0001,0.0009,1351062000,0.01,snow,1024.41,MT,1351086686,1351123852,28.88,1351116000,19.29,1351087200,1351058400,9.82,280,8.08
