,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,78.08,1349128800,37.01,1349092800,0.06,cascade,32.27,0.41,1349071200cascade,47.316443,-111.350571,0.55,,0,0,,0,,1018.8,MT,1349097977,1349139950,78.08,1349128800,41.6,1349092800,1349071200,9.93,223,12.02
0,2012-10-02 00:00:00,69.92,1349211600,34.29,1349240400,0.29,cascade,34.91,0.41,1349157600cascade,47.316443,-111.350571,0.58,,0.0014,0.0224,1349240400,0.61,rain,1007.97,MT,1349184459,1349226229,69.92,1349211600,42.26,1349240400,1349157600,9.94,285,4.64
0,2012-10-03 00:00:00,28.18,1349244000,24.23,1349276400,0.94,cascade,32.78,0.91,1349244000cascade,47.316443,-111.350571,0.61,,0.0151,0.0426,1349276400,0.69,rain,1030.76,MT,1349270941,1349312508,37.53,1349244000,32.81,1349262000,1349244000,7.51,333,10.14
0,2012-10-04 00:00:00,34.22,1349388000,27.61,1349355600,0.89,cascade,29.81,0.8,1349330400cascade,47.316443,-111.350571,0.64,,0.0002,0.0024,1349388000,0.07,rain,1034.08,MT,1349357423,1349398789,39.59,1349388000,32.91,1349355600,1349330400,9.94,20,4.64
0,2012-10-05 00:00:00,36.22,1349467200,19.24,1349499600,0.45,cascade,24.38,0.75,1349416800cascade,47.316443,-111.350571,0.67,,0.0004,0.0035,1349481600,0.13,rain,1034.76,MT,1349443905,1349485069,40.67,1349467200,24.18,1349442000,1349416800,9.93,319,1.59
0,2012-10-06 00:00:00,50.01,1349553600,16.03,1349532000,0.52,cascade,25.52,0.67,1349503200cascade,47.316443,-111.350571,0.7,,0,0,,0,,1030.48,MT,1349530388,1349571350,50.01,1349553600,24.65,1349506800,1349503200,10,224,7.77
0,2012-10-07 00:00:00,64.05,1349647200,29.47,1349618400,0.08,cascade,29.48,0.55,1349589600cascade,47.316443,-111.350571,0.73,,0,0,,0,,1019.04,MT,1349616871,1349657632,64.05,1349647200,36.21,1349607600,1349589600,10,226,8.38
0,2012-10-08 00:00:00,40.92,1349697600,30.4,1349751600,0.86,cascade,36.77,0.84,1349676000cascade,47.316443,-111.350571,0.77,,0.0121,0.0347,1349744400,0.67,rain,1018.12,MT,1349703354,1349743915,44.67,1349697600,36.09,1349758800,1349676000,8.5,343,3.62
0,2012-10-09 00:00:00,56.82,1349823600,30.03,1349773200,0.44,cascade,31.18,0.67,1349762400cascade,47.316443,-111.350571,0.8,,0.0001,0.0024,1349784000,0.07,rain,1021.84,MT,1349789838,1349830198,56.82,1349823600,35.59,1349780400,1349762400,9.98,205,5.44
