,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,75.12,1349132400,33.1,1349096400,0.01,deer lodge,32.18,0.46,1349071200deer lodge,46.094612,-113.141624,0.55,,0,0,,0,,1022.02,MT,1349098376,1349140410,75.12,1349132400,37.37,1349100000,1349071200,9.35,232,4.56
0,2012-10-02 00:00:00,73.42,1349215200,45.56,1349182800,0.06,deer lodge,29.65,0.36,1349157600deer lodge,46.094612,-113.141624,0.58,,0,0,,0,,1010.67,MT,1349184854,1349226694,73.42,1349215200,46.9,1349186400,1349157600,9.82,264,7.09
0,2012-10-03 00:00:00,45.7,1349244000,28.68,1349272800,0.6,deer lodge,25.97,0.56,1349244000deer lodge,46.094612,-113.141624,0.61,,0.0029,0.0231,1349262000,0.62,rain,1024.5,MT,1349271331,1349312978,47.53,1349244000,33.26,1349326800,1349244000,9.66,356,7
0,2012-10-04 00:00:00,43.36,1349391600,24.07,1349355600,0.56,deer lodge,22.13,0.62,1349330400deer lodge,46.094612,-113.141624,0.64,,0,0,,0,,1028.77,MT,1349357809,1349399262,45.08,1349391600,24.07,1349355600,1349330400,9.98,46,1.02
0,2012-10-05 00:00:00,42.73,1349478000,24.9,1349449200,0.45,deer lodge,20.13,0.57,1349416800deer lodge,46.094612,-113.141624,0.67,,0,0,,0,,1029.31,MT,1349444287,1349485547,46.4,1349478000,26.26,1349445600,1349416800,9.98,345,3.43
0,2012-10-06 00:00:00,47.72,1349560800,7.97,1349532000,0.15,deer lodge,14.95,0.5,1349503200deer lodge,46.094612,-113.141624,0.7,,0,0,,0,,1029.4,MT,1349530765,1349571832,49.84,1349560800,18.01,1349532000,1349503200,10,252,1.08
0,2012-10-07 00:00:00,61.66,1349650800,14.01,1349614800,0.03,deer lodge,19.83,0.48,1349589600deer lodge,46.094612,-113.141624,0.73,,0,0,,0,,1021.93,MT,1349617244,1349658118,61.66,1349650800,22.38,1349618400,1349589600,10,214,3.12
0,2012-10-08 00:00:00,57.62,1349733600,22.01,1349694000,0.35,deer lodge,24.88,0.51,1349676000deer lodge,46.094612,-113.141624,0.77,,0.0007,0.0029,1349744400,0.09,rain,1015.66,MT,1349703723,1349744405,57.62,1349733600,28.24,1349701200,1349676000,8.83,278,1.75
0,2012-10-09 00:00:00,58.22,1349823600,27.19,1349791200,0.42,deer lodge,27.57,0.55,1349762400deer lodge,46.094612,-113.141624,0.8,,0,0,,0,,1018.87,MT,1349790203,1349830692,58.22,1349823600,32.55,1349791200,1349762400,9.82,125,0.9
0,2012-10-10 00:00:00,65.22,1349906400,22.08,1349866800,0.04,deer lodge,27.2,0.54,1349848800deer lodge,46.094612,-113.141624,0.83,,0,0,,0,,1016.48,MT,1349876682,1349916980,65.22,1349906400,28.08,1349874000,1349848800,9.68,253,0.7
0,2012-10-11 00:00:00,60.3,1349996400,28.55,1349967600,0.2,deer lodge,29.96,0.61,1349935200deer lodge,46.094612,-113.141624,0.86,,0,0,,0,,1017.56,MT,1349963163,1350003269,60.3,1349996400,31.58,1349960400,1349935200,9.36,93,1.2
0,2012-10-12 00:00:00,70.14,1350082800,24.34,1350050400,0.05,deer lodge,25.53,0.48,1350021600deer lodge,46.094612,-113.141624,0.9,,0,0,,0,,1011.76,MT,1350049643,1350089558,70.14,1350082800,28.43,1350050400,1350021600,9.31,241,3.49
