,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,68.42,1349128800,34.95,1349089200,0.04,fallon,34.79,0.58,1349071200fallon,46.318184,-104.405718,0.55,,0,0,,0,,1021.29,MT,1349096283,1349138311,68.42,1349128800,38.17,1349092800,1349071200,8.78,217,4.77
0,2012-10-02 00:00:00,73.61,1349208000,51.12,1349236800,0.03,fallon,32.7,0.36,1349157600fallon,46.318184,-104.405718,0.58,,0,0,,0,,1007.17,MT,1349182761,1349224594,73.61,1349208000,51.12,1349236800,1349157600,10,286,3.78
0,2012-10-03 00:00:00,52.61,1349244000,24.51,1349316000,0.82,fallon,33.89,0.82,1349244000fallon,46.318184,-104.405718,0.61,,0.0204,0.1254,1349283600,0.8,rain,1018.76,MT,1349269240,1349310877,52.61,1349244000,34.58,1349326800,1349244000,8.22,354,11.69
0,2012-10-04 00:00:00,34.64,1349391600,23.07,1349413200,0.73,fallon,28.07,0.75,1349330400fallon,46.318184,-104.405718,0.64,,0.0002,0.0011,1349377200,0.02,rain,1030.43,MT,1349355718,1349397160,40.9,1349391600,28.25,1349413200,1349330400,9.89,333,9.17
0,2012-10-05 00:00:00,33.89,1349474400,18.82,1349431200,0.41,fallon,21.91,0.69,1349416800fallon,46.318184,-104.405718,0.67,,0,0,,0,,1030.83,MT,1349442197,1349483444,41.16,1349474400,24.52,1349427600,1349416800,9.96,330,6.4
0,2012-10-06 00:00:00,40.43,1349560800,12.95,1349521200,0.03,fallon,17.98,0.62,1349503200fallon,46.318184,-104.405718,0.7,,0,0,,0,,1029.16,MT,1349528676,1349569729,44.84,1349560800,18.43,1349524800,1349503200,9.9,255,5.65
0,2012-10-07 00:00:00,56.95,1349647200,20.41,1349604000,0.27,fallon,28.19,0.56,1349589600fallon,46.318184,-104.405718,0.73,,0,0,,0,,1015.11,MT,1349615156,1349656014,56.95,1349647200,28.71,1349604000,1349589600,10,269,10.41
0,2012-10-08 00:00:00,53.25,1349679600,30.52,1349758800,0.76,fallon,32.86,0.56,1349676000fallon,46.318184,-104.405718,0.77,,0,0,,0,,1009.25,MT,1349701636,1349742300,53.25,1349679600,39.65,1349758800,1349676000,9.99,302,15.63
0,2012-10-09 00:00:00,37.31,1349823600,22.65,1349784000,0.64,fallon,22.98,0.57,1349762400fallon,46.318184,-104.405718,0.8,,0.0001,0.0017,1349802000,0.04,rain,1018.55,MT,1349788116,1349828587,44.8,1349823600,32.24,1349784000,1349762400,9.94,305,12.73
0,2012-10-10 00:00:00,64.17,1349899200,24.85,1349863200,0.32,fallon,29.76,0.56,1349848800fallon,46.318184,-104.405718,0.83,,0,0,,0,,1014.44,MT,1349874596,1349914874,64.17,1349899200,31.4,1349863200,1349848800,10,279,6.27
0,2012-10-11 00:00:00,34.96,1349992800,25.42,1349953200,0.96,fallon,28.21,0.73,1349935200fallon,46.318184,-104.405718,0.86,,0.0011,0.011,1349956800,0.52,rain,1024.9,MT,1349961077,1350001162,38.77,1349992800,32.68,1349964000,1349935200,9.63,74,3.85
0,2012-10-12 00:00:00,69.18,1350079200,21.02,1350032400,0.04,fallon,30.77,0.6,1350021600fallon,46.318184,-104.405718,0.9,,0.0009,0.0095,1350075600,0.5,rain,1012.33,MT,1350047559,1350087450,69.18,1350079200,30.79,1350046800,1350021600,10,167,9.52
0,2012-10-13 00:00:00,65.06,1350154800,35.2,1350133200,0.19,fallon,33.7,0.55,1350108000fallon,46.318184,-104.405718,0.93,,0,0,,0,,1009.7,MT,1350134040,1350173740,65.06,1350154800,39.51,1350115200,1350108000,10,297,7.77
0,2012-10-14 00:00:00,67.27,1350248400,36.5,1350212400,0.23,fallon,34.7,0.54,1350194400fallon,46.318184,-104.405718,0.97,,0,0,,0,,1015.15,MT,1350220522,1350260030,67.27,1350248400,40.72,1350219600,1350194400,10,278,8.87
0,2012-10-15 00:00:00,71.39,1350327600,50.53,1350363600,0.54,fallon,37.64,0.48,1350280800fallon,46.318184,-104.405718,0.01,,0.0008,0.0152,1350356400,0.56,rain,1007.18,MT,1350307004,1350346321,71.39,1350327600,50.53,1350363600,1350280800,9.98,262,9.77
0,2012-10-16 00:00:00,59.9,1350417600,39.95,1350450000,0.43,fallon,44.08,0.78,1350367200fallon,46.318184,-104.405718,0.04,,0.0065,0.0422,1350421200,0.69,rain,998.51,MT,1350393487,1350432613,59.9,1350417600,45.34,1350381600,1350367200,9.8,249,7.77
0,2012-10-17 00:00:00,50.37,1350504000,27.31,1350464400,0.49,fallon,25.55,0.51,1350453600fallon,46.318184,-104.405718,0.08,,0.0213,0.1249,1350532800,0.8,rain,1003.53,MT,1350479970,1350518906,50.37,1350504000,39.61,1350464400,1350453600,9.68,299,32.72
0,2012-10-18 00:00:00,38.42,1350597600,23.58,1350622800,0.62,fallon,26.89,0.62,1350540000fallon,46.318184,-104.405718,0.12,,0.0312,0.1582,1350615600,0.82,rain,1015.92,MT,1350566454,1350605200,46.91,1350597600,29.83,1350622800,1350540000,9.98,311,23.9
0,2012-10-19 00:00:00,60.44,1350684000,19.86,1350640800,0.07,fallon,25.73,0.6,1350626400fallon,46.318184,-104.405718,0.16,,0.0154,0.1824,1350684000,0.83,rain,1010.64,MT,1350652937,1350691495,60.44,1350684000,23.54,1350644400,1350626400,9.77,197,4.24
0,2012-10-20 00:00:00,66.15,1350763200,32.63,1350738000,0.47,fallon,35.28,0.55,1350712800fallon,46.318184,-104.405718,0.2,,0.0022,0.0153,1350795600,0.56,rain,1001.66,MT,1350739422,1350777791,66.15,1350763200,38.07,1350738000,1350712800,9.96,265,4.21
0,2012-10-21 00:00:00,45.44,1350853200,34.21,1350882000,0.88,fallon,32.8,0.64,1350799200fallon,46.318184,-104.405718,0.23,,0.0018,0.0221,1350799200,0.61,rain,1013.01,MT,1350825906,1350864088,48.31,1350853200,40.48,1350828000,1350799200,9.96,27,3.53
0,2012-10-22 00:00:00,34.08,1350932400,26.37,1350903600,0.95,fallon,34.05,0.84,1350885600fallon,46.318184,-104.405718,0.27,,0.0058,0.0235,1350896400,0.62,rain,1012.57,MT,1350912391,1350950386,42.55,1350932400,36.05,1350907200,1350885600,9.75,112,15.57
0,2012-10-23 00:00:00,35.8,1351018800,24.64,1351054800,0.61,fallon,34.7,0.85,1350972000fallon,46.318184,-104.405718,0.3,,0.0019,0.011,1351015200,0.52,rain,1007.93,MT,1350998876,1351036686,42.74,1351018800,31.4,1351054800,1350972000,8.99,292,5.54
0,2012-10-24 00:00:00,27.01,1351116000,16.28,1351141200,0.47,fallon,22.97,0.75,1351058400fallon,46.318184,-104.405718,0.34,0.023,0.0001,0.0017,1351083600,0.04,snow,1019.04,MT,1351085361,1351122986,36.13,1351116000,26.68,1351141200,1351058400,9.91,297,10.84
0,2012-10-25 00:00:00,16.33,1351202400,11.95,1351159200,0.94,fallon,18.88,0.7,1351144800fallon,46.318184,-104.405718,0.37,,0,0,,0,,1026.73,MT,1351171847,1351209288,29.21,1351202400,25.01,1351148400,1351144800,9.68,304,17.24
