,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,66.72,1349125200,34.76,1349092800,0.04,flathead,32.03,0.48,1349071200flathead,48.314575,-114.054533,0.55,,0,0,,0,,1020.19,MT,1349098654,1349140571,66.72,1349125200,40.26,1349089200,1349071200,9.7,235,11.4
0,2012-10-02 00:00:00,58.45,1349204400,23.81,1349240400,0.47,flathead,31.35,0.56,1349157600flathead,48.314575,-114.054533,0.58,,0.0091,0.0869,1349236800,0.77,rain,1010.59,MT,1349185139,1349226847,58.45,1349204400,33.9,1349240400,1349157600,9.56,298,3.74
0,2012-10-03 00:00:00,30.54,1349290800,15.7,1349251200,0.58,flathead,25.33,0.75,1349244000flathead,48.314575,-114.054533,0.61,,0.0095,0.0959,1349247600,0.78,rain,1029.12,MT,1349271624,1349313123,37.66,1349290800,25.64,1349326800,1349244000,9.53,5,9.23
0,2012-10-04 00:00:00,39.75,1349391600,13.52,1349355600,0.09,flathead,18.47,0.67,1349330400flathead,48.314575,-114.054533,0.64,,0,0,,0,,1030.36,MT,1349358110,1349399399,39.75,1349391600,21.03,1349355600,1349330400,9.95,353,2.36
0,2012-10-05 00:00:00,39.95,1349478000,10.54,1349442000,0.1,flathead,17.5,0.66,1349416800flathead,48.314575,-114.054533,0.67,,0,0,,0,,1031.08,MT,1349444596,1349485676,42.2,1349478000,19.33,1349445600,1349416800,9.94,294,2.68
0,2012-10-06 00:00:00,42.55,1349564400,18.33,1349506800,0.35,flathead,23.18,0.67,1349503200flathead,48.314575,-114.054533,0.7,,0.0003,0.0045,1349553600,0.18,rain,1028.75,MT,1349531082,1349571954,47.22,1349564400,22.63,1349506800,1349503200,9.94,291,6.3
0,2012-10-07 00:00:00,55.08,1349643600,18.89,1349618400,0.03,flathead,26.88,0.62,1349589600flathead,48.314575,-114.054533,0.73,,0,0,,0,,1020.9,MT,1349617569,1349658232,55.08,1349643600,28.89,1349593200,1349589600,9.94,268,8.07
0,2012-10-08 00:00:00,36.39,1349722800,28.59,1349758800,0.86,flathead,30.66,0.74,1349676000flathead,48.314575,-114.054533,0.77,,0.0012,0.0046,1349726400,0.19,rain,1015.87,MT,1349704056,1349744511,42.06,1349722800,35.27,1349686800,1349676000,9.55,358,6.04
0,2012-10-09 00:00:00,54.89,1349823600,25.33,1349791200,0.34,flathead,28.71,0.64,1349762400flathead,48.314575,-114.054533,0.8,,0,0,,0,,1018.84,MT,1349790543,1349830790,54.89,1349823600,30.01,1349791200,1349762400,9.9,303,3.16
0,2012-10-10 00:00:00,44.88,1349902800,26.05,1349931600,0.3,flathead,29.6,0.69,1349848800flathead,48.314575,-114.054533,0.83,,0.0002,0.0045,1349913600,0.18,rain,1016.1,MT,1349877031,1349917070,46.06,1349902800,32.51,1349877600,1349848800,8.96,1,5.37
0,2012-10-11 00:00:00,46.95,1349996400,24.4,1349935200,0.19,flathead,28.14,0.67,1349935200flathead,48.314575,-114.054533,0.86,,0,0,,0,,1017.37,MT,1349963519,1350003351,48.82,1349996400,31.55,1349964000,1349935200,9.61,81,3.5
0,2012-10-12 00:00:00,58.26,1350082800,26.75,1350046800,0.2,flathead,30.48,0.62,1350021600flathead,48.314575,-114.054533,0.9,,0,0,,0,,1010.22,MT,1350050007,1350089633,58.26,1350082800,33.26,1350046800,1350021600,7.74,237,8.37
0,2012-10-13 00:00:00,53.96,1350158400,38.66,1350140400,0.85,flathead,37.02,0.65,1350108000flathead,48.314575,-114.054533,0.93,,0.0011,0.0071,1350165600,0.35,rain,1015.42,MT,1350136496,1350175915,53.96,1350158400,44.66,1350133200,1350108000,9.39,235,8.65
0,2012-10-14 00:00:00,57.64,1350252000,41.05,1350205200,0.75,flathead,38.76,0.64,1350194400flathead,48.314575,-114.054533,0.97,,0.0007,0.0045,1350237600,0.18,rain,1016.64,MT,1350222985,1350262198,57.64,1350252000,45.29,1350205200,1350194400,9.66,216,9.89
0,2012-10-15 00:00:00,54.74,1350331200,42.82,1350309600,0.8,flathead,40.4,0.68,1350280800flathead,48.314575,-114.054533,0.01,,0.0035,0.0291,1350334800,0.65,rain,1009.55,MT,1350309474,1350348482,54.74,1350331200,47.01,1350356400,1350280800,9.55,222,8.69
0,2012-10-16 00:00:00,43.76,1350403200,29.81,1350446400,0.71,flathead,35.6,0.72,1350367200flathead,48.314575,-114.054533,0.04,,0.0158,0.0569,1350392400,0.73,rain,1001.48,MT,1350395964,1350434767,49.48,1350403200,36.83,1350450000,1350367200,9.03,239,11.17
0,2012-10-17 00:00:00,38.99,1350511200,20.55,1350536400,0.35,flathead,20.18,0.52,1350453600flathead,48.314575,-114.054533,0.08,,0,0,,0,,1019.01,MT,1350482454,1350521053,45.03,1350511200,27.96,1350536400,1350453600,9.93,259,10.1
0,2012-10-18 00:00:00,50.12,1350597600,18.2,1350550800,0.26,flathead,24.58,0.63,1350540000flathead,48.314575,-114.054533,0.12,,0,0,,0,,1023.36,MT,1350568945,1350607340,50.12,1350597600,25.74,1350543600,1350540000,9.92,240,9.39
0,2012-10-19 00:00:00,51.1,1350684000,30.97,1350658800,0.69,flathead,36.31,0.74,1350626400flathead,48.314575,-114.054533,0.16,,0.0058,0.0513,1350673200,0.71,rain,1007.74,MT,1350655436,1350693628,51.1,1350684000,36.56,1350630000,1350626400,9.58,236,13.43
0,2012-10-20 00:00:00,34.32,1350759600,22.7,1350795600,0.5,flathead,27.02,0.66,1350712800flathead,48.314575,-114.054533,0.2,,0.0081,0.0875,1350720000,0.77,rain,1004.21,MT,1350741927,1350779917,42.32,1350759600,27.49,1350795600,1350712800,9.56,239,10.09
0,2012-10-21 00:00:00,36.35,1350853200,18.64,1350810000,0.64,flathead,22.9,0.81,1350799200flathead,48.314575,-114.054533,0.23,0.083,0.0004,0.0064,1350860400,0.3,snow,1013.41,MT,1350828418,1350866207,36.35,1350853200,22.95,1350882000,1350799200,9.65,270,0.39
0,2012-10-22 00:00:00,21.65,1350943200,11.5,1350968400,0.49,flathead,20.84,0.87,1350885600flathead,48.314575,-114.054533,0.27,1.356,0.0047,0.02,1350968400,0.6,snow,1010.26,MT,1350914910,1350952498,30.83,1350943200,20.2,1350910800,1350885600,7.44,19,7.33
0,2012-10-23 00:00:00,18.33,1351029600,10.52,1350979200,0.87,flathead,19.18,0.86,1350972000flathead,48.314575,-114.054533,0.3,0.799,0.0024,0.021,1350975600,0.6,snow,1012.35,MT,1351001402,1351038790,26.42,1351029600,18.96,1351044000,1350972000,7.62,358,6.82
0,2012-10-24 00:00:00,24.67,1351112400,14.73,1351083600,0.85,flathead,19.59,0.86,1351058400flathead,48.314575,-114.054533,0.34,0.485,0.0014,0.0192,1351069200,0.59,snow,1019.93,MT,1351087895,1351125084,28.26,1351112400,20.07,1351058400,1351058400,7.61,338,1.87
