,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.47,1349132400,34.28,1349089200,0.01,gallatin,31.48,0.47,1349071200gallatin,45.518054,-111.163921,0.55,,0,0,,0,,1021.95,MT,1349097887,1349139951,74.47,1349132400,35.19,1349096400,1349071200,9.88,247,5.22
0,2012-10-02 00:00:00,73.54,1349215200,47.52,1349186400,0.02,gallatin,26.65,0.3,1349157600gallatin,45.518054,-111.163921,0.58,,0,0,,0,,1009.58,MT,1349184362,1349226236,73.54,1349215200,49.9,1349186400,1349157600,9.98,258,9.66
0,2012-10-03 00:00:00,47.35,1349244000,27.07,1349326800,0.58,gallatin,27.41,0.63,1349244000gallatin,45.518054,-111.163921,0.61,,0.0021,0.0082,1349319600,0.42,rain,1022.84,MT,1349270838,1349312522,48.68,1349244000,31.11,1349326800,1349244000,9.38,336,7.12
0,2012-10-04 00:00:00,41.84,1349391600,20.99,1349355600,0.67,gallatin,23.54,0.68,1349330400gallatin,45.518054,-111.163921,0.64,,0.0002,0.0032,1349388000,0.11,rain,1028.8,MT,1349357314,1349398808,41.84,1349391600,25.6,1349355600,1349330400,9.87,71,2.7
0,2012-10-05 00:00:00,35.79,1349470800,22,1349499600,0.65,gallatin,22.42,0.66,1349416800gallatin,45.518054,-111.163921,0.67,0.147,0.0007,0.0027,1349445600,0.08,snow,1029.59,MT,1349443790,1349485095,39.83,1349470800,27.75,1349499600,1349416800,9.58,31,3.1
0,2012-10-06 00:00:00,42.32,1349560800,10.97,1349524800,0.21,gallatin,14.38,0.55,1349503200gallatin,45.518054,-111.163921,0.7,,0,0,,0,,1029.97,MT,1349530266,1349571382,46.64,1349560800,14.55,1349528400,1349503200,9.99,266,3.07
0,2012-10-07 00:00:00,59.29,1349647200,18.55,1349611200,0.1,gallatin,19.35,0.45,1349589600gallatin,45.518054,-111.163921,0.73,,0,0,,0,,1021.03,MT,1349616743,1349657670,59.29,1349647200,24.39,1349607600,1349589600,10,251,4.94
0,2012-10-08 00:00:00,54.34,1349726400,24.02,1349690400,0.37,gallatin,23.75,0.5,1349676000gallatin,45.518054,-111.163921,0.77,,0.001,0.0036,1349733600,0.13,rain,1015.43,MT,1349703220,1349743959,54.34,1349726400,30.65,1349694000,1349676000,9.42,274,3.3
0,2012-10-09 00:00:00,55,1349823600,30.55,1349791200,0.54,gallatin,27.35,0.6,1349762400gallatin,45.518054,-111.163921,0.8,,0,0,,0,,1019.65,MT,1349789698,1349830248,55,1349823600,33.3,1349791200,1349762400,9.97,264,1.53
0,2012-10-10 00:00:00,64.63,1349902800,21.75,1349866800,0.05,gallatin,25.89,0.53,1349848800gallatin,45.518054,-111.163921,0.83,,0,0,,0,,1016.65,MT,1349876176,1349916538,64.63,1349902800,27.55,1349874000,1349848800,9.94,309,2.2
0,2012-10-11 00:00:00,54.57,1349992800,28.58,1349953200,0.45,gallatin,31.24,0.68,1349935200gallatin,45.518054,-111.163921,0.86,,0.0001,0.0009,1349946000,0.01,rain,1018.88,MT,1349962654,1350002829,54.57,1349992800,32.94,1349960400,1349935200,9.57,113,3.13
0,2012-10-12 00:00:00,70.99,1350079200,23.96,1350050400,0.11,gallatin,26.24,0.5,1350021600gallatin,45.518054,-111.163921,0.9,,0,0,,0,,1011.96,MT,1350049132,1350089120,70.99,1350079200,28.71,1350043200,1350021600,9.62,264,4.57
0,2012-10-13 00:00:00,55.57,1350165600,40.39,1350122400,0.53,gallatin,31.95,0.53,1350108000gallatin,45.518054,-111.163921,0.93,,0.0003,0.0055,1350151200,0.24,rain,1015.91,MT,1350135611,1350175412,55.57,1350165600,43.45,1350129600,1350108000,9.66,246,5.72
0,2012-10-14 00:00:00,64.29,1350252000,35.42,1350219600,0.19,gallatin,32.05,0.5,1350194400gallatin,45.518054,-111.163921,0.97,,0,0,,0,,1020.62,MT,1350222091,1350261705,64.29,1350252000,38.62,1350223200,1350194400,10,234,8.69
0,2012-10-15 00:00:00,59,1350334800,41.25,1350363600,0.51,gallatin,34.69,0.51,1350280800gallatin,45.518054,-111.163921,0.01,,0.0003,0.0022,1350331200,0.06,rain,1011.7,MT,1350308570,1350347999,59,1350334800,44.47,1350363600,1350280800,9.96,236,10.64
0,2012-10-16 00:00:00,53.82,1350403200,29.58,1350450000,0.57,gallatin,32.36,0.55,1350367200gallatin,45.518054,-111.163921,0.04,,0.0079,0.0546,1350406800,0.72,rain,1003.66,MT,1350395050,1350434294,53.82,1350403200,38.67,1350450000,1350367200,9.64,254,13.03
0,2012-10-17 00:00:00,39.7,1350511200,25.22,1350468000,0.34,gallatin,16.87,0.41,1350453600gallatin,45.518054,-111.163921,0.08,,0,0,,0,,1017.92,MT,1350481531,1350520589,47.05,1350511200,32.05,1350536400,1350453600,9.99,277,14.4
0,2012-10-18 00:00:00,56.42,1350597600,15.97,1350565200,0.03,gallatin,18.16,0.48,1350540000gallatin,45.518054,-111.163921,0.12,,0,0,,0,,1024.89,MT,1350568011,1350606886,56.42,1350597600,23.17,1350565200,1350540000,9.93,256,6.78
0,2012-10-19 00:00:00,60.25,1350684000,26.36,1350644400,0.34,gallatin,26.58,0.47,1350626400gallatin,45.518054,-111.163921,0.16,,0.0001,0.0014,1350709200,0.03,rain,1012.05,MT,1350654492,1350693184,60.25,1350684000,34.86,1350640800,1350626400,9.99,227,12.84
0,2012-10-20 00:00:00,54.96,1350759600,34.73,1350795600,0.65,gallatin,31.85,0.54,1350712800gallatin,45.518054,-111.163921,0.2,,0.0015,0.0115,1350770400,0.52,rain,1003.71,MT,1350740974,1350779482,54.96,1350759600,38.41,1350795600,1350712800,9.87,260,7.71
0,2012-10-21 00:00:00,45.97,1350856800,29.26,1350828000,0.47,gallatin,22.81,0.54,1350799200gallatin,45.518054,-111.163921,0.23,,0,0,,0,,1011.31,MT,1350827456,1350865782,47.5,1350856800,32.29,1350828000,1350799200,9.99,191,1.38
0,2012-10-22 00:00:00,35.08,1350932400,24.67,1350892800,0.6,gallatin,28.26,0.83,1350885600gallatin,45.518054,-111.163921,0.27,,0.0052,0.0193,1350936000,0.59,rain,1008.79,MT,1350913938,1350952083,37.64,1350932400,28.13,1350903600,1350885600,8.37,152,1.85
0,2012-10-23 00:00:00,31.53,1351022400,20.08,1351054800,0.71,gallatin,26.23,0.83,1350972000gallatin,45.518054,-111.163921,0.3,0.729,0.0034,0.0145,1351040400,0.56,snow,1010.8,MT,1351000420,1351038385,35.19,1351022400,26.47,1351054800,1350972000,7.97,259,4.59
0,2012-10-24 00:00:00,33.74,1351116000,18.28,1351072800,0.6,gallatin,20.61,0.8,1351058400gallatin,45.518054,-111.163921,0.34,0.155,0.0005,0.0082,1351062000,0.42,snow,1020.21,MT,1351086903,1351124688,33.74,1351116000,19.78,1351087200,1351058400,9.2,323,1.72
0,2012-10-25 00:00:00,24.34,1351202400,16.82,1351162800,0.93,gallatin,20.24,0.83,1351144800gallatin,45.518054,-111.163921,0.37,0.842,0.0029,0.0126,1351184400,0.54,snow,1027.86,MT,1351173386,1351210993,27.78,1351202400,22.21,1351227600,1351144800,7.72,339,2.52
0,2012-10-26 00:00:00,27.62,1351288800,11.08,1351256400,0.59,gallatin,18.24,0.76,1351231200gallatin,45.518054,-111.163921,0.4,0.075,0.0004,0.0037,1351299600,0.14,snow,1029.41,MT,1351259870,1351297298,33.99,1351288800,16.07,1351256400,1351231200,8.96,237,4.24
0,2012-10-27 00:00:00,33.54,1351375200,21.38,1351335600,0.89,gallatin,25.27,0.75,1351317600gallatin,45.518054,-111.163921,0.44,0.153,0.0007,0.002,1351396800,0.05,snow,1020.37,MT,1351346353,1351383605,39.16,1351375200,27.36,1351321200,1351317600,8.93,221,4.45
0,2012-10-28 00:00:00,51.82,1351461600,28.02,1351404000,0.72,gallatin,33.36,0.69,1351404000gallatin,45.518054,-111.163921,0.47,,0.0017,0.0135,1351425600,0.54,rain,1014.88,MT,1351432837,1351469914,51.82,1351461600,34.71,1351404000,1351404000,9.34,231,10.38
0,2012-10-29 00:00:00,58.02,1351548000,41.09,1351519200,0.77,gallatin,36.47,0.62,1351490400gallatin,45.518054,-111.163921,0.49,,0.0013,0.0084,1351530000,0.44,rain,1014.89,MT,1351519321,1351556223,58.02,1351548000,43.97,1351504800,1351490400,9.94,225,8.75
0,2012-10-30 00:00:00,60.72,1351634400,33.5,1351598400,0.26,gallatin,30.83,0.55,1351576800gallatin,45.518054,-111.163921,0.53,,0,0,,0,,1017.63,MT,1351605806,1351642534,60.72,1351634400,37.81,1351605600,1351576800,10,223,7.48
0,2012-10-31 00:00:00,62.22,1351720800,34.53,1351692000,0.08,gallatin,31.57,0.55,1351663200gallatin,45.518054,-111.163921,0.56,,0,0,,0,,1015.85,MT,1351692290,1351728847,62.22,1351720800,37,1351692000,1351663200,9.94,190,4.55
0,2012-11-01 00:00:00,56.29,1351796400,34.05,1351828800,0.51,gallatin,31.3,0.59,1351749600gallatin,45.518054,-111.163921,0.59,,0.0005,0.0041,1351825200,0.16,rain,1011.18,MT,1351778775,1351815161,56.29,1351796400,38.31,1351774800,1351749600,9.95,227,6.73
0,2012-11-02 00:00:00,50.49,1351890000,28.19,1351918800,0.6,gallatin,29.74,0.65,1351836000gallatin,45.518054,-111.163921,0.62,,0.0001,0.0012,1351854000,0.02,rain,1019.33,MT,1351865260,1351901477,50.49,1351890000,32.38,1351918800,1351836000,10,250,5.05
0,2012-11-03 00:00:00,53.77,1351976400,19.87,1351947600,0.27,gallatin,26.3,0.63,1351922400gallatin,45.518054,-111.163921,0.65,,0,0,,0,,1022.19,MT,1351951745,1351987794,53.77,1351976400,25.81,1351947600,1351922400,10,238,5.89
