,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,75.34,1349132400,33.25,1349096400,0.01,jefferson,30.98,0.44,1349071200jefferson,46.124246,-112.059424,0.55,,0,0,,0,,1021.38,MT,1349098117,1349140150,75.34,1349132400,37.23,1349096400,1349071200,9.55,234,7.07
0,2012-10-02 00:00:00,72.43,1349215200,46.2,1349240400,0.08,jefferson,29.44,0.32,1349157600jefferson,46.124246,-112.059424,0.58,,0,0,,0,,1009.33,MT,1349184594,1349226434,72.43,1349215200,48.73,1349240400,1349157600,9.93,268,8
0,2012-10-03 00:00:00,40.48,1349244000,26.36,1349272800,0.71,jefferson,28.59,0.69,1349244000jefferson,46.124246,-112.059424,0.61,,0.0043,0.0185,1349262000,0.59,rain,1026.09,MT,1349271072,1349312717,44.6,1349244000,32.02,1349326800,1349244000,9.25,345,8.27
0,2012-10-04 00:00:00,38.85,1349391600,26.03,1349355600,0.72,jefferson,24.3,0.7,1349330400jefferson,46.124246,-112.059424,0.64,,0.0002,0.0028,1349388000,0.09,rain,1030.75,MT,1349357550,1349399002,41.38,1349391600,26.03,1349355600,1349330400,9.92,41,1.98
0,2012-10-05 00:00:00,36.45,1349478000,27.3,1349496000,0.56,jefferson,21.72,0.64,1349416800jefferson,46.124246,-112.059424,0.67,,0.0005,0.0021,1349481600,0.06,rain,1031.08,MT,1349444028,1349485286,41.62,1349478000,27.8,1349445600,1349416800,9.81,1,2.91
0,2012-10-06 00:00:00,45.02,1349560800,7.43,1349532000,0.23,jefferson,16.46,0.55,1349503200jefferson,46.124246,-112.059424,0.7,,0,0,,0,,1030.3,MT,1349530507,1349571572,47.91,1349560800,17.27,1349528400,1349503200,10,238,3.82
0,2012-10-07 00:00:00,61.56,1349650800,16.8,1349614800,0.06,jefferson,21.16,0.48,1349589600jefferson,46.124246,-112.059424,0.73,,0,0,,0,,1021.01,MT,1349616986,1349657858,61.56,1349650800,25.2,1349618400,1349589600,10,229,5.61
0,2012-10-08 00:00:00,53.37,1349730000,27.23,1349690400,0.46,jefferson,27.57,0.56,1349676000jefferson,46.124246,-112.059424,0.77,,0.0022,0.0073,1349744400,0.36,rain,1015.83,MT,1349703465,1349744144,53.37,1349730000,32.36,1349701200,1349676000,8.94,287,2.54
0,2012-10-09 00:00:00,56.37,1349823600,30.04,1349791200,0.51,jefferson,28.64,0.6,1349762400jefferson,46.124246,-112.059424,0.8,,0,0,,0,,1019.8,MT,1349789944,1349830431,56.37,1349823600,34.38,1349791200,1349762400,9.94,201,1.97
0,2012-10-10 00:00:00,63.6,1349906400,22.65,1349866800,0.08,jefferson,28.19,0.56,1349848800jefferson,46.124246,-112.059424,0.83,,0.0001,0.0011,1349931600,0.02,rain,1016.91,MT,1349876424,1349916719,63.6,1349906400,29.49,1349874000,1349848800,9.73,281,1.79
0,2012-10-11 00:00:00,55.66,1349996400,26.08,1349967600,0.36,jefferson,30.88,0.69,1349935200jefferson,46.124246,-112.059424,0.86,,0,0,,0,,1019.59,MT,1349962904,1350003008,55.66,1349996400,30.89,1349960400,1349935200,9.33,78,2.39
0,2012-10-12 00:00:00,70.74,1350082800,24.03,1350050400,0.06,jefferson,25.36,0.49,1350021600jefferson,46.124246,-112.059424,0.9,,0,0,,0,,1011.51,MT,1350049385,1350089297,70.74,1350082800,30.13,1350046800,1350021600,9.6,237,5.82
0,2012-10-13 00:00:00,57.94,1350162000,44.26,1350129600,0.56,jefferson,32.22,0.48,1350108000jefferson,46.124246,-112.059424,0.93,,0.0005,0.0043,1350144000,0.17,rain,1015.65,MT,1350135866,1350175587,57.94,1350162000,46.93,1350122400,1350108000,9.33,247,7.16
0,2012-10-14 00:00:00,63.94,1350252000,40.24,1350216000,0.26,jefferson,34.2,0.5,1350194400jefferson,46.124246,-112.059424,0.97,,0,0,,0,,1019.43,MT,1350222347,1350261878,63.94,1350252000,43.28,1350219600,1350194400,10,227,8.83
0,2012-10-15 00:00:00,59.77,1350334800,43.84,1350363600,0.55,jefferson,36.02,0.51,1350280800jefferson,46.124246,-112.059424,0.01,,0.0396,0.4744,1350327600,0.89,rain,1010.84,MT,1350308829,1350348170,59.77,1350334800,46.55,1350363600,1350280800,9.91,235,10.17
0,2012-10-16 00:00:00,53.9,1350396000,30.79,1350450000,0.6,jefferson,32.79,0.55,1350367200jefferson,46.124246,-112.059424,0.04,,0.0096,0.0684,1350403200,0.75,rain,1003.12,MT,1350395311,1350434463,53.9,1350396000,39.04,1350450000,1350367200,9.65,256,12.38
0,2012-10-17 00:00:00,40.56,1350507600,28.2,1350536400,0.28,jefferson,17.95,0.41,1350453600jefferson,46.124246,-112.059424,0.08,,0,0,,0,,1018.39,MT,1350481793,1350520756,47.76,1350507600,33.43,1350536400,1350453600,10,279,13.74
0,2012-10-18 00:00:00,56.69,1350601200,18.93,1350565200,0.06,jefferson,20.23,0.5,1350540000jefferson,46.124246,-112.059424,0.12,,0,0,,0,,1024.55,MT,1350568276,1350607051,56.69,1350601200,24.56,1350565200,1350540000,9.9,241,7.07
0,2012-10-19 00:00:00,60.55,1350680400,26.84,1350644400,0.35,jefferson,29.72,0.51,1350626400jefferson,46.124246,-112.059424,0.16,,0.0003,0.0044,1350709200,0.18,rain,1010.75,MT,1350654759,1350693347,60.55,1350680400,36.38,1350644400,1350626400,9.98,225,12.43
0,2012-10-20 00:00:00,53.81,1350759600,33.36,1350795600,0.55,jefferson,31.56,0.56,1350712800jefferson,46.124246,-112.059424,0.2,,0.0011,0.0093,1350766800,0.49,rain,1004.05,MT,1350741243,1350779643,53.81,1350759600,35.82,1350795600,1350712800,9.9,254,9.3
0,2012-10-21 00:00:00,46.51,1350856800,25.94,1350824400,0.34,jefferson,20.43,0.53,1350799200jefferson,46.124246,-112.059424,0.23,,0,0,,0,,1012.56,MT,1350827727,1350865941,47.46,1350856800,28.7,1350828000,1350799200,9.99,213,0.99
0,2012-10-22 00:00:00,34.24,1350932400,24.34,1350900000,0.57,jefferson,25.27,0.77,1350885600jefferson,46.124246,-112.059424,0.27,,0.0028,0.0112,1350961200,0.52,rain,1009.62,MT,1350914211,1350952240,38.07,1350932400,26.07,1350914400,1350885600,8.43,253,0.54
0,2012-10-23 00:00:00,33.2,1351022400,19.15,1350997200,0.72,jefferson,23.95,0.8,1350972000jefferson,46.124246,-112.059424,0.3,0.536,0.0024,0.0106,1351047600,0.51,snow,1012.13,MT,1351000695,1351038540,33.2,1351022400,24.53,1351004400,1350972000,8.59,274,3.47
0,2012-10-24 00:00:00,34.41,1351116000,19.03,1351087200,0.63,jefferson,19.8,0.77,1351058400jefferson,46.124246,-112.059424,0.34,0.065,0.0002,0.0032,1351062000,0.11,snow,1021.19,MT,1351087180,1351124841,34.41,1351116000,19.03,1351087200,1351058400,9.59,322,1.03
0,2012-10-25 00:00:00,28.9,1351195200,19.73,1351166400,0.92,jefferson,20.2,0.79,1351144800jefferson,46.124246,-112.059424,0.37,0.175,0.0006,0.0081,1351213200,0.41,snow,1029.05,MT,1351173665,1351211144,28.9,1351195200,23.19,1351227600,1351144800,7.96,325,1.99
0,2012-10-26 00:00:00,28.6,1351288800,11.75,1351256400,0.59,jefferson,19.55,0.76,1351231200jefferson,46.124246,-112.059424,0.4,0.032,0.0002,0.0021,1351296000,0.06,snow,1029.11,MT,1351260151,1351297447,35.22,1351288800,18.42,1351249200,1351231200,8.96,228,3.37
0,2012-10-27 00:00:00,36.58,1351375200,24.49,1351350000,0.92,jefferson,26.76,0.79,1351317600jefferson,46.124246,-112.059424,0.44,0.203,0.0009,0.0037,1351350000,0.14,snow,1020.01,MT,1351346636,1351383752,39.61,1351375200,27.85,1351339200,1351317600,8.11,236,2.19
0,2012-10-28 00:00:00,53.79,1351461600,28.99,1351404000,0.67,jefferson,34.5,0.68,1351404000jefferson,46.124246,-112.059424,0.47,,0.0009,0.0047,1351425600,0.19,rain,1013.51,MT,1351433122,1351470059,53.79,1351461600,34.57,1351404000,1351404000,9.32,228,10.29
0,2012-10-29 00:00:00,59.49,1351548000,41.53,1351504800,0.74,jefferson,37.08,0.6,1351490400jefferson,46.124246,-112.059424,0.49,,0.0006,0.0037,1351530000,0.14,rain,1013.73,MT,1351519608,1351556366,59.49,1351548000,45.04,1351504800,1351490400,9.7,231,7.97
0,2012-10-30 00:00:00,61.34,1351634400,33.08,1351594800,0.26,jefferson,32.6,0.57,1351576800jefferson,46.124246,-112.059424,0.53,,0,0,,0,,1016.81,MT,1351606095,1351642675,61.34,1351634400,38.19,1351602000,1351576800,9.92,218,8.61
0,2012-10-31 00:00:00,57.7,1351720800,36.58,1351692000,0.22,jefferson,33,0.63,1351663200jefferson,46.124246,-112.059424,0.56,,0,0,,0,,1015.83,MT,1351692581,1351728986,57.7,1351720800,36.58,1351692000,1351663200,9.57,187,1.74
0,2012-11-01 00:00:00,55.01,1351803600,35.75,1351828800,0.55,jefferson,32.27,0.62,1351749600jefferson,46.124246,-112.059424,0.59,,0.0003,0.0029,1351825200,0.09,rain,1011.43,MT,1351779068,1351815298,55.01,1351803600,39.08,1351774800,1351749600,9.65,244,4.92
0,2012-11-02 00:00:00,51.4,1351890000,29.97,1351918800,0.58,jefferson,30.17,0.63,1351836000jefferson,46.124246,-112.059424,0.62,,0.0003,0.0032,1351854000,0.11,rain,1019.41,MT,1351865555,1351901612,51.4,1351890000,33.48,1351918800,1351836000,9.89,247,5.64
0,2012-11-03 00:00:00,53.01,1351976400,22.08,1351944000,0.33,jefferson,27.85,0.64,1351922400jefferson,46.124246,-112.059424,0.65,,0,0,,0,,1021.67,MT,1351952042,1351987927,53.01,1351976400,27.86,1351947600,1351922400,10,221,6.8
0,2012-11-04 00:00:00,56.2,1352062800,40.75,1352016000,0.71,jefferson,34.67,0.56,1352008800jefferson,46.124246,-112.059424,0.68,,0,0,,0,,1023.94,MT,1352038529,1352074244,56.2,1352062800,45.63,1352016000,1352008800,9.99,248,8.72
0,2012-11-05 00:00:00,62.74,1352145600,39.05,1352113200,0.21,jefferson,34.27,0.52,1352098800jefferson,46.124246,-112.059424,0.71,,0,0,,0,,1021.99,MT,1352125016,1352160562,62.74,1352145600,44.39,1352113200,1352098800,9.99,243,10.84
0,2012-11-06 00:00:00,61.98,1352239200,32.48,1352206800,0.08,jefferson,32.29,0.59,1352185200jefferson,46.124246,-112.059424,0.75,,0,0,,0,,1020.4,MT,1352211503,1352246882,61.98,1352239200,36.82,1352210400,1352185200,9.89,213,7.04
