,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,75.42,1349128800,36.92,1349096400,0.06,judith basin,31.31,0.43,1349071200judith basin,47.032558,-110.30532,0.55,,0,0,,0,,1019.27,MT,1349097719,1349139707,75.42,1349128800,39.67,1349085600,1349071200,9.97,248,10.08
0,2012-10-02 00:00:00,69.81,1349211600,37.42,1349240400,0.18,judith basin,32.72,0.36,1349157600judith basin,47.032558,-110.30532,0.58,,0.0005,0.0105,1349240400,0.51,rain,1007.08,MT,1349184199,1349225987,69.81,1349211600,43.42,1349240400,1349157600,9.97,285,9.31
0,2012-10-03 00:00:00,34.49,1349244000,25.57,1349280000,0.9,judith basin,32.54,0.9,1349244000judith basin,47.032558,-110.30532,0.61,,0.0103,0.0326,1349254800,0.66,rain,1029.2,MT,1349270680,1349312267,41.05,1349244000,32.42,1349326800,1349244000,7.96,337,9.5
0,2012-10-04 00:00:00,31.53,1349388000,26.89,1349370000,0.9,judith basin,28.91,0.85,1349330400judith basin,47.032558,-110.30532,0.64,,0.0008,0.0064,1349388000,0.3,rain,1034.6,MT,1349357161,1349398549,37.33,1349388000,30.6,1349355600,1349330400,9.64,13,3.79
0,2012-10-05 00:00:00,30.54,1349467200,16.45,1349499600,0.57,judith basin,25.17,0.8,1349416800judith basin,47.032558,-110.30532,0.67,0.233,0.0012,0.0131,1349481600,0.54,snow,1035.04,MT,1349443643,1349484830,36.47,1349467200,23.26,1349499600,1349416800,9.71,343,2.83
0,2012-10-06 00:00:00,40.26,1349553600,10.49,1349524800,0.37,judith basin,22.57,0.67,1349503200judith basin,47.032558,-110.30532,0.7,,0,0,,0,,1031.57,MT,1349530124,1349571112,46.75,1349553600,19.06,1349528400,1349503200,10,261,8.7
0,2012-10-07 00:00:00,60.9,1349643600,27.76,1349607600,0.1,judith basin,28.58,0.55,1349589600judith basin,47.032558,-110.30532,0.73,,0,0,,0,,1019.08,MT,1349616606,1349657395,60.9,1349643600,34.83,1349607600,1349589600,10,270,10.45
0,2012-10-08 00:00:00,42.17,1349683200,27.24,1349758800,0.85,judith basin,34.57,0.82,1349676000judith basin,47.032558,-110.30532,0.77,,0.0102,0.0332,1349733600,0.66,rain,1017.65,MT,1349703089,1349743679,46.54,1349683200,34.01,1349758800,1349676000,8.54,321,6.22
0,2012-10-09 00:00:00,53.74,1349823600,26.68,1349762400,0.47,judith basin,28.99,0.66,1349762400judith basin,47.032558,-110.30532,0.8,,0,0,,0,,1022.66,MT,1349789571,1349829963,53.74,1349823600,33.72,1349791200,1349762400,9.98,270,7.14
0,2012-10-10 00:00:00,61.9,1349895600,29.39,1349931600,0.21,judith basin,32.16,0.62,1349848800judith basin,47.032558,-110.30532,0.83,,0.0001,0.0013,1349924400,0.02,rain,1017.35,MT,1349876054,1349916247,61.9,1349895600,36.07,1349852400,1349848800,9.68,330,5.71
0,2012-10-11 00:00:00,40.07,1349992800,21.11,1349967600,0.65,judith basin,32.3,0.91,1349935200judith basin,47.032558,-110.30532,0.86,,0.0007,0.0084,1349946000,0.44,rain,1024.71,MT,1349962538,1350002533,44.83,1349992800,28.86,1349960400,1349935200,7.74,84,4.3
0,2012-10-12 00:00:00,71.39,1350079200,27.73,1350021600,0.1,judith basin,27.1,0.44,1350021600judith basin,47.032558,-110.30532,0.9,,0,0,,0,,1010.51,MT,1350049021,1350088819,71.39,1350079200,33.58,1350025200,1350021600,9.78,246,10.8
0,2012-10-13 00:00:00,61.21,1350165600,45.06,1350187200,0.4,judith basin,33.73,0.47,1350108000judith basin,47.032558,-110.30532,0.93,,0.0002,0.0017,1350147600,0.04,rain,1013.08,MT,1350135505,1350175106,61.21,1350165600,48.87,1350133200,1350108000,10,263,13.27
