,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,75.86,1349128800,36.63,1349092800,0.04,lews and clark,32.3,0.43,1349071200lews and clark,47.122034,-112.382924,0.55,,0,0,,0,,1019.91,MT,1349098220,1349140202,75.86,1349128800,41.14,1349092800,1349071200,9.63,228,10.17
0,2012-10-02 00:00:00,68.32,1349211600,36.84,1349240400,0.21,lews and clark,33.9,0.4,1349157600lews and clark,47.122034,-112.382924,0.58,,0.0035,0.0361,1349240400,0.67,rain,1009.11,MT,1349184701,1349226482,68.32,1349211600,43.24,1349240400,1349157600,9.84,284,6.4
0,2012-10-03 00:00:00,31.44,1349244000,26.15,1349272800,0.84,lews and clark,31.1,0.81,1349244000lews and clark,47.122034,-112.382924,0.61,,0.0106,0.0302,1349262000,0.65,rain,1029.18,MT,1349271182,1349312762,39.43,1349244000,32.62,1349326800,1349244000,8.46,336,9.55
0,2012-10-04 00:00:00,36.15,1349388000,26.34,1349348400,0.78,lews and clark,26.7,0.73,1349330400lews and clark,47.122034,-112.382924,0.64,,0.0001,0.0014,1349380800,0.03,rain,1032.62,MT,1349357664,1349399043,40.59,1349388000,29.64,1349355600,1349330400,9.94,6,3.22
0,2012-10-05 00:00:00,36.9,1349470800,21.4,1349499600,0.42,lews and clark,22.68,0.69,1349416800lews and clark,47.122034,-112.382924,0.67,0.029,0.0002,0.0026,1349481600,0.08,snow,1033.21,MT,1349444145,1349485325,41.21,1349470800,25.74,1349442000,1349416800,10,315,3.01
0,2012-10-06 00:00:00,43.64,1349560800,14.17,1349532000,0.39,lews and clark,23.21,0.63,1349503200lews and clark,47.122034,-112.382924,0.7,,0.0001,0.0016,1349553600,0.03,rain,1030.25,MT,1349530627,1349571606,48.14,1349560800,23.34,1349528400,1349503200,10,241,6.55
0,2012-10-07 00:00:00,62.03,1349647200,26.26,1349618400,0.06,lews and clark,27.37,0.54,1349589600lews and clark,47.122034,-112.382924,0.73,,0,0,,0,,1019.94,MT,1349617110,1349657889,62.03,1349647200,32.94,1349607600,1349589600,10,238,7.4
0,2012-10-08 00:00:00,42.2,1349726400,33.81,1349751600,0.74,lews and clark,34.16,0.75,1349676000lews and clark,47.122034,-112.382924,0.77,,0.007,0.0179,1349744400,0.58,rain,1017.28,MT,1349703592,1349744172,45.85,1349726400,38.15,1349758800,1349676000,8.69,336,3.93
0,2012-10-09 00:00:00,56.51,1349823600,31.13,1349791200,0.47,lews and clark,30.56,0.63,1349762400lews and clark,47.122034,-112.382924,0.8,,0,0.001,1349784000,0,,1021.01,MT,1349790075,1349830456,56.51,1349823600,35.9,1349791200,1349762400,9.96,226,3.99
0,2012-10-10 00:00:00,57.9,1349902800,30.84,1349874000,0.21,lews and clark,32.57,0.63,1349848800lews and clark,47.122034,-112.382924,0.83,,0.0003,0.0034,1349924400,0.12,rain,1017.44,MT,1349876559,1349916740,57.9,1349902800,36.48,1349863200,1349848800,9.45,322,3.81
0,2012-10-11 00:00:00,50.66,1349996400,26.02,1349967600,0.5,lews and clark,31.83,0.78,1349935200lews and clark,47.122034,-112.382924,0.86,,0.0002,0.0012,1349946000,0.02,rain,1022,MT,1349963042,1350003025,50.66,1349996400,31.44,1349964000,1349935200,8.69,64,3.2
0,2012-10-12 00:00:00,70.01,1350079200,28.66,1350046800,0.07,lews and clark,28.75,0.5,1350021600lews and clark,47.122034,-112.382924,0.9,,0,0,,0,,1010.62,MT,1350049526,1350089311,70.01,1350079200,35.47,1350028800,1350021600,9.42,229,10.02
0,2012-10-13 00:00:00,60.96,1350162000,50.19,1350129600,0.43,lews and clark,35.47,0.5,1350108000lews and clark,47.122034,-112.382924,0.93,,0.0006,0.0052,1350144000,0.22,rain,1014.4,MT,1350136011,1350175598,60.96,1350162000,50.19,1350129600,1350108000,9.81,246,10.87
0,2012-10-14 00:00:00,61.43,1350252000,42.69,1350216000,0.34,lews and clark,37.17,0.53,1350194400lews and clark,47.122034,-112.382924,0.97,,0.0002,0.0016,1350237600,0.03,rain,1017.73,MT,1350222495,1350261885,61.43,1350252000,46.61,1350219600,1350194400,10,229,12.29
0,2012-10-15 00:00:00,61.14,1350334800,46.46,1350363600,0.48,lews and clark,38.45,0.52,1350280800lews and clark,47.122034,-112.382924,0.01,,0.0006,0.0068,1350327600,0.33,rain,1009.34,MT,1350308981,1350348174,61.14,1350334800,49.78,1350363600,1350280800,9.97,235,13.2
0,2012-10-16 00:00:00,55.73,1350388800,32.22,1350450000,0.53,lews and clark,34.94,0.57,1350367200lews and clark,47.122034,-112.382924,0.04,,0.0089,0.0537,1350399600,0.72,rain,1001.46,MT,1350395466,1350434463,55.73,1350388800,40.29,1350450000,1350367200,9.72,250,14.71
0,2012-10-17 00:00:00,40.17,1350507600,25.78,1350536400,0.25,lews and clark,19.78,0.43,1350453600lews and clark,47.122034,-112.382924,0.08,,0,0,,0,,1018.04,MT,1350481952,1350520753,47.87,1350507600,33.27,1350536400,1350453600,10,277,15.24
0,2012-10-18 00:00:00,56.87,1350597600,20.61,1350561600,0.06,lews and clark,22.6,0.52,1350540000lews and clark,47.122034,-112.382924,0.12,,0,0,,0,,1024.05,MT,1350568438,1350607044,56.87,1350597600,27.14,1350561600,1350540000,9.99,230,8.35
0,2012-10-19 00:00:00,61.38,1350684000,36.61,1350626400,0.31,lews and clark,32.71,0.48,1350626400lews and clark,47.122034,-112.382924,0.16,,0.001,0.0048,1350709200,0.2,rain,1008.43,MT,1350654925,1350693336,61.38,1350684000,41.88,1350626400,1350626400,9.99,228,14.49
0,2012-10-20 00:00:00,53.25,1350759600,29.42,1350795600,0.29,lews and clark,29.61,0.52,1350712800lews and clark,47.122034,-112.382924,0.2,,0.0018,0.0101,1350720000,0.5,rain,1003.71,MT,1350741412,1350779630,53.25,1350759600,33.4,1350795600,1350712800,9.96,249,14.12
0,2012-10-21 00:00:00,45.53,1350856800,22.05,1350828000,0.24,lews and clark,19.02,0.52,1350799200lews and clark,47.122034,-112.382924,0.23,,0,0,,0,,1014.25,MT,1350827899,1350865924,46.46,1350856800,26.92,1350828000,1350799200,9.99,203,1.71
0,2012-10-22 00:00:00,30.33,1350928800,21.49,1350964800,0.58,lews and clark,23.93,0.78,1350885600lews and clark,47.122034,-112.382924,0.27,0.934,0.0042,0.0175,1350954000,0.58,snow,1012.05,MT,1350914386,1350952219,36.72,1350928800,25.09,1350914400,1350885600,7.8,325,3.21
