,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.16,1349125200,31.97,1349085600,0.04,liberty,30.01,0.44,1349071200liberty,48.559654,-111.036924,0.55,,0,0,,0,,1017.98,MT,1349097936,1349139841,74.16,1349125200,37.55,1349089200,1349071200,9.96,224,13.25
0,2012-10-02 00:00:00,60.55,1349157600,26.56,1349240400,0.35,liberty,34.82,0.6,1349157600liberty,48.559654,-111.036924,0.58,,0.0049,0.0677,1349240400,0.74,rain,1009.01,MT,1349184422,1349226116,60.55,1349157600,35.89,1349240400,1349157600,9.6,353,4.86
0,2012-10-03 00:00:00,26.26,1349244000,20.89,1349272800,0.91,liberty,29.96,0.89,1349244000liberty,48.559654,-111.036924,0.61,,0.0131,0.0591,1349254800,0.73,rain,1030.18,MT,1349270908,1349312391,35.94,1349244000,28.3,1349326800,1349244000,8.09,341,12.3
0,2012-10-04 00:00:00,34.83,1349395200,21.68,1349348400,0.78,liberty,24.62,0.78,1349330400liberty,48.559654,-111.036924,0.64,0.098,0.0004,0.0028,1349337600,0.09,snow,1033.43,MT,1349357394,1349398666,38.58,1349395200,24.54,1349359200,1349330400,9.99,335,2.08
0,2012-10-05 00:00:00,36.66,1349481600,15.83,1349438400,0.36,liberty,21.54,0.75,1349416800liberty,48.559654,-111.036924,0.67,,0,0,,0,,1033.89,MT,1349443881,1349484943,39.46,1349481600,20.94,1349434800,1349416800,9.93,264,2.71
0,2012-10-06 00:00:00,43.42,1349568000,15.45,1349517600,0.44,liberty,26.4,0.71,1349503200liberty,48.559654,-111.036924,0.7,,0,0,,0,,1028.67,MT,1349530369,1349571219,47.8,1349568000,23.58,1349506800,1349503200,10,246,7
0,2012-10-07 00:00:00,64.35,1349643600,24.62,1349611200,0.08,liberty,28.59,0.58,1349589600liberty,48.559654,-111.036924,0.73,,0,0,,0,,1017.57,MT,1349616856,1349657496,64.35,1349643600,32.62,1349596800,1349589600,10,249,9.44
0,2012-10-08 00:00:00,41.86,1349676000,27.79,1349758800,0.87,liberty,34.7,0.84,1349676000liberty,48.559654,-111.036924,0.77,,0.0075,0.0204,1349712000,0.6,rain,1017.28,MT,1349703344,1349743774,44.81,1349676000,34.48,1349758800,1349676000,9.06,318,7.05
0,2012-10-09 00:00:00,56.92,1349823600,28.09,1349791200,0.47,liberty,30.18,0.7,1349762400liberty,48.559654,-111.036924,0.8,,0.0002,0.0022,1349798400,0.06,rain,1020.7,MT,1349789832,1349830053,56.92,1349823600,32.69,1349791200,1349762400,10,226,5.52
