,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.1,1349128800,30.63,1349096400,0,madison,31.04,0.47,1349071200madison,45.325278,-111.913781,0.55,,0,0,,0,,1022.14,MT,1349098062,1349140135,74.1,1349128800,34.8,1349096400,1349071200,9.79,232,4.72
0,2012-10-02 00:00:00,72.8,1349215200,42.76,1349186400,0.02,madison,26.57,0.32,1349157600madison,45.325278,-111.913781,0.58,,0,0,,0,,1010.38,MT,1349184537,1349226421,72.8,1349215200,45.65,1349186400,1349157600,9.95,244,8.32
0,2012-10-03 00:00:00,49.08,1349244000,26.66,1349326800,0.44,madison,24.73,0.55,1349244000madison,45.325278,-111.913781,0.61,,0.001,0.0046,1349319600,0.19,rain,1021.93,MT,1349271012,1349312708,49.08,1349244000,30.59,1349326800,1349244000,9.65,357,5.65
0,2012-10-04 00:00:00,41.16,1349391600,19.75,1349359200,0.49,madison,20.72,0.63,1349330400madison,45.325278,-111.913781,0.64,,0,0,,0,,1027.63,MT,1349357487,1349398995,43.11,1349391600,21.94,1349355600,1349330400,9.95,66,2.39
0,2012-10-05 00:00:00,38.8,1349478000,25.27,1349496000,0.52,madison,19.4,0.59,1349416800madison,45.325278,-111.913781,0.67,0.049,0.0002,0.0015,1349445600,0.03,snow,1027.95,MT,1349443963,1349485282,42.81,1349478000,25.5,1349445600,1349416800,9.8,36,3.57
0,2012-10-06 00:00:00,44.61,1349560800,9.32,1349532000,0.14,madison,11.31,0.49,1349503200madison,45.325278,-111.913781,0.7,,0,0,,0,,1028.97,MT,1349530438,1349571570,47,1349560800,14,1349528400,1349503200,10,263,0.93
0,2012-10-07 00:00:00,59.35,1349650800,14.27,1349607600,0.06,madison,16.51,0.43,1349589600madison,45.325278,-111.913781,0.73,,0,0,,0,,1021.48,MT,1349616915,1349657859,59.35,1349650800,21.02,1349618400,1349589600,10,232,4.27
0,2012-10-08 00:00:00,57.35,1349733600,20.26,1349701200,0.23,madison,20.09,0.44,1349676000madison,45.325278,-111.913781,0.77,,0,0.0008,1349758800,0,,1014.95,MT,1349703391,1349744148,57.35,1349733600,27.64,1349701200,1349676000,9.61,237,3.56
0,2012-10-09 00:00:00,56.27,1349823600,27.57,1349791200,0.41,madison,26.13,0.56,1349762400madison,45.325278,-111.913781,0.8,,0,0,,0,,1018.55,MT,1349789868,1349830438,56.27,1349823600,30.93,1349791200,1349762400,9.96,69,0.46
