,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,71.66,1349132400,31.87,1349096400,0.01,mccone,35.66,0.58,1349071200mccone,47.629628,-105.757222,0.55,,0,0,,0,,1019.93,MT,1349096642,1349138601,71.66,1349132400,34.98,1349096400,1349071200,9.86,206,5.72
0,2012-10-02 00:00:00,70.25,1349211600,43.81,1349240400,0.07,mccone,34.63,0.41,1349157600mccone,47.629628,-105.757222,0.58,,0,0.001,1349240400,0,,1007.19,MT,1349183125,1349224879,70.25,1349211600,49.14,1349240400,1349157600,10,315,5.44
0,2012-10-03 00:00:00,42.91,1349244000,29.79,1349323200,0.92,mccone,35.33,0.83,1349244000mccone,47.629628,-105.757222,0.61,,0.0205,0.086,1349283600,0.77,rain,1022.7,MT,1349269608,1349311157,48.21,1349244000,36.68,1349326800,1349244000,8.78,3,11.92
0,2012-10-04 00:00:00,36.76,1349388000,24.29,1349413200,0.7,mccone,29.08,0.77,1349330400mccone,47.629628,-105.757222,0.64,,0.0003,0.0017,1349388000,0.04,rain,1031.73,MT,1349356091,1349397436,42.02,1349388000,30.23,1349413200,1349330400,9.96,338,6.41
0,2012-10-05 00:00:00,35.19,1349470800,20.26,1349492400,0.46,mccone,23.11,0.7,1349416800mccone,47.629628,-105.757222,0.67,0.226,0.0012,0.0139,1349456400,0.55,snow,1032.02,MT,1349442574,1349483716,41.29,1349470800,25.29,1349499600,1349416800,9.94,352,5.36
0,2012-10-06 00:00:00,43.06,1349560800,14.38,1349528400,0.04,mccone,20.62,0.65,1349503200mccone,47.629628,-105.757222,0.7,,0,0,,0,,1028.43,MT,1349529058,1349569996,48.23,1349560800,18.97,1349528400,1349503200,9.88,234,5.39
0,2012-10-07 00:00:00,57.22,1349647200,23.43,1349593200,0.31,mccone,30.7,0.61,1349589600mccone,47.629628,-105.757222,0.73,,0,0,,0,,1014.21,MT,1349615542,1349656277,57.22,1349647200,29.66,1349593200,1349589600,10,265,7.75
0,2012-10-08 00:00:00,53.1,1349676000,30.38,1349758800,0.56,mccone,33.18,0.59,1349676000mccone,47.629628,-105.757222,0.77,,0.0002,0.0015,1349701200,0.03,rain,1010.67,MT,1349702027,1349742558,53.1,1349676000,38.7,1349758800,1349676000,9.89,308,14.97
0,2012-10-09 00:00:00,40.96,1349820000,21.3,1349787600,0.58,mccone,24.86,0.62,1349762400mccone,47.629628,-105.757222,0.8,,0.0001,0.0025,1349802000,0.07,rain,1019.29,MT,1349788511,1349828840,46.95,1349820000,29.46,1349787600,1349762400,9.99,304,9.46
0,2012-10-10 00:00:00,58.8,1349895600,28.02,1349870400,0.57,mccone,30.97,0.63,1349848800mccone,47.629628,-105.757222,0.83,,0,0,,0,,1014.88,MT,1349874997,1349915122,58.8,1349895600,32.6,1349870400,1349848800,10,331,4.23
0,2012-10-11 00:00:00,36.57,1349992800,25.47,1349953200,0.91,mccone,28.09,0.74,1349935200mccone,47.629628,-105.757222,0.86,,0.0006,0.0038,1349949600,0.14,rain,1026.04,MT,1349961482,1350001406,39.17,1349992800,32.16,1349960400,1349935200,9.28,66,3.33
0,2012-10-12 00:00:00,65.82,1350079200,22.55,1350046800,0.03,mccone,32.07,0.64,1350021600mccone,47.629628,-105.757222,0.9,,0.0006,0.0068,1350075600,0.33,rain,1010.5,MT,1350047968,1350087690,65.82,1350079200,30.32,1350046800,1350021600,9.82,175,6.66
0,2012-10-13 00:00:00,61.37,1350162000,35.89,1350133200,0.27,mccone,35.44,0.61,1350108000mccone,47.629628,-105.757222,0.93,,0,0,,0,,1010.32,MT,1350134454,1350173975,61.37,1350162000,40.04,1350111600,1350108000,9.87,289,5.6
0,2012-10-14 00:00:00,67.7,1350248400,36.84,1350216000,0.27,mccone,36.56,0.56,1350194400mccone,47.629628,-105.757222,0.97,,0,0,,0,,1014.19,MT,1350220941,1350260260,67.7,1350248400,40.66,1350219600,1350194400,9.89,268,6.92
0,2012-10-15 00:00:00,69.49,1350327600,45.63,1350363600,0.44,mccone,40.78,0.54,1350280800mccone,47.629628,-105.757222,0.01,,0.0002,0.0016,1350356400,0.03,rain,1005.77,MT,1350307428,1350346547,69.49,1350327600,48.62,1350363600,1350280800,9.99,254,8.12
0,2012-10-16 00:00:00,57.43,1350410400,37.15,1350450000,0.41,mccone,43.47,0.81,1350367200mccone,47.629628,-105.757222,0.04,,0.0085,0.0338,1350421200,0.67,rain,997.12,MT,1350393915,1350432834,57.43,1350410400,41.67,1350381600,1350367200,9.65,245,7.9
0,2012-10-17 00:00:00,50.71,1350504000,31.26,1350482400,0.47,mccone,27.3,0.52,1350453600mccone,47.629628,-105.757222,0.08,,0.0164,0.0884,1350532800,0.77,rain,1005.5,MT,1350480402,1350519123,50.71,1350504000,40.89,1350482400,1350453600,9.73,300,28.66
0,2012-10-18 00:00:00,41.31,1350597600,25.91,1350565200,0.46,mccone,27.17,0.62,1350540000mccone,47.629628,-105.757222,0.12,,0.0221,0.1123,1350615600,0.79,rain,1018.56,MT,1350566890,1350605412,47.57,1350597600,29.24,1350622800,1350540000,9.99,314,17.86
0,2012-10-19 00:00:00,59.8,1350684000,20.81,1350648000,0.05,mccone,28.31,0.65,1350626400mccone,47.629628,-105.757222,0.16,,0.0109,0.1295,1350684000,0.81,rain,1008.96,MT,1350653379,1350691702,59.8,1350684000,26,1350644400,1350626400,9.94,155,3.53
0,2012-10-20 00:00:00,66.48,1350763200,38.75,1350738000,0.36,mccone,35.16,0.54,1350712800mccone,47.629628,-105.757222,0.2,,0.0008,0.0107,1350795600,0.51,rain,1000.88,MT,1350739868,1350777994,66.48,1350763200,42.96,1350723600,1350712800,9.96,268,5.55
0,2012-10-21 00:00:00,49.84,1350853200,29.52,1350820800,0.54,mccone,28.52,0.61,1350799200mccone,47.629628,-105.757222,0.23,,0.0005,0.008,1350799200,0.41,rain,1014.1,MT,1350826357,1350864286,49.84,1350853200,33.89,1350824400,1350799200,9.98,18,2.52
0,2012-10-22 00:00:00,35.99,1350936000,28.49,1350964800,0.96,mccone,34.4,0.84,1350885600mccone,47.629628,-105.757222,0.27,,0.0121,0.0621,1350957600,0.74,rain,1013.09,MT,1350912846,1350950580,42.64,1350936000,36.96,1350910800,1350885600,9,100,11.63
