,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.04,1349132400,37.04,1349096400,0.01,missoula,33.29,0.45,1349071200missoula,47.027263,-113.892681,0.55,,0,0,,0,,1021.76,MT,1349098581,1349140566,74.04,1349132400,41.08,1349100000,1349071200,8.32,228,6.9
0,2012-10-02 00:00:00,68.88,1349211600,43.31,1349240400,0.14,missoula,33.25,0.42,1349157600missoula,47.027263,-113.892681,0.58,,0.0025,0.0246,1349240400,0.62,rain,1011.13,MT,1349185061,1349226847,68.88,1349211600,46.65,1349240400,1349157600,9.86,271,7.78
0,2012-10-03 00:00:00,38.16,1349301600,27.13,1349265600,0.77,missoula,31.16,0.72,1349244000missoula,47.027263,-113.892681,0.61,,0.0116,0.1035,1349262000,0.79,rain,1027.46,MT,1349271542,1349313127,44.54,1349301600,34.22,1349272800,1349244000,9.12,358,6.67
0,2012-10-04 00:00:00,43.23,1349388000,24.86,1349355600,0.59,missoula,25.79,0.65,1349330400missoula,47.027263,-113.892681,0.64,,0,0,,0,,1029.82,MT,1349358023,1349399409,45.94,1349388000,28.46,1349355600,1349330400,9.99,75,3.26
0,2012-10-05 00:00:00,43.59,1349478000,20.91,1349438400,0.16,missoula,21.9,0.62,1349416800missoula,47.027263,-113.892681,0.67,,0,0,,0,,1031.03,MT,1349444504,1349485690,47.44,1349478000,24.38,1349445600,1349416800,10,348,3.03
0,2012-10-06 00:00:00,51.72,1349564400,14.26,1349532000,0.15,missoula,21.04,0.57,1349503200missoula,47.027263,-113.892681,0.7,,0.0001,0.0015,1349553600,0.03,rain,1029.54,MT,1349530986,1349571972,51.72,1349564400,23.99,1349532000,1349503200,10,250,2.38
0,2012-10-07 00:00:00,60.52,1349650800,21.6,1349618400,0.02,missoula,26.31,0.56,1349589600missoula,47.027263,-113.892681,0.73,,0,0,,0,,1021.72,MT,1349617468,1349658255,60.52,1349650800,29.53,1349618400,1349589600,10,217,4.1
0,2012-10-08 00:00:00,52.34,1349733600,32.17,1349694000,0.59,missoula,31.26,0.65,1349676000missoula,47.027263,-113.892681,0.77,,0.0018,0.0055,1349744400,0.24,rain,1016.2,MT,1349703950,1349744539,52.34,1349733600,34.25,1349701200,1349676000,7.47,350,3.74
0,2012-10-09 00:00:00,58.92,1349823600,32.15,1349791200,0.47,missoula,31.69,0.57,1349762400missoula,47.027263,-113.892681,0.8,,0,0,,0,,1019.06,MT,1349790433,1349830823,58.92,1349823600,37.08,1349791200,1349762400,9.7,194,1.05
0,2012-10-10 00:00:00,60.4,1349906400,28.86,1349877600,0.08,missoula,31.79,0.62,1349848800missoula,47.027263,-113.892681,0.83,,0.0001,0.0015,1349913600,0.03,rain,1016.67,MT,1349876916,1349917107,60.4,1349906400,32.96,1349877600,1349848800,8.98,304,1.46
0,2012-10-11 00:00:00,58.22,1349996400,32.56,1349960400,0.15,missoula,32.52,0.62,1349935200missoula,47.027263,-113.892681,0.86,,0,0,,0,,1017.56,MT,1349963399,1350003393,58.22,1349996400,35.33,1349964000,1349935200,9.55,81,3.8
0,2012-10-12 00:00:00,66.46,1350082800,27.51,1350050400,0.15,missoula,30.08,0.55,1350021600missoula,47.027263,-113.892681,0.9,,0,0,,0,,1011.39,MT,1350049883,1350089679,66.46,1350082800,33.05,1350050400,1350021600,9.16,235,6.37
0,2012-10-13 00:00:00,59.83,1350162000,44.09,1350140400,0.77,missoula,39.95,0.63,1350108000missoula,47.027263,-113.892681,0.93,,0.0021,0.0128,1350136800,0.54,rain,1016.85,MT,1350136367,1350175966,59.83,1350162000,48.27,1350136800,1350108000,9.25,267,5.42
0,2012-10-14 00:00:00,63.41,1350252000,44.09,1350205200,0.55,missoula,41.61,0.63,1350194400missoula,47.027263,-113.892681,0.97,,0.0003,0.0015,1350237600,0.03,rain,1019.04,MT,1350222851,1350262254,63.41,1350252000,47,1350219600,1350194400,9.71,213,6.83
0,2012-10-15 00:00:00,58.34,1350334800,50.61,1350360000,0.75,missoula,44.14,0.69,1350280800missoula,47.027263,-113.892681,0.01,,0.0058,0.0439,1350327600,0.7,rain,1011.37,MT,1350309336,1350348543,58.34,1350334800,50.61,1350360000,1350280800,9.52,224,6.69
0,2012-10-16 00:00:00,52.72,1350396000,34.29,1350450000,0.75,missoula,38.14,0.68,1350367200missoula,47.027263,-113.892681,0.04,,0.0148,0.1269,1350396000,0.8,rain,1004.46,MT,1350395821,1350434832,52.72,1350396000,40.02,1350450000,1350367200,9.27,258,8.34
0,2012-10-17 00:00:00,42.1,1350507600,29.68,1350536400,0.44,missoula,25.12,0.52,1350453600missoula,47.027263,-113.892681,0.08,,0.0001,0.0013,1350460800,0.02,rain,1020.86,MT,1350482307,1350521123,48.93,1350507600,34.5,1350536400,1350453600,10,276,10.99
0,2012-10-18 00:00:00,53.8,1350597600,23.87,1350565200,0.27,missoula,26.35,0.62,1350540000missoula,47.027263,-113.892681,0.12,,0,0,,0,,1024.9,MT,1350568793,1350607414,53.8,1350597600,29.28,1350568800,1350540000,9.97,216,5.65
0,2012-10-19 00:00:00,57.7,1350684000,32.46,1350655200,0.6,missoula,35.69,0.66,1350626400missoula,47.027263,-113.892681,0.16,,0.0036,0.0109,1350702000,0.52,rain,1010.84,MT,1350655279,1350693707,57.7,1350684000,37.09,1350637200,1350626400,9.72,231,8.31
0,2012-10-20 00:00:00,46.54,1350712800,29.36,1350795600,0.56,missoula,32.1,0.63,1350712800missoula,47.027263,-113.892681,0.2,,0.0031,0.0133,1350716400,0.54,rain,1005.89,MT,1350741766,1350780000,49.54,1350712800,33.34,1350795600,1350712800,9.78,253,8.77
0,2012-10-21 00:00:00,45.95,1350853200,23.61,1350824400,0.39,missoula,24.06,0.64,1350799200missoula,47.027263,-113.892681,0.23,,0,0,,0,,1013.89,MT,1350828252,1350866295,45.95,1350853200,28.24,1350828000,1350799200,9.85,252,0.95
0,2012-10-22 00:00:00,32.77,1350943200,17.33,1350914400,0.58,missoula,25.22,0.82,1350885600missoula,47.027263,-113.892681,0.27,0.821,0.0043,0.0316,1350968400,0.66,snow,1009.83,MT,1350914740,1350952591,35.79,1350943200,23.58,1350914400,1350885600,8.17,52,0.99
0,2012-10-23 00:00:00,26.9,1351033200,19.51,1350993600,0.89,missoula,27.11,0.89,1350972000missoula,47.027263,-113.892681,0.3,0.528,0.0026,0.0277,1350972000,0.64,snow,1012.92,MT,1351001227,1351038888,31.85,1351033200,27.05,1351004400,1350972000,6.76,328,1.73
0,2012-10-24 00:00:00,35.63,1351116000,26.68,1351137600,0.85,missoula,26.07,0.81,1351058400missoula,47.027263,-113.892681,0.34,0.049,0.0002,0.0021,1351069200,0.05,snow,1020.45,MT,1351087715,1351125186,38.04,1351116000,27.02,1351080000,1351058400,9.06,6,1.07
0,2012-10-25 00:00:00,29.98,1351198800,22.91,1351177200,0.96,missoula,25.24,0.81,1351144800missoula,47.027263,-113.892681,0.37,0.828,0.004,0.0524,1351213200,0.72,snow,1028.44,MT,1351174203,1351211485,34.26,1351198800,28.11,1351227600,1351144800,7.8,26,1.8
0,2012-10-26 00:00:00,30.11,1351292400,18.99,1351260000,0.76,missoula,26.29,0.84,1351231200missoula,47.027263,-113.892681,0.4,0.062,0.0003,0.0024,1351292400,0.07,snow,1028.32,MT,1351260692,1351297786,35.01,1351292400,26.01,1351234800,1351231200,8.92,190,1.43
0,2012-10-27 00:00:00,35.75,1351375200,24.46,1351335600,0.97,missoula,31.17,0.9,1351317600missoula,47.027263,-113.892681,0.44,0.865,0.0043,0.0251,1351328400,0.63,snow,1019.87,MT,1351347181,1351384088,37.9,1351375200,29.69,1351339200,1351317600,6.23,181,0.25
