,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.48,1349128800,33.01,1349096400,0.02,park,31.7,0.47,1349071200park,45.421905,-110.532798,0.55,,0,0,,0,,1021.62,MT,1349097733,1349139802,74.48,1349128800,36.07,1349096400,1349071200,9.91,253,6.42
0,2012-10-02 00:00:00,73.72,1349215200,52.88,1349240400,0.04,park,26.64,0.28,1349157600park,45.421905,-110.532798,0.58,,0,0,,0,,1008.74,MT,1349184208,1349226088,73.72,1349215200,52.88,1349240400,1349157600,9.99,262,11.38
0,2012-10-03 00:00:00,47.16,1349244000,27.4,1349326800,0.62,park,28.53,0.68,1349244000park,45.421905,-110.532798,0.61,,0.0038,0.0158,1349319600,0.57,rain,1022.95,MT,1349270683,1349312374,49.08,1349244000,31.4,1349326800,1349244000,8.77,341,7.14
0,2012-10-04 00:00:00,38.26,1349391600,21.75,1349355600,0.75,park,25.04,0.72,1349330400park,45.421905,-110.532798,0.64,,0.0003,0.0037,1349388000,0.14,rain,1029.15,MT,1349357159,1349398660,41.12,1349391600,26.97,1349355600,1349330400,9.8,72,4.37
0,2012-10-05 00:00:00,33.49,1349470800,23.4,1349488800,0.73,park,24,0.72,1349416800park,45.421905,-110.532798,0.67,0.24,0.0011,0.0053,1349445600,0.23,snow,1029.96,MT,1349443635,1349484947,38.39,1349470800,27.1,1349499600,1349416800,9.21,50,4.39
0,2012-10-06 00:00:00,41.85,1349560800,10.37,1349532000,0.23,park,15.6,0.57,1349503200park,45.421905,-110.532798,0.7,,0,0,,0,,1029.98,MT,1349530111,1349571235,46.46,1349560800,15.19,1349528400,1349503200,9.96,260,4.52
0,2012-10-07 00:00:00,58.98,1349647200,19.52,1349614800,0.13,park,20.12,0.45,1349589600park,45.421905,-110.532798,0.73,,0,0,,0,,1020.29,MT,1349616587,1349657523,58.98,1349647200,27.27,1349611200,1349589600,10,254,7.39
0,2012-10-08 00:00:00,53.78,1349726400,25.2,1349690400,0.4,park,25.08,0.52,1349676000park,45.421905,-110.532798,0.77,,0.0015,0.0051,1349744400,0.22,rain,1015.11,MT,1349703064,1349743812,53.78,1349726400,32.52,1349690400,1349676000,9.5,287,3.34
0,2012-10-09 00:00:00,54.3,1349823600,30.62,1349791200,0.57,park,28.13,0.63,1349762400park,45.421905,-110.532798,0.8,,0,0,,0,,1019.82,MT,1349789541,1349830102,54.3,1349823600,33.67,1349791200,1349762400,9.95,270,2.46
0,2012-10-10 00:00:00,65.01,1349902800,22.02,1349874000,0.07,park,26.36,0.53,1349848800park,45.421905,-110.532798,0.83,,0,0,,0,,1016.36,MT,1349876019,1349916392,65.01,1349902800,28.93,1349870400,1349848800,9.95,307,3
0,2012-10-11 00:00:00,50.83,1349992800,26.78,1349960400,0.59,park,31.78,0.73,1349935200park,45.421905,-110.532798,0.86,,0.0001,0.0009,1349946000,0.01,rain,1019.68,MT,1349962497,1350002683,50.83,1349992800,32.88,1349960400,1349935200,9.48,86,5.39
0,2012-10-12 00:00:00,71.51,1350079200,21.58,1350043200,0.16,park,27.29,0.51,1350021600park,45.421905,-110.532798,0.9,,0,0,,0,,1011.8,MT,1350048975,1350088975,71.51,1350079200,29.65,1350043200,1350021600,9.28,273,5.93
0,2012-10-13 00:00:00,56.62,1350165600,39.6,1350129600,0.5,park,31.4,0.5,1350108000park,45.421905,-110.532798,0.93,,0.0002,0.0026,1350151200,0.08,rain,1015.22,MT,1350135453,1350175267,56.62,1350165600,42.89,1350129600,1350108000,9.78,257,7.94
0,2012-10-14 00:00:00,64.94,1350252000,37.45,1350223200,0.2,park,31.76,0.47,1350194400park,45.421905,-110.532798,0.97,,0,0,,0,,1019.88,MT,1350221932,1350261560,64.94,1350252000,41.61,1350223200,1350194400,10,242,11.52
0,2012-10-15 00:00:00,58.95,1350334800,43.16,1350363600,0.5,park,35.06,0.5,1350280800park,45.421905,-110.532798,0.01,,0.0005,0.0035,1350331200,0.13,rain,1011.09,MT,1350308412,1350347855,58.95,1350334800,46.03,1350363600,1350280800,9.97,238,13.17
0,2012-10-16 00:00:00,54.1,1350403200,29.7,1350450000,0.52,park,32.52,0.53,1350367200park,45.421905,-110.532798,0.04,,0.0066,0.0412,1350406800,0.69,rain,1002.88,MT,1350394891,1350434150,54.1,1350403200,39.44,1350450000,1350367200,9.73,254,15.86
0,2012-10-17 00:00:00,39.61,1350511200,25.21,1350471600,0.3,park,16.43,0.4,1350453600park,45.421905,-110.532798,0.08,,0,0,,0,,1017.04,MT,1350481371,1350520446,47.14,1350511200,32.88,1350536400,1350453600,9.99,279,16.42
0,2012-10-18 00:00:00,56.13,1350597600,16.53,1350565200,0.02,park,17.78,0.45,1350540000park,45.421905,-110.532798,0.12,,0,0,,0,,1024.17,MT,1350567852,1350606743,56.13,1350597600,24.47,1350565200,1350540000,9.95,264,8.4
0,2012-10-19 00:00:00,60.71,1350684000,29.76,1350640800,0.3,park,25.51,0.41,1350626400park,45.421905,-110.532798,0.16,,0.0001,0.001,1350709200,0.01,rain,1011.05,MT,1350654333,1350693040,60.71,1350684000,38.24,1350637200,1350626400,10,228,16.53
0,2012-10-20 00:00:00,55.58,1350759600,34.12,1350792000,0.61,park,31.87,0.52,1350712800park,45.421905,-110.532798,0.2,,0.0016,0.0114,1350770400,0.52,rain,1003.26,MT,1350740814,1350779339,55.58,1350759600,38.79,1350795600,1350712800,9.9,261,8.75
0,2012-10-21 00:00:00,44.33,1350853200,30.45,1350828000,0.51,park,24.09,0.56,1350799200park,45.421905,-110.532798,0.23,,0,0,,0,,1011.38,MT,1350827295,1350865640,47.02,1350853200,33.24,1350828000,1350799200,9.99,90,1.24
0,2012-10-22 00:00:00,33.31,1350932400,26.96,1350892800,0.62,park,28.85,0.84,1350885600park,45.421905,-110.532798,0.27,,0.0052,0.0202,1350943200,0.6,rain,1009.04,MT,1350913777,1350951941,37.78,1350932400,27.98,1350903600,1350885600,8.46,122,2.2
0,2012-10-23 00:00:00,31.86,1351022400,19.92,1351054800,0.68,park,26.4,0.8,1350972000park,45.421905,-110.532798,0.3,0.673,0.0033,0.0105,1350997200,0.51,snow,1010.46,MT,1351000259,1351038243,36.32,1351022400,27.23,1351054800,1350972000,8.04,273,5.34
0,2012-10-24 00:00:00,34.97,1351116000,18.17,1351141200,0.6,park,20.45,0.78,1351058400park,45.421905,-110.532798,0.34,0.085,0.0003,0.0039,1351062000,0.15,snow,1020.05,MT,1351086742,1351124547,34.97,1351116000,20.39,1351087200,1351058400,9.5,2,2.44
0,2012-10-25 00:00:00,27.36,1351202400,16.21,1351227600,0.91,park,19.61,0.83,1351144800park,45.421905,-110.532798,0.37,0.815,0.0027,0.016,1351184400,0.57,snow,1028,MT,1351173225,1351210851,27.36,1351202400,21.31,1351227600,1351144800,7.91,26,3.06
0,2012-10-26 00:00:00,26.06,1351288800,10.75,1351260000,0.55,park,17.23,0.72,1351231200park,45.421905,-110.532798,0.4,0.05,0.0003,0.0025,1351299600,0.07,snow,1029.14,MT,1351259708,1351297157,34.78,1351288800,16.36,1351256400,1351231200,9.22,244,5.67
