,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,76.14,1349128800,34.64,1349096400,0.04,petroleum,34.07,0.49,1349071200petroleum,47.141917,-108.226575,0.55,,0,0,,0,,1019.5,MT,1349097222,1349139205,76.14,1349128800,38.41,1349092800,1349071200,10,242,7.22
0,2012-10-02 00:00:00,70.11,1349211600,43.31,1349240400,0.14,petroleum,33.77,0.36,1349157600petroleum,47.141917,-108.226575,0.58,,0.0007,0.0118,1349240400,0.53,rain,1006.87,MT,1349183703,1349225485,70.11,1349211600,47.79,1349240400,1349157600,9.96,307,5.51
0,2012-10-03 00:00:00,41.11,1349244000,27.55,1349276400,0.85,petroleum,34.19,0.86,1349244000petroleum,47.141917,-108.226575,0.61,,0.011,0.0424,1349254800,0.69,rain,1025.99,MT,1349270184,1349311766,46.35,1349244000,34.42,1349326800,1349244000,8.58,349,10.68
0,2012-10-04 00:00:00,39.29,1349391600,30.15,1349413200,0.89,petroleum,31.6,0.86,1349330400petroleum,47.141917,-108.226575,0.64,,0.0024,0.0194,1349388000,0.59,rain,1033.06,MT,1349356666,1349398046,39.29,1349391600,32.49,1349344800,1349330400,9.45,18,2.27
0,2012-10-05 00:00:00,29.69,1349467200,18.93,1349499600,0.62,petroleum,27.7,0.84,1349416800petroleum,47.141917,-108.226575,0.67,0.472,0.0025,0.0194,1349456400,0.59,snow,1033.62,MT,1349443148,1349484328,36.96,1349467200,24.68,1349499600,1349416800,9.51,3,3.26
0,2012-10-06 00:00:00,42.07,1349560800,13.84,1349524800,0.27,petroleum,22.92,0.68,1349503200petroleum,47.141917,-108.226575,0.7,,0.0001,0.0015,1349582400,0.03,rain,1030.38,MT,1349529630,1349570609,47.89,1349560800,20.04,1349528400,1349503200,9.87,256,7.04
0,2012-10-07 00:00:00,60.66,1349647200,28.03,1349607600,0.17,petroleum,30.26,0.57,1349589600petroleum,47.141917,-108.226575,0.73,,0.0001,0.0015,1349593200,0.03,rain,1017.2,MT,1349616112,1349656892,60.66,1349647200,35.18,1349607600,1349589600,10,270,10.75
0,2012-10-08 00:00:00,43.71,1349686800,29.44,1349758800,0.85,petroleum,34.82,0.73,1349676000petroleum,47.141917,-108.226575,0.77,,0.0052,0.0151,1349740800,0.56,rain,1015.15,MT,1349702595,1349743175,48.09,1349686800,36.56,1349758800,1349676000,9.11,306,9.12
0,2012-10-09 00:00:00,51.35,1349820000,26.21,1349791200,0.55,petroleum,30.4,0.7,1349762400petroleum,47.141917,-108.226575,0.8,,0.0001,0.0014,1349769600,0.03,rain,1021.5,MT,1349789078,1349829458,51.35,1349820000,32.69,1349791200,1349762400,9.92,275,7.03
0,2012-10-10 00:00:00,61.7,1349895600,30.22,1349863200,0.24,petroleum,32.14,0.6,1349848800petroleum,47.141917,-108.226575,0.83,,0,0,,0,,1016.03,MT,1349875561,1349915743,61.7,1349895600,36.29,1349863200,1349848800,9.89,316,4.92
0,2012-10-11 00:00:00,34.82,1349996400,22.73,1349960400,0.74,petroleum,31.28,0.88,1349935200petroleum,47.141917,-108.226575,0.86,,0.0009,0.0074,1349938800,0.37,rain,1025.01,MT,1349962045,1350002028,40.55,1349996400,30.1,1349960400,1349935200,7.97,86,5.55
0,2012-10-12 00:00:00,72.12,1350079200,26.95,1350043200,0.11,petroleum,30.49,0.54,1350021600petroleum,47.141917,-108.226575,0.9,,0,0,,0,,1010.43,MT,1350048529,1350088314,72.12,1350079200,32.27,1350021600,1350021600,9.21,236,6.94
0,2012-10-13 00:00:00,62.7,1350165600,41.37,1350136800,0.4,petroleum,34.76,0.5,1350108000petroleum,47.141917,-108.226575,0.93,,0.0001,0.0015,1350151200,0.03,rain,1011.94,MT,1350135014,1350174600,62.7,1350165600,45.05,1350136800,1350108000,9.97,276,10.5
0,2012-10-14 00:00:00,66.17,1350252000,39.68,1350223200,0.32,petroleum,35.32,0.49,1350194400petroleum,47.141917,-108.226575,0.97,,0,0,,0,,1016.15,MT,1350221498,1350260888,66.17,1350252000,44.86,1350223200,1350194400,9.96,256,12.46
0,2012-10-15 00:00:00,60.65,1350324000,44.31,1350363600,0.48,petroleum,38.77,0.52,1350280800petroleum,47.141917,-108.226575,0.01,,0.0006,0.0048,1350331200,0.2,rain,1007.57,MT,1350307984,1350347176,60.65,1350324000,48.01,1350363600,1350280800,10,257,12.08
0,2012-10-16 00:00:00,56.34,1350421200,33.2,1350450000,0.5,petroleum,37.1,0.6,1350367200petroleum,47.141917,-108.226575,0.04,,0.007,0.054,1350406800,0.72,rain,999.23,MT,1350394469,1350433465,56.34,1350421200,43.26,1350450000,1350367200,9.8,265,15.32
0,2012-10-17 00:00:00,36.54,1350496800,27.99,1350482400,0.43,petroleum,22.03,0.46,1350453600petroleum,47.141917,-108.226575,0.08,,0.0009,0.0098,1350457200,0.5,rain,1013.65,MT,1350480955,1350519755,46,1350496800,37,1350536400,1350453600,9.97,297,22.12
0,2012-10-18 00:00:00,54.86,1350597600,19.3,1350565200,0.03,petroleum,20.81,0.48,1350540000petroleum,47.141917,-108.226575,0.12,,0,0,,0,,1022.91,MT,1350567441,1350606046,54.86,1350597600,29.17,1350568800,1350540000,10,283,9.98
0,2012-10-19 00:00:00,64.33,1350684000,33.79,1350630000,0.3,petroleum,29.83,0.46,1350626400petroleum,47.141917,-108.226575,0.16,,0,0,,0,,1008.27,MT,1350653928,1350692338,64.33,1350684000,37.88,1350633600,1350626400,10,238,9.57
0,2012-10-20 00:00:00,59.34,1350766800,34.47,1350795600,0.42,petroleum,31.35,0.46,1350712800petroleum,47.141917,-108.226575,0.2,,0.001,0.0082,1350777600,0.42,rain,1001.98,MT,1350740415,1350778631,59.34,1350766800,40.57,1350795600,1350712800,9.96,270,11.63
0,2012-10-21 00:00:00,44.53,1350853200,30.13,1350820800,0.58,petroleum,23.24,0.54,1350799200petroleum,47.141917,-108.226575,0.23,,0.0003,0.0058,1350799200,0.26,rain,1014.35,MT,1350826902,1350864926,47.74,1350853200,32.98,1350824400,1350799200,9.84,117,1.95
0,2012-10-22 00:00:00,34.35,1350928800,28.09,1350918000,0.71,petroleum,31.59,0.85,1350885600petroleum,47.141917,-108.226575,0.27,,0.0085,0.0471,1350954000,0.7,rain,1012.17,MT,1350913390,1350951221,40.41,1350928800,31.38,1350910800,1350885600,8.69,101,5.12
0,2012-10-23 00:00:00,30.43,1350972000,14.2,1351054800,0.71,petroleum,26.13,0.85,1350972000petroleum,47.141917,-108.226575,0.3,0.601,0.0022,0.0222,1351047600,0.61,snow,1012.88,MT,1350999878,1351037518,33.27,1350972000,24.38,1351054800,1350972000,8.5,284,10.85
0,2012-10-24 00:00:00,23.07,1351112400,11.21,1351083600,0.76,petroleum,20.18,0.83,1351058400petroleum,47.141917,-108.226575,0.34,0.031,0.0001,0.0014,1351062000,0.03,snow,1024.18,MT,1351086366,1351123815,30.05,1351112400,19.7,1351087200,1351058400,9.65,288,6.97
0,2012-10-25 00:00:00,13.38,1351198800,10.91,1351180800,0.95,petroleum,17.87,0.8,1351144800petroleum,47.141917,-108.226575,0.37,,0,0.0009,1351191600,0,,1032.88,MT,1351172855,1351210114,24.49,1351198800,21.88,1351173600,1351144800,9.5,306,10.12
0,2012-10-26 00:00:00,29.86,1351285200,11.9,1351249200,0.61,petroleum,18.69,0.74,1351231200petroleum,47.141917,-108.226575,0.4,0.03,0.0001,0.0014,1351303200,0.03,snow,1031.26,MT,1351259344,1351296414,34.78,1351285200,17.82,1351249200,1351231200,9.67,251,2.62
0,2012-10-27 00:00:00,27.65,1351375200,16.25,1351342800,0.89,petroleum,24.55,0.87,1351317600petroleum,47.141917,-108.226575,0.44,0.036,0.0002,0.0029,1351382400,0.09,snow,1023.61,MT,1351345833,1351382716,32.34,1351375200,23.15,1351342800,1351317600,8.56,100,4.57
0,2012-10-28 00:00:00,50.85,1351458000,23.74,1351414800,0.65,petroleum,32.81,0.76,1351404000petroleum,47.141917,-108.226575,0.47,,0.0005,0.0077,1351429200,0.39,rain,1014.97,MT,1351432322,1351469019,50.85,1351458000,28.99,1351411200,1351404000,9.51,214,3.88
0,2012-10-29 00:00:00,56.24,1351548000,35.56,1351512000,0.6,petroleum,38.56,0.75,1351490400petroleum,47.141917,-108.226575,0.49,,0.0018,0.0118,1351530000,0.53,rain,1013.8,MT,1351518812,1351555323,56.24,1351548000,39.06,1351508400,1351490400,9.46,235,5.83
0,2012-10-30 00:00:00,62.58,1351634400,35.88,1351602000,0.28,petroleum,34.3,0.57,1351576800petroleum,47.141917,-108.226575,0.53,,0.0001,0.0014,1351576800,0.03,rain,1015.6,MT,1351605301,1351641629,62.58,1351634400,41.53,1351602000,1351576800,9.78,239,8.56
0,2012-10-31 00:00:00,44.85,1351717200,34.5,1351742400,0.51,petroleum,35.91,0.77,1351663200petroleum,47.141917,-108.226575,0.56,,0,0,,0,,1017.76,MT,1351691791,1351727936,47.92,1351717200,38.04,1351692000,1351663200,9.42,93,2.15
0,2012-11-01 00:00:00,50.49,1351803600,33.29,1351753200,0.64,petroleum,36.84,0.82,1351749600petroleum,47.141917,-108.226575,0.59,,0.0017,0.0124,1351825200,0.53,rain,1012.73,MT,1351778282,1351814245,50.49,1351803600,36.86,1351756800,1351749600,8.44,102,1.48
0,2012-11-02 00:00:00,42.54,1351893600,31.23,1351861200,0.7,petroleum,34.76,0.77,1351836000petroleum,47.141917,-108.226575,0.62,,0.0008,0.0074,1351836000,0.37,rain,1019.03,MT,1351864772,1351900555,47.4,1351893600,36.09,1351918800,1351836000,9.68,279,6.56
0,2012-11-03 00:00:00,51.29,1351976400,27.92,1351951200,0.34,petroleum,31.85,0.72,1351922400petroleum,47.141917,-108.226575,0.65,,0.0003,0.0058,1351998000,0.26,rain,1021.32,MT,1351951262,1351986867,51.29,1351976400,31.84,1351951200,1351922400,9.73,218,2.33
0,2012-11-04 00:00:00,54.1,1352066400,37.68,1352012400,0.5,petroleum,36.09,0.68,1352008800petroleum,47.141917,-108.226575,0.68,,0.0002,0.0016,1352016000,0.03,rain,1022.05,MT,1352037752,1352073180,54.1,1352066400,39.97,1352088000,1352008800,9.75,280,8.41
0,2012-11-05 00:00:00,64.32,1352149200,32.81,1352181600,0.21,petroleum,36.62,0.59,1352098800petroleum,47.141917,-108.226575,0.71,,0.0001,0.0015,1352134800,0.03,rain,1018.09,MT,1352124243,1352159495,64.32,1352149200,36.63,1352181600,1352098800,9.88,263,11.95
0,2012-11-06 00:00:00,55.03,1352239200,29.37,1352203200,0.18,petroleum,32.09,0.64,1352185200petroleum,47.141917,-108.226575,0.75,,0,0,,0,,1020.95,MT,1352210733,1352245812,55.03,1352239200,34.02,1352210400,1352185200,10,220,3.66
0,2012-11-07 00:00:00,64.1,1352318400,31.79,1352354400,0.31,petroleum,30.57,0.47,1352271600petroleum,47.141917,-108.226575,0.78,,0.0001,0.0016,1352336400,0.03,rain,1009.43,MT,1352297223,1352332131,64.1,1352318400,38.68,1352354400,1352271600,10,271,7.53
0,2012-11-08 00:00:00,30,1352358000,16.12,1352433600,0.93,petroleum,26.11,0.87,1352358000petroleum,47.141917,-108.226575,0.81,1.486,0.0064,0.0218,1352408400,0.61,snow,1018.66,MT,1352383714,1352418451,36.45,1352358000,27.87,1352437200,1352358000,5.68,69,6.92
0,2012-11-09 00:00:00,14.96,1352444400,3.95,1352527200,0.99,petroleum,20.12,0.9,1352444400petroleum,47.141917,-108.226575,0.85,1.532,0.0053,0.0155,1352469600,0.56,snow,1015.35,MT,1352470204,1352504773,27.42,1352444400,15.82,1352527200,1352444400,4.24,6,5.46
0,2012-11-10 00:00:00,1.54,1352530800,-12.2,1352592000,0.84,petroleum,4.71,0.83,1352530800petroleum,47.141917,-108.226575,0.88,0.85,0.0019,0.0064,1352534400,0.3,snow,1022.79,MT,1352556694,1352591097,14.66,1352530800,4.33,1352606400,1352530800,5.74,299,12.42
0,2012-11-11 00:00:00,5.18,1352667600,-12.08,1352628000,0.31,petroleum,4.3,0.73,1352617200petroleum,47.141917,-108.226575,0.92,0.05,0.0001,0.0019,1352660400,0.05,snow,1026.01,MT,1352643183,1352677423,18.81,1352667600,4.63,1352628000,1352617200,9.49,267,13.07
0,2012-11-12 00:00:00,25.26,1352757600,0.28,1352703600,0.32,petroleum,16.73,0.69,1352703600petroleum,47.141917,-108.226575,0.96,,0,0,,0,,1025.04,MT,1352729673,1352763751,33.4,1352757600,13.71,1352703600,1352703600,9.85,258,12.1
0,2012-11-13 00:00:00,30.09,1352836800,18.82,1352804400,0.38,petroleum,24.54,0.72,1352790000petroleum,47.141917,-108.226575,0.99,,0,0,,0,,1023.98,MT,1352816162,1352850081,37.48,1352836800,29.38,1352818800,1352790000,9.94,251,10.77
0,2012-11-14 00:00:00,32.68,1352926800,20.56,1352883600,0.39,petroleum,25.63,0.74,1352876400petroleum,47.141917,-108.226575,0.03,,0,0,,0,,1022.69,MT,1352902650,1352936413,40.09,1352926800,28.15,1352959200,1352876400,9.72,256,8.47
0,2012-11-15 00:00:00,35.38,1353013200,15.2,1352984400,0.06,petroleum,22.5,0.73,1352962800petroleum,47.141917,-108.226575,0.07,,0,0,,0,,1026.42,MT,1352989139,1353022747,39.74,1353013200,23.1,1352988000,1352962800,9.81,202,4.73
0,2012-11-16 00:00:00,38.86,1353096000,22.11,1353056400,0.36,petroleum,26.13,0.66,1353049200petroleum,47.141917,-108.226575,0.11,,0,0,,0,,1017.61,MT,1353075626,1353109083,43.22,1353096000,29.62,1353056400,1353049200,10,229,7.2
0,2012-11-17 00:00:00,44.97,1353186000,25.92,1353160800,0.16,petroleum,29.9,0.71,1353135600petroleum,47.141917,-108.226575,0.15,,0,0,,0,,1015.46,MT,1353162113,1353195421,47.55,1353186000,31.82,1353160800,1353135600,9.99,190,4.3
0,2012-11-18 00:00:00,41.92,1353265200,25.16,1353304800,0.31,petroleum,27.12,0.62,1353222000petroleum,47.141917,-108.226575,0.18,,0,0,,0,,1011.61,MT,1353248600,1353281761,47.45,1353265200,30.93,1353304800,1353222000,10,252,6.14
0,2012-11-19 00:00:00,52.13,1353358800,23.02,1353330000,0.14,petroleum,26.07,0.59,1353308400petroleum,47.141917,-108.226575,0.22,,0,0,,0,,1017.09,MT,1353335086,1353368104,52.13,1353358800,29.02,1353315600,1353308400,10,204,8.17
0,2012-11-20 00:00:00,55.66,1353438000,38.77,1353423600,0.24,petroleum,32.38,0.52,1353394800petroleum,47.141917,-108.226575,0.25,,0,0,,0,,1011.02,MT,1353421571,1353454449,55.66,1353438000,44.37,1353423600,1353394800,10,221,9.47
0,2012-11-21 00:00:00,40.35,1353531600,23.84,1353564000,0.55,petroleum,32.83,0.73,1353481200petroleum,47.141917,-108.226575,0.29,,0.0021,0.0112,1353517200,0.52,rain,1008.84,MT,1353508055,1353540796,45.88,1353531600,34.22,1353564000,1353481200,9.82,260,8.07
0,2012-11-22 00:00:00,22.32,1353567600,8.03,1353603600,0.29,petroleum,17.24,0.73,1353567600petroleum,47.141917,-108.226575,0.32,0.057,0.0002,0.0014,1353596400,0.03,snow,1028.89,MT,1353594539,1353627146,32.95,1353567600,17.1,1353646800,1353567600,9.28,283,11.02
