,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,71.8,1349125200,36.02,1349092800,0.05,pondera,30.12,0.42,1349071200pondera,48.230312,-112.219928,0.55,,0,0,,0,,1017.97,MT,1349098211,1349140134,71.8,1349125200,41.31,1349085600,1349071200,9.96,229,14.4
0,2012-10-02 00:00:00,59.92,1349157600,23.62,1349240400,0.34,pondera,33.53,0.6,1349157600pondera,48.230312,-112.219928,0.58,,0.0088,0.0707,1349240400,0.75,rain,1009.15,MT,1349184696,1349226409,59.92,1349157600,33.94,1349240400,1349157600,9.46,350,4.76
0,2012-10-03 00:00:00,21.96,1349287200,18.82,1349276400,0.85,pondera,28.44,0.9,1349244000pondera,48.230312,-112.219928,0.61,2.244,0.0117,0.0419,1349244000,0.69,snow,1030.87,MT,1349271181,1349312686,33.35,1349287200,25.07,1349326800,1349244000,7.93,339,12.93
0,2012-10-04 00:00:00,33.09,1349391600,16.1,1349355600,0.67,pondera,21.98,0.78,1349330400pondera,48.230312,-112.219928,0.64,,0,0,,0,,1033.72,MT,1349357666,1349398963,36.02,1349391600,21.22,1349359200,1349330400,10,331,2.1
0,2012-10-05 00:00:00,33.13,1349478000,13.83,1349442000,0.31,pondera,20.22,0.74,1349416800pondera,48.230312,-112.219928,0.67,,0,0,,0,,1034.05,MT,1349444152,1349485240,37.8,1349478000,19.96,1349442000,1349416800,9.99,277,4.12
0,2012-10-06 00:00:00,40.1,1349560800,16.03,1349506800,0.49,pondera,26.88,0.71,1349503200pondera,48.230312,-112.219928,0.7,,0.0002,0.0044,1349553600,0.18,rain,1028.75,MT,1349530638,1349571518,46.11,1349560800,23.39,1349506800,1349503200,10,258,7.45
0,2012-10-07 00:00:00,62.58,1349643600,27.93,1349589600,0.07,pondera,27.85,0.55,1349589600pondera,48.230312,-112.219928,0.73,,0,0,,0,,1017.85,MT,1349617124,1349657796,62.58,1349643600,34.24,1349593200,1349589600,10,253,9.79
0,2012-10-08 00:00:00,40.31,1349676000,27.68,1349751600,0.88,pondera,34.69,0.87,1349676000pondera,48.230312,-112.219928,0.77,,0.0078,0.0198,1349715600,0.6,rain,1017.63,MT,1349703611,1349744075,43.51,1349676000,33.8,1349758800,1349676000,8.94,330,6.25
0,2012-10-09 00:00:00,56.69,1349823600,26,1349791200,0.37,pondera,29.55,0.69,1349762400pondera,48.230312,-112.219928,0.8,,0.0001,0.0014,1349784000,0.03,rain,1020.76,MT,1349790098,1349830355,56.69,1349823600,31.17,1349791200,1349762400,10,225,5.33
0,2012-10-10 00:00:00,39.61,1349892000,22.67,1349931600,0.37,pondera,31.96,0.74,1349848800pondera,48.230312,-112.219928,0.83,,0.0006,0.0057,1349924400,0.25,rain,1017.32,MT,1349876585,1349916636,45.8,1349892000,31.57,1349931600,1349848800,9.34,337,6.95
0,2012-10-11 00:00:00,33.5,1349989200,21.01,1349967600,0.69,pondera,30.47,0.9,1349935200pondera,48.230312,-112.219928,0.86,,0.0001,0.0015,1349942400,0.03,rain,1023.44,MT,1349963073,1350002917,40.39,1349989200,28.61,1349964000,1349935200,8.41,129,6.77
0,2012-10-12 00:00:00,62.61,1350079200,25.89,1350021600,0.04,pondera,28.41,0.54,1350021600pondera,48.230312,-112.219928,0.9,,0,0,,0,,1009.12,MT,1350049561,1350089199,62.61,1350079200,34.11,1350021600,1350021600,8.77,223,11.15
0,2012-10-13 00:00:00,58.18,1350158400,40.66,1350190800,0.18,pondera,32.94,0.51,1350108000pondera,48.230312,-112.219928,0.93,,0.0004,0.0044,1350144000,0.18,rain,1012.59,MT,1350136049,1350175481,58.18,1350158400,46.14,1350126000,1350108000,10,248,15.97
